,0
max_allo,24853622.999999985
current_use_2015,1625968.406458864
current_use_2016,1230516.2378146627
current_use_2017,2594176.6945726853
current_use_2018,1883756.6768711514
current_use_2019,2094596.1446724976
current_use_2020,2867196.8773273253
current_use_2015_max,27557.40444857
current_use_2016_max,28460.85969757
current_use_2017_max,40859.583913003335
current_use_2018_max,39910.211658
current_use_2019_max,34620.2970113
current_use_2020_max,44447.08680397667
max_allo_pc,9200040.142974034
max_allo_pc_10,10120044.157271441
