,scen_rch,hill,opt_rch
1981,1271868.4391797574,4165574.438917158,
1982,994263.7685051706,3711815.718333391,
1983,2388830.595616466,7342105.834295325,
1984,1350772.0453566713,5078520.499451249,
1985,1057347.9899342174,3684537.2056676974,
1986,1701148.7197825105,3995121.44511257,
1987,1786347.7107507032,5209563.3775210725,
1988,1973556.4262931696,2901155.2253100383,
1989,1078290.4735289153,1743307.1331241545,
1990,1578085.5759405578,2983828.4883051245,
1991,1696840.0077669781,2829271.923884091,
1992,1584877.6971620382,2718441.2067772965,
1993,1381092.3745979029,3364875.888721058,
1994,1839411.2365249493,7540877.981858611,
1995,2422471.7853084807,4846216.660352303,
1996,1164234.949103168,4827855.827907329,
1997,1344358.7541358965,2825495.4807894845,
1998,2108777.8363383217,4905656.580014714,
1999,1869316.853032375,2834151.333939968,
2000,1739131.5859377685,6913494.441844594,
2001,973108.7217314976,929780.5937780605,
2002,1549911.956922136,2979441.7399353744,
2003,1507609.3059359742,2378425.7012259807,
2004,1442362.220117684,4321558.802209511,
2005,896599.3076807569,2289580.082954464,
2006,1118612.9363431095,3586324.0640453734,
2007,1439838.123075126,2490884.8053832524,
2008,1287960.053271097,2737723.563214112,
2009,1643835.578515463,3405530.40434653,
2010,2083207.7778446416,3749704.3243569983,
2011,1196033.217846441,3556383.7728711246,
2012,1498554.0082339658,3106894.141620933,
2013,1815793.5166540493,3819658.7313655503,
2014,1676357.7644108133,3340041.3486868218,
2015,1760252.8650347446,2616806.8979974715,
2016,1679104.2613089653,2084026.4237047134,1147199.6642687696
2017,1150063.7742282674,2881047.5467001004,1361191.416779642
2018,1581490.3548325899,4646282.876521854,1904567.6245107125
2019,1556221.6112424424,3378860.256955033,1696174.3705514264
2020,1441887.3118100103,2251919.4629744324,1441547.7741657756
