,scen_rch,hill,opt_rch
1981,160546.42560496394,2387550.10667438,
1982,123314.95364330323,2150321.5525205354,
1983,288534.95654231415,3498321.6729692025,
1984,170441.39039170326,2783488.519106619,
1985,126739.42423976514,2188425.573397348,
1986,208166.57605873764,2342843.0815130165,
1987,217933.4589469837,2798087.939538593,
1988,232749.15566857322,1819673.2444325378,
1989,141575.2862696935,1404866.842449966,
1990,199076.07644978043,1930540.3290784191,
1991,199095.1238545696,1774008.5985448146,
1992,183539.30710454815,1697818.6668242833,
1993,171119.2393973829,2059328.2970718672,
1994,228332.82945579998,3693757.7270712354,
1995,302785.80214994703,2500124.216561359,
1996,143176.1440198429,2728279.5601070193,
1997,161189.08125214645,1837832.8884987393,
1998,256333.34469885394,2643746.1952732806,
1999,229879.9328152049,1783448.2699307813,
2000,218569.9170925247,3348648.3083130484,
2001,120737.69488771408,1006012.4758923043,
2002,186774.0843203713,1870091.6461895758,
2003,183379.97632537768,1643033.9657995745,
2004,176700.60080317894,2469420.111999089,
2005,106687.1000439912,1638871.7678225837,
2006,146668.27985702347,2074921.3778709266,
2007,174301.25948028322,1637852.0347448352,
2008,153752.73378097193,1722622.3347333479,
2009,201546.3881323499,2058811.317105975,
2010,258568.0052045485,2109863.3113588872,
2011,144666.88404310352,2203790.115642391,
2012,180997.33914782532,1963805.1048451082,
2013,225000.99442512004,2200503.7223186097,
2014,206963.70490141775,2016384.9881589336,
2015,216679.893215717,1689487.3448525334,
2016,205672.61077544745,1484489.3069856318,3812528.44227154
2017,138496.90294336286,1798785.426572332,4324600.558397873
2018,197669.99474738102,2555707.8753154725,6147691.067170385
2019,196365.0956505893,2080057.1629781208,5554038.715725144
2020,168485.52785780036,1619438.3987536624,4680611.662448994
