,scen_rch,hill,opt_rch
1981,7899559.701079329,17028310.021223456,
1982,6229766.788270589,15393914.254077995,
1983,14295227.594034253,25646176.08766401,
1984,8618370.8573445,19883609.410960883,
1985,6378137.732431054,15597770.311202511,
1986,10266643.972594896,16681884.709518991,
1987,10740944.588283954,20101726.566050258,
1988,11617319.429482006,12952676.779559257,
1989,6969962.135547245,9801804.236379854,
1990,10037922.136498375,13622718.685347693,
1991,9893254.714219436,12680127.847001374,
1992,9076087.119736442,12028499.052170265,
1993,8437321.668837639,14612507.87671697,
1994,11639162.061775114,26829425.35922754,
1995,14811349.066040287,18238023.194174506,
1996,7104634.475780315,19384080.9867816,
1997,8098650.096331647,13019593.346067132,
1998,12638761.514898688,19029558.820002683,
1999,11553500.793091336,12658941.757215377,
2000,10630439.894906875,24485083.377339963,
2001,6201978.12953339,6941751.430916683,
2002,9387385.21375321,13287166.830861,
2003,9159359.893669298,11585362.669265514,
2004,8797369.592909636,17583545.52745631,
2005,5349743.3954815,11511798.672305299,
2006,7167772.185893318,14771596.463166209,
2007,8717595.890594436,11603066.285389028,
2008,7722099.813920218,12177157.022268018,
2009,9937319.781531932,14674519.548408868,
2010,12898043.577705093,15157164.361691771,
2011,7199962.3545024,15585483.269355174,
2012,8871747.195951832,13878366.145399824,
2013,11193518.911654426,15751042.331865968,
2014,10207842.414444376,14350332.95566007,
2015,10659751.228327198,11935032.706154628,
2016,10191742.747113597,10365449.740163533,6708085.396317588
2017,6774342.969798729,12808967.54441961,7762673.854851864
2018,9805074.449936546,18310128.89336675,10978024.056619924
2019,9846922.642357737,14764185.482462713,9831414.46290017
2020,8392149.058432518,11340414.599969877,8366997.113116808
