,scen_rch,hill,opt_rch
1981,3229491.4208425973,0.0,
1982,2543150.100469841,0.0,
1983,5609011.778691491,0.0,
1984,3512170.0712127513,0.0,
1985,2510877.8940694896,0.0,
1986,4101703.6350396196,0.0,
1987,4292065.693975768,0.0,
1988,4531246.973710933,0.0,
1989,2855285.1623847517,0.0,
1990,4101737.3768493026,0.0,
1991,3816226.4714613087,0.0,
1992,3475668.797646185,0.0,
1993,3427993.3793073157,0.0,
1994,4643456.629150595,0.0,
1995,5835315.273070639,0.0,
1996,2854229.811599146,0.0,
1997,3191668.0699763913,0.0,
1998,4950081.769999906,0.0,
1999,4575622.03801638,0.0,
2000,4232233.947981147,0.0,
2001,2505145.9097692673,0.0,
2002,3677263.565197542,0.0,
2003,3587395.3768272973,0.0,
2004,3506570.0481110327,0.0,
2005,2181724.862705404,0.0,
2006,2905145.8549160594,0.0,
2007,3456083.023205186,0.0,
2008,3015034.0703112283,0.0,
2009,3956442.061527702,0.0,
2010,5112803.919405169,0.0,
2011,2947905.214763526,0.0,
2012,3425332.5297667705,0.0,
2013,4495083.355230848,0.0,
2014,4063823.5370627916,0.0,
2015,4228506.140714769,0.0,
2016,4049803.4154609176,0.0,2879747.290306
2017,2667141.3844785546,0.0,3101539.2309515453
2018,3948039.749145595,0.0,4536874.869182926
2019,4001844.3314327905,0.0,4099841.733332787
2020,3236205.79211097,0.0,3462199.8616856905
