,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,320.0079,330.76477,323.48013,322.6698,272.2476,342.2193,327.73962,287.8151,302.028,304.74338,251.5979,320.60605,328.74295,326.10916,342.11386,329.63242,323.25858,320.9117,320.9836,306.298,274.26593,299.5322,292.5034,294.93018,296.91687,334.8609,-121590.09,10725.104,5064.264,-81397.96,3100.0,1500.0,152371.45,3127.234,21412.078,131499.12,31652.367,1.2741089,7221.057,64550.027,4868.6733
1,1980-07-23,320.0871,331.0441,323.68713,322.83356,272.25677,342.1557,327.7228,288.66614,300.57626,304.63693,251.3428,320.61578,330.19284,326.44916,343.8812,329.65298,323.25708,320.9577,321.1633,306.4955,274.26096,299.45648,292.49646,295.0201,296.91656,334.85788,-115313.516,16567.486,6893.8643,-79207.24,3100.0,1500.0,219742.6,3112.1868,22366.656,136043.78,37410.164,15.148365,6849.4775,64434.254,5015.7188
2,1980-07-30,320.15076,331.66577,324.18356,323.28232,272.28433,342.1138,327.6819,290.24133,298.95425,304.70203,251.22632,320.6928,331.03253,326.95242,344.51776,329.90897,323.27768,321.0261,321.46066,306.61862,274.25107,299.53632,292.4827,295.16956,296.93057,334.8517,-116509.91,20998.465,7359.045,-77756.65,3100.0,1500.0,220346.0,3085.1501,22972.219,142061.77,40906.04,12.707748,6545.846,64372.164,5084.82
3,1980-08-06,320.12216,331.993,324.40472,323.49896,272.3126,342.21786,327.65933,290.5308,300.32083,305.03772,251.4791,320.82034,330.96768,327.14322,344.15018,330.3063,323.3411,321.03293,321.56375,306.6104,274.24622,300.08722,292.47592,295.25937,296.96707,334.84903,-125648.6,18136.295,5858.2124,-81034.51,3100.0,1500.0,202572.84,3078.5945,22646.02,144605.8,38203.25,13.653339,6645.871,64652.723,4828.422
4,1980-08-13,320.2316,332.1379,324.46164,323.57846,272.3429,342.60556,327.72543,289.99857,307.5737,305.9061,252.18895,320.93723,330.8524,327.29355,343.65115,330.6441,323.429,321.13712,321.76456,307.08536,274.2594,300.80978,292.49426,295.35788,297.0186,334.85892,-130985.85,15203.302,3804.318,-84687.11,3100.0,1500.0,183148.5,3115.8848,24048.523,149475.58,37485.92,40.79681,6868.99,64787.773,4161.287
5,1980-08-20,320.71622,332.32544,324.6587,323.82486,272.47833,344.26535,328.1803,291.0745,344.03717,310.59177,255.46103,321.10828,331.0896,327.72937,343.46286,331.01733,323.5891,321.52423,322.4395,308.8702,274.3587,302.55783,292.63257,295.79468,297.139,334.92902,-139077.12,10588.725,-6493.9316,-102644.45,255.4448,255.4448,176281.9,3219.7212,29636.133,162727.8,40589.723,205.4499,6013.9297,64492.027,575.70044
6,1980-08-27,320.91086,332.48517,324.822,323.9884,272.58176,345.4231,328.76172,292.84277,351.3545,308.57568,253.685,321.3138,331.12894,327.73218,343.4721,331.24792,323.81787,321.7433,322.33835,307.84024,274.44693,302.0827,292.7562,296.03772,297.30792,334.99194,-138550.92,15644.16,-3784.4697,-93758.22,255.4448,255.4448,176701.12,3536.063,26013.15,156102.48,38412.89,236.79538,5270.5137,66172.85,3162.1511
7,1980-09-03,320.90854,332.54437,324.77756,323.93857,272.60693,345.64862,329.0198,293.52036,341.79718,307.85385,253.22615,321.423,330.97684,327.72678,343.53818,331.3309,323.9715,321.77655,322.2765,307.76178,274.48682,301.76266,292.81284,296.07236,297.4452,335.0213,-145091.17,11733.863,-3979.0396,-95338.96,255.4448,255.4448,180401.38,3685.8137,25241.723,157529.97,34484.71,177.7288,5141.1304,67193.27,3598.7178
8,1980-09-10,320.88773,332.56882,324.61557,323.74817,272.56592,345.4933,329.11758,293.3571,330.73654,306.22012,252.22823,321.4539,330.96533,327.6286,343.58072,331.35205,324.06912,321.78024,322.03613,307.29007,274.50613,301.17017,292.84155,295.90146,297.54346,335.03644,-156220.33,2047.0026,-2795.4844,-94064.16,255.4448,255.4448,181527.38,3759.141,23261.04,162426.72,24820.877,109.88522,5231.311,68373.19,4680.103
9,1980-09-17,320.92944,332.5818,324.48557,323.61755,272.5138,345.36023,329.1485,292.65598,327.79517,306.26697,252.56818,321.4175,330.89148,327.62888,343.5497,331.3978,324.12585,321.81735,322.0187,307.48083,274.52344,301.6832,292.86838,295.7206,297.5883,335.05014,-157571.72,-1085.6539,-3090.7048,-94472.08,255.4448,255.4448,180668.72,3761.724,23881.44,166029.1,23291.887,89.49548,5500.016,68319.12,4241.5566
10,1980-09-24,321.08978,332.62357,324.4305,323.5657,272.50787,345.68304,329.32986,292.987,336.85913,307.26807,253.44382,321.40082,330.8445,327.6973,343.4386,331.4857,324.19186,321.9435,322.0986,307.83344,274.5685,302.6745,292.93515,295.6355,297.62228,335.08328,-163568.55,-6756.209,-6130.3315,-99008.22,255.4448,255.4448,176108.27,3802.9211,25036.113,172335.45,20036.11,119.1044,4986.2354,68208.09,3369.2021
11,1980-10-01,320.99576,332.5875,324.36954,323.51318,272.48523,345.6821,329.43527,292.85785,327.92722,305.59274,252.11902,321.37796,330.6005,327.54807,343.27368,331.4837,324.2541,321.92447,321.9256,306.94028,274.58972,302.18677,292.97037,295.50928,297.63034,335.09998,-155574.4,186.51819,-1512.3246,-89600.8,3100.0,1500.0,170900.14,3848.666,22511.426,163680.88,22388.59,92.724365,5335.916,68274.17,4935.4106
12,1980-10-08,320.83444,332.457,324.25143,323.40256,272.4504,345.3175,329.3084,291.89224,314.10477,304.4179,251.46085,321.3268,330.28998,327.37024,343.1115,331.3653,324.26358,321.79703,321.76395,306.65213,274.57736,301.58322,292.9602,295.3569,297.60257,335.09314,-150768.23,2369.2485,1110.0695,-85765.44,3100.0,1500.0,168230.98,3801.4316,21666.15,158160.1,23366.617,31.431793,5755.093,67897.05,5448.3936
13,1980-10-15,320.80527,332.31845,324.1234,323.27277,272.4102,344.9785,329.13913,291.673,306.3796,303.95953,251.26956,321.264,330.1597,327.27066,342.94492,331.23932,324.24496,321.75894,321.67514,306.65207,274.56033,301.19534,292.94476,295.17578,297.5611,335.08295,-152709.45,-1574.5396,1047.3771,-85675.445,3100.0,1500.0,163735.08,3713.4546,21693.982,159820.31,20119.871,-3.078186,5841.5356,67651.67,5547.5693
14,1980-10-22,320.70996,332.1598,323.97647,323.13196,272.36127,344.70575,328.98492,289.85425,302.2313,303.6639,251.22055,321.19012,329.78036,327.10522,342.72018,331.11172,324.2205,321.70322,321.5267,306.33072,274.54346,300.94714,292.9307,294.95712,297.50394,335.07275,-152947.78,-3348.7446,836.09045,-84728.016,3100.0,1500.0,158458.19,3633.6277,20636.531,157235.72,17266.639,-12.872925,6786.2026,67185.48,5548.218
15,1980-10-29,320.6302,331.9692,323.83206,323.00665,272.31906,344.471,328.8501,287.83438,299.65173,303.54492,251.17462,321.10706,329.44476,326.93704,342.47906,330.9755,324.18124,321.6177,321.4407,306.2395,274.52673,300.94635,292.9179,294.77982,297.4285,335.06256,-148089.36,-1486.8003,2292.9226,-83115.63,3100.0,1500.0,152301.62,3560.5159,20610.94,153494.9,19416.234,-27.64563,7322.0674,66537.75,5562.1216
16,1980-11-05,320.6017,331.7584,323.72357,322.91168,272.29132,344.25745,328.74637,288.0099,298.11023,304.28296,251.32027,321.0365,329.2272,326.77948,342.33868,330.8248,324.13644,321.56146,321.4075,306.37534,274.51627,301.32004,292.91476,294.70416,297.3496,335.05234,-144703.08,-686.5107,2846.797,-82042.8,3100.0,1500.0,150971.1,3493.446,21176.365,151387.3,21173.201,-73.45785,6910.2056,66102.13,5443.2646
17,1980-11-12,320.6886,331.60297,323.6579,322.84036,272.27332,344.0474,328.68143,289.39856,297.46985,304.00946,251.3806,320.97778,329.2409,326.7048,342.24146,330.66434,324.0897,321.5965,321.34537,306.4598,274.50934,301.4501,292.91705,294.64578,297.28113,335.0421,-143480.39,-1637.6377,2944.3142,-81422.24,3100.0,1500.0,148639.31,3458.5662,21840.955,151341.06,20893.172,-66.01422,6355.393,65682.7,5394.8086
18,1980-11-19,320.6143,331.45337,323.59702,322.78748,272.26077,343.90634,328.6301,288.1905,296.79147,303.67133,251.28426,320.9237,328.9557,326.55472,342.14224,330.5028,324.04343,321.567,321.2522,306.10278,274.49658,301.13693,292.91132,294.56906,297.2197,335.0319,-138899.02,2042.9706,4083.1753,-79970.97,3100.0,1500.0,148285.17,3431.474,21020.1,145402.75,22939.703,-42.200848,7241.994,65144.97,5450.576
19,1980-11-26,320.55228,331.29547,323.50772,322.69632,272.24393,343.7554,328.57336,286.73425,296.10526,303.52722,251.21214,320.86874,328.85147,326.41837,342.18872,330.33572,323.98605,321.49332,321.1454,306.0504,274.48022,300.80905,292.9003,294.46262,297.16046,335.02167,-138548.62,459.23877,3884.3076,-80492.15,3100.0,1500.0,152703.97,3403.3352,20752.78,144198.88,21647.945,-38.617393,7555.1753,64837.035,5493.8423
