,date,ca12_0100,ca13_0101,ca13_0106,ca13_0107,ca13_0115,ca13_0116,ca13_0119,ca13_0122,ca13_0124,ca13_0127,f40_0114,f40_0122,f40_0185,f40_0186,f40_0188,f40_0192,f40_0199,f40_0228,f40_0263,f40_0277,f40_0396,g40_0005,g40_0006,g40_0008,g40_0013,g40_0014,g40_0016,g40_0019,g40_0023,g40_0024,g40_0026,g40_0032,g40_0033,g40_0035,g40_0036,g40_0038,g40_0039,g40_0041,g40_0046,g40_0048,g40_0052,g40_0054,g40_0101,g40_0102,g40_0108,g40_0117,g40_0120,g40_0122,g40_0127,g40_0128,g40_0129,g40_0130,g40_0131,g40_0132,g40_0138,g40_0139,g40_0140,g40_0144,g40_0146,g40_0147,g40_0158,g40_0160,g40_0162,g40_0163,g40_0165,g40_0167,g40_0170,g40_0173,g40_0178,g40_0181,g40_0182,g40_0183,g40_0184,g40_0186,g40_0195,g40_0198,g40_0200,g40_0203,g40_0204,g40_0205,g40_0208,g40_0210,g40_0214,g40_0218,g40_0219,g40_0226,g40_0227,g40_0230,g40_0236,g40_0242,g40_0249,g40_0253,g40_0257,g40_0261,g40_0264,g40_0271,g40_0272,g40_0274,g40_0275,g40_0277,g40_0280,g40_0290,g40_0293,g40_0294,g40_0295,g40_0296,g40_0298,g40_0306,g40_0308,g40_0309,g40_0310,g40_0311,g40_0325,g40_0327,g40_0330,g40_0332,g40_0334,g40_0338,g40_0339,g40_0340,g40_0345,g40_0352,g40_0357,g40_0358,g40_0366,g40_0367,g40_0368,g40_0371,g40_0373,g40_0381,g40_0382,g40_0385,g40_0387,g40_0388,g40_0389,g40_0395,g40_0396,g40_0400,g40_0401,g40_0403,g40_0404,g40_0405,g40_0406,g40_0407,g40_0408,g40_0409,g40_0412,g40_0413,g40_0415,g40_0416,g40_0417,g40_0422,g40_0424,g40_0430,g40_0434,g40_0435,g40_0441,g40_0442,g41_0119
0,2000-09-27,297.08478,-888.0,296.84845,318.79056,297.8221,298.30344,320.232,320.6707,296.71942,325.3147,306.08908,336.39218,341.71997,337.64206,294.93616,311.6346,342.7956,286.98315,336.57098,340.1704,342.70752,319.5589,320.1684,-888.0,-888.0,319.5589,326.98788,324.15186,321.80157,321.3594,342.66748,362.12686,320.10825,320.05524,319.96066,309.58398,-888.0,322.57016,318.98874,322.03735,320.92145,297.57352,318.99564,319.28726,291.594,319.89307,320.76984,319.19373,329.09985,300.68478,327.72604,319.5016,319.62805,319.49805,308.69308,319.56473,320.99374,302.92398,-888.0,319.49805,320.00366,319.58026,321.14194,330.44327,320.00436,319.96066,316.06195,313.40146,332.26782,329.47433,295.57138,358.41336,321.4711,319.9514,319.52298,320.60376,319.96066,317.80527,329.09134,319.5585,322.8409,319.5638,320.00436,343.54868,297.2591,300.43307,328.69125,322.8013,248.9491,319.93616,320.31158,293.82065,321.2553,319.0229,318.99564,321.53046,319.96066,298.9157,320.0276,319.40387,319.66467,319.24542,316.19553,297.0126,297.00528,295.0908,300.6498,293.68933,297.40353,298.23108,321.24384,321.679,296.44016,-888.0,269.99414,269.99414,269.99414,305.5128,303.9762,270.46237,342.68848,319.78348,270.26782,271.3191,272.21674,319.62805,332.26782,255.043,320.88388,310.42715,310.47122,319.46207,319.62805,296.3823,296.32874,299.8267,299.8485,319.5016,320.40598,301.5354,299.28732,298.39575,321.14508,319.66733,321.74634,321.31766,318.72073,329.76297,330.57413,323.39636,-888.0,272.21674,320.90857,320.86807,321.18427,353.349,320.12375,303.1283,322.03735
1,1980-07-23,297.09775,-888.0,297.20712,318.81396,298.10202,298.5981,320.45685,320.74655,296.77365,325.36703,306.06113,336.35358,341.70435,337.64026,295.00616,311.61444,342.7934,286.97632,336.53897,340.17346,342.70554,319.7113,320.20526,-888.0,-888.0,319.7113,328.14087,324.18924,321.81757,321.37634,344.2271,351.76083,320.15668,320.1166,320.03052,309.5829,-888.0,322.75366,319.45364,322.03546,320.91888,297.68173,319.13525,319.449,291.64627,320.00763,320.99493,319.34552,329.0939,300.68402,327.8064,319.66577,319.74658,319.64893,309.09756,319.666,321.21954,302.8545,-888.0,319.64893,320.0799,319.6825,321.19952,331.17032,320.06204,320.03052,316.04584,313.335,333.12494,329.57605,295.62784,358.59204,321.51553,320.04468,319.64136,320.6496,320.03052,317.9991,329.1716,319.7443,322.83612,319.68723,320.06204,343.56088,297.58398,300.91687,328.78488,323.11002,248.82808,319.9935,320.3378,294.01416,321.26236,319.33408,319.13525,321.54346,320.03052,298.84726,320.15305,319.6378,319.7864,319.34418,316.17236,297.2322,297.00256,295.18817,301.22455,293.7239,297.7245,298.75443,321.5062,321.9328,296.67105,284.10883,270.04095,270.04095,270.04095,306.37103,304.555,270.47974,344.2567,319.88904,270.44168,271.37885,272.2259,319.74658,333.12494,255.15097,321.1221,310.77628,310.78458,319.65082,319.74658,296.6395,296.59402,299.82,299.77844,319.79407,320.48892,301.40863,299.26553,298.52744,321.35004,319.8079,321.7499,321.34637,318.80807,330.9204,330.88446,323.62766,-888.0,272.2259,321.06036,320.89227,321.20544,353.25043,320.11765,302.99976,322.03546
2,1980-07-30,297.11862,-888.0,297.55252,318.9291,298.34512,298.853,320.80228,320.98068,296.88202,325.53833,306.02353,336.2988,341.69922,337.6398,295.0699,311.5773,342.79242,286.97348,336.48837,340.2135,342.70407,319.81064,320.28415,-888.0,-888.0,319.81064,328.9239,324.35287,321.89246,321.4406,345.03708,346.35028,320.24048,320.2043,320.1224,309.57947,-888.0,323.2359,319.6758,322.04727,320.92197,297.6924,319.23257,319.54886,291.80444,320.10333,321.21057,319.44397,329.08127,300.68207,328.14435,319.765,319.8461,319.748,309.36133,319.7655,321.40155,302.81555,-888.0,319.748,320.1708,319.78226,321.42328,331.86615,320.15146,320.1224,316.0228,313.27386,333.83023,330.01285,295.68796,359.63367,321.69504,320.13815,319.74014,320.83044,320.1224,318.27594,329.47516,319.84772,322.8269,319.7866,320.15146,343.79803,297.843,301.20084,329.18228,323.57068,248.92525,320.08588,320.40652,294.2011,321.30414,319.59192,319.23257,321.60397,320.1224,298.88245,320.2545,319.95935,319.88562,319.56647,316.12598,297.46396,297.0031,295.34143,301.3994,293.9252,298.02307,299.18863,321.84833,322.2699,296.93036,289.56247,270.12234,270.12234,270.12234,306.62643,304.8267,270.5239,345.05472,319.98657,270.63092,271.47852,272.25342,319.8461,333.83023,255.1393,321.2843,311.0413,311.03842,319.7522,319.8461,296.91684,296.87402,299.94562,299.85126,319.89233,320.58972,301.42932,299.36667,298.7085,321.73618,320.07858,321.79074,321.42654,319.01135,331.6581,331.54416,324.15668,-888.0,272.25342,321.19586,320.95923,321.27383,353.28735,320.12048,303.05682,322.04727
3,1980-08-06,297.22293,-888.0,297.54135,319.08453,298.27634,298.78964,320.959,321.17844,297.02237,325.76697,306.07007,336.32315,341.72913,337.6412,295.13174,311.58896,342.80447,287.1055,336.50272,340.2607,342.71298,319.90677,320.3606,-888.0,-888.0,319.90677,329.06415,324.55844,322.00195,321.52774,344.74765,345.9119,320.3203,320.28717,320.20834,309.57788,-888.0,323.48688,319.87656,322.08752,320.9593,297.69553,319.33777,319.6532,291.95895,320.1942,321.40384,319.5472,329.1018,300.6823,328.50253,319.8622,319.9406,319.84494,309.27866,319.85986,321.57858,302.9757,-888.0,319.84494,320.25647,319.87677,321.63202,332.0945,320.23535,320.20834,316.00897,313.3336,334.01807,330.4369,295.77097,362.10513,321.88046,320.22644,319.83484,321.01895,320.20834,318.38397,329.8912,319.95322,322.8242,319.88168,320.23535,344.56866,297.7297,301.17776,329.57535,323.81168,248.95879,320.17233,320.4762,294.22266,321.3661,319.79694,319.33777,321.6918,320.20834,299.11652,320.3558,320.08844,319.97974,319.73105,316.10242,297.517,297.01767,295.45187,301.48016,294.15256,298.03302,299.11075,322.05646,322.48962,296.97473,290.4717,270.14365,270.14365,270.14365,306.5307,304.74014,270.55646,344.76746,320.07825,270.57306,271.50174,272.2817,319.9406,334.01807,255.16826,321.44873,310.98267,311.01254,319.8555,319.9406,296.94955,296.90292,300.18484,300.11786,319.98743,320.69403,301.73083,299.5918,298.79608,321.92154,320.2424,321.86334,321.52792,319.17184,331.79364,331.9168,324.41223,-888.0,272.2817,321.3405,321.03732,321.36066,353.6477,320.16473,303.412,322.08752
4,1980-08-13,297.64,-888.0,297.63046,319.21988,298.42255,298.93057,321.09808,321.32242,297.51157,326.00198,306.29968,336.51486,341.83868,337.6654,295.47043,311.72598,342.87326,287.66043,336.66632,340.35117,342.7686,320.06357,320.47958,-888.0,-888.0,320.06357,328.96927,324.76746,322.13858,321.64523,344.25378,349.8105,320.44424,320.41583,320.34302,309.58493,-888.0,323.59613,320.15936,322.15945,321.04,297.73322,319.50998,319.823,292.12073,320.33716,321.63376,319.716,329.23413,300.6908,328.79346,320.0215,320.09354,320.00345,309.39267,320.01315,321.78937,303.4961,-888.0,320.00345,320.3898,320.03018,321.772,332.134,320.3667,320.34302,316.01013,313.59476,334.01126,330.7379,296.15704,365.1731,322.01144,320.36447,319.9891,321.16452,320.34302,318.50662,330.24765,320.12204,322.84576,320.0363,320.3667,346.18274,297.78455,301.27762,329.8694,323.982,249.08269,320.30927,320.584,294.50397,321.45743,320.07886,319.50998,321.80957,320.34302,299.77866,320.50922,320.22498,320.13156,319.86942,316.16296,297.6126,297.05444,295.5688,301.70938,294.46674,298.1147,299.16556,322.25833,322.69952,297.068,291.73004,270.16077,270.16077,270.16077,306.61978,304.81,270.58182,344.27307,320.2244,270.57816,271.52634,272.312,320.09354,334.01126,255.26851,321.65125,311.11343,311.2001,320.0232,320.09354,297.04144,296.9939,300.8401,300.8323,320.14874,320.84216,302.51575,300.23096,299.19952,322.04556,320.38312,321.96677,321.65985,319.30646,331.7254,332.092,324.49826,-888.0,272.312,321.52194,321.14792,321.47885,354.47406,320.25955,304.28574,322.15945
5,1980-08-20,299.84995,309.5021,298.29855,319.439,299.7277,300.18765,321.57904,321.6002,300.35812,326.33344,307.5664,337.4512,342.3083,337.80008,297.35382,312.49704,343.12567,290.45944,337.46872,340.70132,342.98697,320.54556,320.81537,-888.0,-888.0,320.54556,329.15027,325.0995,322.3899,321.88522,343.98184,374.44516,320.79602,320.78305,320.7358,309.63492,-888.0,323.84137,321.1881,322.29684,321.1599,297.87375,320.06055,320.35852,292.69092,320.75317,322.33838,320.25003,329.68378,300.73868,329.149,320.51312,320.56464,320.4949,310.4861,320.49396,322.3649,306.1437,-888.0,320.4949,320.77258,320.51044,321.98843,332.33386,320.74863,320.7358,316.057,314.89044,334.12128,331.0403,298.28864,366.02194,322.17923,320.7632,320.47034,321.40497,320.7358,318.98615,330.6065,320.63968,322.9765,320.51617,320.74863,347.71484,298.58893,301.98083,330.19662,324.52768,249.60045,320.71716,320.87906,296.42667,321.6503,321.1907,320.06055,322.0387,320.7358,303.2898,320.94812,320.74164,320.59525,320.21262,316.62646,298.0754,297.1663,295.9921,302.87085,295.74347,298.6161,299.74863,322.9136,323.34274,297.5683,293.22354,270.3089,270.3089,270.3089,307.44125,305.52206,270.72195,343.99655,320.66257,270.77817,271.72314,272.44757,320.56464,334.12128,255.78227,322.19342,312.24448,312.62808,320.54166,320.56464,297.57803,297.5385,304.5709,304.73575,320.6293,321.2404,306.53915,303.83017,301.77063,322.4163,320.78485,322.1572,321.9375,319.63412,331.91537,332.29645,324.68854,308.30875,272.44757,321.98398,321.40533,321.73288,356.6473,320.38754,308.94904,322.29684
6,1980-08-27,300.75235,308.95132,298.4263,319.7031,299.2848,299.72208,321.5854,321.7836,299.84763,326.61008,308.4724,337.88498,342.70206,338.06128,298.1416,313.26392,343.4727,291.15393,337.95236,341.00278,343.30756,320.71347,321.08545,-888.0,-888.0,320.71347,329.16898,325.35852,322.66837,322.14853,343.92947,372.72412,321.05875,321.0372,320.9803,309.68152,-888.0,323.99728,320.80307,322.4879,321.26843,298.06012,320.13675,320.4568,292.91663,320.97214,322.2672,320.34982,330.11328,300.78372,329.3891,320.6685,320.7506,320.6515,309.8888,320.67505,322.41956,306.6482,-888.0,320.6515,321.01675,320.6929,322.1904,332.4103,321.00153,320.9803,316.1167,315.1644,334.23807,331.27545,298.88226,363.50153,322.3601,320.9959,320.6435,321.61395,320.9803,319.00897,330.87744,320.7612,323.11066,320.69202,321.00153,347.64008,298.3409,301.822,330.43002,324.48706,249.20804,320.96262,321.1524,295.94614,321.8946,320.71506,320.13675,322.30325,320.9803,302.82806,321.13623,320.71875,320.78616,320.37683,317.05072,298.27673,297.31125,296.25348,302.31458,295.94168,298.79947,299.9023,322.82825,323.28107,297.792,293.28885,270.3902,270.3902,270.3902,306.9852,305.20795,270.81702,343.94473,320.87427,270.85864,271.8022,272.5513,320.7506,334.23807,255.55388,322.27774,311.65573,311.86127,320.66162,320.7506,297.78494,297.73682,303.158,303.57745,320.78668,321.44928,305.6322,302.7049,300.8599,322.49692,320.8831,322.4059,322.19986,319.82242,331.94437,332.46423,324.84097,308.42267,272.5513,322.13858,321.6661,321.9947,356.64536,320.5206,307.11835,322.4879
7,1980-09-03,300.2952,308.33066,298.27457,319.79898,298.91617,299.384,321.53464,321.81244,299.2729,326.74606,308.26117,338.0055,342.87915,338.31497,297.7421,313.31454,343.68427,290.90167,338.09216,341.1663,343.53107,320.75946,321.16705,-888.0,-888.0,320.75946,329.16818,325.4802,322.80087,322.27725,343.98352,368.9938,321.13562,321.10983,321.0456,309.70593,-888.0,323.9598,320.79654,322.6517,321.3666,298.18048,320.184,320.5016,292.95718,321.03217,322.29855,320.39597,330.38623,300.8105,329.49255,320.71323,320.79892,320.69702,309.59692,320.72183,322.46274,306.087,-888.0,320.69702,321.08527,320.7398,322.23413,332.47366,321.0696,321.0456,316.1679,315.08325,334.31335,331.3655,298.41705,360.93744,322.42285,321.0603,320.69046,321.67416,321.0456,318.93146,330.98172,320.8057,323.21323,320.73895,321.0696,346.6331,298.01556,301.70474,330.52515,324.4845,249.0382,321.02386,321.24713,295.50888,322.03577,320.7068,320.184,322.43906,321.0456,302.14764,321.19586,320.65405,320.83566,320.38248,317.25793,298.27106,297.43933,296.30444,302.26376,296.0119,298.73706,299.7264,322.8241,323.2906,297.7464,291.02832,270.354,270.354,270.354,306.71906,304.99084,270.82315,343.99887,320.92886,270.7083,271.75003,272.57697,320.79892,334.31335,255.54732,322.32407,311.3729,311.56665,320.7048,320.79892,297.71027,297.65247,302.5351,302.87943,320.82123,321.52258,304.89005,302.05923,300.3656,322.44952,320.86346,322.56,322.3151,319.83316,331.99008,332.53964,324.81177,307.89056,272.57697,322.20236,321.78143,322.11588,355.43094,320.65247,306.36877,322.6517
8,1980-09-10,299.51324,307.33487,297.61462,319.78296,298.03296,298.51077,321.2503,321.71182,298.1525,326.8201,307.9065,337.96735,342.95612,338.5288,296.98654,313.2051,343.83014,290.07925,338.09598,341.27298,343.69214,320.74423,321.20282,-888.0,-888.0,320.74423,329.06952,325.53482,322.87863,322.3572,344.03323,363.11414,321.1659,321.1349,321.06177,309.72205,-888.0,323.78625,320.511,322.78012,321.45953,298.26187,320.14478,320.46692,292.80237,321.04028,322.14624,320.3626,330.5209,300.83322,329.53433,320.69437,320.78815,320.6785,308.73984,320.70776,322.3768,305.29315,-888.0,320.6785,321.10504,320.72604,322.15945,332.4787,321.0895,321.06177,316.2175,314.8789,334.35046,331.41083,297.5929,358.88214,322.36887,321.07455,320.67596,321.62656,321.06177,318.59344,331.03412,320.7772,323.30084,320.72498,321.0895,345.51724,297.23834,300.98672,330.56702,324.28394,248.66145,321.03516,321.29675,294.5354,322.13257,320.35062,320.14478,322.52524,321.06177,300.9351,321.19525,320.33026,320.82736,320.2268,317.37775,297.90274,297.54504,296.14896,301.72293,295.73068,298.19437,298.83575,322.58615,323.08466,297.3346,289.7147,270.19427,270.19427,270.19427,305.9493,304.23306,270.74258,344.04938,320.92938,270.3119,271.55264,272.53662,320.78815,334.35046,255.43465,322.2603,310.53888,310.6694,320.67575,320.78815,297.24774,297.17722,301.12903,301.48392,320.80194,321.53665,303.529,300.7175,299.2155,322.2067,320.65433,322.66565,322.37866,319.68338,331.96207,332.578,324.66745,307.1699,272.53662,322.18094,321.85034,322.18872,354.13235,320.77335,304.76044,322.78012
9,1980-09-17,299.00208,307.1788,297.3662,319.67908,297.91937,298.40216,321.175,321.61053,297.9105,326.86264,307.61496,338.0963,343.02924,338.69604,296.52634,313.06573,343.92993,289.7734,338.21164,341.38217,343.8052,320.78418,321.2395,-888.0,-888.0,320.78418,328.99368,325.56558,322.91455,322.40332,344.01776,363.15997,321.20203,321.17075,321.09686,309.7384,-888.0,323.65536,320.58157,322.8745,321.56723,298.3159,320.1968,320.51468,292.64282,321.07642,322.17572,320.41122,330.56122,300.86072,329.56113,320.73547,320.82693,320.72,308.70712,320.7476,322.3962,304.8934,-888.0,320.72,321.14078,320.7657,322.05032,332.48514,321.1244,321.09686,316.2681,314.82693,334.35587,331.43607,297.15594,358.81335,322.26907,321.1104,320.7165,321.53934,321.09686,318.4845,331.0704,320.8203,323.3821,320.76492,321.1244,344.69113,297.12003,300.80157,330.5918,324.25323,248.74692,321.06937,321.33752,294.37396,322.19562,320.4246,320.1968,322.5731,321.09686,300.62814,321.2323,320.25836,320.86554,320.11487,317.4948,297.70776,297.6222,295.9866,301.72052,295.5762,297.962,298.53204,322.5726,323.07837,297.11813,288.6199,270.0944,270.0944,270.0944,305.8823,304.11877,270.66287,344.03378,320.9659,270.20355,271.4431,272.48523,320.82693,334.35587,255.49918,322.281,310.50998,310.66928,320.71948,320.82693,297.02216,296.94968,301.0482,301.32278,320.83795,321.57175,303.31128,300.5724,299.10553,322.10526,320.55707,322.72897,322.41516,319.55603,331.9465,332.59424,324.53726,306.9177,272.48523,322.20447,321.89676,322.233,353.22708,320.89178,304.73895,322.8745
