,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,319.628,330.5741,323.39633,322.57013,272.2166,341.07214,327.18503,285.07236,301.85883,304.6596,251.61397,320.49597,328.68283,325.90457,342.10474,329.412,323.01385,320.57816,320.78568,306.04092,274.2773,299.49277,292.44147,294.7988,296.79446,334.8412,-117904.17,11464.101,5593.8755,-80794.72,3100.0,1500.0,153401.5,2942.917,20683.27,127086.71,32005.06,7.3193054,8063.9727,64007.984,4844.3115
1,1980-07-23,319.7465,330.88446,323.62762,322.75366,272.22577,341.0074,327.1691,286.22147,300.41544,304.5581,251.35954,320.50717,330.32376,326.3262,343.87317,329.44638,323.01474,320.64996,321.0262,306.34186,274.27234,299.41696,292.43454,294.88937,296.7942,334.83813,-112465.61,16915.953,7523.4297,-78610.52,3100.0,1500.0,219869.64,2928.3489,21990.705,134043.0,37891.82,20.958801,7453.9893,63904.812,4973.339
2,1980-07-30,319.846,331.54416,324.15665,323.23587,272.25327,340.9647,327.13074,288.682,298.8065,304.6291,251.24348,320.5935,331.1646,326.86508,344.51202,329.73508,323.056,320.75006,321.3557,306.48273,274.26245,299.49704,292.42078,295.04828,296.8088,334.832,-114415.55,21319.633,7947.2793,-77188.64,3100.0,1500.0,220303.92,2902.0222,22683.475,140736.42,41367.973,17.48444,6838.6646,63884.598,5043.7817
3,1980-08-06,319.94055,331.91678,324.41223,323.48685,272.28156,341.05786,327.10907,290.04816,300.174,304.98035,251.496,320.7343,331.24527,327.13644,344.1454,330.1809,323.14996,320.85608,321.55148,306.67676,274.25763,300.04916,292.41397,295.16208,296.8475,334.8293,-124945.46,17439.938,6371.455,-80511.99,3100.0,1500.0,201437.45,2896.083,23147.645,146717.53,38601.707,18.325825,6510.355,64228.95,4789.4927
4,1980-08-13,320.09348,332.09198,324.49826,323.5961,272.3119,341.432,327.1692,291.00577,307.39117,305.85294,252.205,320.87073,331.08707,327.28937,343.64764,330.56647,323.27814,321.00262,321.75003,307.05905,274.2708,300.7734,292.43234,295.284,296.9047,334.8392,-130739.125,15070.307,4222.133,-84251.45,3100.0,1500.0,183505.06,2931.509,24237.488,150491.73,37756.14,42.994373,6188.6587,64465.004,4120.611
5,1980-08-20,320.56454,332.29642,324.6885,323.84137,272.44745,343.08936,327.59967,292.53937,343.78708,310.53967,255.47398,321.05585,331.22418,327.7299,343.4605,330.96448,323.47128,321.38358,322.42438,308.81335,274.3701,302.52438,292.57065,295.73788,297.03296,334.9093,-138889.66,10696.767,-6129.171,-102303.31,255.4448,255.4448,176345.05,3042.5847,29618.2,163125.9,40818.145,209.0633,5456.0576,64240.16,534.84546
6,1980-08-27,320.75055,332.4642,324.84094,323.99725,272.55115,344.27628,328.13754,293.5358,351.03552,308.51807,253.69888,321.27048,331.23718,327.72406,343.47055,331.20956,323.7272,321.6009,322.31836,307.77316,274.45834,302.05038,292.69424,295.98737,297.2103,334.97223,-138279.73,15796.497,-3435.6147,-93459.805,255.4448,255.4448,176654.81,3341.3735,25918.748,156162.77,38624.926,243.0394,5045.129,65929.86,3121.939
7,1980-09-03,320.79883,332.53964,324.81174,323.95978,272.5768,344.5463,328.382,293.65704,341.50504,307.7982,253.24072,321.38678,331.2435,327.75705,343.53714,331.3095,323.90424,321.68015,322.3077,307.7913,274.4982,301.73227,292.75092,296.03168,297.35596,335.0016,-145499.44,11356.716,-3647.4812,-95065.586,255.4448,255.4448,179292.72,3477.9258,25543.855,159694.25,34672.605,182.84305,5142.3364,66960.7,3567.7231
8,1980-09-10,320.78806,332.578,324.66742,323.78622,272.5365,344.38995,328.4847,293.4023,330.4878,306.15958,252.24402,321.4285,331.17984,327.65997,343.5804,331.3493,324.028,321.70105,322.04727,307.25546,274.51755,301.14172,292.77963,295.86072,297.46283,335.01672,-156682.0,2049.27,-2507.9285,-93806.08,255.4448,255.4448,181145.1,3541.1775,23328.062,163467.89,24935.25,115.33942,5156.5933,68156.49,4639.4795
9,1980-09-17,320.82684,332.5942,324.53723,323.65533,272.4851,344.23367,328.51913,293.16504,327.58707,306.2042,252.58412,321.39923,331.12027,327.6574,343.54993,331.40356,324.10046,321.73514,322.03238,307.4454,274.53485,301.65726,292.8065,295.69467,297.5151,335.03043,-158082.39,-1088.4215,-2825.5535,-94247.305,255.4448,255.4448,180119.27,3542.4314,23894.611,167090.78,23367.727,92.553375,5226.2314,68144.305,4194.157
10,1980-09-24,320.95474,332.6288,324.47894,323.5995,272.47998,344.5306,328.68286,293.06903,336.6806,307.2027,253.45882,321.38736,331.03845,327.70084,343.43903,331.48788,324.17758,321.83783,322.0817,307.73132,274.5799,302.6513,292.87332,295.6176,297.55664,335.06357,-163747.94,-6415.1675,-5890.1377,-98828.15,255.4448,255.4448,175939.81,3580.3486,24729.395,172179.88,20057.855,121.26767,5097.278,68055.4,3325.9893
11,1980-10-01,320.90253,332.58133,324.40097,323.53253,272.4582,344.48782,328.79282,292.3638,327.77573,305.52734,252.13506,321.36505,330.71252,327.52957,343.2739,331.47565,324.2439,321.82047,321.8952,306.95303,274.60114,302.16565,292.90863,295.4905,297.5716,335.08023,-155438.78,-171.60016,-1266.6755,-89421.766,3100.0,1500.0,171084.14,3623.6792,22593.879,163763.06,22464.463,95.208176,5486.9385,68112.85,4902.6025
12,1980-10-08,320.78867,332.44678,324.27502,323.41602,272.4243,344.0643,328.69046,291.18884,313.9813,304.3542,251.47801,321.31323,330.43903,327.36774,343.11127,331.35565,324.25247,321.7404,321.76624,306.6951,274.58878,301.56436,292.8986,295.3336,297.55014,335.07343,-150872.2,1935.1167,1353.8612,-85599.01,3100.0,1500.0,167692.14,3572.434,21967.629,159181.78,23450.691,33.153336,6101.1675,67741.27,5420.0117
13,1980-10-15,320.72705,332.2926,324.14392,323.28287,272.38498,343.6609,328.53958,290.21408,306.28326,303.8882,251.28725,321.25223,330.23798,327.22876,342.9443,331.21936,324.23422,321.68658,321.6392,306.56223,274.57175,301.17838,292.88336,295.14767,297.5136,335.06323,-152402.61,-1309.5063,1312.0652,-85493.39,3100.0,1500.0,164076.81,3488.63,21493.684,158881.11,20178.217,-0.9735184,6416.377,67466.05,5514.3447
14,1980-10-22,320.6705,332.11542,323.98734,323.13055,272.33698,343.32715,328.39285,289.3138,302.15396,303.59833,251.2383,321.1758,329.89993,327.0519,342.71875,331.07324,324.2034,321.63242,321.48938,306.37158,274.55487,300.9317,292.86957,294.93008,297.4596,335.05304,-152473.56,-3830.015,1081.0437,-84534.57,3100.0,1500.0,158688.22,3413.5723,20846.031,157247.89,17353.781,-11.172119,6690.2686,67025.44,5521.3057
