,date,ca12_0100,ca13_0101,ca13_0106,ca13_0107,ca13_0115,ca13_0116,ca13_0119,ca13_0122,ca13_0124,ca13_0127,f40_0114,f40_0122,f40_0185,f40_0186,f40_0188,f40_0192,f40_0199,f40_0228,f40_0263,f40_0277,f40_0396,g40_0005,g40_0006,g40_0008,g40_0013,g40_0014,g40_0016,g40_0019,g40_0023,g40_0024,g40_0026,g40_0032,g40_0033,g40_0035,g40_0036,g40_0038,g40_0039,g40_0041,g40_0046,g40_0048,g40_0052,g40_0054,g40_0101,g40_0102,g40_0108,g40_0117,g40_0120,g40_0122,g40_0127,g40_0128,g40_0129,g40_0130,g40_0131,g40_0132,g40_0138,g40_0139,g40_0140,g40_0144,g40_0146,g40_0147,g40_0158,g40_0160,g40_0162,g40_0163,g40_0165,g40_0167,g40_0170,g40_0173,g40_0178,g40_0181,g40_0182,g40_0183,g40_0184,g40_0186,g40_0195,g40_0198,g40_0200,g40_0203,g40_0204,g40_0205,g40_0208,g40_0210,g40_0214,g40_0218,g40_0219,g40_0226,g40_0227,g40_0230,g40_0236,g40_0242,g40_0249,g40_0253,g40_0257,g40_0261,g40_0264,g40_0271,g40_0272,g40_0274,g40_0275,g40_0277,g40_0280,g40_0290,g40_0293,g40_0294,g40_0295,g40_0296,g40_0298,g40_0306,g40_0308,g40_0309,g40_0310,g40_0311,g40_0325,g40_0327,g40_0330,g40_0332,g40_0334,g40_0338,g40_0339,g40_0340,g40_0345,g40_0352,g40_0357,g40_0358,g40_0366,g40_0367,g40_0368,g40_0371,g40_0373,g40_0381,g40_0382,g40_0385,g40_0387,g40_0388,g40_0389,g40_0395,g40_0396,g40_0400,g40_0401,g40_0403,g40_0404,g40_0405,g40_0406,g40_0407,g40_0408,g40_0409,g40_0412,g40_0413,g40_0415,g40_0416,g40_0417,g40_0422,g40_0424,g40_0430,g40_0434,g40_0435,g40_0441,g40_0442,g41_0119
0,2000-09-27,294.6471,-888.0,296.01703,318.02176,297.63303,298.08884,319.3421,319.88135,295.75143,323.73215,-888.0,326.83316,329.25107,326.41507,292.99796,306.74908,330.55316,286.54385,326.8737,327.1899,330.42197,316.17957,317.06024,-888.0,-888.0,316.17957,325.74615,322.59076,319.86752,319.1781,342.6521,359.13998,316.97485,316.8982,316.76132,307.31265,-888.0,321.7693,317.44006,320.06567,320.2417,296.134,315.79956,315.994,290.8343,316.64087,318.90543,315.91907,-888.0,299.13425,326.39017,316.1036,316.30035,316.12766,308.4302,316.2525,318.9026,300.33752,-888.0,316.12766,316.82117,316.2667,320.4232,329.38376,316.82513,316.76132,313.17004,-888.0,331.28152,328.26044,293.6442,358.32956,320.8825,316.73907,316.19128,319.82507,316.76132,317.075,327.7568,316.1988,320.9881,316.22644,316.82513,343.38464,297.15604,299.504,327.43625,321.59265,248.94908,316.7266,317.28397,293.31598,318.9351,317.52356,315.79956,319.43698,316.76132,297.47153,316.97287,318.5341,316.33698,318.4386,315.95096,296.06113,295.86273,294.15674,299.03644,292.9437,296.48862,297.36636,319.89734,320.24936,295.54047,-888.0,269.8352,269.8352,269.8352,304.35098,303.25754,270.27518,342.67453,316.50082,270.11014,271.13144,271.9817,316.30035,331.28152,254.65897,318.63263,310.1586,310.17688,316.08963,316.30035,295.5133,295.48178,299.13824,298.91983,315.7902,317.71146,300.26505,298.4787,297.90625,320.33292,318.83194,319.71957,319.1515,317.94226,328.61627,329.4746,322.60458,-888.0,271.9817,318.6563,318.34955,318.90387,353.13043,319.3853,302.32965,320.06567
1,1980-07-23,294.65857,-888.0,296.37863,318.0393,297.9185,298.38736,319.51773,319.9406,295.8064,323.7332,-888.0,326.82114,329.2381,326.41464,293.0703,306.7663,330.56244,286.5352,326.8647,327.18643,330.42526,316.1335,317.03604,-888.0,-888.0,316.1335,326.91284,322.59836,319.86136,319.16986,344.21347,348.7465,316.9505,316.87277,316.73242,307.31152,-888.0,321.9341,317.56802,320.06253,320.2391,296.1305,315.72058,315.92578,290.85764,316.60828,318.9472,315.8499,-888.0,299.13348,326.43182,316.05392,316.25882,316.0785,308.7449,316.2101,318.92227,300.26068,-888.0,316.0785,316.79404,316.22452,320.47122,330.17236,316.79678,316.73242,313.1531,-888.0,332.2173,328.3322,293.70145,358.50842,320.9214,316.70963,316.1471,319.86017,316.73242,317.23334,327.77567,316.13794,320.98233,316.1828,316.79678,343.3968,297.47882,299.9261,327.4977,321.8296,248.82806,316.69183,317.2662,293.51428,318.93036,317.6211,315.72058,319.4292,316.73242,297.38815,316.93433,318.715,316.29648,318.5147,315.92776,296.2766,295.8598,294.2299,299.17413,292.9337,296.81607,297.90982,320.04062,320.37988,295.77008,-888.0,269.8818,269.8818,269.8818,304.68008,303.64096,270.2923,344.24454,316.46518,270.2847,271.1909,271.99066,316.25882,332.2173,254.62988,318.64084,310.4495,310.43857,316.02866,316.25882,295.76932,295.74597,299.12625,298.83984,315.73892,317.68405,300.11523,298.45154,298.04193,320.50146,318.9398,319.7139,319.14026,318.01068,329.84293,329.78638,322.82617,-888.0,271.99066,318.65256,318.34018,318.89453,353.0368,319.37912,302.1818,320.06253
2,1980-07-30,294.67892,-888.0,296.72952,318.13168,298.16425,298.6492,319.8331,320.14764,295.91656,323.84592,-888.0,326.79022,329.21664,326.40994,293.1363,306.70633,330.56497,286.52997,326.83997,327.17615,330.42758,316.09024,316.9928,-888.0,-888.0,316.09024,327.553,322.7048,319.87814,319.1696,345.02502,343.24246,316.9075,316.8301,316.68762,307.3078,-888.0,322.3789,317.74625,320.05597,320.24152,296.12048,315.69016,315.89407,290.95486,316.5673,319.10934,315.81613,-888.0,299.13147,326.73035,316.01202,316.21274,316.03586,309.00757,316.16196,319.04517,300.2182,-888.0,316.03586,316.75183,316.17642,320.67078,330.82843,316.7513,316.68762,313.124,-888.0,332.9023,328.75476,293.7632,359.55444,321.085,316.66797,316.101,320.01678,316.68762,317.48303,328.0507,316.10788,320.97195,316.13693,316.7513,343.63513,297.73795,300.2265,327.86786,322.25397,248.92523,316.6432,317.22766,293.70483,318.92032,317.84067,315.69016,319.43143,316.68762,297.417,316.908,319.00806,316.25104,318.70825,315.88123,296.50687,295.85764,294.36774,299.3543,293.00537,297.11972,298.35828,320.3475,320.68054,296.0265,-888.0,269.96335,269.96335,269.96335,304.95438,303.9241,270.33643,345.0438,316.42014,270.47345,271.29062,272.018,316.21274,332.9023,254.61638,318.73764,310.70944,310.68726,315.99573,316.21274,296.04657,296.0288,299.25308,298.909,315.69763,317.67316,300.12552,298.55203,298.22806,320.8553,319.18115,319.71228,319.1478,318.1854,330.50693,330.44135,323.3162,-888.0,272.018,318.7089,318.3259,318.8912,353.08725,319.3806,302.2301,320.05597
3,1980-08-06,294.80087,-888.0,296.69498,318.2651,298.09064,298.57913,319.96347,320.32346,296.0629,324.03595,-888.0,326.77652,329.22443,326.40454,293.20804,306.71985,330.5707,286.66248,326.82483,327.17606,330.43365,316.1069,316.9816,-888.0,-888.0,316.1069,327.59103,322.8691,319.93744,319.20068,344.73453,342.726,316.89948,316.8255,316.68527,307.3053,-888.0,322.59625,317.9298,320.06216,320.276,296.117,315.7355,315.93658,291.0712,316.57443,319.2758,315.85474,-888.0,299.13147,327.06442,316.03247,316.22336,316.05505,308.92508,316.17114,319.19547,300.41348,-888.0,316.05505,316.75085,316.18564,320.85843,330.9976,316.74612,316.68527,313.09802,-888.0,333.0477,329.1616,293.85977,362.03262,321.25406,316.67078,316.1134,320.1846,316.68527,317.56934,328.45248,316.15103,320.96997,316.14932,316.74612,344.4111,297.6262,300.1766,328.2403,322.4586,248.95876,316.63943,317.21323,293.72626,318.9268,318.02457,315.7355,319.46603,316.68527,297.67334,316.9341,319.11285,316.26132,318.85068,315.85757,296.53778,295.86743,294.4601,299.4324,293.13873,297.1025,298.24643,320.52686,320.8713,296.0504,-888.0,269.98505,269.98505,269.98505,304.8626,303.82916,270.36932,344.75558,316.42606,270.41205,271.31354,272.04636,316.22336,333.0477,254.64705,318.87424,310.6481,310.65695,316.0347,316.22336,296.05762,296.03488,299.49402,299.18527,315.72052,317.7085,300.45068,298.78247,298.31076,321.0135,319.32178,319.73666,319.19373,318.3238,330.5373,330.78653,323.53162,-888.0,272.04636,318.8142,318.33652,318.91864,353.4682,319.41956,302.59552,320.06216
4,1980-08-13,295.28043,-888.0,296.7657,318.3803,298.21622,298.70224,320.07523,320.44327,296.56992,324.23865,-888.0,326.83572,329.31122,326.4113,293.58765,306.94894,330.6087,287.2227,326.86472,327.23,330.46445,316.21896,317.03897,-888.0,-888.0,316.21896,327.4266,323.04333,320.03006,319.26862,344.2394,346.5685,316.96292,316.89505,316.76202,307.31073,-888.0,322.6683,318.1885,320.09317,320.35165,296.14597,315.8886,316.08527,291.20316,316.66425,319.48047,315.99838,328.85162,299.13928,327.32654,316.15033,316.327,316.17123,309.03595,316.27432,319.3813,300.9996,-888.0,316.17123,316.82675,316.28885,320.97482,330.981,316.8182,316.76202,313.08157,-888.0,332.9895,329.42996,294.29474,365.10733,321.36575,316.75323,316.2202,320.308,316.76202,317.6712,328.7874,316.29794,320.99548,316.25604,316.8182,346.03537,297.68204,300.26236,328.50372,322.59058,249.08267,316.71805,317.25803,294.0101,318.96503,318.28473,315.8886,319.53586,316.76202,298.38873,317.0385,319.2247,316.36353,318.96655,315.9182,296.6154,295.89804,294.55707,299.65106,293.38675,297.1662,298.28348,320.6982,321.05032,296.1247,-888.0,270.0021,270.0021,270.0021,304.93948,303.88913,270.39484,344.26,316.51923,270.4134,271.33682,272.07666,316.327,332.9895,254.7438,319.05133,310.77374,310.83905,316.17743,316.327,296.13043,296.10675,300.15808,299.92328,315.84305,317.80566,301.28833,299.43597,298.70596,321.1069,319.4384,319.7933,319.27838,318.43686,330.40448,330.91827,323.577,-888.0,272.07666,318.96317,318.38953,318.98544,354.28043,319.50552,303.4931,320.09317
5,1980-08-20,297.69327,308.44073,297.4442,318.5773,299.51468,299.95697,320.546,320.69943,299.50317,324.5398,304.3835,327.14154,329.76306,326.48764,295.60754,307.93063,330.77853,290.0432,327.09863,327.5517,330.60745,316.74863,317.34653,-888.0,-888.0,316.74863,327.62796,323.3421,320.2351,319.45404,343.96664,371.1643,317.2918,317.2455,317.14514,307.3582,-888.0,322.88666,319.28326,320.1835,320.4645,296.28183,316.58292,316.75244,291.75214,317.08945,320.21927,316.65356,329.24307,299.18582,327.65152,316.70294,316.82635,316.71936,310.13483,316.77792,319.9895,303.859,-888.0,316.71936,317.1999,316.79205,321.168,331.16284,317.18475,317.14514,313.1058,-888.0,333.07288,329.69672,296.59256,365.96,321.5135,317.1506,316.73434,320.5265,317.14514,318.13977,329.12125,316.9378,321.1313,316.76978,317.18475,347.57733,298.48032,301.03616,328.79724,323.13327,249.60042,317.1161,317.51297,295.96017,319.09863,319.4493,316.58292,319.71216,317.14514,302.0767,317.48663,319.73303,316.85455,319.29227,316.38174,297.10074,296.00208,294.97018,300.90225,294.62277,297.7121,298.94894,321.3613,321.7029,296.63168,-888.0,270.15005,270.15005,270.15005,305.8099,304.6392,270.53506,343.98282,316.97,270.6093,271.53192,272.21198,316.82635,333.07288,255.26254,319.6249,311.90335,312.2668,316.81128,316.82635,296.67014,296.6533,303.95734,303.92902,316.40573,318.17825,305.4685,303.11575,301.30026,321.45798,319.8254,319.9318,319.5069,318.74594,330.5993,331.086,323.7442,306.82675,272.21198,319.4287,318.5876,319.18384,356.49905,319.6219,308.2525,320.1835
6,1980-08-27,298.79288,307.68848,297.5651,318.8258,299.07416,299.49097,320.53412,320.86945,299.0065,324.79938,305.31372,327.52646,330.1669,326.57455,296.55685,308.7319,331.03928,290.70782,327.4296,327.8286,330.81436,316.95535,317.64493,-888.0,-888.0,316.95535,327.63266,323.5821,320.48734,319.68793,343.91354,369.4437,317.58707,317.53574,317.43045,307.40146,-888.0,323.03226,318.83023,320.31717,320.56323,296.46912,316.6243,316.83966,291.96167,317.3526,320.10513,316.74078,329.64996,299.2286,327.87173,316.89203,317.05493,316.90866,309.52872,317.0024,320.01163,304.32892,-888.0,316.90866,317.48322,317.01804,321.35535,331.20874,317.47656,317.43045,313.13797,-888.0,333.1621,329.9066,297.3167,363.4463,321.67807,317.4251,316.9476,320.7213,317.43045,318.14767,329.37143,317.07056,321.2694,316.98624,317.47656,347.5167,298.23608,300.8704,329.00784,323.0637,249.20802,317.4044,317.8009,295.48727,319.29724,318.90982,316.6243,319.94348,317.43045,301.6156,317.7136,319.69223,317.08853,319.44394,316.8059,297.29767,296.13742,295.22568,300.302,294.76843,297.8918,299.1011,321.24313,321.60724,296.8508,-888.0,270.2313,270.2313,270.2313,305.34677,304.3221,270.6305,343.93027,317.22626,270.6852,271.609,272.31555,317.05493,333.1621,255.03632,319.68518,311.30243,311.48138,316.9414,317.05493,296.87155,296.84564,302.52533,302.74936,316.61703,318.4046,304.50455,301.9768,300.38696,321.5249,319.90933,320.13388,319.7505,318.9221,330.6006,331.22467,323.88657,-888.0,272.31555,319.56927,318.8307,319.4217,356.4797,319.74026,306.3676,320.31717
7,1980-09-03,298.31125,306.97678,297.38693,318.91098,298.69724,299.1437,320.47153,320.88507,298.39313,324.92206,305.08194,327.71695,330.3608,326.6442,296.15625,308.76587,331.24014,290.51642,327.62674,327.95468,330.98782,317.01505,317.73126,-888.0,-888.0,317.01505,327.65167,323.68555,320.601,319.8005,343.96716,365.71216,317.66943,317.6147,317.50293,307.4219,-888.0,322.9847,318.84055,320.4425,320.65015,296.60187,316.68146,316.8973,291.99176,317.42288,320.1284,316.79868,329.88788,299.252,327.95657,316.95154,317.11377,316.9674,309.2431,317.05817,320.0477,303.61682,-888.0,316.9674,317.559,317.07404,321.3869,331.26126,317.55112,317.50293,313.15985,-888.0,333.22382,329.97253,296.82285,360.88364,321.72925,317.49805,317.00476,320.76843,317.50293,318.0591,329.45657,317.1294,321.36218,317.044,317.55112,346.51065,297.90775,300.70612,329.0815,323.05133,249.03815,317.4723,317.89862,295.0341,319.42007,318.90164,316.68146,320.06125,317.50293,300.8676,317.78018,319.61627,317.14893,319.43625,317.01343,297.25516,296.25717,295.26584,300.27286,294.80502,297.77316,298.83328,321.22958,321.60693,296.77856,-888.0,270.19458,270.19458,270.19458,305.1198,304.10135,270.63678,343.98407,317.2906,270.53046,271.55386,272.34076,317.11377,333.22382,255.04373,319.727,311.0223,311.18808,317.0,317.11377,296.77472,296.74127,301.8623,301.99963,316.68158,318.47437,303.69113,301.28748,299.86948,321.46573,319.87665,320.26498,319.85,318.92062,330.64938,331.27798,323.8512,-888.0,272.34076,319.62146,318.93866,319.52917,355.2542,319.85657,305.56882,320.4425
8,1980-09-10,297.4332,-888.0,296.6659,318.88763,297.80124,298.24756,320.17087,320.7746,297.21762,324.9873,304.69104,327.82117,330.44446,326.714,295.33304,308.60638,331.3823,289.77463,327.74844,328.01837,331.12698,316.99524,317.7678,-888.0,-888.0,316.99524,327.54987,323.72885,320.6656,319.8704,344.01636,359.8244,317.70087,317.64108,317.5205,307.43344,-888.0,322.80594,318.51974,320.5446,320.73145,296.68817,316.6126,316.83908,291.8218,317.43185,319.94556,316.74268,329.9885,299.2701,327.98624,316.92612,317.1008,316.94226,308.3808,317.0422,319.9349,302.64383,-888.0,316.94226,317.58014,317.05847,321.3038,331.2549,317.5725,317.5205,313.1807,-888.0,333.24966,330.00256,295.91565,358.8318,321.66693,317.51352,316.987,320.7113,317.5205,317.7076,329.49356,317.08292,321.43292,317.0269,317.5725,345.39328,297.12714,299.84485,329.10974,322.8317,248.66139,317.48495,317.94803,294.03366,319.50494,318.50818,316.6126,320.13544,317.5205,299.5653,317.77994,319.2756,317.13873,319.26892,317.133,296.8307,296.3558,295.08447,299.6631,294.4953,297.1578,297.84708,320.96616,321.37494,296.31998,-888.0,270.03406,270.03406,270.03406,304.3095,303.26413,270.55634,344.03406,317.2911,270.12973,271.35358,272.29984,317.1008,333.24966,254.93379,319.63998,310.18335,310.283,316.95334,317.1008,296.26154,296.21127,300.4015,300.54037,316.66107,318.48688,302.2393,299.89,298.6849,321.212,319.65402,320.35458,319.90414,318.7608,330.6122,331.30283,323.70425,-888.0,272.29984,319.58325,319.00385,319.59412,353.8925,319.96347,303.89783,320.5446
9,1980-09-17,296.78897,-888.0,296.37387,318.77512,297.6755,298.1213,320.08606,320.6622,296.926,325.02078,304.34796,327.88388,330.50064,326.79056,294.7704,308.4375,331.47827,289.42395,327.8249,328.07626,331.23663,317.03284,317.79404,-888.0,-888.0,317.03284,327.4726,323.74765,320.68637,319.90417,344.0004,359.86356,317.727,317.66745,317.54645,307.44485,-888.0,322.66653,318.59753,320.62253,320.82782,296.7453,316.67465,316.89456,291.63837,317.4612,319.96716,316.79822,329.99966,299.29193,328.00214,316.96652,317.1343,316.98236,308.34863,317.07574,319.944,302.18228,-888.0,316.98236,317.6071,317.09183,321.18524,331.2541,317.59766,317.54645,313.20447,-888.0,333.24695,330.0159,295.375,358.76437,321.56094,317.54144,317.02274,320.61325,317.54645,317.58984,329.51938,317.13077,321.49094,317.06223,317.59766,344.56546,297.00354,299.57715,329.12308,322.79248,248.7469,317.50946,317.97845,293.84714,319.55795,318.58307,316.67465,320.1706,317.54645,299.19183,317.80954,319.19458,317.1716,319.14523,317.24973,296.5937,296.4265,294.8902,299.64087,294.31607,296.8792,297.49164,320.94412,321.35986,296.06354,-888.0,269.93268,269.93268,269.93268,304.23593,303.07373,270.47598,344.01804,317.32074,270.0192,271.24084,272.2473,317.1343,333.24695,255.00307,319.65027,310.15616,310.2852,317.00247,317.1343,295.9948,295.9411,300.28326,300.3362,316.70084,318.5103,301.98517,299.70425,298.54675,321.1015,319.54562,320.40576,319.9265,318.62228,330.59235,331.30878,323.56732,-888.0,272.2473,319.59283,319.04047,319.62643,352.94342,320.0713,303.85114,320.62253
