,datetime,lake,total_rch,dryland_rch,irr_rch,hill_maungawera,hill_flat_west,hill_flat_east,hill_terrace_east,hill_south_east,hill_total
0,2000-09-27,342.76166,0.0003794184929164609,0.00030177027358829485,0.0004443539263355894,1081.1698,375.45,1867.4805,3926.3242,3437.6719,10688.097
1,1980-07-23,345.78125,0.00022176767917482656,0.00021093713166456303,0.00023082501883860232,1306.6415,277.88635,2418.9497,4691.46,4412.703,13107.641
2,1980-07-30,345.26096,0.00017021498523326806,0.00016462934569436833,0.00017488612808135527,2120.213,725.56854,3540.8235,6659.68,5709.1333,18755.418
3,1980-08-06,344.5469,0.0004053826455772626,0.0003756703891016719,0.0004302303274532586,4013.0674,1766.9266,6082.585,11138.346,8612.346,31613.271
4,1980-08-13,343.95557,0.0009442590938113071,0.0008602868288058425,0.0010144831822771997,4002.6025,2145.578,5433.199,9930.647,6447.8647,27959.893
5,1980-08-20,343.86014,0.004000229038996399,0.0035958653559592596,0.004338389157079659,1226.135,919.6013,1226.1351,2452.27,613.0675,6437.209
6,1980-08-27,344.01926,0.0013341688710434665,0.0012105075661922027,0.001437583997586919,1226.135,919.6013,1226.1351,2452.27,613.0675,6437.209
7,1980-09-03,344.13278,0.0013785168732053708,0.0012460089978100326,0.0014893301847621137,1226.135,919.6013,1226.1351,2452.27,613.0675,6437.209
8,1980-09-10,344.18906,0.0005501771261782093,0.0005227158238983622,0.0005731423864407958,1226.135,919.6013,1226.1351,2452.27,613.0675,6437.209
9,1980-09-17,344.1039,0.001083190814720525,0.0010011476384692566,0.001151801650294929,5067.643,2630.346,7023.0615,12754.735,8605.072,36080.86
10,1980-09-24,343.90503,0.0017955003501413228,0.00163970236521596,0.0019257906486760507,4056.932,1886.9392,5982.692,10946.762,8141.928,31015.252
11,1980-10-01,343.75168,0.00033778687678471934,0.0003326578961882546,0.00034207612618301545,2214.3464,781.734,3670.6702,6889.8975,5864.55,19421.2
12,1980-10-08,343.61526,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,1861.1761,579.213,3189.7766,6042.3257,5306.3745,16978.867
13,1980-10-15,343.44653,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,1615.0859,436.54645,2851.2402,5444.803,4919.7944,15267.471
14,1980-10-22,343.16962,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,1677.5997,479.8721,2937.8955,5603.233,5019.833,15718.433
15,1980-10-29,342.9317,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,2819.3088,1112.9235,4474.7686,8309.023,6782.8057,23498.828
16,1980-11-05,342.88724,0.00023870520593782671,9.051039356032442e-05,0.0003626371448214568,4328.514,1938.9668,6506.431,11887.201,9092.182,33753.297
17,1980-11-12,342.79538,0.00015713037464395064,9.051039356032442e-05,0.00021284314415072252,3423.2417,1445.2444,5290.9673,9741.679,7715.143,27616.275
18,1980-11-19,342.7035,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,1847.2091,573.9441,3170.519,6010.7573,5286.147,16888.576
19,1980-11-26,342.90628,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,1536.8153,400.85568,2744.0916,5261.671,4797.6577,14741.092
20,1980-12-03,343.19357,6.7606316105655e-05,9.051039356032442e-05,4.845215894076185e-05,835.45087,71.473305,1692.8887,3532.9233,3532.4927,9665.229
21,1980-12-10,343.43207,7.419701409353008e-05,9.051039356032442e-05,6.055450721603768e-05,442.2185,0.0,1034.3646,2582.3843,2660.3325,6719.3
