name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4777.7715,18.260052,1438.9762,8504.589,0.0,0.0,77.06712,1081.1698
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,114223.54,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,11435.957,1631.3204,4484.366,15251.537,1894.4105,2240.9023,1178.2632,2905.9722
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,32761.61,3119.7043,36.521347,16.384804,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,173263.03,26465.953,810592500.0,119968670.0,2831828500.0,9008876000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,475.25262,122161.87,21335.111,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,117115.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11770.635,0.0,0.0,31277.414,0.0,42.28486,65.47703,0.0
FROM_main_terrace,0,0,0.0,877.5383,0.0,256.87796,0.0,6506.3154,67443.32,6216.84,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1680.8359,0.0,44.87542,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.3345642,1768.6315,12.8659315,0.0,933.272,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,75.25336,437.52277,0.0,7517.397,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3696.5613,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,322740.56,143914.31,810757400.0,120052050.0,2831837000.0,9008952000.0,8470.92,3987.142
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.3066,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,332.75635,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,121723.27,1628.5533,6695.7905,74587.07,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,117115.65,11770.635,877.5383,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,475.25262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,122161.87,0.0,0.0,256.87796,0.0,3.3345642,75.25336,3696.5613
TO_main_terrace,0,0,0.0,21335.111,0.0,31277.414,0.0,1680.8359,1768.6315,437.52277,0.0
