,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2002-07-06 12:00:00,318.31482,326.80148,321.59604,320.85956,272.23822,345.37036,329.34656,292.26416,302.27316,304.7768,251.62921,319.14734,325.08423,323.08838,338.731,326.00415,320.87457,319.01816,318.98294,305.52893,274.28912,299.49228,292.44968,294.88763,296.75604,334.8023,-75105.69,13450.817,4691.958,-81557.64,3100.0,1500.0,86460.85,3696.5623,18476.207,82193.06,31760.104,-5.2717514,5666.807,64571.57,4822.028
1,2001-01-10 00:00:00,318.31543,327.2231,321.80853,320.98563,272.23822,345.37036,329.34656,292.26416,302.27316,304.77853,251.62921,319.15018,326.67615,323.52832,340.01947,326.03055,320.87518,319.0202,319.07755,305.54773,274.28912,299.49228,292.44968,294.88763,296.75604,334.8023,-77363.836,13321.591,4691.7256,-81557.66,3100.0,1500.0,146211.2,3696.5024,18517.893,90421.38,31760.688,-5.271782,5666.813,64571.58,4822.0254
2,2001-01-17 00:00:00,318.32242,327.91833,322.17194,321.29584,272.23822,345.37036,329.34656,292.26416,302.27316,304.78723,251.62921,319.1874,327.35513,323.97958,341.3022,326.28952,320.89005,319.03827,319.25824,305.59467,274.28912,299.49228,292.44968,294.88782,296.75607,334.8023,-82464.82,13037.755,4689.6377,-81557.79,3100.0,1500.0,158065.17,3696.197,18640.703,97569.07,31762.201,-5.2732162,5666.9746,64571.746,4822.0254
3,2001-01-24 00:00:00,318.33832,328.46396,322.429,321.53406,272.23822,345.37036,329.3466,292.26422,302.27316,304.79764,251.62921,319.2571,327.80615,324.33527,341.7868,326.71964,320.93234,319.07193,319.43256,305.64557,274.28912,299.49228,292.44968,294.88828,296.75626,334.8023,-87103.97,12752.269,4685.1094,-81558.055,3100.0,1500.0,162652.33,3695.909,18786.152,102901.305,31763.184,-5.2782516,5667.4126,64572.426,4822.026
4,2001-01-31 00:00:00,318.36322,328.91434,322.6278,321.72366,272.23822,345.37036,329.34662,292.26437,302.27316,304.8083,251.62921,319.34158,328.15112,324.63773,342.0632,327.16922,321.00125,319.11798,319.5991,305.69824,274.28912,299.49228,292.44968,294.88916,296.75674,334.8023,-91273.32,12473.128,4679.4214,-81558.99,3100.0,1500.0,165630.67,3695.694,18945.867,107496.97,31763.129,-5.28846,5668.177,64573.914,4822.0273
5,2001-02-07 00:00:00,318.39667,329.29562,322.7926,321.88403,272.23822,345.37036,329.3467,292.26468,302.27316,304.81885,251.62921,319.43146,328.43115,324.9012,342.26538,327.57745,321.09207,319.17426,319.75705,305.75146,274.28912,299.49228,292.44968,294.89056,296.75763,334.8023,-95085.15,12203.788,4671.409,-81560.84,3100.0,1500.0,167780.23,3695.5393,19114.922,111607.17,31761.746,-5.30542,5669.282,64576.508,4822.0273
6,2001-02-14 00:00:00,318.43793,329.6218,322.93417,322.02405,272.23822,345.37036,329.3468,292.2652,302.2732,304.82907,251.62921,319.52255,328.66492,325.13272,342.42682,327.9308,321.19943,319.23877,319.90546,305.80432,274.28912,299.49228,292.44968,294.89252,296.759,334.8023,-98590.18,11946.871,4662.7007,-81563.875,3100.0,1500.0,169567.31,3695.4294,19289.51,115304.51,31758.879,-5.3297577,5670.72,64580.395,4822.0273
7,2001-02-21 00:00:00,318.4859,329.90738,323.06052,322.14944,272.23822,345.37036,329.34692,292.266,302.2733,304.8389,251.62921,319.6129,328.88223,325.33945,342.55646,328.25217,321.3184,319.30978,320.04492,305.85654,274.28912,299.4923,292.44968,294.89502,296.76093,334.8023,-101842.8,11702.372,4652.1387,-81568.45,3100.0,1500.0,171064.27,3695.3616,19471.12,118715.984,31754.455,-5.362274,5672.4673,64585.727,4822.0283
8,2001-02-28 00:00:00,318.53955,330.1573,323.17764,322.2653,272.23825,345.37036,329.34705,292.26706,302.2734,304.84836,251.62921,319.70166,329.0863,325.5277,342.65588,328.54117,321.44473,319.38577,320.1766,305.908,274.28912,299.49237,292.44968,294.89807,296.7634,334.8023,-104904.695,11468.831,4640.298,-81574.33,3100.0,1500.0,172152.89,3695.309,19659.371,121894.16,31748.47,-5.402977,5674.4985,64592.59,4822.0283
9,2001-03-07 00:00:00,318.59818,330.37503,323.28308,322.3715,272.23828,345.37036,329.3472,292.2685,302.2736,304.85748,251.62921,319.78854,329.2523,325.6958,342.7253,328.7977,321.57538,319.4656,320.30002,305.9584,274.28912,299.49243,292.44968,294.9017,296.76645,334.8023,-107758.88,11247.401,4627.0615,-81582.03,3100.0,1500.0,172486.8,3695.2705,19849.172,124768.016,31740.94,-5.451767,5676.788,64601.05,4822.0283
