name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4777.7715,18.260052,1438.9762,8504.589,0.0,0.0,77.06712,1081.1698
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,84066.96,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,11435.957,1631.3204,4484.366,15251.537,1894.4105,2240.9023,1178.2632,2905.9722
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,33593.195,3119.7043,36.521347,16.451206,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,173263.03,26465.953,807040500.0,119909820.0,2831764000.0,9008588000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,453.4979,93901.61,19319.598,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,86914.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11708.551,0.0,0.0,31976.264,0.0,42.23446,67.838715,0.0
FROM_main_terrace,0,0,0.0,843.38965,0.0,216.15947,0.0,6502.867,66314.77,6110.0244,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1680.8392,0.0,44.786354,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.332854,1743.2031,12.870448,0.0,915.54614,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,73.110466,443.21722,0.0,7391.663,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3696.5623,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,292443.06,113735.99,807177860.0,119991860.0,2831772400.0,9008664000.0,8348.739,3987.142
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.3066,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,355.62744,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,93612.31,1605.8436,6692.387,73375.875,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,86914.35,11708.551,843.38965,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,453.4979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,93901.61,0.0,0.0,216.15947,0.0,3.332854,73.110466,3696.5623
TO_main_terrace,0,0,0.0,19319.598,0.0,31976.264,0.0,1680.8392,1743.2031,443.21722,0.0
