name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4777.7715,18.260052,1438.9762,8504.589,0.0,0.0,77.06712,1081.1698
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,47119.582,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,11435.957,1631.3204,4484.366,15251.537,1894.4105,2240.9023,1178.2632,2905.9722
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,34667.47,3119.7043,36.55455,16.53421,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,173263.03,26465.953,802638700.0,119837064.0,2831693800.0,9008251000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,423.47153,58913.44,17129.852,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,49687.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11764.301,0.0,0.0,32732.836,0.0,42.179436,70.39875,0.0
FROM_main_terrace,0,0,0.0,806.72784,0.0,172.04355,0.0,6499.0776,65086.117,5993.9614,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1680.8486,0.0,44.688107,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.3309865,1715.7466,12.875429,0.0,896.3031,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,70.785904,449.3926,0.0,7255.069,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3696.561,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,255235.06,76758.586,802742200.0,119917640.0,2831702300.0,9008326000.0,8215.993,3987.142
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.3066,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,605.3237,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,58836.637,1580.7104,6688.7017,72057.12,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,49687.26,11764.301,806.72784,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,423.47153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,58913.44,0.0,0.0,172.04355,0.0,3.3309865,70.785904,3696.561
TO_main_terrace,0,0,0.0,17129.852,0.0,32732.836,0.0,1680.8486,1715.7466,449.3926,0.0
