,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2002-07-06 12:00:00,316.75443,323.99164,320.42554,319.7606,272.16565,345.3686,329.34363,292.03735,302.20712,304.66562,251.62743,318.2612,322.779,321.10168,336.1952,-888.0,319.20013,317.48654,317.67847,304.8133,274.2812,299.21652,292.19296,294.6122,296.3906,334.6863,-46845.035,15764.201,5407.5464,-80369.36,3100.0,1500.0,53983.566,3696.5635,16577.639,51614.363,32466.297,-0.964592,5559.016,63512.477,4818.6875
1,2001-01-10 00:00:00,316.7548,324.4178,320.5754,319.8447,272.16565,345.3686,329.34363,292.03735,302.20712,304.66672,251.62743,318.26297,323.70474,321.43002,336.75525,-888.0,319.20035,317.48764,317.7403,304.82568,274.2812,299.21652,292.19296,294.6122,296.3906,334.6863,-48297.65,15683.535,5407.315,-80369.34,3100.0,1500.0,89832.7,3696.5237,16602.223,56567.195,32466.668,-0.96461487,5559.022,63512.49,4818.6787
2,2001-01-17 00:00:00,316.75867,324.90585,320.78445,320.0257,272.16565,345.3686,329.34363,292.03735,302.20712,304.6717,251.62743,318.2846,324.064,321.71185,337.88977,-888.0,319.20627,317.49738,317.84604,304.85342,274.2812,299.21652,292.19296,294.6123,296.39062,334.6863,-51178.953,15525.161,5406.0376,-80369.375,3100.0,1500.0,94117.92,3696.3486,16665.445,60374.766,32467.523,-0.96546936,5559.1206,63512.59,4818.6777
3,2001-01-24 00:00:00,316.76703,325.28284,320.92963,320.1577,272.16565,345.3686,329.34363,292.03738,302.20712,304.67737,251.62743,318.32376,324.32388,321.9329,338.47253,-888.0,319.2251,317.5153,317.94565,304.88248,274.2812,299.21652,292.19296,294.61258,296.39072,334.6863,-53703.543,15370.788,5403.716,-80369.68,3100.0,1500.0,96811.57,3696.1965,16736.107,63259.547,32468.037,-0.9683304,5559.368,63512.977,4818.6787
4,2001-01-31 00:00:00,316.7799,325.60956,321.04712,320.26636,272.16565,345.3686,329.34366,292.03748,302.20712,304.68314,251.62743,318.37042,324.54358,322.13013,338.8218,-888.0,319.25778,317.53967,318.04294,304.91275,274.2812,299.21652,292.19296,294.61307,296.391,334.6863,-56025.93,15217.529,5400.0015,-80370.08,3100.0,1500.0,99404.664,3696.0845,16812.852,65892.625,32467.996,-0.9740906,5559.79,63513.816,4818.6787
5,2001-02-07 00:00:00,316.79727,325.8988,321.1509,320.36346,272.16565,345.3686,329.34372,292.03766,302.20712,304.68896,251.62743,318.42047,324.7401,322.31046,339.0688,-888.0,319.30295,317.56973,318.1386,304.94403,274.2812,299.21652,292.19296,294.61386,296.39148,334.6863,-58234.85,15065.115,5396.1685,-80371.21,3100.0,1500.0,101316.76,3695.999,16894.953,68380.28,32467.27,-0.9833374,5560.3936,63515.24,4818.6787
6,2001-02-14 00:00:00,316.81888,326.15588,321.24405,320.45218,272.16568,345.3686,329.34375,292.03793,302.20712,304.6948,251.62743,318.47223,324.9138,322.4755,339.25876,-888.0,319.35892,317.6047,318.23172,304.97583,274.2812,299.21652,292.19296,294.6149,296.3922,334.6863,-60341.69,14915.24,5391.178,-80372.875,3100.0,1500.0,103099.34,3695.9326,16981.242,70704.305,32465.777,-0.9967346,5561.1733,63517.36,4818.6787
7,2001-02-21 00:00:00,316.84457,326.38712,321.3306,320.53455,272.16568,345.3686,329.34384,292.03836,302.20715,304.70056,251.62743,318.52475,325.07535,322.62833,339.40735,325.20627,319.42374,317.64398,318.32205,305.00778,274.2812,299.21652,292.19296,294.61627,296.39325,334.6863,-62360.836,14768.324,5385.49,-80375.26,3100.0,1500.0,104713.87,3695.8806,17070.785,72918.85,32463.48,-1.0142822,5562.119,63520.26,4818.679
8,2001-02-28 00:00:00,316.87405,326.59418,321.41183,320.6125,272.16568,345.3686,329.3439,292.03897,302.20724,304.70624,251.62743,318.5775,325.2327,322.77133,339.5206,325.4041,319.4956,317.68692,318.4096,305.03976,274.2812,299.21655,292.19296,294.61795,296.39456,334.6863,-64305.62,14624.871,5379.105,-80378.44,3100.0,1500.0,106084.72,3695.8389,17162.988,75056.125,32460.371,-1.0362854,5563.217,63523.977,4818.679
9,2001-03-07 00:00:00,316.9069,326.7759,321.48813,320.686,272.16568,345.3686,329.344,292.03973,302.20734,304.7118,251.62743,318.63028,325.36502,322.89978,339.60147,325.58664,319.5728,317.73285,318.49307,305.0714,274.2812,299.21658,292.19296,294.61993,296.39618,334.6863,-66161.95,14486.376,5371.6772,-80382.64,3100.0,1500.0,106752.62,3695.8064,17257.898,77003.22,32456.459,-1.0627213,5564.4487,63528.535,4818.679
