name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4777.7715,18.260052,1438.9762,8504.589,0.0,0.0,77.06712,1081.1698
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,116561.49,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,11435.957,1631.3204,4484.366,15251.537,1894.4105,2240.9023,1178.2632,2905.9722
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,32696.588,3119.7043,36.521347,16.351604,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,173263.03,26465.953,810867500.0,119973220.0,2831833000.0,9008897000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,476.6435,124351.51,21494.309,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,119455.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11778.806,0.0,0.0,31222.168,0.0,42.288826,65.289665,0.0
FROM_main_terrace,0,0,0.0,880.22723,0.0,260.10468,0.0,6506.5986,67532.42,6225.2744,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1680.831,0.0,44.88252,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.334699,1770.6438,12.865572,0.0,934.6728,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,75.42315,437.07114,0.0,7527.3296,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3696.5676,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,325090.84,146253.67,811034500.0,120056696.0,2831841500.0,9008974000.0,8480.567,3987.142
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.3066,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,332.7202,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,123898.27,1630.3462,6695.9897,74682.77,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,119455.03,11778.806,880.22723,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,476.6435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,124351.51,0.0,0.0,260.10468,0.0,3.334699,75.42315,3696.5676
TO_main_terrace,0,0,0.0,21494.309,0.0,31222.168,0.0,1680.831,1770.6438,437.07114,0.0
