,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2002-07-06 12:00:00,319.4038,328.72223,322.5267,321.74557,272.3042,345.37186,329.34903,292.4711,302.33362,304.87115,251.63084,319.8661,326.94302,324.5713,340.23648,327.76086,322.12674,320.1345,320.00055,306.11877,274.29633,299.7394,292.68045,295.13876,297.08844,334.8993,-98074.55,11542.268,4037.4355,-82647.01,3100.0,1500.0,113081.75,3696.5625,20220.547,107069.61,31109.082,-9.235474,5765.8535,65542.79,4825.0635
1,2001-01-10 00:00:00,319.404,328.82425,322.5849,321.78076,272.3042,345.37186,329.34903,292.4711,302.33362,304.8716,251.63083,319.86688,327.41925,324.68774,340.66663,327.76718,322.12698,320.1351,320.0266,306.12384,274.29633,299.7394,292.68045,295.13876,297.08844,334.8993,-98714.14,11505.818,4037.3198,-82646.98,3100.0,1500.0,132348.62,3696.5457,20232.52,109455.84,31109.244,-9.235458,5765.8584,65542.79,4825.0674
2,2001-01-17 00:00:00,319.40628,329.05405,322.70813,321.88425,272.3042,345.37186,329.34903,292.4711,302.33362,304.87445,251.63083,319.8786,327.70947,324.84946,341.13794,327.84406,322.13248,320.14105,320.08795,306.1393,274.29633,299.7394,292.68045,295.13882,297.08844,334.8993,-100452.984,11407.502,4036.855,-82646.98,3100.0,1500.0,139568.9,3696.446,20275.72,112204.71,31109.758,-9.2359085,5765.9087,65542.84,4825.0674
3,2001-01-24 00:00:00,319.41196,329.27576,322.81992,321.9822,272.3042,345.37186,329.34906,292.47113,302.33362,304.8784,251.63083,319.90277,327.98666,325.0069,341.41376,327.98386,322.1483,320.15317,320.15753,306.15878,274.29633,299.7394,292.68045,295.13898,297.0885,334.8993,-102329.22,11292.115,4035.2314,-82647.05,3100.0,1500.0,144663.44,3696.3315,20334.918,114813.11,31110.197,-9.237587,5766.056,65543.07,4825.0684
4,2001-01-31 00:00:00,319.42154,329.48853,322.9245,322.0769,272.3042,345.37186,329.34906,292.47116,302.33362,304.88293,251.63083,319.93546,328.2217,325.1586,341.62576,328.1531,322.17508,320.17114,320.2323,306.18124,274.29633,299.7394,292.68045,295.1393,297.08868,334.8993,-104277.48,11165.733,4032.9072,-82647.375,3100.0,1500.0,148785.97,3696.2253,20407.266,117299.7,31110.336,-9.241241,5766.3374,65543.59,4825.069
5,2001-02-07 00:00:00,319.43515,329.6882,323.02185,322.16672,272.3042,345.37186,329.3491,292.47128,302.33362,304.8879,251.63083,319.9739,328.4269,325.3025,341.80316,328.33167,322.212,320.19452,320.3092,306.20578,274.29633,299.7394,292.68045,295.13983,297.08902,334.8993,-106237.4,11033.545,4029.7727,-82648.11,3100.0,1500.0,151993.56,3696.1328,20489.799,119661.516,31109.998,-9.24765,5766.7734,65544.56,4825.0684
6,2001-02-14 00:00:00,319.45276,329.87653,323.1111,322.25092,272.3042,345.37186,329.34912,292.47147,302.33362,304.89307,251.63083,320.0161,328.60428,325.43826,341.9532,328.50955,322.25763,320.22272,320.38647,306.23178,274.29633,299.7394,292.68045,295.14062,297.08954,334.8993,-108159.516,10899.087,4025.9417,-82649.31,3100.0,1500.0,154467.36,3696.0554,20580.148,121893.766,31109.045,-9.257545,5767.3755,65546.09,4825.0693
7,2001-02-21 00:00:00,319.47412,330.052,323.192,322.3288,272.3042,345.37186,329.34918,292.4718,302.33362,304.8983,251.63083,320.0607,328.75574,325.56506,342.0763,328.68185,322.31042,320.25513,320.46265,306.2586,274.29633,299.7394,292.68045,295.1417,297.09033,334.8993,-110016.62,10765.015,4021.297,-82651.1,3100.0,1500.0,156405.12,3695.9924,20676.348,123976.84,31107.367,-9.271263,5768.1465,65548.31,4825.0693
8,2001-02-28 00:00:00,319.49905,330.21167,323.26477,322.4001,272.3042,345.37186,329.34924,292.47223,302.33368,304.9035,251.63083,320.1065,328.8823,325.68073,342.17157,328.84528,322.36877,320.29114,320.53622,306.2858,274.29633,299.73944,292.68045,295.14304,297.0914,334.8993,-111787.234,10633.979,4015.1453,-82653.53,3100.0,1500.0,157661.72,3695.9421,20776.475,125884.91,31104.914,-9.289177,5769.0845,65551.27,4825.0693
9,2001-03-07 00:00:00,319.52725,330.35367,323.32904,322.46426,272.3042,345.37186,329.3493,292.47284,302.33374,304.90857,251.63083,320.15265,328.98444,325.78406,342.2382,328.9972,322.43134,320.33014,320.60608,306.31287,274.29633,299.73947,292.68045,295.1447,297.09277,334.8993,-113443.414,10508.247,4009.2217,-82656.805,3100.0,1500.0,158167.11,3695.9045,20878.715,127595.984,31101.615,-9.311562,5770.1836,65555.06,4825.0693
10,2001-03-14 00:00:00,319.5582,330.47446,323.38388,322.52026,272.30423,345.37186,329.3494,292.47363,302.33386,304.91345,251.63083,320.19812,329.06174,325.8732,342.2752,329.13416,322.49634,320.37134,320.67065,306.33926,274.29633,299.7395,292.68045,295.14667,297.09448,334.8993,-114948.63,10390.519,4002.0264,-82661.164,3100.0,1500.0,158001.02,3695.8794,20980.78,129082.56,31097.459,-9.338562,5771.429,65559.73,4825.0703
11,2001-03-21 00:00:00,319.59146,330.5718,323.429,322.5675,272.30426,345.37186,329.34946,292.4746,302.334,304.918,251.63083,320.24207,329.11447,325.94678,342.28238,329.25342,322.56235,320.41394,320.72885,306.36447,274.29633,299.7396,292.68045,295.14896,297.09647,334.8993,-116284.52,10282.937,3994.131,-82666.1,3100.0,1500.0,157213.03,3695.8665,21080.803,130320.92,31092.445,-9.369995,5772.809,65565.266,4825.0703
12,2001-03-28 00:00:00,319.6264,330.64557,323.4639,322.6055,272.3043,345.37186,329.34955,292.4758,302.3342,304.92215,251.63083,320.28363,329.1405,326.00394,342.25995,329.35342,322.62775,320.45712,320.7796,306.38806,274.29633,299.7397,292.68045,295.1515,297.09882,334.8993,-117428.625,10187.313,3985.7732,-82672.28,3100.0,1500.0,155784.12,3695.8662,21176.75,131284.31,31086.598,-9.405762,5774.301,65571.664,4825.0703
13,2001-04-04 00:00:00,319.66248,330.69507,323.48788,322.63345,272.30432,345.37186,329.34964,292.47717,302.3344,304.92584,251.63083,320.32208,329.14133,326.04398,342.20856,329.43338,322.69122,320.50015,320.82205,306.40964,274.29633,299.73984,292.68048,295.1543,297.10144,334.8993,-118360.69,10105.648,3977.0667,-82679.16,3100.0,1500.0,153769.78,3695.8772,21267.576,131964.58,31079.959,-9.445541,5775.889,65578.92,4825.0703
14,2001-04-11 00:00:00,319.699,330.71976,323.5007,322.65112,272.3044,345.37186,329.3497,292.47873,302.3347,304.92902,251.63083,320.35675,329.115,326.0662,342.1291,329.49274,322.7514,320.54218,320.8555,306.42886,274.29633,299.74002,292.68048,295.15732,297.10434,334.8993,-119066.414,10039.244,3967.8967,-82687.14,3100.0,1500.0,151160.98,3695.8997,21350.7,132343.52,31072.586,-9.489159,5777.5483,65586.96,4825.0703
15,2001-04-18 00:00:00,319.73538,330.7189,323.50162,322.65778,272.30447,345.37186,329.3498,292.4805,302.33502,304.93158,251.63083,320.38696,329.05933,326.06964,342.02307,329.5304,322.80704,320.58237,320.8792,306.44528,274.29633,299.74026,292.68048,295.16055,297.1075,334.8993,-119526.984,9989.604,3958.607,-82695.79,3100.0,1500.0,147953.98,3695.9326,21424.582,132399.5,31064.559,-9.535934,5779.256,65595.734,4825.0703
16,2001-04-25 00:00:00,319.7709,330.69183,323.48947,322.6525,272.3046,345.37186,329.34985,292.48242,302.3354,304.93347,251.63083,320.41208,328.97018,326.05304,341.89212,329.54572,322.857,320.62003,320.8923,306.4586,274.29633,299.74057,292.68048,295.16394,297.1109,334.8993,-119721.61,9958.232,3948.9717,-82705.27,3100.0,1500.0,144124.23,3695.9766,21487.285,132104.06,31055.969,-9.585487,5780.9834,65605.15,4825.0703
17,2001-05-02 00:00:00,319.80487,330.6384,323.4627,322.6341,272.30472,345.37186,329.34995,292.4845,302.33582,304.93463,251.63083,320.43143,328.84158,326.01508,341.7387,329.53818,322.9002,320.65433,320.89395,306.4683,274.29633,299.74094,292.6805,295.16742,297.1145,334.8993,-119624.58,9946.965,3939.4517,-82715.44,3100.0,1500.0,139710.38,3696.0315,21536.992,131422.28,31046.926,-9.637131,5782.706,65615.1,4825.0713
18,2001-05-09 00:00:00,319.83658,330.55927,323.41937,322.60117,272.30484,345.37186,329.35,292.48672,302.33627,304.93503,251.63083,320.44434,328.67056,325.95535,341.56476,329.50717,322.93567,320.68448,320.88345,306.4741,274.29633,299.74136,292.68054,295.17096,297.1182,334.8993,-119212.055,9956.962,3930.0493,-82726.21,3100.0,1500.0,134886.23,3696.0972,21572.162,130332.67,31037.555,-9.690086,5784.3936,65625.45,4825.0713
19,2001-05-16 00:00:00,319.86545,330.4555,323.3604,322.55402,272.30502,345.37186,329.35004,292.48904,302.3368,304.9346,251.63083,320.4502,328.46686,325.87534,341.37274,329.4532,322.96268,320.7099,320.86096,306.47583,274.29633,299.74188,292.68057,295.17453,297.12204,334.8993,-118486.836,9988.298,3920.9937,-82737.2,3100.0,1500.0,129630.12,3696.1729,21591.91,128884.85,31027.957,-9.743782,5786.019,65636.086,4825.0713
20,2001-05-23 00:00:00,319.89087,330.32562,323.28912,322.49472,272.3052,345.37186,329.3501,292.49146,302.33734,304.93335,251.63083,320.4487,328.24945,325.77658,341.1656,329.37613,322.98053,320.73004,320.82703,306.47348,274.29633,299.74246,292.68063,295.17804,297.1259,334.8993,-117475.95,10040.358,3912.4026,-82748.65,3100.0,1500.0,124096.63,3696.2563,21595.746,127151.58,31018.29,-9.797531,5787.5557,65646.89,4825.0713
21,2001-05-30 00:00:00,319.91238,330.17322,323.21573,322.43018,272.30545,345.37186,329.35013,292.49393,302.33795,304.9314,251.63083,320.44,328.07513,325.67,340.94586,329.2761,322.98886,320.74454,320.7848,306.4676,274.29633,299.74313,292.6807,295.18146,297.12976,334.8993,-116287.01,10108.032,3904.276,-82760.22,3100.0,1500.0,119349.445,3696.3428,21584.764,125417.27,31008.709,-9.850342,5788.9746,65657.695,4825.0713
22,2001-06-06 00:00:00,319.92966,330.00403,323.1408,322.36356,272.3057,345.37186,329.35013,292.4964,302.3386,304.92886,251.63084,320.4252,327.87485,325.55286,340.7164,329.15585,322.98782,320.75348,320.73523,306.45853,274.29633,299.7439,292.6808,295.18472,297.13354,334.8993,-114965.875,10189.044,3896.9624,-82771.805,3100.0,1500.0,114502.305,3696.427,21560.258,123497.69,30999.375,-9.901703,5790.256,65668.36,4825.0713
23,2001-06-13 00:00:00,319.9425,329.81934,323.05518,322.28824,272.30597,345.37186,329.35016,292.4989,302.33923,304.92575,251.63084,320.4048,327.6351,325.41998,340.48035,329.01984,322.97772,320.7567,320.67664,306.44592,274.29633,299.74472,292.6809,295.18784,297.13724,334.8993,-113435.414,10286.05,3890.3433,-82783.3,3100.0,1500.0,109434.125,3696.511,21521.338,121259.18,30990.408,-9.95089,5791.382,65678.734,4825.0713
24,2001-06-20 00:00:00,319.95062,329.6169,322.95734,322.20218,272.30624,345.37186,329.35016,292.50134,302.3399,304.922,251.63084,320.37842,327.36942,325.27164,340.24094,328.86893,322.95862,320.754,320.60873,306.4296,274.29633,299.74564,292.68103,295.19067,297.14078,334.8993,-111666.23,10399.552,3884.8877,-82794.45,3100.0,1500.0,104142.234,3696.5974,21467.533,118750.58,30981.918,-9.996956,5792.3335,65688.67,4825.0713
25,2001-06-27 00:00:00,319.95383,329.40097,322.84998,322.10703,272.30655,345.37186,329.35013,292.5037,302.34058,304.9176,251.63084,320.3458,327.09424,325.11096,340.00302,328.70355,322.9305,320.7452,320.53238,306.40967,274.29633,299.7466,292.6812,295.19324,297.1441,334.8993,-109685.29,10528.473,3879.664,-82805.11,3100.0,1500.0,98859.266,3696.687,21399.14,116059.44,30974.03,-10.039261,5793.0947,65698.04,4825.0713
26,2001-07-04 00:00:00,319.95193,329.17398,322.73883,322.00687,272.3069,345.37186,329.3501,292.50595,302.34128,304.91266,251.63084,320.3071,326.82953,324.943,339.7696,328.52576,322.89368,320.73035,320.4496,306.3866,274.29633,299.74768,292.6814,295.1955,297.14716,334.8993,-107560.055,10669.237,3876.0664,-82815.4,3100.0,1500.0,93793.68,3696.776,21317.5,113308.69,30966.867,-10.077354,5793.652,65706.71,4825.0713
27,2001-07-11 00:00:00,319.94495,328.93854,322.62485,321.90363,272.30722,345.3719,329.35007,292.50806,302.34195,304.90723,251.63084,320.26303,326.55695,324.76865,339.54242,328.3376,322.84854,320.70963,320.36136,306.3607,274.29633,299.74878,292.6816,295.1974,297.1499,334.8993,-105324.25,10819.958,3873.6306,-82824.69,3100.0,1500.0,89049.125,3696.8616,21223.86,110464.32,30960.545,-10.11055,5793.993,65714.555,4825.0713
28,2001-07-18 00:00:00,319.93295,328.6998,322.5115,321.7997,272.3076,345.3719,329.35,292.51,302.3426,304.90146,251.63084,320.2143,326.31873,324.5961,339.32523,328.14145,322.7958,320.68332,320.27014,306.3325,274.29633,299.74997,292.6819,295.1989,297.15234,334.8993,-103033.89,10976.907,3872.3503,-82833.086,3100.0,1500.0,85128.414,3696.942,21120.04,107715.68,30955.178,-10.138298,5794.112,65721.44,4825.0713
