name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4777.7715,18.260052,1438.9762,8504.589,0.0,0.0,77.06712,1081.1698
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,110664.82,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,11435.957,1631.3204,4484.366,15251.537,1894.4105,2240.9023,1178.2632,2905.9722
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,32860.285,3119.7043,36.521347,16.401405,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,173263.03,26465.953,810173950.0,119961730.0,2831820800.0,9008841000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,472.92532,118826.45,21094.016,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,113554.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11756.841,0.0,0.0,31361.074,0.0,42.278843,65.760765,0.0
FROM_main_terrace,0,0,0.0,873.46875,0.0,251.9924,0.0,6505.904,67308.375,6204.0605,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1680.8403,0.0,44.864956,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.33436,1765.5862,12.866463,0.0,931.1507,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,74.99624,438.2068,0.0,7502.3564,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3696.5625,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,319161.75,140353.27,810335600.0,120044940.0,2831829200.0,9008918000.0,8456.302,3987.142
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.3066,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,332.78467,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,118411.23,1625.8308,6695.392,74442.37,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,113554.67,11756.841,873.46875,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,472.92532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,118826.45,0.0,0.0,251.9924,0.0,3.33436,74.99624,3696.5625
TO_main_terrace,0,0,0.0,21094.016,0.0,31361.074,0.0,1680.8403,1765.5862,438.2068,0.0
