name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4777.7715,18.260052,1438.9762,8504.589,0.0,0.0,77.06712,1081.1698
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,90483.79,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,11435.957,1631.3204,4484.366,15251.537,1894.4105,2240.9023,1178.2632,2905.9722
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,33418.562,3119.7043,36.521347,16.451206,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,173263.03,26465.953,807798300.0,119922370.0,2831777000.0,9008646000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,458.21606,99922.74,19734.271,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,93356.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11700.242,0.0,0.0,31832.7,0.0,42.244846,67.354065,0.0
FROM_main_terrace,0,0,0.0,850.2954,0.0,224.51857,0.0,6503.582,66547.234,6131.9956,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1680.8419,0.0,44.80481,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.3332064,1748.4128,12.869512,0.0,919.19135,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,73.550545,442.04816,0.0,7417.5273,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3696.5615,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,298883.6,120157.54,807941570.0,120004680.0,2831785500.0,9008722000.0,8373.871,3987.142
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.3066,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,335.2832,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,99620.73,1610.5582,6693.101,73625.19,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,93356.28,11700.242,850.2954,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,458.21606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,99922.74,0.0,0.0,224.51857,0.0,3.3332064,73.550545,3696.5615
TO_main_terrace,0,0,0.0,19734.271,0.0,31832.7,0.0,1680.8419,1748.4128,442.04816,0.0
