name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4777.7715,18.260052,1438.9762,8504.589,0.0,0.0,77.06712,1081.1698
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,100209.05,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,11435.957,1631.3204,4484.366,15251.537,1894.4105,2240.9023,1178.2632,2905.9722
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,33150.242,3119.7043,36.521347,16.418007,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,173263.03,26465.953,808943300.0,119941380.0,2831798800.0,9008741000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,465.30426,109027.73,20386.799,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,103091.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11718.755,0.0,0.0,31606.463,0.0,42.261173,66.59127,0.0
FROM_main_terrace,0,0,0.0,861.4894,0.0,237.68234,0.0,6504.705,66912.52,6166.5796,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1680.8346,0.0,44.833576,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.3337605,1756.6503,12.868053,0.0,924.92944,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,74.24313,440.2087,0.0,7458.2344,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3696.5608,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,308648.2,129889.88,809095500.0,120024120.0,2831807200.0,9008817000.0,8413.431,3987.142
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.3066,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,332.73438,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,108679.234,1617.8958,6694.1636,74017.6,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,103091.17,11718.755,861.4894,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,465.30426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,109027.73,0.0,0.0,237.68234,0.0,3.3337605,74.24313,3696.5608
