,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,320.73047,331.03766,323.72653,322.90732,272.39096,345.00967,329.17215,292.74854,302.41364,304.9771,251.63103,320.81683,329.31265,326.42502,342.12738,329.9284,323.69656,321.50702,321.31113,306.8695,274.30444,300.06476,292.98352,295.46814,297.5261,335.0263,-128545.086,8997.533,3229.6682,-84081.266,3100.0,1500.0,149602.22,3630.4268,22560.836,140062.25,30218.117,-14.605484,5894.9424,66825.28,4832.02
1,1980-07-23,320.7325,331.29135,323.91177,323.05676,272.40027,344.94232,329.15155,292.91196,300.94055,304.86102,251.37558,320.82593,330.6062,326.72507,343.893,329.94348,323.69485,321.51508,321.45917,306.91446,274.29947,299.99054,292.9766,295.53754,297.5255,335.0233,-121780.63,15587.643,4691.726,-81868.16,3100.0,1500.0,217897.78,3615.4316,22957.533,142597.78,35548.477,0.68227386,5948.744,66664.38,5023.187
2,1980-07-30,320.7342,331.88248,324.37097,323.47357,272.42798,344.8573,329.10248,293.18427,299.2742,304.91617,251.25923,320.89752,331.35318,327.19727,344.52692,330.18167,323.71378,321.5414,321.7353,307.01685,274.28958,300.06763,292.9628,295.65918,297.53613,335.01715,-122429.945,19846.293,5267.7744,-80339.05,3100.0,1500.0,218215.06,3587.185,23422.842,148020.11,38983.586,-1.6272736,6029.8643,66504.28,5091.4883
3,1980-08-06,320.73926,332.201,324.5933,323.68854,272.45618,344.8931,329.0802,293.2535,300.62527,305.25305,251.51125,321.0185,331.3787,327.40146,344.159,330.5623,323.77426,321.56277,321.86124,307.1249,274.28473,300.60596,292.95602,295.73636,297.56586,335.01447,-131749.84,16443.643,3814.4226,-83542.66,3100.0,1500.0,199563.69,3577.4077,23559.822,152166.48,36460.32,0.44590378,6029.5474,66732.07,4834.224
4,1980-08-13,320.8319,332.3385,324.65213,323.76892,272.4863,345.2137,329.16956,293.29532,307.97498,306.11255,252.21909,321.1325,331.23102,327.53653,343.66022,330.88797,323.8609,321.6592,322.03864,307.50214,274.29794,301.31442,292.9744,295.82874,297.6105,335.02435,-136868.3,14011.255,1763.3162,-87159.96,3100.0,1500.0,181926.94,3608.9004,24708.055,155898.64,35736.6,27.545181,5960.97,66859.92,4166.2695
5,1980-08-20,321.26553,332.51715,324.83362,324.0033,272.62143,346.79327,329.7454,294.33572,344.56586,310.77557,255.48506,321.29932,331.36676,327.9543,343.47186,331.24466,324.01675,322.01202,322.69543,309.22202,274.39722,303.039,293.1127,296.25482,297.72482,335.09445,-144625.34,9383.293,-8550.027,-105137.516,255.4448,255.4448,174825.03,3706.6565,30145.816,168396.22,38696.652,190.53934,5266.2715,66547.05,579.261
6,1980-08-27,321.42203,332.66626,324.97797,324.1497,272.72424,347.8487,330.41455,295.2583,352.05634,308.77066,253.71056,321.4986,331.38284,327.9419,343.48077,331.4657,324.23923,322.2014,322.58008,308.19754,274.48547,302.5734,293.2363,296.48102,297.88748,335.15738,-143732.48,14469.723,-5763.827,-96209.97,255.4448,255.4448,175186.69,4079.4937,26449.31,161380.77,36582.35,216.07397,4786.987,68177.234,3164.5508
7,1980-09-03,321.44122,332.72498,324.94067,324.1022,272.74872,348.01443,330.65662,295.50534,342.46936,308.06494,253.25314,321.60135,331.37964,327.953,343.54645,331.54196,324.384,322.24313,322.53598,308.1926,274.52533,302.25824,293.29294,296.507,298.01715,335.18674,-150456.4,10152.056,-5929.607,-97733.63,255.4448,255.4448,177970.25,4266.326,25986.363,164195.0,32735.078,158.73167,4754.961,69156.46,3600.9873
8,1980-09-10,321.41498,332.75146,324.79086,323.92255,272.7068,347.81653,330.7191,295.4329,331.3468,306.44763,252.25728,321.62994,331.33545,327.85443,343.58905,331.56403,324.47668,322.2445,322.28854,307.6848,274.54468,301.6745,293.3217,296.3312,298.10794,335.20184,-161625.7,1040.02,-4484.1543,-96422.67,255.4448,255.4448,179723.42,4362.806,23927.895,168513.05,23569.787,91.85422,4717.4233,70320.69,4672.896
9,1980-09-17,321.44583,332.76248,324.66144,323.7916,272.6539,347.66772,330.72632,295.25534,328.33615,306.5023,252.5972,321.5914,331.28598,327.85257,343.55814,331.6027,324.52563,322.27066,322.26767,307.87106,274.562,302.17938,293.34857,296.1614,298.14642,335.21558,-162939.52,-2119.058,-4732.587,-96806.94,255.4448,255.4448,178744.2,4358.6216,24545.27,172141.5,22108.146,73.342224,4781.462,70278.74,4226.6514
