,date,ca12_0100,ca13_0101,ca13_0106,ca13_0107,ca13_0115,ca13_0116,ca13_0119,ca13_0122,ca13_0124,ca13_0127,f40_0114,f40_0122,f40_0185,f40_0186,f40_0188,f40_0192,f40_0199,f40_0228,f40_0263,f40_0277,f40_0396,g40_0005,g40_0006,g40_0008,g40_0013,g40_0014,g40_0016,g40_0019,g40_0023,g40_0024,g40_0026,g40_0032,g40_0033,g40_0035,g40_0036,g40_0038,g40_0039,g40_0041,g40_0046,g40_0048,g40_0052,g40_0054,g40_0101,g40_0102,g40_0108,g40_0117,g40_0120,g40_0122,g40_0127,g40_0128,g40_0129,g40_0130,g40_0131,g40_0132,g40_0138,g40_0139,g40_0140,g40_0144,g40_0146,g40_0147,g40_0158,g40_0160,g40_0162,g40_0163,g40_0165,g40_0167,g40_0170,g40_0173,g40_0178,g40_0181,g40_0182,g40_0183,g40_0184,g40_0186,g40_0195,g40_0198,g40_0200,g40_0203,g40_0204,g40_0205,g40_0208,g40_0210,g40_0214,g40_0218,g40_0219,g40_0226,g40_0227,g40_0230,g40_0236,g40_0242,g40_0249,g40_0253,g40_0257,g40_0261,g40_0264,g40_0271,g40_0272,g40_0274,g40_0275,g40_0277,g40_0280,g40_0290,g40_0293,g40_0294,g40_0295,g40_0296,g40_0298,g40_0306,g40_0308,g40_0309,g40_0310,g40_0311,g40_0325,g40_0327,g40_0330,g40_0332,g40_0334,g40_0338,g40_0339,g40_0340,g40_0345,g40_0352,g40_0357,g40_0358,g40_0366,g40_0367,g40_0368,g40_0371,g40_0373,g40_0381,g40_0382,g40_0385,g40_0387,g40_0388,g40_0389,g40_0395,g40_0396,g40_0400,g40_0401,g40_0403,g40_0404,g40_0405,g40_0406,g40_0407,g40_0408,g40_0409,g40_0412,g40_0413,g40_0415,g40_0416,g40_0417,g40_0422,g40_0424,g40_0430,g40_0434,g40_0435,g40_0441,g40_0442,g41_0119
0,2000-09-27,297.1973,-888.0,297.2474,319.1773,297.8137,298.33295,320.6797,321.07095,296.71033,326.08298,306.3027,337.3731,343.58475,338.96576,295.0255,311.96228,344.72043,287.0055,337.58478,342.00958,344.62888,320.89355,321.40826,-888.0,-888.0,320.89355,327.61005,324.9094,322.71167,322.3539,342.67432,362.34012,321.3575,321.31384,321.2328,310.3435,-888.0,322.9799,320.08612,322.94806,321.2689,297.86084,320.26288,320.57892,292.0993,321.18808,321.68964,320.4867,329.40463,301.14163,328.386,320.84082,320.94308,320.82788,308.80756,320.87088,321.99493,303.0565,-888.0,320.82788,321.2724,320.8873,321.50934,330.97577,321.26846,321.2328,317.2065,313.61322,332.76382,330.08102,295.65128,358.43814,321.77536,321.23166,320.83774,320.99872,321.2328,318.172,329.75198,320.87338,323.6827,320.8819,321.26846,343.61472,297.25296,300.87787,329.31598,323.40515,248.94905,321.20865,321.52692,293.8217,322.28268,319.841,320.26288,322.49524,321.2328,298.89212,321.27628,319.83994,320.98077,319.65112,313.4899,297.45444,297.28986,295.54413,301.44424,294.4358,297.83014,298.6362,321.913,322.38657,296.8658,293.7992,270.0081,270.0081,270.0081,306.13983,304.34433,270.42975,342.69467,321.085,270.3433,271.38208,272.2285,320.94308,332.76382,254.63852,321.94775,310.5333,310.57248,320.78772,320.94308,296.799,296.7392,299.79456,299.7824,320.95514,321.5639,301.47488,299.23322,298.37845,321.55933,320.08752,322.68338,322.31244,319.11203,330.33514,331.1291,323.7999,-888.0,272.2285,321.95926,321.95975,322.21027,353.31873,320.49832,303.05035,322.94806
1,1980-07-23,297.23178,-888.0,297.58463,319.19684,298.11804,298.64575,320.84503,321.12973,296.81717,326.0879,306.28653,337.349,343.57675,338.96365,295.1104,311.94818,344.71664,286.99878,337.56467,342.00357,344.62564,320.86658,321.39163,-888.0,-888.0,320.86658,328.51993,324.92078,322.70862,322.34747,344.2336,352.05347,321.34122,321.29712,321.21393,310.34238,-888.0,323.12448,320.13684,322.94565,321.26627,297.85944,320.2225,320.54434,292.13217,321.1677,321.7311,320.45074,329.39948,301.14084,328.42462,320.81244,320.9178,320.79938,309.13193,320.84454,322.01743,303.03375,-888.0,320.79938,321.2548,320.8611,321.5577,331.57834,321.24973,321.21393,317.1898,313.58792,333.50415,330.1409,295.7312,358.61694,321.81757,321.2128,320.81076,321.0345,321.21393,318.32956,329.77097,320.8429,323.68103,320.8554,321.24973,343.62692,297.58954,301.1974,329.36923,323.60107,248.82803,321.18552,321.51447,294.03613,322.27826,319.9251,320.2225,322.48953,321.21393,298.91272,321.25217,320.0135,320.95618,319.72714,313.48083,297.64456,297.28903,295.61722,301.58502,294.45456,298.1192,299.1238,322.0437,322.5042,297.0796,293.78778,270.0554,270.0554,270.0554,306.46136,304.68048,270.44745,344.26257,321.06287,270.51727,271.44568,272.23837,320.9178,333.50415,254.61412,321.96033,310.83902,310.85364,320.7566,320.9178,297.0377,296.98404,299.8892,299.82587,320.92807,321.54523,301.46692,299.31305,298.5729,321.71918,320.19254,322.67923,322.30463,319.1817,331.30728,331.3722,323.97916,-888.0,272.23837,321.96017,321.95166,322.20273,353.24463,320.49225,303.04974,322.94565
2,1980-07-30,297.2934,-888.0,297.9031,319.29083,298.3696,298.9051,321.13913,321.3234,296.96283,326.197,306.27478,337.3194,343.5596,338.95547,295.2062,311.9285,344.70627,286.99615,337.53656,341.99023,344.61612,320.84763,321.36743,-888.0,-888.0,320.84763,329.20602,325.02518,322.7324,322.35434,345.0425,346.71738,321.318,321.275,321.19092,310.33865,-888.0,323.53064,320.2906,322.94336,321.26913,297.85608,320.21173,320.53366,292.2291,321.1494,321.87027,320.43835,329.38925,301.13892,328.68872,320.79474,320.89597,320.78085,309.39615,320.82065,322.1202,303.04388,-888.0,320.78085,321.2338,320.83734,321.7448,332.20895,321.2256,321.19092,317.16193,313.56082,334.1471,330.5025,295.828,359.65933,321.9733,321.19308,320.7887,321.18253,321.19092,318.5694,330.0118,320.835,323.6759,320.8338,321.2256,343.86377,297.85413,301.44888,329.69138,323.9875,248.92519,321.15952,321.49197,294.2422,322.27393,320.12018,320.21173,322.49884,321.19092,299.00217,321.2456,320.28882,320.93497,319.91092,313.46005,297.84662,297.29123,295.74545,301.74295,294.53442,298.3826,299.51443,322.32108,322.77338,297.31198,293.80316,270.13824,270.13824,270.13824,306.71786,304.9415,270.49316,345.0597,321.04132,270.70663,271.5488,272.26782,320.89597,334.1471,254.60315,322.04083,311.10153,311.10565,320.74606,320.89597,297.28836,297.2373,300.05103,299.9482,320.91342,321.547,301.5457,299.45688,298.77695,322.04926,320.41898,322.6842,322.31888,319.35046,331.9631,331.95166,324.4268,-888.0,272.26782,322.01028,321.94644,322.20697,353.30884,320.4946,303.15573,322.94336
3,1980-08-06,297.4153,-888.0,297.8713,319.42133,298.2956,298.83374,321.26376,321.49002,297.099,326.37228,306.33673,337.37506,343.5632,338.9483,295.284,311.9551,344.70773,287.12875,337.5793,341.99008,344.61502,320.874,321.3732,-888.0,-888.0,320.874,329.30792,325.1788,322.7948,322.3925,344.75247,346.26584,321.32663,321.2866,321.20444,310.3362,-888.0,323.74802,320.44562,322.95874,321.30484,297.8607,320.25027,320.5716,292.33646,321.17056,322.01105,320.47443,329.41168,301.1391,328.987,320.8231,320.91864,320.80835,309.3106,320.8421,322.24414,303.2096,-888.0,320.80835,321.2485,320.8589,321.9235,332.39862,321.23676,321.20444,317.13837,313.6232,334.3,330.86487,295.9238,362.1313,322.1358,321.21094,320.812,321.3418,321.20444,318.65063,330.3647,320.8745,323.67453,320.85745,321.23676,344.63388,297.73782,301.42178,330.02393,324.18707,248.95872,321.17188,321.4943,294.26434,322.29077,320.28006,320.25027,322.54022,321.20444,299.22427,321.28122,320.38754,320.95752,320.04578,313.45816,297.88278,297.3051,295.8299,301.8081,294.65808,298.37988,299.43097,322.4863,322.94775,297.33517,293.9009,270.16086,270.16086,270.16086,306.62704,304.8543,270.52756,344.77185,321.0611,270.64752,271.57217,272.29785,320.91864,334.3,254.63472,322.1518,311.03546,311.07037,320.7831,320.91864,297.29874,297.24335,300.26025,300.18814,320.94397,321.5885,301.82175,299.65753,298.84793,322.20294,320.5519,322.71725,322.3684,319.48227,332.06348,332.2731,324.6508,-888.0,272.29785,322.09888,321.9686,322.24203,353.67242,320.5356,303.47403,322.95874
4,1980-08-13,297.8134,-888.0,297.93405,319.5317,298.4198,298.95197,321.36902,321.60596,297.542,326.55368,306.5624,337.59933,343.6376,338.96704,295.61053,312.0969,344.7659,287.68494,337.7742,342.0362,344.6604,320.96506,321.43195,-888.0,-888.0,320.96506,329.19775,325.3364,322.8845,322.46344,344.25818,350.03964,321.38956,321.35373,321.2764,310.34174,-888.0,323.82755,320.6586,323.00006,321.3815,297.89514,320.35498,320.6748,292.45328,321.25055,322.1795,320.57626,329.54285,301.1473,329.22162,320.9163,321.0062,320.90103,309.41074,320.9299,322.3945,303.6842,-888.0,320.90103,321.31995,320.94672,322.0379,332.4016,321.30563,321.2764,317.12564,313.8547,334.26312,331.11215,296.2887,365.1987,322.2471,321.28656,320.90103,321.46088,321.2764,318.7446,330.66028,320.97702,323.69208,320.94662,321.30563,346.24783,297.78278,301.4947,330.26318,324.3131,249.08263,321.24506,321.54443,294.52655,322.3392,320.50015,320.35498,322.61267,321.2764,299.81012,321.373,320.49048,321.04416,320.15518,313.5257,297.9528,297.3376,295.91638,301.98074,294.8751,298.43753,299.4641,322.63824,323.10553,297.40164,294.12476,270.17838,270.17838,270.17838,306.68427,304.90103,270.5539,344.27707,321.1429,270.6493,271.59296,272.3288,321.0062,334.26312,254.7302,322.2937,311.14764,311.2344,320.88425,321.0062,297.36343,297.30698,300.82523,300.8067,321.03735,321.67914,302.5047,300.2104,299.19534,322.29642,320.66174,322.7798,322.45105,319.58887,331.97443,332.4058,324.70917,-888.0,272.3288,322.22266,322.02945,322.31204,354.4757,320.62344,304.23407,323.00006
5,1980-08-20,299.87918,309.1619,298.53195,319.72165,299.5907,300.07648,321.78906,321.84967,300.14346,326.81686,307.74686,338.51675,344.0213,339.09406,297.3894,312.83374,345.00015,290.48477,338.5656,342.3048,344.8637,321.35608,321.68942,-888.0,-888.0,321.35608,329.3491,325.59958,323.07507,322.64832,343.98544,374.08444,321.6613,321.64008,321.5852,310.38922,-888.0,324.0446,321.53873,323.0977,321.495,298.02145,320.8021,321.1121,292.9238,321.58392,322.7651,321.01093,329.98505,301.1944,329.50778,321.316,321.386,321.30045,310.44623,321.31668,322.86984,306.06384,-888.0,321.30045,321.62152,321.333,322.22833,332.55914,321.6036,321.5852,317.15506,314.95535,334.33334,331.35425,298.27588,366.046,322.39755,321.6036,321.2904,321.67123,321.5852,319.1673,330.95087,321.4001,323.8006,321.33475,321.6036,347.77798,298.52625,302.096,330.52576,324.78122,249.60039,321.5646,321.76605,296.34012,322.48273,321.46356,320.8021,322.7874,321.5852,302.94388,321.73135,320.94046,321.41766,320.45486,313.92596,298.3471,297.43283,296.26974,302.95557,295.9259,298.8671,299.9672,323.19232,323.64633,297.83463,295.0783,270.32385,270.32385,270.32385,307.4068,305.52615,270.6921,343.99988,321.49332,270.84256,271.76935,272.46063,321.386,334.33334,255.23593,322.7398,312.1991,312.55743,321.3079,321.386,297.8319,297.783,304.11575,304.2467,321.4289,322.00363,306.06104,303.38336,301.46753,322.62415,321.0132,322.92084,322.66806,319.87524,332.12582,332.5614,324.87845,308.14212,272.46063,322.60226,322.2291,322.50928,356.53998,320.74106,308.37354,323.0977
6,1980-08-27,300.6892,308.75354,298.62704,319.95078,299.2175,299.67993,321.78995,322.0069,299.69128,327.0371,308.55743,338.87454,344.35205,339.35196,298.09222,313.53003,345.31274,291.1799,338.98145,342.54626,345.15472,321.46652,321.89075,-888.0,-888.0,321.46652,329.3484,325.80444,323.29245,322.8485,343.93143,372.01245,321.8561,321.8268,321.76328,310.43213,-888.0,324.17502,321.20126,323.24396,321.5951,298.1843,320.83673,321.1644,293.11145,321.73804,322.69757,321.0645,330.41055,301.23785,329.69855,321.41586,321.51227,321.40103,309.88367,321.43964,322.90497,306.5541,-888.0,321.40103,321.79865,321.4571,322.40454,332.60788,321.7898,321.76328,317.19376,315.24426,334.41974,331.5408,298.8082,363.52338,322.5597,321.77,321.40515,321.85205,321.76328,319.18478,331.16885,321.47238,323.91727,321.45197,321.7898,347.70044,298.3077,301.96542,330.71115,324.7356,249.20798,321.745,321.9714,295.86646,322.6678,321.03842,320.83673,322.99026,321.76328,302.60583,321.8577,320.91818,321.5482,320.5948,314.29443,298.51294,297.55734,296.49023,302.5097,296.08588,299.01697,300.09125,323.11566,323.5891,298.0189,295.57922,270.39972,270.39972,270.39972,307.0406,305.26883,270.7815,343.94656,321.64215,270.91232,271.84473,272.558,321.51227,334.41974,255.01009,322.799,311.6562,311.84918,321.37866,321.51227,298.0018,297.94632,302.9303,303.31024,321.53394,322.1494,305.3551,302.46548,300.70917,322.68832,321.0947,323.11267,322.8674,320.03656,332.1328,332.6894,325.00574,308.3071,272.558,322.713,322.42377,322.70667,356.4499,320.86078,306.8128,323.24396
7,1980-09-03,300.27362,308.20047,298.46347,320.027,298.8608,299.35013,321.73172,322.02246,299.16162,327.14294,308.38324,338.99106,344.5036,339.592,297.72247,313.5901,345.4957,290.9229,339.11584,342.68716,345.34915,321.49673,321.93808,-888.0,-888.0,321.49673,329.35635,325.896,323.388,322.93793,343.9849,368.42587,321.90057,321.86905,321.80035,310.452,-888.0,324.12848,321.2158,323.3639,321.68292,298.29907,320.8701,321.19684,293.1398,321.7755,322.7238,321.09708,330.68146,301.26202,329.77676,321.4464,321.54077,321.431,309.60602,321.4653,322.9426,306.06415,-888.0,321.431,321.839,321.4829,322.43365,332.66077,321.82797,321.80035,317.22125,315.20212,334.48215,331.60684,298.3822,360.9573,322.60724,321.8088,321.4328,321.8968,321.80035,319.10043,331.24744,321.5061,324.007,321.48,321.82797,346.69504,297.98907,301.85254,330.78198,324.72598,249.03813,321.77783,322.02853,295.45654,322.7646,321.03412,320.8701,323.08603,321.80035,301.98254,321.89813,320.84653,321.57794,320.58887,314.4844,298.4926,297.6672,296.52502,302.48898,296.13043,298.94302,299.90973,323.10553,323.59174,297.9586,295.6467,270.36206,270.36206,270.36206,306.82904,305.07208,270.7856,344.00015,321.67426,270.75552,271.79114,272.58145,321.54077,334.48215,255.0171,322.8407,311.38373,311.56747,321.41144,321.54077,297.913,297.84824,302.34793,302.66324,321.567,322.1979,304.67407,301.86465,300.24222,322.63275,321.06534,323.22302,322.94775,320.03516,332.17502,332.74622,324.96832,307.84753,272.58145,322.76196,322.4997,322.78943,355.24982,320.9762,306.11993,323.3639
8,1980-09-10,299.54233,307.33282,297.81345,319.99768,298.02243,298.52106,321.4533,321.9153,298.1229,327.19855,308.0636,338.9429,344.57608,339.79062,297.00485,313.49237,345.61783,290.08978,339.10324,342.79333,345.48434,321.474,321.95544,-888.0,-888.0,321.474,329.26846,325.93292,323.4409,322.99,344.0345,362.6984,321.91388,321.8782,321.8026,310.46286,-888.0,323.95438,320.96555,323.4555,321.76416,298.3749,320.8276,321.15814,292.99554,321.77112,322.58527,321.05936,330.81104,301.28116,329.80707,321.42084,321.5215,321.4054,308.7708,321.44345,322.86206,305.35712,-888.0,321.4054,321.84384,321.46136,322.3507,332.6636,321.83328,321.8026,317.24567,315.04623,334.51486,331.6411,297.60764,358.90067,322.54395,321.8092,321.4102,321.83957,321.8026,318.76764,331.287,321.4728,324.08194,321.45798,321.83328,345.581,297.23178,301.18457,330.81308,324.53436,248.66139,321.7767,322.05658,294.51938,322.82883,320.7104,320.8276,323.14365,321.8026,300.8973,321.88614,320.53073,321.5607,320.42932,314.60602,298.13168,297.75763,296.36926,302.01395,295.88406,298.41473,299.04477,322.88184,323.3986,297.55096,295.55463,270.20154,270.20154,270.20154,306.1141,304.35892,270.70453,344.0505,321.66412,270.35504,271.59473,272.5399,321.5215,334.51486,254.90999,322.7795,310.57593,310.70477,321.3778,321.5215,297.4562,297.3804,301.09277,301.42737,321.54416,322.19675,303.47595,300.669,299.19302,322.39142,320.8563,323.29636,322.9873,319.88043,332.14987,332.777,324.82367,307.22113,272.5399,322.73407,322.5417,322.83536,353.95905,321.0794,304.69623,323.4555
9,1980-09-17,299.07855,307.1734,297.56433,319.8866,297.9014,298.40326,321.37256,321.80957,297.89355,327.22763,307.80652,339.10565,344.64578,339.94357,296.58453,313.3706,345.6996,289.78326,339.253,342.9037,345.57715,321.5039,321.9766,-888.0,-888.0,321.5039,329.2039,325.94962,323.4584,323.01645,344.01923,362.8516,321.93512,321.89996,321.82446,310.4735,-888.0,323.82462,321.0259,323.51923,321.85922,298.42853,320.86746,321.19525,292.83896,321.7958,322.60226,321.09674,330.84604,301.30417,329.82516,321.45215,321.54922,321.43668,308.73593,321.47147,322.8717,304.99857,-888.0,321.43668,321.86636,321.48926,322.23724,332.66864,321.8543,321.82446,317.27075,315.0048,334.51862,331.6594,297.2093,358.83112,322.43832,321.8327,321.43954,321.74652,321.82446,318.6535,331.3141,321.50653,324.14697,321.48697,321.8543,344.75558,297.1113,300.99182,330.8303,324.4981,248.74686,321.79752,322.07986,294.37033,322.8677,320.76883,320.86746,323.17105,321.82446,300.5977,321.91254,320.45224,321.5879,320.31284,314.72836,297.93372,297.8219,296.20554,301.99612,295.73755,298.18005,298.73956,322.85858,323.38242,297.33322,295.48325,270.10156,270.10156,270.10156,306.04965,304.23962,270.6255,344.03513,321.68906,270.24463,271.48236,272.488,321.54922,334.51862,254.97878,322.7915,310.54092,310.6965,321.41223,321.54922,297.22968,297.152,300.98492,301.2469,321.57446,322.2196,303.24738,300.50455,299.06653,322.28745,320.75424,323.33527,323.0069,319.74884,332.1374,332.78943,324.69592,306.9888,272.488,322.74722,322.5689,322.86084,353.07565,321.18048,304.64297,323.51923
