,date,ca12_0100,ca13_0101,ca13_0106,ca13_0107,ca13_0115,ca13_0116,ca13_0119,ca13_0122,ca13_0124,ca13_0127,f40_0114,f40_0122,f40_0185,f40_0186,f40_0188,f40_0192,f40_0199,f40_0228,f40_0263,f40_0277,f40_0396,g40_0005,g40_0006,g40_0008,g40_0013,g40_0014,g40_0016,g40_0019,g40_0023,g40_0024,g40_0026,g40_0032,g40_0033,g40_0035,g40_0036,g40_0038,g40_0039,g40_0041,g40_0046,g40_0048,g40_0052,g40_0054,g40_0101,g40_0102,g40_0108,g40_0117,g40_0120,g40_0122,g40_0127,g40_0128,g40_0129,g40_0130,g40_0131,g40_0132,g40_0138,g40_0139,g40_0140,g40_0144,g40_0146,g40_0147,g40_0158,g40_0160,g40_0162,g40_0163,g40_0165,g40_0167,g40_0170,g40_0173,g40_0178,g40_0181,g40_0182,g40_0183,g40_0184,g40_0186,g40_0195,g40_0198,g40_0200,g40_0203,g40_0204,g40_0205,g40_0208,g40_0210,g40_0214,g40_0218,g40_0219,g40_0226,g40_0227,g40_0230,g40_0236,g40_0242,g40_0249,g40_0253,g40_0257,g40_0261,g40_0264,g40_0271,g40_0272,g40_0274,g40_0275,g40_0277,g40_0280,g40_0290,g40_0293,g40_0294,g40_0295,g40_0296,g40_0298,g40_0306,g40_0308,g40_0309,g40_0310,g40_0311,g40_0325,g40_0327,g40_0330,g40_0332,g40_0334,g40_0338,g40_0339,g40_0340,g40_0345,g40_0352,g40_0357,g40_0358,g40_0366,g40_0367,g40_0368,g40_0371,g40_0373,g40_0381,g40_0382,g40_0385,g40_0387,g40_0388,g40_0389,g40_0395,g40_0396,g40_0400,g40_0401,g40_0403,g40_0404,g40_0405,g40_0406,g40_0407,g40_0408,g40_0409,g40_0412,g40_0413,g40_0415,g40_0416,g40_0417,g40_0422,g40_0424,g40_0430,g40_0434,g40_0435,g40_0441,g40_0442,g41_0119
0,2000-09-27,298.06613,-888.0,297.64026,319.23773,297.94476,298.47552,320.7459,321.12708,297.18207,326.19684,307.32727,340.33057,346.51675,342.0246,295.72394,313.24207,347.57742,287.17145,340.5801,345.0004,347.4913,321.07077,321.59106,-888.0,-888.0,321.07077,327.65884,325.02686,322.8548,322.5068,342.67654,363.4953,321.53946,321.49457,321.41394,310.76135,-888.0,323.02872,320.22656,323.10095,321.31595,298.65463,320.43143,320.74808,292.50323,321.36456,321.82263,320.6573,329.4918,301.70325,328.4814,321.01678,321.12335,321.00467,308.8528,321.05463,322.1313,304.0959,-888.0,321.00467,321.45172,321.0706,321.55807,331.0405,321.45074,321.41394,317.4003,314.8227,332.82565,330.16602,296.36774,358.44995,321.81284,321.40958,321.0189,321.05423,321.41394,318.232,329.84338,321.04214,323.86224,321.06216,321.45074,343.6371,297.31506,301.16238,329.40494,323.48807,248.94911,321.3922,321.7096,294.0645,322.44412,319.96844,320.43143,322.6455,321.41394,299.59006,321.44376,319.90723,321.1603,319.71335,316.40796,297.86996,297.95807,295.98248,301.77737,294.95688,298.2314,299.0159,322.01117,322.48953,297.284,294.581,270.1502,270.1502,270.1502,306.23346,304.4755,270.63794,342.69672,321.26468,270.43658,271.51236,272.44528,321.12335,332.82565,255.27254,322.08777,310.58905,310.64783,320.95767,321.12335,297.20844,297.14127,300.2496,300.34085,321.1284,321.72568,302.16693,299.7281,298.6928,321.61566,320.15085,322.8337,322.46286,319.1735,330.39417,331.2027,323.84326,-888.0,272.44528,322.10425,322.12375,322.36603,353.47543,320.5525,303.58118,323.10095
1,1980-07-23,298.07907,-888.0,297.95602,319.25632,298.21075,298.74844,320.90244,321.18335,297.23166,326.19763,307.2992,340.25055,346.49808,342.01642,295.79288,313.22162,347.5716,287.1654,340.50797,344.98544,347.48663,321.03894,321.5702,-888.0,-888.0,321.03894,328.56036,325.03357,322.84903,322.4986,344.23566,353.10812,321.51874,321.47345,321.39032,310.7602,-888.0,323.17075,320.25412,323.0973,321.31335,298.6511,320.38666,320.70877,292.51993,321.34006,321.8479,320.6168,329.48608,301.70245,328.51486,320.9836,321.09274,320.9713,309.16437,321.02222,322.14206,304.0308,-888.0,320.9713,321.42984,321.03842,321.60535,331.63443,321.42706,321.39032,317.38358,314.75784,333.5569,330.2215,296.423,358.62878,321.8548,321.38657,320.98657,321.08844,321.39032,318.3815,329.85837,321.00684,323.8575,321.03036,321.42706,343.6493,297.63718,301.4615,329.4533,323.67212,248.8281,321.36346,321.69324,294.25372,322.4383,320.0278,320.38666,322.63797,321.39032,299.52087,321.4157,320.07068,321.13058,319.7851,316.3848,298.04764,297.95514,296.04266,301.87875,294.93665,298.5068,299.4878,322.12634,322.59195,297.48236,294.5351,270.19727,270.19727,270.19727,306.53235,304.79285,270.65552,344.26443,321.23755,270.60965,271.57242,272.45462,321.09274,333.5569,255.2451,322.09045,310.8775,310.90588,320.92178,321.09274,297.42862,297.36514,300.22772,300.26337,321.09683,321.7034,302.0369,299.69678,298.80896,321.77023,320.24985,322.82797,322.45267,319.23944,331.35623,331.44006,324.02023,-888.0,272.45462,322.09836,322.1136,322.35663,353.37183,320.54642,303.43976,323.0973
2,1980-07-30,298.09708,-888.0,298.25034,319.34653,298.44788,298.99377,321.1907,321.3728,297.3317,326.29932,307.26022,340.16904,346.4658,341.9872,295.85355,313.1812,347.55533,287.1636,340.43027,344.9577,347.47168,321.01312,321.53934,-888.0,-888.0,321.01312,329.24542,325.1304,322.86673,322.50015,345.04395,347.61673,321.4888,321.44458,321.3604,310.75632,-888.0,323.57187,320.39838,323.09177,321.3162,298.64117,320.36932,320.69138,292.5975,321.31506,321.97778,320.59772,329.4743,301.70044,328.77026,320.9591,321.0639,320.94592,309.42285,320.9912,322.23587,303.9901,-888.0,320.94592,321.40213,321.0075,321.78925,332.259,321.39603,321.3604,317.3556,314.69577,334.1928,330.57407,296.47916,359.67102,322.00916,321.3601,320.95755,321.2329,321.3604,318.6159,330.09073,320.9921,323.84814,321.0018,321.39603,343.88602,297.89508,301.6759,329.76663,324.05118,248.92525,321.33032,321.6644,294.4354,322.42957,320.21378,320.36932,322.64203,321.3604,299.54724,321.40247,320.34027,321.1024,319.96362,316.33838,298.21982,297.9527,296.1527,302.0176,294.98303,298.73044,299.82022,322.3956,322.85263,297.68988,294.50287,270.2787,270.2787,270.2787,306.7807,305.03757,270.69983,345.06104,321.20905,270.7968,271.672,272.48242,321.0639,334.1928,255.23193,322.16235,311.13388,311.14926,320.90448,321.0639,297.65692,297.59735,300.33478,300.32236,321.0754,321.69858,302.04535,299.78412,298.97754,322.09528,320.47083,322.82843,322.46094,319.40298,332.00806,332.01068,324.46353,-888.0,272.48242,322.14053,322.10303,322.35544,353.39517,320.54868,303.47794,323.09177
3,1980-08-06,298.19196,-888.0,298.21344,319.47366,298.3834,298.9322,321.31442,321.53696,297.46503,326.4691,307.30383,340.25186,346.46085,341.9605,295.9091,313.18738,347.5527,287.29553,340.4997,344.94626,347.46576,321.03534,321.54074,-888.0,-888.0,321.03534,329.34448,325.27896,322.92416,322.53342,344.7536,347.10654,321.49313,321.45187,321.36972,310.75357,-888.0,323.78714,320.55487,323.10345,321.35175,298.6383,320.40372,320.72516,292.69388,321.3318,322.11743,320.62964,329.4948,301.70032,329.0626,320.98325,321.08255,320.9693,309.34055,321.0089,322.3571,304.13123,-888.0,320.9693,321.41248,321.02527,321.96558,332.44516,321.403,321.36972,317.33163,314.74426,334.34235,330.92987,296.55402,362.14285,322.1702,321.37357,320.97693,321.3896,321.36972,318.69632,330.43658,321.02734,323.8442,321.02145,321.403,344.65582,297.78125,301.65338,330.093,324.24936,248.95879,321.33868,321.66238,294.45493,322.44193,320.37607,320.40372,322.67856,321.36972,299.7663,321.43353,320.4386,321.12085,320.09604,316.31482,298.25162,297.9611,296.22614,302.08798,295.09363,298.7291,299.75073,322.5604,323.02615,297.7069,294.57385,270.2995,270.2995,270.2995,306.6961,304.95593,270.7321,344.7729,321.2247,270.7358,271.6938,272.5106,321.08255,334.34235,255.26218,322.26996,311.07187,311.11942,320.93732,321.08255,297.66006,297.59586,300.56186,300.57623,321.10162,321.73538,302.32913,299.99893,299.0622,322.24734,320.602,322.85696,322.50552,319.53207,332.10483,332.32693,324.68555,-888.0,272.5106,322.2249,322.12045,322.38565,353.73672,320.58914,303.8182,323.10345
4,1980-08-13,298.58536,307.0618,298.2773,319.58273,298.5353,299.0744,321.42374,321.6529,297.94196,326.6496,307.53546,340.60464,346.5391,341.99033,296.23108,313.32657,347.61514,287.84836,340.81998,344.9902,347.51355,321.1271,321.59973,-888.0,-888.0,321.1271,329.233,325.43643,323.01245,322.60233,344.2593,350.94696,321.55646,321.51938,321.44232,310.7588,-888.0,323.86612,320.78134,323.14246,321.42807,298.66837,320.50882,320.829,292.81357,321.4119,322.29443,320.732,329.6246,301.708,329.29688,321.07712,321.1712,321.0627,309.45044,321.0984,322.51276,304.61108,-888.0,321.0627,321.48413,321.11475,322.07913,332.44827,321.47266,321.44232,317.31836,314.98413,334.30597,331.1764,296.9201,365.20953,322.28036,321.44934,321.06708,321.50803,321.44232,318.7945,330.7306,321.13052,323.8622,321.1117,321.47266,346.26938,297.83676,301.73517,330.3318,324.38013,249.08269,321.41318,321.71246,294.73264,322.48807,320.61084,320.50882,322.749,321.44232,300.4023,321.52524,320.54672,321.2084,320.20673,316.37537,298.32144,297.9895,296.31216,302.28302,295.32608,298.78714,299.78552,322.72018,323.19138,297.77325,294.8063,270.31638,270.31638,270.31638,306.7682,305.01404,270.75723,344.27808,321.3073,270.73636,271.71622,272.54065,321.1712,334.30597,255.3574,322.4159,311.19714,311.30133,321.03906,321.1712,297.72516,297.66022,301.2028,301.27283,321.19543,321.82562,303.0865,300.62393,299.46133,322.34244,320.7142,322.9173,322.58658,319.63968,332.01617,332.45947,324.74255,-888.0,272.54065,322.35046,322.1796,322.4537,354.55988,320.676,304.67307,323.14246
5,1980-08-20,300.72607,310.074,298.90646,319.77863,299.83676,300.3242,321.88068,321.90817,300.74826,326.93304,308.83087,342.16507,346.976,342.23285,298.06577,314.1331,347.8741,290.75076,342.24454,345.30264,347.73734,321.5441,321.87888,-888.0,-888.0,321.5441,329.3945,325.72263,323.21732,322.79703,343.9871,375.52853,321.85077,321.82834,321.77563,310.80612,-888.0,324.09412,321.75354,323.24542,321.54102,298.8045,320.984,321.2939,293.3462,321.76718,322.94714,321.19394,330.06668,301.7545,329.60678,321.50278,321.57864,321.48837,310.544,321.51602,323.03845,307.15112,-888.0,321.48837,321.80792,321.53174,322.27505,332.6234,321.79572,321.77563,317.34732,316.0333,334.3894,331.43698,298.99213,366.0558,322.43137,321.7883,321.48434,321.72592,321.77563,319.25296,331.03903,321.58014,323.98553,321.5275,321.79572,347.7982,298.64297,302.3968,330.61584,324.89423,249.60045,321.76102,321.9537,296.6407,322.63882,321.6733,320.984,322.93362,321.77563,303.84048,321.9051,321.0396,321.60864,320.52625,316.8389,298.74048,298.09204,296.7038,303.40326,296.5346,299.23453,300.29163,323.3379,323.79434,298.23395,295.9211,270.46408,270.46408,270.46408,307.582,305.70926,270.8972,344.00134,321.6836,270.93176,271.90964,272.6757,321.57864,334.3894,255.8687,322.9055,312.3287,312.73062,321.48926,321.57864,298.2256,298.1706,304.89185,305.1262,321.61148,322.1695,307.0446,304.1806,302.013,322.69254,321.092,323.06647,322.81662,319.94418,332.1844,332.6318,324.91843,309.12643,272.6757,322.76157,322.39038,322.66122,356.70612,320.79263,309.29306,323.24542
6,1980-08-27,301.56534,309.58353,299.0079,320.0206,299.3905,299.854,321.87067,322.07233,300.22827,327.16766,309.74466,342.4791,347.33084,342.69672,298.80017,314.99268,348.2161,291.33298,342.6011,345.58514,348.06253,321.6633,322.09283,-888.0,-888.0,321.6633,329.4036,325.94016,323.45117,323.0145,343.93436,373.75613,322.0575,322.02692,321.96448,310.84933,-888.0,324.23367,321.36676,323.4029,321.64087,298.99048,321.0225,321.35175,293.54034,321.93356,322.85425,321.25302,330.49356,301.79773,329.8097,321.61105,321.7129,321.59717,309.95065,321.64444,323.0639,307.64218,-888.0,321.59717,321.9972,321.66147,322.45944,332.6816,321.99234,321.96448,317.3865,316.4225,334.48743,331.6387,299.5409,363.53244,322.59836,321.967,321.60648,321.91504,321.96448,319.26056,331.2742,321.65982,324.10828,321.65244,321.99234,347.71927,298.39197,302.2308,330.8144,324.83514,249.20805,321.9499,322.1722,296.15503,322.8395,321.19073,321.0225,323.15344,321.96448,303.37167,322.0435,321.00107,321.74786,320.67044,317.26324,298.91565,298.2274,296.9351,302.8561,296.72696,299.39365,300.42416,323.23413,323.71274,298.42896,296.48746,270.5444,270.5444,270.5444,307.14346,305.39917,270.99173,343.9492,321.84198,271.0081,271.98453,272.77826,321.7129,334.48743,255.64479,322.9608,311.7422,311.96747,321.56723,321.7129,298.40375,298.34012,303.4796,303.96967,321.72614,322.32877,306.15097,303.05447,301.09805,322.75668,321.17178,323.27362,323.0328,320.11206,332.199,332.77322,325.0563,309.28842,272.77826,322.87802,322.60153,322.87585,356.7035,320.9124,307.47763,323.4029
7,1980-09-03,301.1438,309.01636,298.84503,320.0976,299.0266,299.51895,321.81198,322.08752,299.679,327.27408,309.58676,342.541,347.48465,343.0388,298.42252,315.09872,348.4042,291.0819,342.69485,345.7625,348.26617,321.6918,322.1395,-888.0,-888.0,321.6918,329.41147,326.0313,323.54816,323.10654,343.988,369.98608,322.10114,322.06824,322.00024,310.86963,-888.0,324.18655,321.3806,323.5291,321.72906,299.1164,321.05453,321.38278,293.5624,321.9699,322.8789,321.28418,330.76517,301.8223,329.8886,321.63998,321.73953,321.62546,309.6685,321.668,323.09955,307.16428,-888.0,321.62546,322.03656,321.68518,322.48923,332.73648,322.0292,322.00024,317.41507,316.3955,334.55167,331.7066,299.10736,360.96597,322.648,322.0048,321.6322,321.96005,322.00024,319.1746,331.35452,321.69217,324.19754,321.67856,322.0292,346.7141,298.0687,302.11905,330.88654,324.8255,249.03821,321.98096,322.22943,295.7298,322.94058,321.18655,321.05453,323.25204,322.00024,302.73325,322.0831,320.929,321.77582,320.6629,317.47067,298.8942,298.34415,296.96692,302.8381,296.79532,299.31906,300.2428,323.22394,323.71506,298.36765,296.58356,270.50705,270.50705,270.50705,306.93478,305.20444,270.99725,344.003,321.87247,270.85376,271.92853,272.8025,321.73953,334.55167,255.65208,323.00058,311.46448,311.6777,321.59857,321.73953,298.31473,298.24252,302.876,303.3011,321.75778,322.37695,305.45248,302.4332,300.61603,322.70053,321.14114,323.38828,323.1146,320.1088,332.2422,332.83215,325.0189,308.8281,272.8025,322.92557,322.67972,322.96097,355.48618,321.0297,306.75504,323.5291
8,1980-09-10,300.41107,308.06046,298.20206,320.06708,298.15024,298.65472,321.52292,321.97778,298.58997,327.32532,309.25244,342.38535,347.55716,343.29434,297.70508,314.9922,348.52902,290.1997,342.58606,345.90137,348.40555,321.66232,322.15182,-888.0,-888.0,321.66232,329.3219,326.06287,323.5986,323.15784,344.03745,364.07925,322.10904,322.07196,321.9964,310.8809,-888.0,324.0097,321.10187,323.62256,321.81107,299.19604,321.00433,321.3366,293.40067,321.96017,322.7205,321.23904,330.89493,301.8426,329.91342,321.60764,321.713,321.593,308.817,321.6379,323.0046,306.43762,-888.0,321.593,322.0361,321.65543,322.40543,332.73563,322.0283,321.9964,317.4408,316.1888,334.58197,331.7372,298.32666,358.9093,322.58536,321.9999,321.60226,321.9015,321.9964,318.8313,331.3907,321.6519,324.26932,321.64926,322.0283,345.60077,297.29382,301.48892,330.91293,324.6207,248.66145,321.97247,322.25323,294.77258,323.00528,320.83188,321.00433,323.3089,321.9964,301.56906,322.06592,320.60056,321.75165,320.4981,317.59085,298.54916,298.43726,296.80383,302.32983,296.50812,298.82138,299.4346,322.9813,323.50357,297.96637,296.51367,270.346,270.346,270.346,306.19888,304.49557,270.9159,344.05322,321.8557,270.45413,271.72705,272.76022,321.713,334.58197,255.54375,322.92722,310.63223,310.78244,321.55792,321.713,297.86093,297.77637,301.49707,301.9402,321.7287,322.37146,304.1401,301.12143,299.48367,322.45322,320.92484,323.4617,323.1522,319.9492,332.21344,332.85986,324.87265,308.15204,272.76022,322.88937,322.7204,323.00592,354.19672,321.13495,305.17825,323.62256
9,1980-09-17,299.947,307.89798,297.96243,319.95236,298.0431,298.5541,321.44318,321.86996,298.37268,327.34988,308.96176,342.5732,347.63718,343.46298,297.28302,314.82132,348.60983,289.92084,342.7653,346.04324,348.49704,321.6886,322.16885,-888.0,-888.0,321.6886,329.25513,326.07526,323.61166,323.18018,344.02182,364.10306,322.12628,322.0897,322.0143,310.89185,-888.0,323.87756,321.1707,323.68497,321.90695,299.24716,321.04172,321.37088,293.24353,321.98068,322.7407,321.2736,330.9167,301.86728,329.92725,321.6354,321.73715,321.62073,308.7868,321.66278,323.01428,306.0787,-888.0,321.62073,322.05447,321.68015,322.2901,332.73764,322.0454,322.0143,317.467,316.10257,334.58237,331.75073,297.92902,358.84006,322.47937,322.01923,321.62817,321.8063,322.0143,318.7176,331.41193,321.68237,324.33295,321.67477,322.0454,344.77603,297.17847,301.30765,330.92572,324.58566,248.74692,321.9896,322.27255,294.62354,323.041,320.90045,321.04172,323.33224,322.0143,301.29642,322.08823,320.52402,321.77518,320.37943,317.70834,298.35507,298.50162,296.64258,302.33533,296.34644,298.59125,299.13504,322.96176,323.49048,297.75427,296.46573,270.24545,270.24545,270.24545,306.14957,304.38843,270.8359,344.03748,321.87683,270.34195,271.61423,272.70703,321.73715,334.58237,255.61197,322.93814,310.60394,310.78256,321.5891,321.73715,297.64218,297.55756,301.43588,301.80334,321.75522,322.3901,303.94867,300.9985,299.38852,322.34833,320.82187,323.49734,323.16742,319.8148,332.19867,332.86826,324.74252,307.89856,272.70703,322.8997,322.7436,323.02725,353.30005,321.23734,305.17325,323.68497
