,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,321.12335,331.2027,323.84326,323.02872,272.44528,346.82626,330.1328,294.07657,302.53476,305.12067,251.64182,320.93622,329.5168,326.614,342.13535,330.11874,323.96277,321.86096,321.51202,307.13843,274.31754,300.2549,293.16034,295.6776,297.76447,335.0903,-132524.98,8171.027,2329.6077,-85088.75,3100.0,1500.0,148311.34,3987.17,23262.016,144793.89,29604.97,-20.036835,5565.0435,67688.86,4820.5176
1,1980-07-23,321.09274,331.44006,324.02023,323.17075,272.45462,346.7558,330.1092,294.0302,301.05667,305.0011,251.38626,320.94458,330.75793,326.8791,343.9001,330.12595,323.9604,321.8414,321.62784,307.1192,274.31256,300.18127,293.1534,295.7381,297.7638,335.08728,-125353.07,15081.841,3691.8293,-82867.336,3100.0,1500.0,216673.06,3972.186,23378.324,146110.78,34828.867,-4.4022827,5737.928,67511.8,5025.8506
2,1980-07-30,321.0639,332.01068,324.46353,323.57187,272.48242,346.64514,330.05362,293.97092,299.3764,305.05154,251.26996,321.01193,331.48468,327.33353,344.53238,330.34802,323.97433,321.8408,321.88742,307.20877,274.30267,300.25757,293.13965,295.84982,297.77304,335.08112,-125646.81,19261.324,4309.9014,-81311.875,3100.0,1500.0,217366.48,3942.5862,23757.25,151194.94,38211.395,-6.0245667,5917.1997,67319.195,5093.892
3,1980-08-06,321.08255,332.32693,324.68555,323.78714,272.5106,346.64536,330.03128,294.00427,300.72064,305.38852,251.52173,321.12857,331.5272,327.56012,344.16428,330.72034,324.02893,321.88086,322.04123,307.36957,274.29782,300.79202,293.13287,295.92432,297.80017,335.07843,-135217.28,15640.316,2868.9707,-84491.42,3100.0,1500.0,198255.88,3929.474,24164.676,156419.81,35755.676,-3.7550697,5887.4824,67530.26,4836.3486
4,1980-08-13,321.1712,332.45947,324.74255,323.86612,272.54065,346.93265,330.13715,294.21155,308.0965,306.2434,252.2289,321.24164,331.36252,327.67242,343.66562,331.04172,324.11526,321.9709,322.19968,307.7049,274.31104,301.49567,293.1512,296.0146,297.84244,335.08835,-140148.55,13408.256,816.82324,-88097.67,3100.0,1500.0,180970.9,3959.1333,25180.95,159358.84,35035.656,22.5685,5737.423,67655.75,4168.13
5,1980-08-20,321.57864,332.6318,324.91843,324.09412,272.6757,348.46997,330.82745,295.22305,344.72742,310.89493,255.49289,321.40552,331.48074,328.0829,343.47723,331.38492,324.2675,322.2983,322.83762,309.39154,274.4103,303.21228,293.28952,296.43613,297.95465,335.15845,-147638.3,8785.22,-9508.016,-106080.92,255.4448,255.4448,173988.67,4055.712,30514.65,171409.88,37941.34,185.45515,5089.707,67336.266,580.6653
6,1980-08-27,321.7129,332.77322,325.0563,324.23367,272.77826,349.47275,331.54828,295.9201,352.26468,308.89822,253.71889,321.60065,331.48807,328.0583,343.4859,331.59808,324.4833,322.46722,322.7134,308.3677,274.49857,302.74997,293.41312,296.65518,298.11487,335.22137,-146544.84,13785.289,-6654.482,-97139.11,255.4448,255.4448,174383.23,4479.426,26777.553,164172.03,35779.266,209.63837,4676.578,68948.21,3165.5923
7,1980-09-03,321.73953,332.83215,325.0189,324.18655,272.8025,349.61093,331.7427,296.06134,342.6648,308.20465,253.26193,321.6997,331.5162,328.0853,343.55142,331.66946,324.62036,322.52002,322.69522,308.397,274.53845,302.4364,293.4698,296.68002,298.24152,335.25073,-153506.25,9404.371,-6857.296,-98642.92,255.4448,255.4448,176850.84,4688.564,26494.195,167917.81,32034.104,152.56918,4672.2383,69915.38,3601.9878
8,1980-09-10,321.713,332.85986,324.87265,324.0097,272.76022,349.3932,331.74222,296.02432,331.52267,306.59756,252.26675,321.72745,331.4664,327.98315,343.594,331.69382,324.71075,322.5202,322.42984,307.87354,274.55777,301.85577,293.49854,296.502,298.3297,335.26584,-164555.02,543.40283,-5414.048,-97321.8,255.4448,255.4448,178783.5,4788.313,24391.047,171665.33,22976.037,86.39761,4597.144,71075.28,4670.848
9,1980-09-17,321.73715,332.86826,324.74252,323.87756,272.70703,349.2406,331.73532,295.98874,328.48798,306.65448,252.60664,321.68692,331.42126,327.97665,343.5631,331.72815,324.7548,322.53717,322.40854,308.0559,274.5751,302.35785,293.52545,296.33783,298.3659,335.27957,-165830.08,-2623.0132,-5540.2373,-97699.02,255.4448,255.4448,177808.44,4768.3306,24988.248,175315.7,21640.924,68.13364,4609.8447,71037.46,4222.126
