,date,ca12_0100,ca13_0101,ca13_0106,ca13_0107,ca13_0115,ca13_0116,ca13_0119,ca13_0122,ca13_0124,ca13_0127,f40_0114,f40_0122,f40_0185,f40_0186,f40_0188,f40_0192,f40_0199,f40_0228,f40_0263,f40_0277,f40_0396,g40_0005,g40_0006,g40_0008,g40_0013,g40_0014,g40_0016,g40_0019,g40_0023,g40_0024,g40_0026,g40_0032,g40_0033,g40_0035,g40_0036,g40_0038,g40_0039,g40_0041,g40_0046,g40_0048,g40_0052,g40_0054,g40_0101,g40_0102,g40_0108,g40_0117,g40_0120,g40_0122,g40_0127,g40_0128,g40_0129,g40_0130,g40_0131,g40_0132,g40_0138,g40_0139,g40_0140,g40_0144,g40_0146,g40_0147,g40_0158,g40_0160,g40_0162,g40_0163,g40_0165,g40_0167,g40_0170,g40_0173,g40_0178,g40_0181,g40_0182,g40_0183,g40_0184,g40_0186,g40_0195,g40_0198,g40_0200,g40_0203,g40_0204,g40_0205,g40_0208,g40_0210,g40_0214,g40_0218,g40_0219,g40_0226,g40_0227,g40_0230,g40_0236,g40_0242,g40_0249,g40_0253,g40_0257,g40_0261,g40_0264,g40_0271,g40_0272,g40_0274,g40_0275,g40_0277,g40_0280,g40_0290,g40_0293,g40_0294,g40_0295,g40_0296,g40_0298,g40_0306,g40_0308,g40_0309,g40_0310,g40_0311,g40_0325,g40_0327,g40_0330,g40_0332,g40_0334,g40_0338,g40_0339,g40_0340,g40_0345,g40_0352,g40_0357,g40_0358,g40_0366,g40_0367,g40_0368,g40_0371,g40_0373,g40_0381,g40_0382,g40_0385,g40_0387,g40_0388,g40_0389,g40_0395,g40_0396,g40_0400,g40_0401,g40_0403,g40_0404,g40_0405,g40_0406,g40_0407,g40_0408,g40_0409,g40_0412,g40_0413,g40_0415,g40_0416,g40_0417,g40_0422,g40_0424,g40_0430,g40_0434,g40_0435,g40_0441,g40_0442,g41_0119
0,2018-01-06 12:00:00,297.14215,-888.0,296.55786,318.10956,297.76285,298.2199,319.41852,319.8743,296.72534,323.97223,306.21674,336.89774,342.73434,338.33112,294.9628,311.8205,343.82486,286.82788,337.0935,341.15866,343.73596,319.12997,319.62357,-888.0,-888.0,319.12997,325.3823,322.92056,320.8928,320.5527,340.83524,359.84674,319.5736,319.53055,319.45416,309.08224,-888.0,321.62192,318.45016,321.1338,320.16177,297.09854,318.56915,318.86334,291.51108,319.40732,319.94012,318.7692,-888.0,300.2155,326.08307,319.08176,319.17838,319.071,308.63928,319.11267,320.1977,303.02713,-888.0,319.071,319.48978,319.12793,320.3595,328.41983,319.48962,319.45416,315.6487,313.56747,329.9802,327.6545,295.605,356.9095,320.76617,319.44995,319.07935,319.81757,319.45416,317.18826,327.33173,319.11884,321.99274,319.1208,319.48962,342.44427,297.1893,300.25208,326.95377,321.6264,248.92647,319.43472,319.7398,293.7773,320.48447,318.2952,318.56915,320.68875,319.45416,298.97418,319.50577,318.65872,319.2128,318.52707,313.01196,296.72742,296.5451,294.85187,300.71426,293.87527,297.10263,297.89526,320.25275,320.64825,296.15656,289.39032,269.84192,269.84192,269.84192,305.80618,303.98257,270.24176,340.8581,319.31223,270.16815,271.19858,272.01062,319.17838,329.9802,254.56607,320.14117,310.29672,310.33008,319.04306,319.17838,296.1039,296.05698,299.82288,299.88983,319.16977,319.79285,301.59683,299.31165,298.36835,320.29718,318.9131,320.87192,320.5114,318.0421,327.7158,328.59503,322.4095,-888.0,272.01062,320.16412,320.16925,320.4138,351.95105,319.37555,303.15463,321.1338
1827,2015-07-22 00:00:00,297.60162,-888.0,297.97885,318.19714,299.1158,299.5997,319.95856,320.0874,297.56546,323.99393,306.30923,336.92334,342.74426,338.33542,295.584,311.86337,343.83133,287.32513,337.11514,341.17484,343.7423,319.1673,319.6318,-888.0,-888.0,319.1673,325.2225,322.95422,320.90765,320.56412,340.56198,351.16037,319.58588,319.54678,319.47195,309.08548,-888.0,321.90863,318.7668,321.1346,320.16263,297.10843,318.60355,318.90656,291.72125,319.4372,320.1718,318.80762,-888.0,300.2188,326.0976,319.12183,319.2078,319.10815,310.11377,319.1372,320.37286,303.29022,-888.0,319.10815,319.51022,319.1528,320.52966,328.2169,319.50342,319.47195,315.6346,313.607,329.71072,327.65045,296.23776,357.1812,320.91226,319.47473,319.1085,319.9539,319.47195,317.84033,327.35754,319.1728,321.99625,319.1512,319.50342,342.51218,298.6252,301.54517,326.95773,321.91452,249.1496,319.44556,319.7469,294.9474,320.49033,318.72845,318.60355,320.69846,319.47195,299.51392,319.54218,319.28275,319.2431,318.83923,313.02185,297.49478,296.54825,295.20496,301.49408,294.1568,298.21225,299.69174,320.6519,320.98343,297.0593,292.4485,270.10727,270.10727,270.10727,307.2724,305.42166,270.35876,340.5762,319.3388,271.0144,271.5382,272.08298,319.2078,329.71072,254.65083,320.29608,311.6864,311.67273,319.09354,319.2078,297.12476,297.10822,300.6577,300.5421,319.23392,319.82483,302.08096,300.0675,299.44373,320.75565,319.31644,320.87598,320.5298,318.33728,327.4071,328.52557,322.59787,-888.0,272.08298,320.2609,320.1812,320.42654,352.24554,319.37524,303.77536,321.1346
1828,2015-07-29 00:00:00,297.9655,-888.0,298.042,318.42896,298.95068,299.44302,319.97275,320.25513,297.7868,324.01566,306.48727,336.94186,342.76492,338.35117,295.8538,311.95688,343.84607,287.7528,337.1338,341.2174,343.7555,319.1995,319.6552,-888.0,-888.0,319.1995,325.05313,323.00018,320.96277,320.60544,340.0853,347.071,319.61166,319.57465,319.50067,309.08936,-888.0,321.99783,318.80054,321.14505,320.17102,297.11346,318.63562,318.94022,292.03397,319.46994,320.22913,318.84012,-888.0,300.22385,326.06775,319.1542,319.239,319.13998,309.86444,319.1673,320.4443,303.6165,-888.0,319.13998,319.53992,319.18307,320.71515,327.9431,319.53064,319.50067,315.61273,313.67993,329.3341,327.56805,296.5118,358.11267,321.1007,319.50604,319.139,320.1333,319.50067,317.89185,327.31125,319.209,322.00192,319.18225,319.53064,342.79013,298.39594,301.52573,326.89853,321.90228,249.11276,319.47272,319.7675,294.951,320.5144,318.73648,318.63562,320.73984,319.50067,299.89307,319.58337,319.27863,319.27466,319.00806,313.03574,297.68802,296.57367,295.49362,301.5577,294.4635,298.3365,299.6776,320.6637,321.00046,297.2418,285.9986,270.23404,270.23404,270.23404,307.04935,305.23727,270.49442,340.0993,319.37003,270.94812,271.67603,272.1893,319.239,329.3341,254.6578,320.3692,311.459,311.47223,319.12857,319.239,297.2787,297.2504,300.91873,300.8783,319.26852,319.87222,302.4708,300.342,299.50616,320.8014,319.4251,320.90616,320.58087,318.53882,327.1242,328.32877,322.6808,-888.0,272.1893,320.3323,320.21484,320.4676,352.37662,319.3867,304.13458,321.14505
1829,2015-08-05 00:00:00,298.94214,307.73532,298.0915,318.5706,299.1871,299.6634,320.02283,320.32614,298.9437,324.0608,307.075,337.3233,342.94202,338.40768,296.6335,312.32584,343.92743,289.20053,337.45428,341.3667,343.82828,319.40518,319.77872,-888.0,-888.0,319.40518,325.11667,323.06216,321.04102,320.68588,339.72357,358.28015,319.74374,319.71555,319.65442,309.11374,-888.0,321.97937,319.2378,321.18332,320.22562,297.15924,318.88638,319.17856,292.36203,319.63947,320.49414,319.0791,328.89407,300.2485,326.04956,319.36594,319.4365,319.3514,310.02478,319.36826,320.65988,304.82483,-888.0,319.3514,319.69006,319.38373,320.77426,327.89523,319.67758,319.65442,315.61322,314.2954,329.18997,327.49048,297.39545,360.5019,321.1616,319.66556,319.34262,320.22186,319.65442,317.9348,327.26822,319.4346,322.0507,319.3852,319.67758,343.67554,298.37497,301.6448,326.8458,322.0204,249.37251,319.6316,319.87085,295.5953,320.57687,319.17126,318.88638,320.81448,319.65442,301.42282,319.76746,319.32748,319.46844,319.09262,313.2199,297.8335,296.64648,295.71927,302.02368,295.06464,298.41635,299.62576,320.82715,321.16882,297.35587,292.52036,270.26236,270.26236,270.26236,307.08582,305.24615,270.57,339.73807,319.5493,270.83115,271.70386,272.2782,319.4365,329.18997,254.9467,320.57773,311.64468,311.82547,319.3559,319.4365,297.3724,297.33673,302.47784,302.55023,319.47464,320.03363,304.2756,301.83743,300.42157,320.8109,319.49518,320.96555,320.67557,318.63385,327.1477,328.2033,322.66513,306.9893,272.2782,320.51266,320.306,320.5551,354.13217,319.45206,306.24536,321.18332
1830,2015-08-12 00:00:00,299.45282,307.5496,298.42224,318.6708,299.26614,299.73718,320.04822,320.38217,298.86804,324.0776,307.4813,337.51065,343.10144,338.51862,297.1172,312.65475,344.0686,289.76743,337.6616,341.4979,343.95438,319.45917,319.88458,-888.0,-888.0,319.45917,324.88168,323.0932,321.1257,320.77182,339.40817,356.8478,319.84628,319.8136,319.7482,309.13644,-888.0,322.0057,319.0156,321.23727,320.2947,297.23935,318.88925,319.19418,292.53622,319.71848,320.41382,319.09528,328.98053,300.27234,326.00208,319.41318,319.50082,319.39944,310.02252,319.43146,320.63696,305.1272,-888.0,319.39944,319.7826,319.44757,320.83167,327.63623,319.77606,319.7482,315.62048,314.45453,328.9005,327.41382,297.79672,362.95166,321.2243,319.75183,319.40036,320.2864,319.7482,318.00616,327.23123,319.46198,322.1002,319.44418,319.77606,345.05118,298.5561,301.78613,326.7809,321.91907,249.21333,319.72748,319.9775,295.5674,320.65833,318.92825,318.88925,320.89874,319.7482,301.36047,319.8268,319.3647,319.53494,319.16156,313.3992,298.06607,296.73727,295.91995,301.91946,295.23163,298.6901,299.9896,320.7549,321.0909,297.63293,294.06155,270.33316,270.33316,270.33316,307.16864,305.37567,270.62582,339.42044,319.62643,271.03952,271.78705,272.34415,319.50082,328.9005,254.83022,320.57144,311.63107,311.71085,319.3832,319.50082,297.66766,297.63483,302.02637,302.1959,319.5241,320.10022,303.9958,301.51343,300.24426,320.85233,319.5457,321.04202,320.7603,318.7117,326.8485,328.04556,322.66296,307.08655,272.34415,320.54156,320.39795,320.64255,354.52075,319.52963,305.5366,321.23727
1831,2015-08-19 00:00:00,299.01102,306.99838,297.77783,318.67648,298.41425,298.89746,319.69653,320.26285,298.1195,324.02463,307.34027,337.54547,343.1702,338.62,296.633,312.65155,344.16907,289.39218,337.7065,341.5587,344.05243,319.44135,319.88812,-888.0,-888.0,319.44135,324.64438,323.04132,321.13757,320.79068,339.1247,353.41953,319.84692,319.81152,319.74185,309.14423,-888.0,321.76172,318.81052,321.276,320.35657,297.31274,318.8647,319.17078,292.5457,319.70868,320.2616,319.07242,329.0985,300.28384,325.86847,319.3945,319.48392,319.38077,309.15497,319.4132,320.53363,304.69397,-888.0,319.38077,319.7779,319.4294,320.74683,327.39648,319.77145,319.74185,315.62085,314.35315,328.61816,327.22964,297.2593,363.9963,321.17905,319.7446,319.38235,320.22833,319.74185,317.62354,327.08923,319.44193,322.12906,319.42636,319.77145,345.95667,297.69287,301.24692,326.6204,321.64368,249.0371,319.71866,319.98907,294.76862,320.68933,318.66397,318.8647,320.92023,319.74185,300.6527,319.81116,318.97394,319.51898,318.9921,313.46716,297.81323,296.82138,295.8804,301.61404,295.19226,298.26312,299.20737,320.4728,320.8383,297.28937,294.3957,270.22427,270.22427,270.22427,306.40393,304.64948,270.60437,339.14017,319.61362,270.59366,271.64252,272.35144,319.48392,328.61816,254.8114,320.49023,310.7945,310.8807,319.36194,319.48392,297.25134,297.1989,301.18134,301.38336,319.5064,320.08688,303.23688,300.69766,299.4118,320.54022,319.30164,321.0738,320.7685,318.56323,326.61096,327.81165,322.4523,-888.0,272.35144,320.4928,320.41446,320.65833,353.829,319.60956,304.66675,321.276
1832,2015-08-26 00:00:00,298.45413,-888.0,297.97653,318.56836,298.48013,298.98886,319.63992,320.14468,297.58084,323.9241,307.01746,337.476,343.19543,338.69775,296.21393,312.4969,344.2487,288.80466,337.66205,341.5866,344.1314,319.3698,319.85223,-888.0,-888.0,319.3698,324.38498,322.94528,321.09796,320.76532,338.8978,348.27695,319.807,319.76752,319.69205,309.1435,-888.0,321.612,318.6205,321.2894,320.40704,297.37305,318.77643,319.08572,292.4501,319.6515,320.1145,318.9881,329.24527,300.28983,325.69064,319.32043,319.41592,319.30695,309.32397,319.34402,320.40576,304.0516,-888.0,319.30695,319.7296,319.36035,320.6256,327.1126,319.72467,319.69205,315.61694,314.1033,328.30676,327.01022,296.79285,364.78116,321.08676,319.69202,319.31213,320.11703,319.69205,317.59958,326.88812,319.3589,322.15375,319.3563,319.72467,346.73102,297.90494,301.4252,326.42014,321.47598,248.92363,319.66647,319.96323,294.56824,320.68478,318.48016,318.77643,320.89655,319.69205,299.86887,319.74356,318.94678,319.45236,318.88834,313.47296,297.89096,296.88858,295.845,301.5849,295.0231,298.42593,299.54828,320.34598,320.69937,297.38528,294.37885,270.1951,270.1951,270.1951,306.6276,304.88736,270.55618,338.91547,319.5529,270.7488,271.6213,272.32306,319.41592,328.30676,254.72806,320.37167,310.93155,310.93735,319.27994,319.41592,297.36804,297.32047,300.50534,300.58502,319.4335,320.02432,302.33105,300.01147,299.0906,320.45926,319.21555,321.0651,320.7286,318.45123,326.3237,327.5518,322.2743,-888.0,272.32306,320.39572,320.39087,320.63074,352.62695,319.6607,303.69125,321.2894
1833,2015-09-02 00:00:00,297.81927,-888.0,297.2818,318.4624,297.75702,298.26703,319.27975,319.96768,296.92224,323.78613,306.71286,337.38947,343.20325,338.74167,295.56387,312.31204,344.29898,288.15204,337.5868,341.60028,344.18533,319.2988,319.79514,-888.0,-888.0,319.2988,324.1501,322.82144,321.031,320.71252,338.7059,345.11978,319.7478,319.70633,319.62796,309.13754,-888.0,321.35156,318.39423,321.27774,320.42914,297.41626,318.70343,319.01105,292.32852,319.58453,319.92252,318.91492,329.39505,300.29422,325.47385,319.24878,319.34598,319.23572,308.59558,319.2743,320.25143,303.53177,-888.0,319.23572,319.66647,319.2905,320.47476,326.83636,319.6617,319.62796,315.609,313.9005,328.0004,326.75436,296.1372,364.01483,320.96863,319.627,319.24237,319.98422,319.62796,317.2159,326.62732,319.27682,322.18143,319.28616,319.6617,346.8557,297.1673,300.75488,326.1813,321.16852,248.66502,319.60062,319.9131,293.88428,320.65298,318.17807,318.70343,320.8442,319.62796,299.21942,319.67044,318.55536,319.38263,318.6664,313.44247,297.5031,296.93808,295.69037,301.23813,294.81003,297.84726,298.58414,320.03638,320.41074,296.94513,287.25024,270.05856,270.05856,270.05856,305.9438,304.17834,270.4922,338.7251,319.48477,270.30597,271.45508,272.28387,319.34598,328.0004,254.69893,320.23608,310.22913,310.25064,319.20285,319.34598,296.87482,296.81406,299.85822,299.9416,319.36053,319.95148,301.6972,299.3628,298.40912,320.1348,318.93933,321.02737,320.66238,318.24185,326.0624,327.2707,322.0499,-888.0,272.28387,320.28595,320.34262,320.57727,351.36185,319.67935,303.07742,321.27774
1834,2015-09-09 00:00:00,297.14972,-888.0,296.47946,318.25134,297.12048,297.59583,318.88452,319.69302,296.1721,323.6137,306.4135,337.28726,343.20032,338.759,294.90805,312.12338,344.32764,287.42142,337.49774,341.60788,344.21893,319.2139,319.73016,-888.0,-888.0,319.2139,323.87436,322.65466,320.9335,320.63724,338.58505,342.01883,319.68024,319.63605,319.55466,309.12885,-888.0,321.01288,318.09286,321.24515,320.43057,297.44333,318.6087,318.9174,292.03314,319.50565,319.66693,318.8224,329.51608,300.2996,325.22894,319.1625,319.26358,319.15002,307.96915,319.19232,320.04083,302.96558,-888.0,319.15002,319.59338,319.20847,320.22266,326.57574,319.5903,319.55466,315.59778,313.68137,327.74588,326.48755,295.46405,363.07993,320.74832,319.55112,319.15952,319.75214,319.55466,316.79617,326.37244,319.18182,322.21368,319.20294,319.5903,346.6235,296.57092,299.68646,325.92368,320.80582,248.54935,319.52643,319.8546,293.20117,320.6024,317.83292,318.6087,320.76813,319.55466,298.43024,319.5795,318.1437,319.30054,318.34402,313.39594,296.92816,296.96597,295.35446,300.69318,294.38174,297.09384,297.4898,319.67264,320.0653,296.35666,292.58243,269.8682,269.8682,269.8682,305.26407,303.16855,270.3629,338.6093,319.40546,269.94437,271.2307,272.19482,319.26358,327.74588,254.64941,320.04953,309.62738,309.63358,319.10977,319.26358,296.24142,296.16544,298.99896,299.1039,319.2729,319.85712,300.87778,298.54227,297.65448,319.7599,318.58844,320.9657,320.57236,317.92926,325.80878,326.9986,321.73352,-888.0,272.19482,320.13605,320.27707,320.5024,350.37888,319.67343,302.19403,321.24515
1835,2015-09-16 00:00:00,296.6094,-888.0,296.108,318.0074,296.96295,297.4115,318.67975,319.45306,295.74905,323.43744,306.14374,337.18564,343.1854,338.75287,294.43365,311.93634,344.33325,286.8113,337.40326,341.60724,344.2306,319.1295,319.6561,-888.0,-888.0,319.1295,323.67725,322.4813,320.8146,320.54428,338.5494,340.7087,319.60406,319.5579,319.47482,309.11786,-888.0,320.76056,317.91644,321.19193,320.40897,297.4546,318.52435,318.83136,291.727,319.42218,319.4856,318.73743,329.59174,300.30594,325.00623,319.07776,319.18008,319.06573,307.86844,319.10965,319.86874,302.5069,-888.0,319.06573,319.51337,319.1256,319.98233,326.40305,319.51175,319.47482,315.58405,313.4921,327.57666,326.2476,294.98627,361.99576,320.526,319.46933,319.07663,319.5207,319.47482,316.5856,326.14252,319.09286,322.2444,319.11957,319.51175,346.16443,296.46292,299.326,325.69287,320.59436,248.57103,319.44647,319.78546,292.9372,320.53424,317.6615,318.52435,320.67288,319.47482,297.88525,319.4872,317.95044,319.21692,318.1031,313.33688,296.58994,296.96176,295.03616,300.43665,294.01266,296.736,297.0972,319.47183,319.86258,296.0062,293.37985,269.76212,269.76212,269.76212,305.11414,302.84885,270.26132,338.5762,319.32263,269.85434,271.11038,272.11215,319.18008,327.57666,254.62582,319.88843,309.52246,309.5137,319.02228,319.18008,295.88525,295.80807,298.53668,298.59607,319.18643,319.7584,300.32983,298.07733,297.3325,319.53696,318.36075,320.88235,320.46722,317.67566,325.64713,326.7857,321.4805,-888.0,272.11215,319.99353,320.19696,320.41138,349.7237,319.6375,301.68378,321.19193
