name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4458.205,10.109177,1324.0063,7535.449,0.0,0.0,77.11911,850.16315
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,110690.195,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,10108.876,1490.8306,4347.7407,12856.132,1751.4324,1915.4156,1083.5771,2662.2034
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,32853.184,2911.924,41.750538,20.020338,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,156319.78,22230.121,787998850.0,116668820.0,2753986600.0,8761383000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,454.5824,117276.11,20899.465,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,113440.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11812.066,0.0,0.0,31358.934,0.0,40.3623,64.25388,0.0
FROM_main_terrace,0,0,0.0,815.95435,0.0,174.58887,0.0,5849.1733,64484.438,6034.3247,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1495.9602,0.0,35.598984,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.2072885,1748.7012,13.314143,0.0,898.9115,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,65.390724,411.62747,0.0,7240.4233,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3221.7935,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,300455.25,135975.83,788158100.0,116748030.0,2753994200.0,8761457000.0,8158.1865,3512.3665
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.286,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,305.3291,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,115990.695,1413.841,6095.629,71072.05,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,113440.36,11812.066,815.95435,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,454.5824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,117276.11,0.0,0.0,174.58887,0.0,3.2072885,65.390724,3221.7935
TO_main_terrace,0,0,0.0,20899.465,0.0,31358.934,0.0,1495.9602,1748.7012,411.62747,0.0
