,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,320.73047,331.03766,323.72653,322.90732,272.39096,345.00967,329.17215,292.74854,302.41364,304.9771,251.63103,320.81683,329.31265,326.42502,342.12738,329.9284,323.69656,321.50702,321.31113,306.8695,274.30444,300.06476,292.98352,295.46814,297.5261,335.0263,-128545.086,8997.533,3229.6682,-84081.266,3100.0,1500.0,149602.22,3630.4268,22560.836,140062.25,30218.117,-14.605484,5894.9424,66825.28,4832.02
1,1980-07-23,320.76395,331.04886,323.73288,322.91382,272.39096,345.0135,329.17215,292.95862,302.41364,304.98096,251.63133,320.81757,329.35333,326.45523,342.12747,329.9361,323.69724,321.53506,321.34213,306.93372,274.30444,300.0648,292.98352,295.47522,297.5262,335.0263,-128926.55,8679.522,3217.1301,-84085.71,3100.0,1500.0,149286.06,3630.3232,22831.533,141229.05,30213.982,-14.722862,5773.1104,66837.63,4817.878
2,1980-07-30,320.79553,331.0638,323.7451,322.92618,272.39096,345.0421,329.17218,293.29108,302.4137,304.98428,251.63145,320.82166,329.37177,326.4707,342.12802,329.95007,323.7025,321.56244,321.35666,306.9448,274.30444,300.0649,292.98352,295.48254,297.5274,335.0263,-129244.68,8649.839,3193.7966,-84107.39,3100.0,1500.0,149217.42,3630.237,22903.045,141570.28,30190.309,-14.997231,5673.6455,66864.71,4818.1035
3,1980-08-06,320.78244,331.064,323.74707,322.92734,272.391,345.08112,329.1725,293.32654,302.41412,304.98233,251.63152,320.8257,329.347,326.4458,342.1286,329.95447,323.7088,321.54382,321.32767,306.88986,274.30444,300.06516,292.98352,295.48343,297.5294,335.0263,-129004.37,8918.062,3185.553,-84130.5,3100.0,1500.0,149433.58,3630.3596,22647.805,140477.77,30173.223,-15.1538315,5702.3354,66878.125,4818.342
4,1980-08-13,320.7855,331.06882,323.74615,322.9262,272.39102,345.1149,329.1733,293.15945,302.4152,304.98282,251.63158,320.8263,329.37543,326.46826,342.12872,329.9556,323.7092,321.54932,321.34515,306.9289,274.30444,300.0654,292.98352,295.4845,297.53113,335.0263,-129154.21,8729.234,3185.6682,-84139.516,3100.0,1500.0,149176.03,3630.4885,22792.23,141235.0,30180.768,-15.181709,5782.582,66878.32,4818.5713
5,1980-08-20,320.80804,331.0769,323.75494,322.93488,272.39108,345.1429,329.1749,293.18063,302.4169,304.98526,251.63162,320.82898,329.39746,326.47656,342.129,329.96576,323.7128,321.5731,321.36237,306.9502,274.30444,300.0656,292.98352,295.48715,297.5327,335.0263,-129432.54,8644.262,3180.3284,-84142.77,3100.0,1500.0,149106.0,3630.6675,22901.207,141704.47,30176.746,-15.25499,5728.083,66884.555,4818.862
6,1980-08-27,320.82687,331.08585,323.7621,322.94226,272.3912,345.1626,329.17737,293.39658,302.4189,304.98688,251.63165,320.83304,329.40625,326.4909,342.12936,329.97583,323.71912,321.59073,321.373,306.95825,274.30444,300.06577,292.98352,295.49097,297.53452,335.0263,-129651.01,8622.19,3166.9778,-84156.02,3100.0,1500.0,149063.48,3631.1433,22942.484,141952.25,30163.613,-15.443687,5653.962,66901.63,4819.792
7,1980-09-03,320.8187,331.08633,323.7611,322.9415,272.39133,345.1707,329.1807,293.50418,302.42114,304.98544,251.6317,320.8366,329.36847,326.47345,342.1297,329.98102,323.7254,321.5792,321.3459,306.92105,274.30444,300.06592,292.98352,295.4916,297.53647,335.0263,-129406.22,8808.519,3160.5935,-84171.8,3100.0,1500.0,149288.0,3632.0078,22769.02,141000.73,30151.13,-15.588409,5624.577,66913.23,4819.751
8,1980-09-10,320.8183,331.08502,323.7568,322.93808,272.3915,345.18503,329.18478,293.47693,302.42355,304.9859,251.63167,320.83722,329.37778,326.4776,342.12973,329.98022,323.72668,321.57913,321.36603,306.9431,274.30444,300.06604,292.98352,295.49496,297.53818,335.0263,-129548.3,8692.285,3154.5557,-84182.72,3100.0,1500.0,149167.77,3633.1143,22837.324,141597.1,30148.754,-15.687599,5662.646,66919.86,4822.8955
9,1980-09-17,320.8249,331.08786,323.75845,322.94025,272.3917,345.19922,329.18948,293.33765,302.42624,304.98703,251.63164,320.8391,329.375,326.48285,342.12976,329.98178,323.73026,321.58844,321.36673,306.9456,274.30444,300.06628,292.98355,295.49292,297.53992,335.0263,-129600.47,8698.361,3155.7163,-84188.22,3100.0,1500.0,149176.55,3634.4446,22857.107,141585.5,30152.178,-15.70536,5720.466,66919.41,4825.236
