,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,320.80545,331.06244,323.749,322.92892,272.39658,345.37393,329.3525,292.76025,302.41846,305.00156,251.63315,320.83612,329.36493,326.45297,342.1287,329.95395,323.7383,321.57565,321.34174,306.91394,274.3066,300.0862,293.00327,295.48938,297.55414,335.03433,-129184.96,8863.232,3116.4792,-84181.74,3100.0,1500.0,149327.14,3696.5608,22707.049,140828.5,30163.29,-14.944305,5905.4956,66911.266,4829.4023
1,1980-07-23,320.79065,331.05472,323.74258,322.9213,272.39313,345.3029,329.33167,292.71085,300.89465,304.71286,251.42213,320.8342,329.349,326.4321,342.12537,329.94403,323.73572,321.56552,321.3101,306.80853,274.30164,299.9694,292.99634,295.47107,297.55164,335.0313,-128659.26,9224.308,3534.2917,-83408.06,3100.0,1500.0,149316.83,3690.334,22418.57,139975.03,30109.371,-13.786846,5936.2607,66905.81,4998.1045
2,1980-07-30,320.76877,331.03864,323.72937,322.9072,272.38568,345.18893,329.28204,292.62262,299.1551,304.51706,251.29607,320.82718,329.33115,326.41208,342.11966,329.92575,323.72668,321.54724,321.28812,306.7655,274.29175,299.8491,292.98257,295.444,297.54324,335.02515,-128180.266,9396.83,3910.2014,-82828.6,3100.0,1500.0,149384.11,3672.9177,22308.758,139490.77,30130.887,-18.928104,5987.6733,66854.805,5084.4844
3,1980-08-06,320.7755,331.03445,323.7294,322.90793,272.38516,345.1782,329.25565,292.59995,300.47714,304.81827,251.53969,320.82272,329.3457,326.42743,342.12274,329.92316,323.7183,321.54855,321.31454,306.88077,274.2869,299.91998,292.9758,295.4429,297.53546,335.02246,-128569.44,8968.045,3463.9414,-83906.18,3100.0,1500.0,149533.44,3659.503,22666.77,140278.66,30313.852,-15.48814,5983.71,66745.01,4827.547
4,1980-08-13,320.84476,331.06854,323.7635,322.94492,272.40518,345.42953,329.33075,292.7571,307.80713,305.72623,252.23352,320.8348,329.41876,326.50293,342.1438,329.9662,323.7253,321.59802,321.4118,307.184,274.3001,300.31824,292.99414,295.5016,297.54245,335.03238,-130405.32,7843.7095,1763.5488,-87262.914,3100.0,1500.0,149709.75,3685.4094,23565.045,142779.06,30574.223,12.766357,5856.9136,66661.76,4165.163
5,1980-08-20,321.2295,331.27213,323.95868,323.15714,272.52332,346.88507,329.88055,293.7348,344.3193,310.38818,255.4919,320.91724,329.84897,326.9491,342.2507,330.21,323.7981,321.88528,321.98813,308.8422,274.39938,302.43207,293.13242,295.86392,297.62238,335.10248,-141234.42,1036.4021,-8784.07,-106125.55,3100.0,1500.0,150635.81,3798.13,28705.77,157827.0,31797.545,175.01453,5175.418,66348.91,584.1592
6,1980-08-27,321.33823,331.4463,324.09393,323.28412,272.60126,347.7897,330.51868,294.40887,351.73276,308.31598,253.71344,321.03833,329.8181,326.9053,342.27872,330.38663,323.9393,322.01648,321.80737,307.73874,274.48764,302.33737,293.2559,296.0188,297.74564,335.1654,-140132.36,5513.2144,-5838.9414,-96794.55,3100.0,1500.0,148080.4,4155.505,24891.533,150903.72,29297.162,200.68495,4745.75,67854.59,3173.4863
7,1980-09-03,321.33676,331.48376,324.06683,323.25922,272.62146,347.89392,330.72742,294.51465,342.1665,307.67047,253.29094,321.0814,329.78076,326.91476,342.2566,330.44635,324.01587,322.03384,321.81796,307.78653,274.52753,302.22742,293.31223,296.04428,297.834,335.19476,-140010.6,5512.678,-5088.9893,-95762.82,3100.0,1500.0,147462.06,4317.4575,24844.701,151197.38,29202.592,146.31178,4816.4517,68339.88,3572.4062
8,1980-09-10,321.28665,331.47583,324.03046,323.22125,272.62167,347.7032,330.75922,294.456,331.1707,306.35526,252.3404,321.0988,329.68756,326.8321,342.2265,330.44308,324.06104,322.012,321.6971,307.3747,274.54684,301.77997,293.3403,296.01263,297.89868,335.20987,-137818.08,7258.702,-2383.4763,-91117.8,3100.0,1500.0,146953.12,4372.827,23473.72,147819.47,28651.88,85.06964,4941.925,68806.555,4591.9253
9,1980-09-17,321.29526,331.46042,324.0058,323.1994,272.6274,347.588,330.73868,294.44794,328.3055,306.64127,252.68066,321.09927,329.70364,326.8555,342.21335,330.4385,324.08087,322.0189,321.74792,307.63474,274.56418,301.82593,293.3661,296.01688,297.94608,335.2236,-138276.83,6379.9434,-2839.601,-92990.75,3100.0,1500.0,147459.89,4350.64,24231.916,149517.39,28982.469,67.98784,5039.6426,68789.06,4148.3213
10,1980-09-24,321.4076,331.5056,324.05533,323.25336,272.66742,347.9257,330.9166,294.7469,337.4587,307.80426,253.54411,321.12592,329.81458,326.96338,342.23523,330.49506,324.1202,322.1068,321.88824,308.0419,274.60922,302.34344,293.43134,296.1202,298.0096,335.25674,-140924.39,4795.9053,-5336.0327,-97660.89,3100.0,1500.0,147838.58,4367.1543,25451.541,153154.83,29155.701,102.23624,4869.1016,68832.71,3273.8662
11,1980-10-01,321.3664,331.50674,324.0509,323.24368,272.67288,347.8542,330.96835,294.77493,328.57013,306.17676,252.19685,321.1477,329.698,326.85495,342.21515,330.4841,324.16284,322.09402,321.71915,307.34418,274.63046,301.8378,293.46466,296.09967,298.06503,335.2734,-138354.0,7448.7964,-2093.944,-90697.99,3100.0,1500.0,146712.06,4433.136,23203.5,148068.97,28202.664,70.25009,4944.794,69429.445,4861.4907
12,1980-10-08,321.2673,331.43198,323.9695,323.1604,272.64453,347.3788,330.75732,294.49713,314.70236,305.01184,251.51729,321.1235,329.5877,326.7515,342.17432,330.4024,324.15723,322.01944,321.60944,307.14642,274.6181,301.30023,293.4522,296.00275,298.08173,335.2666,-135791.58,8416.451,266.08096,-87499.55,3100.0,1500.0,146920.6,4372.8716,22600.906,145540.3,28240.498,16.147964,5258.5244,69462.8,5389.866
