,adequate_pen
hds_g40_0367,316.8712502419277
hds_g40_0415,320.14378654276464
hds_g40_0416,317.435074890292
hds_g40_0041,316.70135085879355
hds_g40_0366,270.9436062983922
hds_up_mang,336.7124385536929
hds_low_mang,324.63816549498995
hds_sub_terrace,280.23811395662415
hds_butterfield,287.26606554250094
hds_camphill_air,295.3562292822372
hds_sandypoint,246.71621520804334
hds_te_awa,316.32818340845967
hds_haw_town,317.02914881850836
hds_burdon,317.97920922288233
hds_ne_moraine,329.55787244853207
hds_cameron,320.15155134468034
hds_n_hawflat,318.6441368934299
hds_hawflat,317.3410838680905
hds_haw_domain,314.99967153050557
hds_w_hawflat,301.29043130196106
hds_s_terrace,273.33821524123397
hds_mid_e_terrace,289.56384087575344
hds_mid_terrace,291.46875949115946
hds_nw_terrace,289.891306953015
hds_n_mid_terrace,294.0917447917463
hds_ne_terrace,334.1276709667312
