,adequate_pen
hds_g40_0367,317.68739018259424
hds_g40_0415,320.1720822690076
hds_g40_0416,317.5167670753214
hds_g40_0041,316.8133632496913
hds_g40_0366,270.8801698255877
hds_up_mang,336.6458213448495
hds_low_mang,324.9637476782422
hds_sub_terrace,286.9457150563263
hds_butterfield,286.1989225339741
hds_camphill_air,296.2659401156916
hds_sandypoint,247.87115484881775
hds_te_awa,316.47708061846816
hds_haw_town,317.09986176335786
hds_burdon,318.0886122222539
hds_ne_moraine,329.5493844519165
hds_cameron,320.2783277213525
hds_n_hawflat,318.9353385524959
hds_hawflat,318.0230884585865
hds_haw_domain,315.322375447236
hds_w_hawflat,302.15464341248673
hds_s_terrace,272.1969759486667
hds_mid_e_terrace,289.83181043931285
hds_mid_terrace,290.898383408531
hds_nw_terrace,290.1041048795615
hds_n_mid_terrace,294.2376652034474
hds_ne_terrace,329.8941566144571
