,i,j,k,ibound,mx,my
23,0,115,2,1.0,1307801.0,5055875.0
56,5,110,2,1.0,1307301.0,5055375.0
57,5,115,2,1.0,1307801.0,5055375.0
89,10,105,2,1.0,1306801.0,5054875.0
90,10,110,2,1.0,1307301.0,5054875.0
91,10,115,2,1.0,1307801.0,5054875.0
122,15,100,2,1.0,1306301.0,5054375.0
123,15,105,2,1.0,1306801.0,5054375.0
124,15,110,2,1.0,1307301.0,5054375.0
125,15,115,2,1.0,1307801.0,5054375.0
155,20,95,2,1.0,1305801.0,5053875.0
156,20,100,2,1.0,1306301.0,5053875.0
157,20,105,2,1.0,1306801.0,5053875.0
158,20,110,2,1.0,1307301.0,5053875.0
159,20,115,2,1.0,1307801.0,5053875.0
183,25,65,2,1.0,1302801.0,5053375.0
184,25,70,2,1.0,1303301.0,5053375.0
185,25,75,2,1.0,1303801.0,5053375.0
186,25,80,2,1.0,1304301.0,5053375.0
187,25,85,2,1.0,1304801.0,5053375.0
188,25,90,2,1.0,1305301.0,5053375.0
189,25,95,2,1.0,1305801.0,5053375.0
190,25,100,2,1.0,1306301.0,5053375.0
191,25,105,2,1.0,1306801.0,5053375.0
192,25,110,2,1.0,1307301.0,5053375.0
193,25,115,1,1.0,1307801.0,5053375.0
216,30,60,1,1.0,1302301.0,5052875.0
217,30,65,2,1.0,1302801.0,5052875.0
218,30,70,2,1.0,1303301.0,5052875.0
219,30,75,2,1.0,1303801.0,5052875.0
220,30,80,2,1.0,1304301.0,5052875.0
221,30,85,2,1.0,1304801.0,5052875.0
222,30,90,2,1.0,1305301.0,5052875.0
223,30,95,2,1.0,1305801.0,5052875.0
224,30,100,2,1.0,1306301.0,5052875.0
225,30,105,1,1.0,1306801.0,5052875.0
226,30,110,1,1.0,1307301.0,5052875.0
227,30,115,1,1.0,1307801.0,5052875.0
239,35,5,1,1.0,1296801.0,5052375.0
241,35,15,1,1.0,1297801.0,5052375.0
249,35,55,1,1.0,1301801.0,5052375.0
250,35,60,1,1.0,1302301.0,5052375.0
251,35,65,2,1.0,1302801.0,5052375.0
252,35,70,2,1.0,1303301.0,5052375.0
253,35,75,2,1.0,1303801.0,5052375.0
254,35,80,2,1.0,1304301.0,5052375.0
255,35,85,2,1.0,1304801.0,5052375.0
256,35,90,2,1.0,1305301.0,5052375.0
257,35,95,1,1.0,1305801.0,5052375.0
258,35,100,1,1.0,1306301.0,5052375.0
259,35,105,1,1.0,1306801.0,5052375.0
260,35,110,1,1.0,1307301.0,5052375.0
261,35,115,1,1.0,1307801.0,5052375.0
272,40,0,1,1.0,1296301.0,5051875.0
273,40,5,1,1.0,1296801.0,5051875.0
274,40,10,1,1.0,1297301.0,5051875.0
275,40,15,1,1.0,1297801.0,5051875.0
276,40,20,1,1.0,1298301.0,5051875.0
283,40,55,1,1.0,1301801.0,5051875.0
284,40,60,1,1.0,1302301.0,5051875.0
285,40,65,1,1.0,1302801.0,5051875.0
286,40,70,1,1.0,1303301.0,5051875.0
287,40,75,1,1.0,1303801.0,5051875.0
288,40,80,1,1.0,1304301.0,5051875.0
289,40,85,1,1.0,1304801.0,5051875.0
290,40,90,1,1.0,1305301.0,5051875.0
291,40,95,1,1.0,1305801.0,5051875.0
292,40,100,1,1.0,1306301.0,5051875.0
293,40,105,1,1.0,1306801.0,5051875.0
294,40,110,1,1.0,1307301.0,5051875.0
295,40,115,1,1.0,1307801.0,5051875.0
306,45,0,1,1.0,1296301.0,5051375.0
307,45,5,1,1.0,1296801.0,5051375.0
