well_name,nztmx,nztmy,group,type,i,j
1,1297687.5678181476,5051318.650053312,1,indicator,46,14
2,1299910.7147634265,5049253.546729735,1,indicator,66,36
3,1300416.4543528738,5044933.687736539,1,indicator,109,41
4,1299447.1201397665,5046240.181675945,1,indicator,96,31
5,1301259.3536686192,5047989.197756117,1,indicator,79,50
6,1307602.1710196042,5039486.450908534,1,indicator,164,113
8,1302081.1805014708,5051582.056089481,1,indicator,43,58
9,1303313.9207507488,5053309.999686759,1,indicator,26,70
10,1304409.689861218,5051961.360781566,1,indicator,39,81
11,1307238.6706896885,5054811.414092929,1,indicator,11,109
12,1306806.6847903691,5051829.657763479,1,indicator,40,105
13,1305696.9111156503,5049747.259640472,1,indicator,61,94
14,1305257.8572976866,5048468.596741944,1,indicator,74,90
15,1303593.1311490892,5050080.6416833075,1,indicator,58,73
16,1303298.1163885782,5048110.364532752,1,indicator,78,70
17,1307301.8881383694,5041514.677387043,1,indicator,144,110
18,1307449.3955186247,5044612.332372407,1,indicator,113,111
19,1304414.9579819408,5044549.114923727,1,indicator,113,81
20,1302096.9848636407,5045897.7538289195,1,indicator,100,58
21,1304119.94322143,5046614.218247304,1,indicator,93,78
22,1306901.5109633903,5046824.94307624,1,indicator,91,106
