,max_pumping_rate,terrace_hk,flat_hk,terrace_sy,flat_sy,riv_cond
000,100.0,0.1,0.1,0.1,0.1,750.0
001,100.0,0.1,0.1,0.1,0.1,1500.0
002,100.0,0.1,0.1,0.1,0.1,2500.0
003,100.0,0.1,0.1,1.0,1.0,750.0
004,100.0,0.1,0.1,1.0,1.0,1500.0
005,100.0,0.1,0.1,1.0,1.0,2500.0
006,100.0,0.1,0.1,10.0,10.0,750.0
007,100.0,0.1,0.1,10.0,10.0,1500.0
008,100.0,0.1,0.1,10.0,10.0,2500.0
009,100.0,1.0,1.0,0.1,0.1,750.0
010,100.0,1.0,1.0,0.1,0.1,1500.0
011,100.0,1.0,1.0,0.1,0.1,2500.0
012,100.0,1.0,1.0,1.0,1.0,750.0
013,100.0,1.0,1.0,1.0,1.0,1500.0
014,100.0,1.0,1.0,1.0,1.0,2500.0
015,100.0,1.0,1.0,10.0,10.0,750.0
016,100.0,1.0,1.0,10.0,10.0,1500.0
017,100.0,1.0,1.0,10.0,10.0,2500.0
018,100.0,10.0,10.0,0.1,0.1,750.0
019,100.0,10.0,10.0,0.1,0.1,1500.0
020,100.0,10.0,10.0,0.1,0.1,2500.0
021,100.0,10.0,10.0,1.0,1.0,750.0
022,100.0,10.0,10.0,1.0,1.0,1500.0
023,100.0,10.0,10.0,1.0,1.0,2500.0
024,100.0,10.0,10.0,10.0,10.0,750.0
025,100.0,10.0,10.0,10.0,10.0,1500.0
026,100.0,10.0,10.0,10.0,10.0,2500.0
027,500.0,0.1,0.1,0.1,0.1,750.0
028,500.0,0.1,0.1,0.1,0.1,1500.0
029,500.0,0.1,0.1,0.1,0.1,2500.0
030,500.0,0.1,0.1,1.0,1.0,750.0
031,500.0,0.1,0.1,1.0,1.0,1500.0
032,500.0,0.1,0.1,1.0,1.0,2500.0
033,500.0,0.1,0.1,10.0,10.0,750.0
034,500.0,0.1,0.1,10.0,10.0,1500.0
035,500.0,0.1,0.1,10.0,10.0,2500.0
036,500.0,1.0,1.0,0.1,0.1,750.0
037,500.0,1.0,1.0,0.1,0.1,1500.0
038,500.0,1.0,1.0,0.1,0.1,2500.0
039,500.0,1.0,1.0,1.0,1.0,750.0
040,500.0,1.0,1.0,1.0,1.0,1500.0
041,500.0,1.0,1.0,1.0,1.0,2500.0
042,500.0,1.0,1.0,10.0,10.0,750.0
043,500.0,1.0,1.0,10.0,10.0,1500.0
044,500.0,1.0,1.0,10.0,10.0,2500.0
045,500.0,10.0,10.0,0.1,0.1,750.0
046,500.0,10.0,10.0,0.1,0.1,1500.0
047,500.0,10.0,10.0,0.1,0.1,2500.0
048,500.0,10.0,10.0,1.0,1.0,750.0
049,500.0,10.0,10.0,1.0,1.0,1500.0
050,500.0,10.0,10.0,1.0,1.0,2500.0
051,500.0,10.0,10.0,10.0,10.0,750.0
052,500.0,10.0,10.0,10.0,10.0,1500.0
053,500.0,10.0,10.0,10.0,10.0,2500.0
054,1000.0,0.1,0.1,0.1,0.1,750.0
055,1000.0,0.1,0.1,0.1,0.1,1500.0
056,1000.0,0.1,0.1,0.1,0.1,2500.0
057,1000.0,0.1,0.1,1.0,1.0,750.0
058,1000.0,0.1,0.1,1.0,1.0,1500.0
059,1000.0,0.1,0.1,1.0,1.0,2500.0
060,1000.0,0.1,0.1,10.0,10.0,750.0
061,1000.0,0.1,0.1,10.0,10.0,1500.0
062,1000.0,0.1,0.1,10.0,10.0,2500.0
063,1000.0,1.0,1.0,0.1,0.1,750.0
064,1000.0,1.0,1.0,0.1,0.1,1500.0
065,1000.0,1.0,1.0,0.1,0.1,2500.0
066,1000.0,1.0,1.0,1.0,1.0,750.0
067,1000.0,1.0,1.0,1.0,1.0,1500.0
068,1000.0,1.0,1.0,1.0,1.0,2500.0
069,1000.0,1.0,1.0,10.0,10.0,750.0
070,1000.0,1.0,1.0,10.0,10.0,1500.0
071,1000.0,1.0,1.0,10.0,10.0,2500.0
072,1000.0,10.0,10.0,0.1,0.1,750.0
073,1000.0,10.0,10.0,0.1,0.1,1500.0
074,1000.0,10.0,10.0,0.1,0.1,2500.0
075,1000.0,10.0,10.0,1.0,1.0,750.0
076,1000.0,10.0,10.0,1.0,1.0,1500.0
