Series 1: ,,
X,Y,
34.84354566,32.57918552,
36.08040705,34.61538462,
37.0906555,34.38914027,
40.70279991,41.55354449,
42.65468876,46.3800905,
44.4993407,49.09502262,
46.73431144,52.86576169,
47.12571145,52.26244344,
47.71222172,52.26244344,
48.7309233,55.73152338,
50.81855385,52.26244344,
54.34331639,43.51432881,
56.01487556,45.173454,
57.48906375,49.69834087,
59.40065276,49.69834087,
62.24582221,50.45248869,
63.65847941,49.39668175,
65.54628168,52.56410256,
69.80764685,46.83257919,
73.30351144,49.09502262,
74.86567126,51.96078431,
75.73437877,52.26244344,
76.64682636,52.11161388,
82.86587964,42.30769231,
84.5592597,43.81598793,
85.96926301,46.83257919,
87.27124306,48.94419306,
88.09630878,49.54751131,
89.55064192,51.2066365,
90.07198438,51.2066365,
92.39836697,48.03921569,
95.16332989,38.53695324,
95.92519365,36.12368024,
97.12101799,34.46455505,
99.67937046,42.00603318,
,,
X - axis,,
X,Y,Actual (yy/mm)
0.021673456,0.075414781,7601
3.692891549,-0.075414781,7604
7.190328822,-0.226244344,7607
10.75273732,-0.075414781,7610
14.51074753,-0.075414781,7701
18.05133513,0.226244344,7704
21.67900972,0.226244344,7707
25.26333741,0.075414781,7710
28.8258442,0.075414781,7801
32.34490578,0.075414781,7804
36.03764989,0.226244344,7807
39.62197757,0.075414781,7810
43.14103916,0.075414781,7901
46.55129114,0.377073906,7904
50.00508663,0.527903469,7907
53.6113335,0.075414781,7910
57.28255159,-0.075414781,8001
60.77989057,-0.075414781,8004
64.25550695,-0.075414781,8007
67.77466683,-0.226244344,8010
71.33697703,0.075414781,8101
74.89977869,-0.377073906,8104
78.4403663,-0.075414781,8107
81.91627755,-0.527903469,8110
85.39169735,-0.226244344,8201
88.82396681,-0.377073906,8204
92.40809791,-0.226244344,8207
96.0141482,-0.377073906,8210
99.59847588,-0.527903469,8301
,,
Y - axis,,
X,Y,Actual (cm)
-2.867334366,-0.075414781,31000
-2.948425529,24.35897436,32000
-2.964545469,49.09502262,33000
-2.93702362,73.52941176,34000
-2.931126081,97.81297134,35000
