Series 1: ,,
X,Y,
11.9199954,21.66547587,
12.75667399,20.32156457,
14.20703158,18.40316586,
15.93267495,17.39469862,
17.4074476,17.26559601,
19.71946718,17.82946951,
22.39072378,20.18457449,
23.62610748,19.2283243,
24.9412491,18.41016244,
26.01715536,17.31536311,
27.17293475,16.7715347,
28.50823665,16.7792532,
29.96357863,18.43919325,
32.33557984,19.69154998,
35.68498994,23.9773572,
37.67855386,26.05329027,
40.15097248,30.05877356,
42.8233043,36.2674493,
44.0795779,38.75200249,
45.07634065,39.72115526,
46.29244728,41.10445783,
46.81093134,42.20847329,
47.86721493,42.21457898,
48.84473902,45.66091204,
50.23944655,44.29270088,
51.31539122,43.33552908,
54.68165916,36.61124931,
56.33599272,37.17132116,
57.55248336,39.930899,
58.34944812,39.1097419,
59.66528094,40.76887553,
61.16009868,41.05277071,
62.3760133,41.74793564,
63.75086776,40.65486434,
64.64778912,40.93530347,
65.7248858,44.10695748,
67.77727934,42.74254797,
70.00881139,40.55341012,
71.9020731,40.28909922,
74.31404927,41.95456894,
75.58975354,42.65007948,
77.60267133,42.66171484,
79.23657581,41.43251363,
80.49181258,40.20112358,
83.2209388,35.67519781,
85.1346296,37.20015996,
87.98552392,40.51969445,
89.42082082,41.76663671,
90.95545991,41.91313476,
92.35039784,41.37068876,
94.44157592,36.1529389,
96.07475079,32.30881467,
97.25015285,30.66408124,
98.68502735,30.3971207,
99.8816649,33.43183839,
,,
X - axis,,
X,Y,Actual (yy/mm)
-0.015951583,0.374351482,7601
3.690967525,0.258151455,7604
7.238524403,0.416284869,7607
10.78596608,0.161535702,7610
14.47307051,0.458103055,7701
18.06037194,0.203584291,7704
21.72743129,0.08715386,7707
25.27502657,0.382914802,7710
28.84239813,0.128280836,7801
32.42985316,0.424272181,7804
36.0172698,0.582635999,7807
39.68429075,0.328578041,7810
43.19194947,0.348853525,7901
46.59995879,0.368553001,7904
50.06775775,0.388598082,7907
53.69491894,0.134309721,7910
57.38206177,0.568504601,8001
60.84978393,0.313294627,8004
64.33739757,-0.079427672,8007
67.84509469,0.078475339,8010
71.39276677,0.649491335,8101
74.96017672,0.532484896,8104
78.56748484,0.553336388,8107
82.0352454,0.435753942,8110
85.58272547,0.318632302,8201
88.9907732,0.475959305,8204
92.51828499,0.221094936,8207
96.26506386,0.105125312,8210
99.79272926,0.400771052,8301
,,
Y - axis,,
X,Y,Actual (cm)
-2.885892572,0.220134923,31000
-2.918993835,24.44234931,32000
-2.892151859,49.21541941,33000
-2.885278163,73.85074679,34000
-2.898487948,97.93544885,35000
