,bore_13,bore_315,bore_513,bore_515,bore_butterfields
2018-01-06 12:00:00,324.5447,328.75192,321.42297,322.98636,319.9665
2015-07-22 00:00:00,324.49908,328.58017,321.73465,323.15225,320.16867
2015-07-29 00:00:00,324.42392,328.30948,321.72708,323.116,320.23547
2015-08-05 00:00:00,324.47388,328.2244,321.8384,323.2356,320.4828
2015-08-12 00:00:00,324.3133,327.9869,321.74963,323.08676,320.4343
2015-08-19 00:00:00,324.10117,327.74246,321.4652,322.8743,320.3216
2015-08-26 00:00:00,323.85257,327.46024,321.30585,322.67453,320.18552
2015-09-02 00:00:00,323.6251,327.17795,320.99338,322.39407,320.02652
2015-09-09 00:00:00,323.3422,326.91516,320.62598,322.06406,319.80887
2015-09-16 00:00:00,323.13208,326.73407,320.41226,321.8732,319.63858
2015-09-23 00:00:00,323.06216,326.62476,320.41098,321.80768,319.5572
2015-09-30 00:00:00,323.0299,326.50433,320.37708,321.71286,319.4901
2015-10-07 00:00:00,322.98608,326.43213,320.2576,321.63214,319.40002
2015-10-14 00:00:00,322.92416,326.39453,320.11707,321.50403,319.30133
2015-10-21 00:00:00,322.92703,326.4444,320.0587,321.43707,319.23608
2015-10-28 00:00:00,322.96408,326.52322,320.03668,321.41882,319.1789
2015-11-04 00:00:00,323.01218,326.63553,320.03683,321.42694,319.12723
2015-11-11 00:00:00,323.08932,326.72897,320.16464,321.4952,319.13022
2015-11-18 00:00:00,323.09805,326.7248,320.0649,321.36606,319.08542
2015-11-25 00:00:00,323.0953,326.78906,319.9862,321.35968,318.9968
2015-12-02 00:00:00,323.29938,327.08643,320.08844,321.49872,318.9828
2015-12-09 00:00:00,323.55984,327.4485,320.22647,321.68665,319.00443
2015-12-16 00:00:00,323.7376,327.69904,320.28357,321.7357,319.02316
2015-12-23 00:00:00,323.88892,327.9102,320.42328,321.88504,319.04608
2015-12-30 00:00:00,324.0138,328.0786,320.5121,321.9483,319.09387
2016-01-06 00:00:00,324.13513,328.2515,320.68082,322.1874,319.15988
2016-01-13 00:00:00,324.2216,328.3773,320.7417,322.26062,319.22296
2016-01-20 00:00:00,324.28528,328.46722,320.83136,322.30182,319.2656
2016-01-27 00:00:00,324.37354,328.56876,320.90292,322.3896,319.31665
2016-02-03 00:00:00,324.43332,328.68622,320.89932,322.4679,319.34192
2016-02-10 00:00:00,324.506,328.81958,321.02557,322.62674,319.3909
