DateLake,LakeLevel_m,Flow_L_s
1/01/2012 0:00,343.566,46674
2/01/2012 0:00,343.545,39197
3/01/2012 0:00,343.543,25143
4/01/2012 0:00,343.554,22429
5/01/2012 0:00,343.557,39269
6/01/2012 0:00,343.526,36034
7/01/2012 0:00,343.53,31381
8/01/2012 0:00,343.529,31382
9/01/2012 0:00,343.532,43847
10/01/2012 0:00,343.517,54246
11/01/2012 0:00,343.493,54287
12/01/2012 0:00,343.471,54337
13/01/2012 0:00,343.483,50572
14/01/2012 0:00,343.526,24221
15/01/2012 0:00,343.541,15039
16/01/2012 0:00,343.54,22047
17/01/2012 0:00,343.54,28003
18/01/2012 0:00,343.544,22728
19/01/2012 0:00,343.561,34813
20/01/2012 0:00,343.533,52883
21/01/2012 0:00,343.508,56046
22/01/2012 0:00,343.464,51691
23/01/2012 0:00,343.438,56167
24/01/2012 0:00,343.414,47497
25/01/2012 0:00,343.404,31530
26/01/2012 0:00,343.419,31555
27/01/2012 0:00,343.43,35827
28/01/2012 0:00,343.448,47464
29/01/2012 0:00,343.414,47437
30/01/2012 0:00,343.401,47429
31/01/2012 0:00,343.397,41147
1/02/2012 0:00,343.373,31840
2/02/2012 0:00,343.381,31795
3/02/2012 0:00,343.382,31827
4/02/2012 0:00,343.38,31731
5/02/2012 0:00,343.375,31737
6/02/2012 0:00,343.371,31733
7/02/2012 0:00,343.367,31742
8/02/2012 0:00,343.36,46590
9/02/2012 0:00,343.342,56152
10/02/2012 0:00,343.298,62625
11/02/2012 0:00,343.259,73064
12/02/2012 0:00,343.225,72853
13/02/2012 0:00,343.187,72724
14/02/2012 0:00,343.152,59554
15/02/2012 0:00,343.126,42224
16/02/2012 0:00,343.113,37550
17/02/2012 0:00,343.109,31312
18/02/2012 0:00,343.099,31291
19/02/2012 0:00,343.069,31297
20/02/2012 0:00,343.067,31265
21/02/2012 0:00,343.053,31270
22/02/2012 0:00,343.042,31291
23/02/2012 0:00,343.097,26737
24/02/2012 0:00,343.167,15151
25/02/2012 0:00,343.181,13269
26/02/2012 0:00,343.193,13257
27/02/2012 0:00,343.2,13253
28/02/2012 0:00,343.207,13263
29/02/2012 0:00,343.215,13302
1/03/2012 0:00,343.241,13305
2/03/2012 0:00,343.252,13304
3/03/2012 0:00,343.26,15636
4/03/2012 0:00,343.274,15746
5/03/2012 0:00,343.288,8820
6/03/2012 0:00,343.302,14380
7/03/2012 0:00,343.298,8144
8/03/2012 0:00,343.316,13606
9/03/2012 0:00,343.319,32386
10/03/2012 0:00,343.322,13872
11/03/2012 0:00,343.346,13937
12/03/2012 0:00,343.399,13869
13/03/2012 0:00,343.408,13876
14/03/2012 0:00,343.431,13876
15/03/2012 0:00,343.43,13894
16/03/2012 0:00,343.432,13904
17/03/2012 0:00,343.451,13903
18/03/2012 0:00,343.447,13902
19/03/2012 0:00,343.443,13949
20/03/2012 0:00,343.454,20118
21/03/2012 0:00,343.452,31659
22/03/2012 0:00,343.448,31713
23/03/2012 0:00,343.447,31753
24/03/2012 0:00,343.457,31830
25/03/2012 0:00,343.505,31831
26/03/2012 0:00,343.517,49424
