Well Number,Description,Depth,Geology,Lithology
F40/0198,Very Sandy GRAVELS,24.7,,GRSA
G43/0222,Silty SAND fine GRAVELS,2,,GRSISA
G45/0152,"ROCK, water",28,,TERT
F41/0341,BOULDER Schist,9.8,,BO
G41/0416,large Sandy GRAVELS ,25,,CGRSA
F40/0238,Silty SAND and GRAVELS ,38.6,,GRSISA
F41/0425,TOPSOIL ,0.4,,SOIL
J42/0177,Blue MUDSTONE ,24,,MS
F41/0305,Silty Sandy GRAVELS ,6.2,,GRSISA
C-2010,Pale grey sandy/Silty MUDSTONE ,18.8,,MS
G42/0708,Silty Sandy GRAVELS ,32.6,,GRSISA
G45/0214,Oxidised GREYWACKE ROCK ,31.1,,BaseRock
I43/0039,Green Brown MUDSTONE ,54.7,,MS
I44/0815,Green-brown CLAY ,11.1,,CL
I44/1079,Blue CLAY ,30.2,,CL
G40/0212,Grey Silty SAND ,41.4,,SISA
G41/0308,TOPSOIL,0.2,,SOIL
J41/0717,Claybound small GRAVELS ,9,,FGRCL
C-2021,MUDSTONE ,116,,MS
J41/0520,SAND,27,,SA
G40/0133,Claybound SAND,14.8,,CLSA
C-2015,White Sandy MUDSTONE,5.9,,MS
G42/0667,loose Sandy GRAVELS,68.5,,GRSA
J41/0574,Yellow CLAY,13.6,,CL
F40/0093,GRAVELS and WOOD,1,,GRWO
G41/0339,QUARTZ GRAVEL,5.9,,GR
G40/0185,Silty Sandy GRAVELS and COBBLES,22.6,,CGRSISA
I44/1056,Grey CLAY,19.3,,CL
I44/0900,CLAY,27.9,,CL
G45/0244,TOPSOIL,0.25,,SOIL
C-2044,MUDSTONE,79.5,,MS
G42/0822,Sandy coarse GRAVEL,9.3,,CGRSA
G40/0202,Brown Sandy quartz GRAVELS,21.1,,GRSA
H42/0102,Yellow CLAY,0.75,,CL
ECL 2013-22,MEDIUM GRAVELLY coarse SAND GREY,11,,CGRSA
G42/0791,SOIL,0.3,,SOIL
I44/1051A,CLAY,8.7,,CL
G46/0140,Sandy CLAY,1.4,,CLSA
I44/0791,CLAY,17,,CL
G42/0768,GRAVEL some BOULDERS,23,,BOGR
G40/0172,TOPSOIL,0.4,,SOIL
C-2011,Sandy MUDSTONE,166.3,,MS
I44/1144,"Sandy fine to medium GRAVELS with some Silt, grey, well graded, also containing interbeds of coarse Gravel and Sands",39.5,,GRSISA
G44/0212,CLAY,3,,CL
C-2032,Bedded Silty MUDSTONES with subordinate fine Sandy MUDSTONES,123.5,,MS
J41/0486,Grey waxy MUDSTONE,55.2,,MS
G41/0248,Sandy GRAVELS,24.75,,GRSA
F41/0242,Grey CLAY,29,,CL
J43/0110,"Loess SILT, brown, moist",5,,SI
G45/0226,Brown CLAY with GRAVELS,7.9,,GRCL
I44/1078,CLAY,7.2,,CL
C-2019,Grey MUDSTONE with band of grey green siltsone,30.4,,MS
G42/0637,Yellow Silty Sandy GRAVEL,3.1,,GRSISA
F40/0344-3,Grey SILT,30,,SI
I44/0782,Fine GRAVEL,32,,FGR
I44/0089,Quartz GRAVEL (water bearing),59.75,,GR
G40/0042,TOPSOIL,0.4,,SOIL
J41/0006,Yellow Brown silt like CLAY,7.75,,CLSI
J41/0383,Brown Silty CLAY,4.4,,CLSI
F41/0324,Sandy green/grey GRAVELS,36.4,,GRSA
G40/0154,Yellow CLAY,34.7,,CL
J41/0288,"GRAVELS, COBBLES and SAND",8,,CGRSA
G43/0213,Silty Sandy small GRAVELS,21.5,,FGRSISA
C-2013,Fine-med quartzose GRAVELS and SANDS,30.3,,FGRSA
G45/0267,Grey SAND,98,,SA
J41/0512,CLAY,4.57,,CL
G42/0784,Green Silty fine SAND,20,,SISA
J42/0120,Topsoil,0.4,,SOIL
G41/0364,Yellow Silty GRAVELS,12,,GRSI
G42/0571,Sandy coarse GRAVEL,27,,CGRSA
G40/0300,CLAY,12.4,,CL
G40/0413,"Damp Claybound GRAVELS, medium",40.5,,GRCL
G45/0186,Blue PUG and ROCK,40.5,,CL
I44/0738,Yellow SAND,29.3,,SA
C-2020,White MUDSTONE,68.8,,MS
I44/0030,CLAY,13.3,,CL
I44/0734,Gravel and Boulders,5.8,,BOGR
G46/0147-1,Claybound GRAVELS,24,,GRCL
G41/0467,TOPSOIL,0.2,,SOIL
F40/0348,Silty Angular GRAVELS,1.4,,SI
G40/0264,SAND,11.5,,SA
F40/0213,Grey Silty Sandy GRAVELS,7.6,,GRSISA
G41/0230,BOULDERS,24.8,,BO
ECL 2013-3,SAND BROWN,22,,SA
G42/0865,Blue SILT,7.5,,SI
F41/0186,Very Silty Sandy GRAVEL,14.2,,GRSISA
G42/0131,Topsoil,0.5,,SOIL
I44/0760,Brown CLAY,25.3,,CL
E41/0106,"Sandy GRAVELS, damp",24,,GRSA
G41/0319,Fine SAND,38,,FSA
F40/0271,Silty Sandy Flat Angular GRAVELS,23.5,,GRSISA
G41/0115,Small Sandy GRAVELS,19.5,,FGRSA
J41/0583,White and Brown small GRAVELS and SAND,6,,GRSA
F41/0448,Silty coarse outwash GRAVELS,22.1,,CGRSI
I44/0516,CLAY,4,,CL
I44/0109,Sandy GRAVELS,24.7,,GRSA
J42/0170,Moist brown CLAY,17,,CL
G41/0480,Silty coarse GRAVELS,11.6,,GRSI
ECL 2013-16,MEDIUM to coarse Sandy medium GRAVEL grey BROWN,6,,GRSA
C-2049,Subrounded GRAVELS quartz 70% and Schist30%,2,,GR
G42/0204,Sandy CLAY,31.6,,CLSA
J41/0392,Brown SILTSTONE,26.9,,MS
H42/0187,Grey Blue PUG,7.7,,CL
I44/0772,GRAVEL,9.45,,GR
F40/0115,CLAY,1.4,,CL
I44/0935,Volcanic GRIT and CLAY,8.4,,CSACL
G42/0776,SAND GRAVELS,4,,GRSA
F40/0298,Grey SCHIST rock,15,,SCHIST
I44/1027,CLAY,16.3,,CL
G43/0153,Sandy brown GRAVELS,7.5,,GRSA
H41/0165,SANDS,35.8,,SA
I44/1119,Sandy SILT DARK GREY,1.1,,SISA
F41/0253,Clean GRAVELS with little Sand,34.3,,GRSA
J41/0146,GRAVEL,6.1,,GR
F41/0130,COAL and MUDSTONE,37,,COMS
H42/0197,Brown SAND,35.9,,SA
C-2044,LIGNITE - fractured and broken,46.4,,LIGN
G42/0788,"Grey Psammitic GNEISS with strong Quartz segregation, minor fracturing",33.6,,TERT
F41/0446A,SCHIST,6,,SCHIST
C-2060,W carbonaceous Sandy MUDSTONE,88.3,,MS
F40/0335,"Silty Sandy GRAVELS, some Cobbles",22.5,,CGRSISA
F40/0344-1,Loose grey Silty Sandy GRAVELS,10.5,,GRSISA
H46/0162,Blue ROCK,200,,TERT
G40/0318,Sandy GRAVELS,20.1,,GRSA
J41/0714,"SILT, reddish brown, Sandy",2,Weathered Tuff,SISA
F40/0295,Silts,1,,SI
G44/0120,Coarse GRAVELS,14,,CGR
I44/1006,"Silty GRAVELS, yellow, rounded",58.1,,GRSI
G40/0338,TOPSOIL,0.3,,SOIL
G42/0216,Quartz GRIT,23.4,,CSA
G42/0403,COBBLES and BOULDERS,31.5,,BOCGR
G40/0152,Coarse Cobbly GRAVELS,4.9,,CGR
H42/0200,Blue SILT,30.5,,SI
J41/0577,Dark grey ROCK with black specks,41,,TERT
J41/0750,Weathered ROCK,19.5,,TERT
C-2044,W carbonaceous MUDSTONE,17,,MS
G41/0339,Yellow Sandy coarse GRAVEL,4.4,,GRSA
I44/0753,Fine medium brown GRAVEL (water bearing),36.5,,FGR
G43/0239,TERTIARY CLAY,12.8,,CL
G42/0630,Fine CLAY some Grit,55.6,,FCLCSA
J41/0290,Small to large grey and brown GRAVELS and SAND,27,,GRSA
G42/0547,CLAY,17.6,,CL
G41/0134,Brown Sandy SILTS and GRAVEL,8,,GRSISA
J43/0006,GRAVEL and SAND,9.14,,GRSA
G40/0294,CLAY,47.7,,CL
G42/0177,SCHIST Rock,20,,SCHIST
G45/0100,Brown MUDSTONE,12.5,,MS
G41/0228,"Large boulders, some GRAVELS, some Sand",23.1,,BOGRSA
I44/0997,Quartz GRAVELS and River GRAVELS good flows,25,,GR
J41/0207,Grey brown CLAY packed with Quartz GRAVELS,113.4,,CLGR
H45/0334,Sandy GRAVEL grey pieces of CONCRETE FILL,1.2,,FILL
I44/0937,Grey Claybound GRAVEL,13,,GRCL
G44/0103,Sandy GRAVELS and CLAY,22.4,,GRCLSA
I44/1022,"River GRAVELS, Quartz and SAND",23.1,,GRSA
G40/0065,Yellow Silty Sandy GRAVEL,33.2,,GRSISA
I44/0721,Topsoil,1.8,,SOIL
F42/0145,SAND Silty odd GRAVEL,36.2,,GRSISA
G44/0247,ROCK,21,,TERT
F40/0259,Lightly Claybound GRAVELS,19,,GRCL
F41/0481A,Brown SILT/SAND,6.1,,SISA
F40/0300,Silty Sandy coarse GRAVEL with COBBLES,17.5,,CGRSISA
J41/0121,MUDSTONE,6.2,,MS
I44/0759,Loose SAND and GRAVEL,14.8,,GRSA
F41/0099,Silty SCHIST GRAVEL,10.1,,GRSI
G44/0205,Silts,0.2,,SI
G43/0077,Yellow HEAVY Claybound GRAVELS,14.5,,GRCL
I44/0545,GRAVELS light Claybound,18.3,,GRCL
J41/0593,Dark grey SILTSTONE,29.2,,SS
I44/0627,Blue Sandy PUG,25.4,,CLSA
I44/0742,Yellow CLAY,17.4,,CL
G41/0292,loose Sandy GRAVEL,25.5,,GRSA
J41/0719,Tight Claybound GRAVELS,10.5,,CEGRCL
J41/0755,DARK grey SANDSTONE,28,,SS
ECL 2013-23,FINE GRAVELLY medium SAND LIGHT BROWN,23,,FGRSA
J42/0076,Soft CLAY,15.2,,CL
H43/0205,Claybound GRAVELS,3,,GRCL
G41/0487,Silty coarse GRAVELS,28.8,,GRSI
F40/0316,"Silty SCHIST, odd Cobble",36.5,,SCHIST
G40/0281,"TOPSOIL, odd Gravel Sands",2.6,,SOIL
C-2049,Bedded MUDSTONE and Silty MUDSTONE,63.3,,MS
G42/0125,Brown CLAY and GRAVELS,3,,GRCL
G42/0663,Fine GRAVELS,42,,FGR
J41/0272,"Blue and brown ROCK, blue Sandy MUDSTONE",51,,SAMS
H45/0297,Tight Silty GRAVELS,45.3,,GRSI
F40/0047,Sandy GRAVELS,13.2,,GRSA
G40/0013,Very Silty GRAVELS,26.7,,GRSI
G42/0704,"SCHIST ROCK and Quartz, fractured 86-87.5m",106,,SCHIST
J41/0742,DARK BROWN DAMP CLAY and SILT,15.6,,CLSI
I44/0750,Claybound GRAVEL,20.5,,GRCL
E41/0105,Sandy GRAVELS,47.6,,GRSA
G41/0378,Yellow SAND with small GRAVELS,14.5,,GRSA
F40/0358,TOPSOIL SILTS,1.2,,SOIL
G41/0112,BOULDER,6.1,,BO
G41/0429,Large GRAVELS,4,,CGR
C-2016,LIGNITE,166.7,,LIGN
H45/0306,Brown broken ROCK and yellow CLAY,25.75,,CL
I44/0701,Sandy CLAY,3.8,,CLSA
F40/0092,Wood,3,,WO
H41/0160,Light soil,0.3,,SOIL
I44/0781,Fine tight GRAVEL,37.8,,SOIL
ECL 2013-18,MEDIUM GRAVELLY SAND BROWNISH GREY,23.5,,GRSA
I44/0089,Loose GRAVEL (water bearing),80.8,,GR
F40/0385A,Sandy SILT with some Gravel,7.2,,GRSISA
F40/0243,SAND,17,,SA
G41/0405,Coarse Sandy GRAVELS,15.2,,CGRSA
G40/0356,Water bearing Sandy GRAVELS,8.5,,GRSA
G42/0104,Tertiary CLAY,30.74,,CL
G45/0146,ROCK,51,,TERT
