Date,Rainfall,PET
1/01/2012,0,6.1
2/01/2012,0,6.2
3/01/2012,0,5.5
4/01/2012,0,3.7
5/01/2012,0,3.9
6/01/2012,0,5.8
7/01/2012,5.2,4.4
8/01/2012,0,5.9
9/01/2012,0,5.9
10/01/2012,0,6.1
11/01/2012,0,4
12/01/2012,0,4.6
13/01/2012,22.6,3.2
14/01/2012,16.4,1.1
15/01/2012,6.3,3.3
16/01/2012,0,3
17/01/2012,0,4.9
18/01/2012,0,5.4
19/01/2012,0,5.1
20/01/2012,0,4.3
21/01/2012,0,4.9
22/01/2012,0,4.4
23/01/2012,0,2.6
24/01/2012,0,2.3
25/01/2012,0,5.5
26/01/2012,0,6
27/01/2012,24.1,3.6
28/01/2012,0,4.4
29/01/2012,0,3.8
30/01/2012,0,4.5
31/01/2012,0,4.8
1/02/2012,3.2,4.5
2/02/2012,0,5
3/02/2012,0,4.2
4/02/2012,0,3.7
5/02/2012,0,4.5
6/02/2012,0,5.3
7/02/2012,0,5.8
8/02/2012,0,3.5
9/02/2012,0,2.4
10/02/2012,0,2.1
11/02/2012,0,3.2
12/02/2012,0,3
13/02/2012,0,3.1
14/02/2012,0,2.2
15/02/2012,0.5,1.4
16/02/2012,0,3.3
17/02/2012,0,3.8
18/02/2012,0,3.7
19/02/2012,0,0.9
20/02/2012,0,3.5
21/02/2012,0,3
22/02/2012,0,2.8
23/02/2012,57.7,2.6
24/02/2012,8.3,0.5
25/02/2012,0,2.6
26/02/2012,0.6,3.5
27/02/2012,0,3.4
28/02/2012,0,3.6
29/02/2012,0,2.9
1/03/2012,21.2,1.1
2/03/2012,0,2.1
3/03/2012,12.1,1.3
4/03/2012,0,2.3
5/03/2012,0,3.1
6/03/2012,0,1.8
7/03/2012,2.7,2
8/03/2012,3.3,1.9
9/03/2012,0,3
10/03/2012,0,2.9
11/03/2012,4.6,1.3
12/03/2012,16.8,0.4
13/03/2012,0,2.8
14/03/2012,0,1.3
15/03/2012,0,1
16/03/2012,3.8,1.8
17/03/2012,0,2.5
18/03/2012,0,2.5
19/03/2012,4.1,0.8
20/03/2012,0,2
21/03/2012,0,2.2
22/03/2012,0,2.2
23/03/2012,0,1
24/03/2012,0,1.4
25/03/2012,12.9,1.2
26/03/2012,0,1
27/03/2012,0,1.8
28/03/2012,0,1.9
29/03/2012,0,1.5
30/03/2012,0,1.8
31/03/2012,0,1.8
1/04/2012,0,1.4
2/04/2012,0,1.5
3/04/2012,0,1.4
4/04/2012,0,1.3
5/04/2012,0,1.2
6/04/2012,0,1.2
7/04/2012,0,1.3
8/04/2012,0,1.4
9/04/2012,0,1
10/04/2012,6.4,1.2
11/04/2012,0,0.9
12/04/2012,0,0.6
13/04/2012,0,0.6
14/04/2012,0,1
15/04/2012,0,0.9
16/04/2012,0,0.5
17/04/2012,0,1
18/04/2012,0,0.9
19/04/2012,0,0.8
20/04/2012,0,0.7
21/04/2012,0,0.7
22/04/2012,0,0.5
23/04/2012,0,0.6
24/04/2012,0,0.5
25/04/2012,0,0.4
26/04/2012,0,0.5
27/04/2012,0,0.4
28/04/2012,6.6,0.1
29/04/2012,0,0.4
30/04/2012,10.2,0.2
1/05/2012,0,0.1
2/05/2012,0,0.2
3/05/2012,0,0.2
4/05/2012,0,0.2
5/05/2012,0,0.2
6/05/2012,0,0.2
7/05/2012,0,0.2
8/05/2012,0,0.1
9/05/2012,1.2,0.1
10/05/2012,4.1,0.1
11/05/2012,0,0.2
12/05/2012,2.8,0.1
13/05/2012,7.3,0
14/05/2012,7.6,0.1
15/05/2012,0,0
16/05/2012,0,0
17/05/2012,0,0
18/05/2012,0,0
19/05/2012,0,0
20/05/2012,0,0
21/05/2012,0,0
22/05/2012,0,0
23/05/2012,0,0
24/05/2012,0,0
25/05/2012,0,0
26/05/2012,0,0
27/05/2012,6.6,0
28/05/2012,11.3,0
29/05/2012,0,0
30/05/2012,0,0
31/05/2012,0,0
1/06/2012,0,0
2/06/2012,0,0
3/06/2012,0.6,0
4/06/2012,0,0
5/06/2012,0,0
6/06/2012,4.5,0
7/06/2012,0,0
8/06/2012,2.4,0
9/06/2012,0,0
10/06/2012,0,0
11/06/2012,0,0
12/06/2012,0,0
13/06/2012,0,0
14/06/2012,0,0
15/06/2012,0,0
16/06/2012,0,0
