permit_id,water_meter_no,date,total_allo,total_usage
2003.586,65,2014-12-30,80.0,170.0
2003.586,65,2015-01-04,80.0,173.0
2003.586,65,2015-02-27,80.0,166.0
2003.586,65,2015-02-28,80.0,162.0
2003.586,65,2015-04-01,80.0,165.0
2003.586,65,2015-04-02,80.0,163.0
2003.586,65,2015-11-12,80.0,176.0
2003.586,65,2015-11-22,80.0,165.0
2003.586,65,2015-12-04,80.0,165.0
2003.586,65,2015-12-05,80.0,165.0
2003.586,65,2015-12-06,80.0,165.0
2003.586,65,2015-12-07,80.0,165.0
2003.586,65,2015-12-08,80.0,165.0
2003.586,65,2015-12-09,80.0,165.0
2003.586,65,2015-12-11,80.0,165.0
2003.586,65,2015-12-12,80.0,165.0
2003.586,65,2015-12-13,80.0,165.0
2003.586,65,2015-12-14,80.0,165.0
2003.586,65,2015-12-15,80.0,165.0
2003.586,65,2015-12-19,80.0,165.0
2003.586,65,2015-12-20,80.0,166.0
2003.586,65,2015-12-21,80.0,165.0
2003.586,65,2015-12-22,80.0,165.0
2003.586,65,2015-12-23,80.0,165.0
2003.586,65,2015-12-30,80.0,165.0
2003.586,65,2015-12-31,80.0,165.0
2003.586,65,2016-01-01,80.0,165.0
2003.586,65,2016-01-02,80.0,165.0
2003.586,65,2016-01-03,80.0,165.0
2003.586,65,2016-01-04,80.0,166.0
2003.586,65,2016-01-05,80.0,165.0
2003.586,65,2016-01-06,80.0,165.0
2003.586,65,2016-01-07,80.0,165.0
2003.586,65,2016-01-12,80.0,165.0
2003.586,65,2016-01-13,80.0,165.0
2003.586,65,2016-01-14,80.0,165.0
2003.586,65,2016-01-15,80.0,166.0
2003.586,65,2016-01-18,80.0,166.0
2003.586,65,2016-01-19,80.0,165.0
2003.586,65,2016-01-21,80.0,165.0
2003.586,65,2016-01-22,80.0,165.0
2003.586,65,2016-01-23,80.0,165.0
2003.586,65,2016-01-24,80.0,165.0
2003.586,65,2016-01-25,80.0,166.0
2003.586,65,2016-01-28,80.0,165.0
2003.586,65,2016-01-31,80.0,165.0
2003.586,65,2016-02-01,80.0,165.0
2003.586,65,2016-02-08,80.0,165.0
2003.586,65,2016-02-09,80.0,166.0
2003.586,65,2016-02-11,80.0,165.0
2003.586,65,2016-02-12,80.0,165.0
2003.586,65,2016-02-13,80.0,165.0
2003.586,65,2016-03-15,80.0,165.0
2003.586,65,2016-03-16,80.0,166.0
2003.586,65,2016-03-17,80.0,165.0
2003.586,65,2016-03-18,80.0,166.0
2003.586,65,2016-03-19,80.0,165.0
2003.586,65,2016-03-20,80.0,165.0
2003.586,65,2016-03-21,80.0,166.0
2003.586,65,2016-03-22,80.0,165.0
2003.586,65,2016-03-23,80.0,166.0
2003.586,65,2016-03-24,80.0,165.0
2003.586,65,2016-03-25,80.0,166.0
2003.586,65,2016-03-26,80.0,165.0
2003.586,65,2016-03-27,80.0,165.0
2003.586,65,2016-03-28,80.0,166.0
2003.586,65,2016-03-29,80.0,165.0
2003.586,65,2016-03-30,80.0,166.0
2003.586,65,2016-03-31,80.0,165.0
2003.586,65,2016-04-01,80.0,165.0
2003.586,65,2016-04-02,80.0,166.0
2003.586,65,2021-02-18,80.0,167.39
2003.586,65,2021-02-19,80.0,164.09
2003.586,65,2021-02-22,80.0,163.31
2003.586,65,2021-02-24,80.0,166.3
2003.586,65,2021-02-28,80.0,161.74
2003.586,65,2021-03-03,80.0,161.71
2003.586,65,2021-03-04,80.0,162.17
2003.586,65,2021-04-12,80.0,180.91
2003.586,65,2021-04-13,80.0,180.64
2003.586,65,2021-04-14,80.0,163.92
2003.634.V1,347,2021-01-08,766.0,12430.0
2003.641,348,2017-08-27,45.0,192.999999994862
2003.641,348,2017-12-04,45.0,148.198999996055
2003.641,348,2017-12-06,45.0,91.9999999975508
2003.641,348,2017-12-07,45.0,121.902999996753
2003.641,348,2017-12-08,45.0,154.897999995877
2003.641,348,2017-12-13,45.0,101.300999997186
2003.641,348,2017-12-14,45.0,101.300999997303
2003.641,348,2017-12-18,45.0,109.599499996956
2003.641,348,2017-12-19,45.0,109.599499997083
2003.641,348,2017-12-20,45.0,112.402999997006
2003.641,348,2017-12-21,45.0,101.279599997187
2003.641,348,2017-12-22,45.0,101.279599997187
2003.641,348,2017-12-23,45.0,101.279599997187
2003.641,348,2017-12-24,45.0,101.279599997186
2003.641,348,2017-12-25,45.0,101.279599997303
2003.641,348,2017-12-28,45.0,94.6019999974806
2003.641,348,2017-12-29,45.0,136.999999996194
2003.641,348,2017-12-30,45.0,136.999999996195
2003.641,348,2017-12-31,45.0,136.999999996195
2003.641,348,2018-01-01,45.0,136.999999996194
2003.641,348,2018-01-02,45.0,136.999999996194
2003.641,348,2018-01-03,45.0,136.999999996352
2003.641,348,2018-01-06,45.0,103.999999997231
2003.641,348,2018-01-07,45.0,244.999999993478
2003.641,348,2018-01-08,45.0,113.76699999684
2003.641,348,2018-01-09,45.0,113.76699999684
2003.641,348,2018-01-10,45.0,113.76699999684
2003.641,348,2018-01-11,45.0,113.766999996839
2003.641,348,2018-01-12,45.0,113.766999996839
2003.641,348,2018-01-13,45.0,113.766999996971
2003.641,348,2018-01-14,45.0,94.1270909064763
2003.641,348,2018-01-15,45.0,94.1270909064765
2003.641,348,2018-01-16,45.0,94.1270909064768
2003.641,348,2018-01-17,45.0,94.127090906476
2003.641,348,2018-01-18,45.0,94.1270909064759
2003.641,348,2018-01-19,45.0,94.1270909064762
2003.641,348,2018-01-20,45.0,94.1270909064756
2003.641,348,2018-01-21,45.0,94.1270909064764
2003.641,348,2018-01-22,45.0,94.1270909064766
2003.641,348,2018-01-23,45.0,94.1270909064751
2003.641,348,2018-01-24,45.0,94.127090906585
2003.641,348,2018-01-25,45.0,124.624999996538
2003.641,348,2018-01-26,45.0,124.624999996538
2003.641,348,2018-01-27,45.0,124.624999996539
2003.641,348,2018-01-28,45.0,124.624999996682
2003.641,348,2018-01-29,45.0,206.300999994508
2003.641,348,2018-01-30,45.0,129.749999996396
2003.641,348,2018-01-31,45.0,129.749999996546
2003.641,348,2018-02-01,45.0,103.274249997132
2003.641,348,2018-02-02,45.0,103.274249997132
2003.641,348,2018-02-03,45.0,103.274249997132
2003.641,348,2018-02-04,45.0,103.274249997251
2003.641,348,2018-02-05,45.0,103.399999997128
2003.641,348,2018-02-06,45.0,103.399999997128
2003.641,348,2018-02-07,45.0,103.399999997128
2003.641,348,2018-02-08,45.0,103.399999997127
2003.641,348,2018-02-09,45.0,103.399999997247
2003.641,348,2018-02-10,45.0,114.433666663488
2003.641,348,2018-02-11,45.0,114.433666663488
2003.641,348,2018-02-12,45.0,114.433666663621
2003.641,348,2018-02-13,45.0,102.799749997145
2003.641,348,2018-02-14,45.0,102.799749997145
2003.641,348,2018-02-15,45.0,102.799749997145
2003.641,348,2018-02-16,45.0,102.799749997263
2003.641,348,2018-02-17,45.0,133.351999996295
2003.641,348,2018-02-18,45.0,133.351999996449
2003.641,348,2018-02-19,45.0,101.924749997169
2003.641,348,2018-02-20,45.0,101.924749997169
2003.641,348,2018-02-21,45.0,101.924749997169
2003.641,348,2018-02-22,45.0,101.924749997286
2003.641,348,2018-03-06,45.0,224.897999994014
2003.641,348,2018-04-27,45.0,94.100124997386
2003.641,348,2018-04-28,45.0,94.1001249973862
2003.641,348,2018-04-29,45.0,94.1001249973863
2003.641,348,2018-04-30,45.0,94.1001249973856
2003.641,348,2018-05-01,45.0,94.1001249973856
2003.641,348,2018-05-02,45.0,94.1001249973859
2003.641,348,2018-05-03,45.0,94.100124997386
2003.641,348,2018-05-04,45.0,94.100124997495
2003.641,348,2020-02-09,45.0,149.899999995989
2003.761,1229,2016-09-21,60.0,172.3
2003.761,1229,2016-09-24,60.0,131.5
2003.761,1229,2016-09-25,60.0,124.3
2003.761,1229,2016-09-26,60.0,191.4
2003.761,1229,2016-09-28,60.0,162.8
2003.761,1229,2016-09-29,60.0,198.9
2003.761,1229,2016-09-30,60.0,129.0
2003.761,1229,2016-10-01,60.0,148.0
2003.761,1229,2016-10-02,60.0,191.8
2003.761,1229,2016-10-03,60.0,181.6
2003.761,1229,2016-10-05,60.0,141.400000000001
2003.761,1229,2016-10-06,60.0,132.8
2003.761,1229,2016-10-19,60.0,122.8
2003.761,1229,2016-10-27,60.0,143.200000000001
2003.761,1229,2016-10-28,60.0,206.4
2003.761,1229,2016-11-02,60.0,123.8
2003.761,1229,2016-11-03,60.0,122.5
2003.761,1229,2016-11-07,60.0,138.5
2003.761,1229,2016-11-13,60.0,124.0
2003.761,1229,2016-11-14,60.0,216.4
2003.761,1229,2016-11-15,60.0,182.1
2003.761,1229,2016-11-16,60.0,126.0
2003.761,1229,2016-11-18,60.0,142.200000000001
2003.761,1229,2016-11-21,60.0,175.700000000001
2003.761,1229,2016-11-23,60.0,167.300000000001
2003.761,1229,2016-11-25,60.0,137.6
2003.761,1229,2016-11-28,60.0,134.699999999999
2003.761,1229,2016-11-29,60.0,121.1
2003.761,1229,2016-11-30,60.0,127.1
2003.761,1229,2016-12-01,60.0,144.200000000001
2003.761,1229,2016-12-02,60.0,171.599999999999
2003.761,1229,2016-12-03,60.0,142.700000000001
2003.761,1229,2016-12-04,60.0,138.6
2003.761,1229,2016-12-05,60.0,174.1
2003.761,1229,2016-12-06,60.0,129.099999999999
2003.761,1229,2016-12-07,60.0,160.900000000001
2003.761,1229,2016-12-08,60.0,145.5
2003.761,1229,2016-12-09,60.0,147.0
2003.761,1229,2016-12-11,60.0,121.700000000001
2003.761,1229,2016-12-12,60.0,237.5
2003.761,1229,2016-12-14,60.0,126.900000000001
2003.761,1229,2016-12-16,60.0,132.0
2003.761,1229,2016-12-19,60.0,154.799999999999
2003.761,1229,2016-12-21,60.0,287.200000000001
2003.761,1229,2016-12-22,60.0,227.299999999999
2003.761,1229,2016-12-23,60.0,198.0
2003.761,1229,2016-12-24,60.0,170.9
2003.761,1229,2016-12-25,60.0,150.4
2003.761,1229,2016-12-26,60.0,187.300000000001
2003.761,1229,2016-12-27,60.0,163.699999999999
2003.761,1229,2016-12-28,60.0,193.6
2003.761,1229,2016-12-29,60.0,192.700000000001
2003.761,1229,2016-12-30,60.0,193.699999999999
2003.761,1229,2016-12-31,60.0,154.200000000001
2003.761,1229,2017-01-01,60.0,163.799999999999
2003.761,1229,2017-01-02,60.0,199.900000000001
