name,max_allo,current_use_2015,current_use_2015_max,current_use_2016,current_use_2016_max,current_use_2017,current_use_2017_max,current_use_2018,current_use_2018_max,current_use_2019,current_use_2019_max,current_use_2020,current_use_2020_max,ibound,use_x,use_y,i,j,k,mangawera,sandypoint,lake,terrace,flat,east,near_river,hawea_flat,hawea_town,main,active,clutha,sub_terrace
w_002,973071.999999995,13195.490000000002,213.0,14077.08,229.0,16183.0,261.0,13978.0,235.0,14491.580000000013,229.0,13613.550000000012,61.81,1.0,1304132.0,5050416.0,55,78,0,False,False,False,False,True,False,False,False,False,True,True,False,False
w_003,1159488.0,153801.30517315702,2338.18202,159531.1296711595,2349.317269,147715.76352810007,2322.971111,88281.39177835007,2308.974658,55259.44410245001,326.3300113,94688.0,2389.0,1.0,1305944.83,5050907.51,50,96,0,False,False,False,False,True,False,False,False,False,True,True,False,False
w_004,537654.0,83787.34637709997,688.0,91428.0,674.0,124363.93899999998,677.0,108836.24899999994,654.0,150572.46899999995,893.125,126056.34999980006,880.0,1.0,1302315.0,5045980.0,99,60,0,False,False,False,True,False,False,False,False,False,True,True,False,False
w_006,1834026.0,383658.9999994,4995.0,453338.0,4993.0,314237.46999599994,4899.0,201486.1990005999,6056.0,492821.0939998999,4994.0,875266.999999,5044.0,1.0,1302289.39,5047215.4,87,60,0,False,False,False,False,True,False,True,False,False,True,True,False,False
w_007,1581120.0,545832.1853600005,4343.408585,427762.1299999997,2445.81,420612.6399999001,4332.0,371975.0,4331.0,371274.0,4334.0,476597.0,4332.0,1.0,1302496.48,5047324.62,86,62,0,False,False,False,False,True,False,True,False,False,True,True,False,False
w_009,54900.0,14329.16,125.493,8074.717000000001,119.34,4252.905,102.757,4011.635999999998,94.677,6282.305,63.151,7686.730000000001,45.84,1.0,1303566.34,5048821.45,71,73,0,False,False,False,False,True,False,False,False,False,True,True,False,False
w_016,973071.999999995,52924.0,2584.0,56857.33,2453.0,68994.5,2532.0,73452.85999999999,2606.0,80830.98000000004,2022.0,40335.169999999984,1898.0,1.0,1304095.34,5051060.49,48,78,0,False,False,False,False,True,False,False,False,False,True,True,False,False
w_018,28548.0,24953.469999999994,151.0,24255.98999999999,83.58,23271.11999999999,149.0,24682.49,140.0,28779.90025714002,156.0,27130.38376993,156.0,1.0,1302511.33,5047564.82,83,62,0,False,False,False,False,True,False,True,False,False,True,True,False,False
w_019,1581120.0,209662.0,4198.0,168527.99999999,4196.0,239460.0,4196.0,67353.0,4197.0,98448.0,4193.0,139883.0,4195.0,1.0,1304866.0,5051944.0,39,86,0,False,False,False,False,True,False,False,False,False,True,True,False,False
w_020,2213568.0,481836.0,6114.0,188664.000000032,5999.0,295814.0,5393.0,134812.0,5247.0,154648.0,5929.0,430643.0,6137.0,1.0,1305133.57,5051947.79,39,88,0,False,False,False,False,True,False,False,False,False,True,True,False,False
w_022,3162240.0,95111.0,7557.2,14453.0,1336.0,453887.380995,9382.199,11984.729999999992,7691.078,112395.59800000001,7366.0,448448.0,7427.0,1.0,1300380.0,5045169.0,107,41,0,False,False,False,False,False,True,False,False,False,True,True,False,True
w_023,3162240.0,636190.999999,8419.0,770513.99999708,8071.285714,926529.0,8068.0,576079.0,8068.0,732888.0,8069.0,664393.0,8068.0,1.0,1302060.0,5047093.0,88,58,0,False,False,False,True,True,False,True,False,False,True,True,False,False
w_026,3394650.0,391401.3999999999,2568.71,239007.0632279,7049.0,557076.936772,6122.0,457220.0,6205.0,427578.0,6116.0,432931.0,5448.0,1.0,1302396.0,5048021.0,79,61,0,False,False,False,False,True,False,True,False,False,True,True,False,False
w_027,3394650.0,27492.629999999994,215.29,27369.720000000005,215.29,28871.940000000002,4867.0,23946.800000000003,4088.0,51829.890000249994,3150.99005,23394.12,2344.0,1.0,1302396.0,5047823.0,81,61,0,False,False,False,False,True,False,True,False,False,True,True,False,False
w_028,3394650.0,1001650.739999999,5439.74,1066639.0,8831.0,1181120.999996,8835.0,903822.9999930001,8804.0,1028974.0,8664.0,1209978.0,8751.0,1.0,1301875.0,5046964.0,89,56,0,False,False,False,True,False,False,True,False,False,True,True,False,False
w_029,3394650.0,596990.4699999997,3500.77,53.0,5.0,782503.9999925001,8754.0,740238.9999984,8739.0,734504.0,8585.714286,938402.0,7894.0,1.0,1301753.0,5046885.0,90,55,0,False,False,False,True,False,False,True,False,False,True,True,False,False
w_034,973071.999999995,125667.13,5299.0,133115.5,4924.0,483122.18,5074.0,282092.0600000003,5174.0,47125.95999999999,1004.68,78768.44999999995,1138.29,1.0,1303779.52,5050379.78,55,75,0,False,False,False,False,True,False,False,False,False,True,True,False,False
w_037,366000.0,42683.09999999999,142.58,21374.239999999998,223.0,23286.0,263.0,29490.999999974003,318.0,55160.99999990001,341.125,67460.99999999,368.0,1.0,1305493.53,5046167.66,97,92,0,False,False,False,True,False,False,False,False,False,True,True,False,False
w_041,909144.0,244.0,58.0,163.0,125.0,96659.37999999995,1453.0,122651.57,706.61,264411.0,2320.2,342762.19999999995,2313.4,1.0,1306204.0,5050203.0,57,99,0,False,False,False,False,True,False,False,False,False,True,True,False,False
w_043,474336.0,40479.0,1116.0,66225.0,1245.0,97009.0,1245.0,46608.0,1211.0,55025.1999999998,1204.0,21222.299999968996,1128.2,1.0,1297754.59,5050710.35,52,15,0,True,False,False,False,False,False,False,False,False,False,True,False,False
w_044,54900.0,17541.400000000005,146.33,11848.580000000005,146.01,16182.809999999994,131.49,13564.249999999996,173.64,11773.290000000005,138.1,13289.999999999993,168.89,1.0,1305076.37,5049009.54,69,88,0,False,False,False,False,True,False,False,True,False,True,True,False,False
w_045,18300.0,5841.714285721997,45.57142857,5573.857142535987,56.71428571,5915.285714342002,36.66666667,5392.571428461973,36.0,4611.928570991984,50.25,5825.450000367014,70.0,1.0,1305205.42,5047529.51,83,89,0,False,False,False,False,True,False,False,True,False,True,True,False,False
w_055,1264896.0,324010.2999999999,3639.08,198284.86000035005,3639.05,217937.01999999987,3638.46,22173.520000000004,3638.37,107880.71999999999,3638.41,221527.5799999999,3638.56,1.0,1306159.0,5053084.0,28,99,2,False,False,False,False,True,False,False,False,False,True,True,False,False
w_057,126636.0,4649.641308539005,60.01,6358.899999949999,107.33,7682.429999993005,82.8,5495.049999999,104.38,4913.3099999990045,55.21,3332.199999999998,70.86,1.0,1303476.04,5047621.47,83,72,0,False,False,False,True,True,False,False,False,False,True,True,False,False
w_058,27450.0,2317.000000002999,8.9,3225.0000000049986,18.85714286,4071.00000001,40.0,3836.999999858001,60.0,4190.000000057002,102.0,3329.730000147,30.30769231,1.0,1305499.67,5047492.67,84,92,0,False,False,False,False,True,False,False,True,False,True,True,False,False
w_059,60390.0,21243.959999999995,160.9,20599.04999999999,163.87,22818.559999999994,197.05,15561.970000000007,200.62,15045.559999999994,152.01,16393.380000000005,167.05,1.0,1305075.0,5047995.0,79,88,0,False,False,False,False,True,False,False,True,False,True,True,False,False
w_064,695400.0,173991.09999999608,1911.4,91218.00000059005,1716.8,157879.79999999996,1762.1,48255.99999999999,1744.5,89548.7700000001,1765.5,44134.700000000004,1814.6,1.0,1306624.78,5051797.59,41,103,0,False,False,False,False,True,False,False,False,False,True,True,False,False
