River_name,raster_area,shp_area,px,py
ss0,328950,328950.0,1296910.9559140452,5052425.0
ss2,566100,566100.0,1301551.0,5051448.165340456
ss3,1041075,1041075.0,1301351.0,5052014.796267937
ss4,1302075,1302075.0,1301851.0,5052761.408044356
ss5,1107450,1107450.0,1298766.5736266694,5051425.0
Cameron Gully,1631025,1631025.0,1308080.6879685745,5051625.0
Drakes Creek,652725,652725.0,1308151.0,5052078.674251745
Hospital Creek,4608675,4608675.0,1307951.0,5049371.962680426
Grandview Creek,15044625,15044625.0,1308251.0,5053263.886498615
John Creek,5688225,5688225.0,1308051.0,5054688.753691457
ss11,274950,274950.0,1307851.0,5055403.551327671
ss12,555525,555525.0,1308851.0,5042465.164224914
ss13,1351350,1351350.0,1308251.0,5045016.507039331
Lagoon Creek,7512975,7512975.0,1307951.0,5046524.310550222
ss15,1412325,1412325.0,1311530.110829437,5036225.0
ss16,395325,395325.0,1311551.0,5035765.22043604
Crook Burn,7644825,7644825.0,1309909.3807215516,5041425.0
ss18,276075,276075.0,1311351.0,5037322.084007717
ss19,449325,449325.0,1311351.0,5036670.181663738
ss20,365850,365850.0,1311511.444112627,5036982.197098978
Deep Gully,1843650,1843650.0,1311251.0,5038228.2204254335
ss22,1707300,1707300.0,1298920.9256502965,5047425.0
ss23,237150,237150.0,1309051.0,5042225.073244826
ss24,469350,469350.0,1309351.0,5041417.5458687255
ss25,761850,761850.0,1309300.165258164,5041825.0
ss26,956250,956250.0,1308551.0,5043115.214262231
ss27,253125,253125.0,1308251.0,5044643.479447106
ss28,1035225,1035225.0,1308351.0,5043985.319591245
ss29,513450,513450.0,1312151.0,5034806.272637818
ss30,306675,306675.0,1312105.9904205573,5035025.0
ss31,315000,315000.0,1312251.0,5034303.417129659
ss32,233775,233775.0,1312151.0,5034495.181541171
ss33,279000,279000.0,1312351.0,5034081.959539628
ss34,229725,229725.0,1312551.0,5033578.486457897
ss35,241200,241200.0,1313114.4029895873,5032925.0
ss36,695025,695025.0,1312759.3054269925,5033125.0
ss38,1912275,1912275.0,1310251.0,5039861.240534454
ss40,964350,964350.0,1310651.0,5039299.932415552
Trig Burn,1774800,1774800.0,1310251.0,5039742.602695195
ss42,1368675,1368675.0,1311059.148560208,5038832.04932114
ss43,3232350,3232350.0,1297851.3836351368,5052541.899911789
ss44,665550,665550.0,1299750.3086831558,5050826.514087741
ss37,1291275,1291275.0,1310912.711177474,5039039.193686008
ss39,1255275,1255275.0,1311864.072098975,5035681.881399319
ss1,660150,660150.0,1299714.0177047781,5051099.25447952
