,px,py,group,i,j,mx,my,param,k
ss0,1296910.9559140452,5052425.0,maungawera,35,5,1296801.0,5052375.0,mang,0
ss0,1296910.9559140452,5052425.0,maungawera,35,6,1296901.0,5052375.0,mang,0
ss0,1296910.9559140452,5052425.0,maungawera,35,7,1297001.0,5052375.0,mang,0
ss0,1296910.9559140452,5052425.0,maungawera,36,5,1296801.0,5052275.0,mang,0
ss0,1296910.9559140452,5052425.0,maungawera,36,6,1296901.0,5052275.0,mang,0
ss0,1296910.9559140452,5052425.0,maungawera,36,7,1297001.0,5052275.0,mang,0
ss0,1296910.9559140452,5052425.0,maungawera,37,5,1296801.0,5052175.0,mang,0
ss0,1296910.9559140452,5052425.0,maungawera,37,6,1296901.0,5052175.0,mang,0
ss0,1296910.9559140452,5052425.0,maungawera,37,7,1297001.0,5052175.0,mang,0
ss2,1301551.0,5051448.165340456,flat_west,43,53,1301601.0,5051575.0,main,0
ss2,1301551.0,5051448.165340456,flat_west,43,54,1301701.0,5051575.0,main,0
ss2,1301551.0,5051448.165340456,flat_west,43,55,1301801.0,5051575.0,main,0
ss2,1301551.0,5051448.165340456,flat_west,44,53,1301601.0,5051475.0,main,0
ss2,1301551.0,5051448.165340456,flat_west,44,54,1301701.0,5051475.0,main,0
ss2,1301551.0,5051448.165340456,flat_west,44,55,1301801.0,5051475.0,main,0
ss2,1301551.0,5051448.165340456,flat_west,45,53,1301601.0,5051375.0,main,0
ss2,1301551.0,5051448.165340456,flat_west,45,54,1301701.0,5051375.0,main,0
ss2,1301551.0,5051448.165340456,flat_west,45,55,1301801.0,5051375.0,main,0
ss3,1301351.0,5052014.796267937,flat_west,38,51,1301401.0,5052075.0,main,0
ss3,1301351.0,5052014.796267937,flat_west,38,52,1301501.0,5052075.0,main,0
ss3,1301351.0,5052014.796267937,flat_west,38,53,1301601.0,5052075.0,main,0
ss3,1301351.0,5052014.796267937,flat_west,39,51,1301401.0,5051975.0,main,0
ss3,1301351.0,5052014.796267937,flat_west,39,52,1301501.0,5051975.0,main,0
ss3,1301351.0,5052014.796267937,flat_west,39,53,1301601.0,5051975.0,main,0
ss3,1301351.0,5052014.796267937,flat_west,40,52,1301501.0,5051875.0,main,0
ss3,1301351.0,5052014.796267937,flat_west,40,53,1301601.0,5051875.0,main,0
ss4,1301851.0,5052761.408044356,flat_west,30,57,1302001.0,5052875.0,main,0
ss4,1301851.0,5052761.408044356,flat_west,30,58,1302101.0,5052875.0,main,0
ss4,1301851.0,5052761.408044356,flat_west,31,56,1301901.0,5052775.0,main,0
ss4,1301851.0,5052761.408044356,flat_west,31,57,1302001.0,5052775.0,main,0
ss4,1301851.0,5052761.408044356,flat_west,31,58,1302101.0,5052775.0,main,0
ss4,1301851.0,5052761.408044356,flat_west,32,56,1301901.0,5052675.0,main,0
ss4,1301851.0,5052761.408044356,flat_west,32,57,1302001.0,5052675.0,main,0
ss4,1301851.0,5052761.408044356,flat_west,32,58,1302101.0,5052675.0,main,0
ss5,1298766.5736266694,5051425.0,maungawera,45,24,1298701.0,5051375.0,mang,0
ss5,1298766.5736266694,5051425.0,maungawera,45,25,1298801.0,5051375.0,mang,0
ss5,1298766.5736266694,5051425.0,maungawera,46,24,1298701.0,5051275.0,mang,0
ss5,1298766.5736266694,5051425.0,maungawera,46,25,1298801.0,5051275.0,mang,0
ss5,1298766.5736266694,5051425.0,maungawera,46,26,1298901.0,5051275.0,mang,0
ss5,1298766.5736266694,5051425.0,maungawera,47,24,1298701.0,5051175.0,mang,0
ss5,1298766.5736266694,5051425.0,maungawera,47,25,1298801.0,5051175.0,mang,0
ss5,1298766.5736266694,5051425.0,maungawera,47,26,1298901.0,5051175.0,mang,0
Cameron Gully,1308080.6879685745,5051625.0,flat_east,42,115,1307801.0,5051675.0,main,0
Cameron Gully,1308080.6879685745,5051625.0,flat_east,42,116,1307901.0,5051675.0,main,0
Cameron Gully,1308080.6879685745,5051625.0,flat_east,42,117,1308001.0,5051675.0,main,0
Cameron Gully,1308080.6879685745,5051625.0,flat_east,43,115,1307801.0,5051575.0,main,0
Cameron Gully,1308080.6879685745,5051625.0,flat_east,43,116,1307901.0,5051575.0,main,0
Cameron Gully,1308080.6879685745,5051625.0,flat_east,43,117,1308001.0,5051575.0,main,0
Cameron Gully,1308080.6879685745,5051625.0,flat_east,44,115,1307801.0,5051475.0,main,0
Cameron Gully,1308080.6879685745,5051625.0,flat_east,44,116,1307901.0,5051475.0,main,0
Cameron Gully,1308080.6879685745,5051625.0,flat_east,44,117,1308001.0,5051475.0,main,0
Drakes Creek,1308151.0,5052078.674251745,flat_east,37,116,1307901.0,5052175.0,main,0
Drakes Creek,1308151.0,5052078.674251745,flat_east,37,117,1308001.0,5052175.0,main,0
Drakes Creek,1308151.0,5052078.674251745,flat_east,37,118,1308101.0,5052175.0,main,0
Drakes Creek,1308151.0,5052078.674251745,flat_east,38,116,1307901.0,5052075.0,main,0
Drakes Creek,1308151.0,5052078.674251745,flat_east,38,117,1308001.0,5052075.0,main,0
Drakes Creek,1308151.0,5052078.674251745,flat_east,38,118,1308101.0,5052075.0,main,0
Drakes Creek,1308151.0,5052078.674251745,flat_east,39,116,1307901.0,5051975.0,main,0
Drakes Creek,1308151.0,5052078.674251745,flat_east,39,117,1308001.0,5051975.0,main,0
Drakes Creek,1308151.0,5052078.674251745,flat_east,39,118,1308101.0,5051975.0,main,0
Hospital Creek,1307951.0,5049371.962680426,flat_east,64,114,1307701.0,5049475.0,main,0
Hospital Creek,1307951.0,5049371.962680426,flat_east,64,115,1307801.0,5049475.0,main,0
Hospital Creek,1307951.0,5049371.962680426,flat_east,65,114,1307701.0,5049375.0,main,0
Hospital Creek,1307951.0,5049371.962680426,flat_east,65,115,1307801.0,5049375.0,main,0
Hospital Creek,1307951.0,5049371.962680426,flat_east,65,116,1307901.0,5049375.0,main,0
Hospital Creek,1307951.0,5049371.962680426,flat_east,66,114,1307701.0,5049275.0,main,0
Hospital Creek,1307951.0,5049371.962680426,flat_east,66,115,1307801.0,5049275.0,main,0
Hospital Creek,1307951.0,5049371.962680426,flat_east,66,116,1307901.0,5049275.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,25,117,1308001.0,5053375.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,25,118,1308101.0,5053375.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,25,119,1308201.0,5053375.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,26,117,1308001.0,5053275.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,26,118,1308101.0,5053275.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,26,119,1308201.0,5053275.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,27,117,1308001.0,5053175.0,main,0
Grandview Creek,1308251.0,5053263.886498615,flat_east,27,118,1308101.0,5053175.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,11,115,1307801.0,5054775.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,11,116,1307901.0,5054775.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,11,117,1308001.0,5054775.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,12,115,1307801.0,5054675.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,12,116,1307901.0,5054675.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,12,117,1308001.0,5054675.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,13,115,1307801.0,5054575.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,13,116,1307901.0,5054575.0,main,0
John Creek,1308051.0,5054688.753691457,flat_east,13,117,1308001.0,5054575.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,4,113,1307601.0,5055475.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,4,114,1307701.0,5055475.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,4,115,1307801.0,5055475.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,5,113,1307601.0,5055375.0,main,0
ss11,1307851.0,5055403.551327671,flat_east,5,114,1307701.0,5055375.0,main,0
