,potential_et,precipitation,reference_et,uncor_potential_et
1950-01-01,4.6478496,0.21666668,0.0,98.6
1950-01-02,4.663634,0.1,0.0,98.93333
1950-01-03,3.3748174,0.0,0.0,71.71667
1950-01-04,4.771759,0.033333335,0.0,101.21667
1950-01-05,3.726026,0.15,0.0,79.13333
1950-01-06,4.5578775,0.29999998,0.0,96.700005
1950-01-07,3.5176682,3.7666664,0.0,74.73333
1950-01-08,2.2485824,2.4499998,0.0,47.933334
1950-01-09,3.6810403,11.016666,0.0,78.18334
1950-01-10,2.3117208,4.1499996,0.0,49.266666
1950-01-11,4.402398,0.15,0.0,93.416664
1950-01-12,3.6344748,0.116666675,0.0,77.2
1950-01-13,4.21614,0.0,0.0,89.48334
1950-01-14,4.851472,0.0,0.0,102.9
1950-01-15,5.0179996,0.0,0.0,106.416664
1950-01-16,2.4593077,2.533333,0.0,52.383335
1950-01-17,3.5855422,0.21666665,0.0,76.166664
1950-01-18,4.9161887,0.0,0.0,104.26666
1950-01-19,4.988798,0.0,0.0,105.799995
1950-01-20,4.999847,0.0,0.0,106.033325
1950-01-21,4.7749166,0.0,0.0,101.28335
1950-01-22,3.4521623,3.033333,0.0,73.35
1950-01-23,5.040098,0.0,0.0,106.88333
1950-01-24,3.0259767,1.2666669,0.0,64.35
1950-01-25,3.4687362,5.0499997,0.0,73.700005
1950-01-26,3.7228684,0.016666668,0.0,79.06666
1950-01-27,3.3740282,3.7666667,0.0,71.700005
1950-01-28,2.3456583,20.550001,0.0,49.983337
1950-01-29,3.3093114,0.0,0.0,70.333336
1950-01-30,3.0599136,0.48333335,0.0,65.066666
1950-01-31,4.37004,0.25000003,0.0,92.73334
1950-02-01,3.7386537,1.3833333,0.0,79.4
1950-02-02,2.2848868,39.250004,0.0,48.7
1950-02-03,1.02685,7.8000007,0.0,22.133333
1950-02-04,2.6376743,1.6333333,0.0,56.150005
1950-02-05,2.6321497,5.283333,0.0,56.033337
1950-02-06,4.272964,0.4,0.0,90.68333
1950-02-07,2.621889,0.41666666,0.0,55.816666
1950-02-08,3.000721,0.78333336,0.0,63.816666
1950-02-09,2.2288513,0.016666668,0.0,47.516666
1950-02-10,4.275332,0.0,0.0,90.73334
1950-02-11,4.322686,0.96666664,0.0,91.73334
1950-02-12,3.426907,3.6833334,0.0,72.81667
1950-02-13,4.049611,0.0,0.0,85.96667
1950-02-14,3.8215232,0.0,0.0,81.15
1950-02-15,3.4300637,0.6333333,0.0,72.88334
1950-02-16,2.582428,0.35000002,0.0,54.983337
1950-02-17,2.8539238,8.350001,0.0,60.716663
1950-02-18,2.8302464,2.0833335,0.0,60.216663
1950-02-19,3.0307117,0.05,0.0,64.45
1950-02-20,3.131734,0.016666668,0.0,66.583336
1950-02-21,2.4474688,11.716667,0.0,52.13333
1950-02-22,3.0906935,0.16666667,0.0,65.71667
1950-02-23,3.370082,0.016666668,0.0,71.61666
1950-02-24,3.7086625,0.016666668,0.0,78.76666
1950-02-25,2.2777843,1.9,0.0,48.550007
1950-02-26,3.160935,0.0,0.0,67.19999
1950-02-27,3.9714775,0.21666665,0.0,84.316666
1950-02-28,2.346447,6.1,0.0,50.0
1950-03-01,3.3763957,0.7,0.0,71.75
1950-03-02,2.6826606,1.3166667,0.0,57.100002
1950-03-03,3.4363775,0.05,0.0,73.01666
1950-03-04,2.6858172,0.06666667,0.0,57.166668
1950-03-05,3.5508165,0.0,0.0,75.433334
1950-03-06,2.8933854,0.0,0.0,61.550003
1950-03-07,3.0449185,18.233332,0.0,64.75001
1950-03-08,2.6076832,0.0,0.0,55.516663
1950-03-09,3.5737038,0.1,0.0,75.916664
1950-03-10,2.0441709,4.566667,0.0,43.616665
1950-03-11,2.5240245,0.1,0.0,53.75
1950-03-12,2.7000237,0.0,0.0,57.46667
1950-03-13,3.136469,17.233332,0.0,66.68333
1950-03-14,0.4191408,11.933333,7853.8164,9.3
1950-03-15,0.39309612,0.0,14594.218,8.75
1950-03-16,1.1989028,0.0,20979.8,25.766668
1950-03-17,2.3235593,0.0,6137.6157,49.516666
1950-03-18,1.6061467,9.816667,2916.4336,34.366665
1950-03-19,2.6211004,0.0,0.0,55.800003
1950-03-20,2.928112,0.06666667,0.0,62.283337
1950-03-21,1.4838157,0.016666668,2391.9668,31.78333
1950-03-22,2.2185912,1.4,0.0,47.3
1950-03-23,0.98344207,13.3,0.0,21.216665
1950-03-24,0.3915177,12.683333,0.0,8.716668
1950-03-25,0.7372016,4.266667,0.0,16.016666
1950-03-26,1.0710471,0.51666665,9535.199,23.066668
1950-03-27,1.457771,3.3666666,6446.517,31.233332
1950-03-28,1.4743448,0.05,6361.484,31.58333
1950-03-29,2.0591664,0.06666667,0.0,43.933334
1950-03-30,1.0884101,0.75,7319.4165,23.433334
1950-03-31,2.268313,0.28333333,0.0,48.349995
1950-04-01,1.1910106,0.53333336,0.0,25.600004
1950-04-02,1.9399923,0.2,1462.151,41.416668
1950-04-03,2.1475606,0.0,12386.466,45.800003
1950-04-04,2.4379983,10.483334,16823.05,51.933334
1950-04-05,1.3267584,0.016666668,13456.769,28.466665
1950-04-06,1.5524791,0.0,25960.717,33.233337
1950-04-07,1.7024333,0.0,12729.835,36.4
1950-04-08,1.5153852,0.05,16229.349,32.45
1950-04-09,1.2517815,2.25,3582.2,26.883337
1950-04-10,1.3741124,2.6666667,5915.0005,29.466665
1950-04-11,1.9131584,2.2499998,12547.8,40.850002
1950-04-12,1.681124,0.0,15705.532,35.95
1950-04-13,1.1917996,0.11666667,28451.516,25.616667
1950-04-14,1.5682636,0.0,15231.617,33.566666
1950-04-15,1.5572144,0.0,27560.717,33.333332
1950-04-16,1.7726748,0.0,30675.115,37.88333
1950-04-17,1.5801021,0.46666667,18445.502,33.816666
1950-04-18,0.9084651,0.13333334,15192.651,19.633333
1950-04-19,1.0710473,0.45000002,11379.184,23.066671
1950-04-20,0.64643985,4.566666,8533.634,14.100001
1950-04-21,0.9226713,0.3166667,19908.967,19.933334
1950-04-22,1.1736474,0.1,22794.783,25.233335
1950-04-23,1.1965353,0.61666673,20327.25,25.716673
1950-04-24,0.9534514,0.15,17882.25,20.583334
1950-04-25,1.3299153,0.0,19869.566,28.533333
1950-04-26,1.1002487,0.0,39622.395,23.683334
1950-04-27,0.8524295,0.0,25910.748,18.449999
1950-04-28,1.0126438,0.0,36612.098,21.833334
1950-04-29,1.1389211,0.0,35561.3,24.500002
1950-04-30,1.0789394,0.0,41914.73,23.233335
1950-05-01,0.9179357,1.8333334,16872.686,19.83333
1950-05-02,0.6993184,0.0,16772.967,15.216666
1950-05-03,1.0860426,0.0,19311.916,23.383337
1950-05-04,0.68511224,0.016666668,16094.284,14.916667
1950-05-05,0.4151947,0.116666675,20621.434,9.216668
1950-05-06,0.92109287,0.0,37412.668,19.900002
1950-05-07,0.8966266,0.0,44575.652,19.383333
1950-05-08,0.84532654,0.0,36574.035,18.300001
1950-05-09,0.67090595,0.0,29625.666,14.616665
1950-05-10,0.4562348,0.016666668,19222.299,10.083335
1950-05-11,0.41519466,0.0,22459.932,9.216667
1950-05-12,0.54305035,0.0,31514.768,11.916667
1950-05-13,0.38520375,0.0,31847.447,8.583333
1950-05-14,0.34258524,0.06666667,21703.783,7.683334
1950-05-15,0.17842478,2.6666667,17147.416,4.216666
1950-05-16,0.16579707,4.916666,11744.617,3.9499998
1950-05-17,0.17368941,1.1333333,4078.1667,4.116667
1950-05-18,0.6172382,3.2,7659.733,13.483334
1950-05-19,0.3591591,10.316667,3981.0,8.033334
1950-05-20,0.20604795,0.0,17874.35,4.8
1950-05-21,0.19657718,0.0,23206.633,4.6000004
1950-05-22,0.15632628,0.0,26949.867,3.75
1950-05-23,0.16579708,1.2000002,16398.201,3.95
1950-05-24,-0.01730492,4.066666,510.78333,0.083333336
1950-05-25,0.16500784,22.866667,5953.717,3.9333334
1950-05-26,0.068721436,2.8499997,19437.516,1.8999997
1950-05-27,0.06714299,9.066667,14581.95,1.8666668
1950-05-28,0.5501535,0.55,26804.197,12.0666685
1950-05-29,0.34574226,0.016666668,13757.617,7.7500024
1950-05-30,0.23998496,0.8666666,12272.883,5.516667
1950-05-31,0.4073023,0.38333333,27340.334,9.05
1950-06-01,0.48227942,1.7333335,19246.232,10.633334
1950-06-02,0.27471122,0.033333335,28350.15,6.2500005
1950-06-03,0.45623475,0.33333334,33455.53,10.083334
1950-06-04,0.46807328,0.4666667,45534.78,10.333335
1950-06-05,0.3118052,0.7166667,22163.115,7.0333343
1950-06-06,0.32522216,3.5500002,23152.932,7.316668
1950-06-07,0.38441464,2.7666664,18844.133,8.5666685
1950-06-08,0.26918662,0.0,18654.916,6.1333346
1950-06-09,0.28260356,0.0,36424.418,6.4166675
1950-06-10,0.28654972,1.1166667,35940.72,6.5000005
1950-06-11,0.15711553,2.5333335,19206.053,3.7666671
1950-06-12,0.20052335,0.0,21283.783,4.683334
1950-06-13,0.3441637,0.0,18929.635,7.716667
1950-06-14,0.13975242,0.13333334,13993.8,3.4000003
1950-06-15,0.20446949,3.5499992,19168.717,4.766667
1950-06-16,0.12396774,0.0,13546.184,3.0666666
1950-06-17,0.18631715,0.0,20977.951,4.3833337
1950-06-18,0.21078335,0.0,23061.834,4.9
1950-06-19,0.15790476,0.0,18724.682,3.7833335
1950-06-20,0.19815561,0.0,22147.717,4.633333
1950-06-21,0.11765388,0.8166668,23559.963,2.9333334
1950-06-22,0.1681648,0.0,22147.666,4.0000005
1950-06-23,0.16658634,3.1666667,27248.484,3.9666672
1950-06-24,0.17211094,0.0,22270.682,4.0833335
1950-06-25,0.20131259,0.0,24499.303,4.700001
1950-06-26,0.24156344,1.6333333,7854.6167,5.5500007
1950-06-27,0.11686467,9.716666,3401.2334,2.916667
1950-06-28,0.03478445,5.9499984,4912.267,1.1833335
1950-06-29,0.009528996,1.4666667,3535.7498,0.65000004
1950-06-30,0.022156727,1.6833335,9469.9,0.9166668
1950-07-01,0.03478445,0.016666668,13455.317,1.1833335
1950-07-02,0.022156727,0.0,18360.451,0.9166668
1950-07-03,0.0024259035,0.0,11186.833,0.50000006
1950-07-04,0.027681358,0.0,12959.617,1.0333335
1950-07-05,0.015053626,0.0,8428.468,0.7666667
1950-07-06,-0.019672617,1.6333333,8428.2,0.033333335
1950-07-07,-0.021251082,0.36666667,3810.8835,0.0
1950-07-08,-0.021251082,17.083334,2980.2002,0.0
1950-07-09,-0.01493722,0.84999996,18684.65,0.13333334
1950-07-10,0.08845228,0.0,11237.333,2.3166668
1950-07-11,0.107393876,0.0,7044.033,2.7166672
1950-07-12,0.071089156,19.699999,5174.1997,1.9500002
1950-07-13,-0.01730492,13.300003,944.43335,0.083333336
1950-07-14,0.053726032,1.0833334,4134.0835,1.5833335
1950-07-15,0.06398606,5.1666665,14643.833,1.8000002
1950-07-16,0.11134003,0.9333334,16355.401,2.8000002
1950-07-17,0.045833707,0.0,16067.367,1.4166669
1950-07-18,0.032416753,0.0,24082.201,1.1333336
1950-07-19,0.07424608,0.0,16811.4,2.0166667
1950-07-20,0.0008474346,0.0,6122.85,0.46666667
1950-07-21,-0.021251082,14.216667,9022.817,0.0
1950-07-22,-0.021251082,24.616669,0.0,0.0
1950-07-23,-0.021251082,38.36667,2078.4666,0.0
1950-07-24,-0.018883385,0.0,21702.217,0.05
1950-07-25,-0.02046185,0.6833334,12590.95,0.016666668
1950-07-26,0.048990645,0.21666665,14690.234,1.4833336
