name,permit_id,water_meter_no,WellNumber,consent_b_x,consent_b_y,consent_x,consent_y,well_name,well_x,well_y,use_x,use_y,i,j,k,ibound
w_000,2000.382.V1,1322,G40/0047,1300686.0,5049831.0,1300686.44,5049881.48,g40_0047,1300686.44,5049881.48,1300686.44,5049881.48,60,44,0,0.0
w_001,RM11.177.01,592,F40/0304,1299625.0,5042176.0,1299618.62,5042186.69,f40_0304,,,1299618.62,5042186.69,137,33,0,0.0
w_002,RM12.548.01.V2,1042,G40/0311,1303997.667,5050615.667,1304132.0,5050416.0,g40_0311,1304132.0,5050416.0,1304132.0,5050416.0,55,78,0,1.0
w_003,RM12.356.01,635,G40/0266,1305944.0,5050908.0,1305944.83,5050907.51,g40_0266,,,1305944.83,5050907.51,50,96,0,1.0
w_004,RM12.213.02,625,G40/0296,1302328.0,5046003.0,1302315.0,5045980.0,g40_0296,1302315.0,5045980.0,1302315.0,5045980.0,99,60,0,1.0
w_005,RM12.116.01,1058,F40/0204,1299306.0,5041569.0,1299315.8,5041563.98,f40_0204,,,1299315.8,5041563.98,143,30,0,0.0
w_006,RM11.352.01,618,G40/0307,1302344.0,5047191.0,1302289.39,5047215.4,g40_0307,,,1302289.39,5047215.4,87,60,0,1.0
w_007,RM11.257.01,617,G40/0294,1302496.0,5047325.0,1302496.48,5047324.62,g40_0294,1302496.48,5047324.62,1302496.48,5047324.62,86,62,0,1.0
w_008,RM10.388.01.V2,1259,G40/0194,1300534.0,5042588.0,1300533.07,5042588.62,g40_0194,,,1300533.07,5042588.62,133,42,0,0.0
w_009,2008.132,899,G40/0261,1303566.0,5048821.0,1303566.34,5048821.45,g40_0261,1303566.34,5048821.45,1303566.34,5048821.45,71,73,0,1.0
w_010,RM10.365.01,1016,G40/0288,1301487.0,5042963.0,1301487.0,5042957.0,g40_0288,,,1301487.0,5042957.0,129,52,0,0.0
w_011,97204.V1,1317,F40/0059,1299826.0,5041485.0,1299843.18,5041485.86,f40_0059,,,1299843.18,5041485.86,144,35,0,0.0
w_012,2010.075.V1,935,F40/0334,1298649.0,5041794.0,1298655.0,5041790.0,f40_0334,,,1298655.0,5041790.0,141,24,0,0.0
w_013,2008.520.V1,915,G40/0206,1309537.0,5037089.0,1309441.82,5036979.51,g40_0206,,,1309441.82,5036979.51,189,131,0,0.0
w_014,2008.520.V1,914,G40/0206,1309537.0,5037089.0,1309441.82,5036979.51,g40_0206,,,1309441.82,5036979.51,189,131,0,0.0
w_015,2008.520.V1,1475,G40/0206,1309537.0,5037089.0,1309441.82,5036979.51,g40_0206,,,1309441.82,5036979.51,189,131,0,0.0
w_016,RM12.548.01.V2,1043,G40/0299,1303997.667,5050615.667,1304095.34,5051060.49,g40_0299,,,1304095.34,5051060.49,48,78,0,1.0
w_017,2000.388,1300,F40/0212,1297840.0,5042160.0,1297856.23,5042136.46,f40_0212,,,1297856.23,5042136.46,137,16,0,0.0
w_018,RM13.053.01,626,G40/0226,1302512.0,5047561.0,1302511.33,5047564.82,g40_0226,1302511.33,5047564.82,1302511.33,5047564.82,83,62,0,1.0
w_019,RM13.244.01,648,G40/0315,1304858.0,5051941.0,1304866.0,5051944.0,g40_0315,,,1304866.0,5051944.0,39,86,0,1.0
w_020,RM13.244.02,649,G42/0791,1305137.0,5051946.0,1305133.57,5051947.79,g42_0791,,,1305133.57,5051947.79,39,88,0,1.0
w_021,RM13.282.01,1089,F40/0155,1296650.0,5002626.0,1297319.95,5047988.87,f40_0155,,,1297319.95,5047988.87,79,10,0,0.0
w_022,RM13.307.01,1144,G40/0327,1300403.0,5045100.0,1300380.0,5045169.0,g40_0327,1300380.0,5045169.0,1300380.0,5045169.0,107,41,0,1.0
w_023,RM13.369.01,653,G40/0325,1302060.0,5047093.0,1302060.0,5047093.0,g40_0325,1302060.0,5047093.0,1302060.0,5047093.0,88,58,0,1.0
w_024,RM13.495.01,734,F40/0200,1297996.0,5044265.0,1297996.0,5044265.0,f40_0200,,,1297996.0,5044265.0,116,17,0,0.0
w_025,RM14.023.01,1104,G40/0335,1307809.0,5038607.0,1307809.442,5038606.553,g40_0335,,,1307809.442,5038606.553,173,115,0,1.0
w_026,RM14.073.01,1349,G40/0338,1302089.0,5047422.5,1302396.0,5048021.0,g40_0338,1302396.0,5048021.0,1302396.0,5048021.0,79,61,0,1.0
w_027,RM14.073.01,1350,G40/0339,1302089.0,5047422.5,1302396.0,5047823.0,g40_0339,1302396.0,5047823.0,1302396.0,5047823.0,81,61,0,1.0
w_028,RM14.073.01,1351,G40/0388,1302089.0,5047422.5,1301875.0,5046964.0,g40_0388,1301875.0,5046964.0,1301875.0,5046964.0,89,56,0,1.0
w_029,RM14.073.01,1352,G40/0389,1302089.0,5047422.5,1301753.0,5046885.0,g40_0389,1301753.0,5046885.0,1301753.0,5046885.0,90,55,0,1.0
w_030,RM14.225.01,1165,G40/0348,1310366.0,5032461.0,1310372.0,5032466.0,g40_0348,,,1310372.0,5032466.0,234,141,0,0.0
w_031,RM14.306.01,1193,G40/0353,1308623.0,5038851.0,1308571.0,5038822.0,g40_0353,,,1308571.0,5038822.0,171,123,0,0.0
w_032,RM14.306.01,1194,G40/0354,1308623.0,5038851.0,1308623.0,5038815.0,g40_0354,,,1308623.0,5038815.0,171,123,0,0.0
w_033,2008.277.V2,902,F40/0316,1299526.0,5041685.0,1299538.84,5041766.3,f40_0316,,,1299538.84,5041766.3,141,32,0,0.0
w_034,RM12.548.01.V2,1044,G40/0310,1303997.667,5050615.667,1303780.0,5050380.0,g40_0310,1303779.52,5050379.78,1303779.52,5050379.78,55,75,0,1.0
w_035,2006.269.V1,860,G40/0225,1310085.5,5033708.0,1310130.71,5033728.63,g40_0225,,,1310130.71,5033728.63,221,138,0,0.0
w_036,2003.572.V1,343,G40/0185,1305320.0,5039877.5,1305307.66,5039866.76,g40_0185,1305307.66,5039866.76,1305307.66,5039866.76,160,90,0,0.0
w_037,2001.122,1158,G40/0054,1305460.5,5046180.5,1305494.0,5046168.0,g40_0054,1305493.53,5046167.66,1305493.53,5046167.66,97,92,0,1.0
w_038,2005.448.V2,824,G40/0245,1309639.0,5034687.0,1309723.66,5034741.07,g40_0245,,,1309723.66,5034741.07,211,134,0,0.0
w_039,2001.953,1327,F40/0250,1297188.5,5039018.0,1297188.84,5039010.45,f40_0250,,,1297188.84,5039010.45,169,9,0,0.0
w_040,2001.953,1545,F40/0250,1297188.5,5039018.0,1297188.84,5039010.45,f40_0250,,,1297188.84,5039010.45,169,9,0,0.0
w_041,2002.159.V1,219,G40/0171,1306215.0,5050149.5,1306204.0,5050203.0,g40_0171,,,1306204.0,5050203.0,57,99,0,1.0
w_042,2002.336,415,F40/0241,1298093.0,5041270.0,1298169.0,5041288.0,f40_0241,,,1298169.0,5041288.0,146,19,0,0.0
