,i,j,k
0,0,114,0
1,1,113,0
2,2,111,0
3,2,112,0
4,3,110,0
5,4,109,0
6,5,106,0
7,5,107,0
8,5,108,0
9,5,109,0
10,6,105,0
11,7,105,0
12,8,104,0
13,9,104,0
14,10,104,0
15,11,103,0
16,12,102,0
17,13,101,0
18,13,102,0
19,14,100,0
20,15,99,0
21,16,98,0
22,17,96,0
23,17,97,0
24,17,98,0
25,18,94,0
26,18,95,0
27,19,92,0
28,19,93,0
29,20,67,0
30,20,68,0
31,20,69,0
32,20,85,0
33,20,86,0
34,20,87,0
35,20,88,0
36,20,89,0
37,20,90,0
38,20,91,0
39,21,64,0
40,21,65,0
41,21,66,0
42,21,70,0
43,21,71,0
44,21,72,0
45,21,73,0
46,21,74,0
47,21,75,0
48,21,76,0
49,21,77,0
50,21,78,0
51,21,79,0
52,21,80,0
53,21,81,0
54,21,82,0
55,21,83,0
56,21,84,0
57,22,62,0
58,22,63,0
59,23,60,0
60,23,61,0
