,i,j,param
0,26,62,all
1,26,63,all
2,27,61,all
3,27,63,all
4,28,61,all
5,28,63,all
6,29,61,all
7,29,63,all
8,30,61,all
9,30,63,all
10,31,61,all
11,31,63,all
12,32,61,all
13,32,63,all
14,33,61,all
15,33,63,all
16,34,61,all
17,34,63,all
18,35,61,all
19,35,62,all
20,35,63,all
21,35,64,all
22,35,70,all
23,35,71,all
24,35,72,all
25,35,73,all
26,35,74,all
27,36,62,all
28,36,64,all
29,36,68,all
30,36,69,all
31,36,70,all
32,36,74,all
33,37,62,all
34,37,64,all
35,37,65,all
36,37,67,all
37,37,68,all
38,37,74,all
39,37,75,all
40,38,62,all
41,38,63,all
42,38,66,all
43,38,67,all
44,38,74,all
45,38,75,all
46,38,80,all
47,39,63,all
48,39,67,all
49,39,68,all
50,39,75,all
51,39,76,all
52,39,77,all
53,39,78,all
54,39,79,all
55,39,80,all
56,39,81,all
57,39,82,all
58,39,83,all
59,39,84,all
60,40,63,all
61,40,68,all
62,40,75,all
63,40,76,all
64,40,84,all
65,40,85,all
66,40,86,all
67,41,63,all
68,41,68,all
69,41,69,all
70,41,86,all
71,41,87,all
72,42,63,all
73,42,69,all
74,42,87,all
75,43,63,all
76,43,69,all
77,43,87,all
78,43,88,all
79,44,62,all
80,44,63,all
81,44,69,all
82,44,70,all
83,44,88,all
84,44,89,all
85,44,90,all
86,45,62,all
87,45,70,all
88,45,74,all
89,45,75,all
90,45,90,all
91,46,62,all
92,46,70,all
93,46,71,all
94,46,72,all
95,46,73,all
96,46,74,all
97,46,75,all
98,46,76,all
99,46,90,all
100,46,91,all
101,46,92,all
102,47,62,all
103,47,72,all
104,47,73,all
105,47,75,all
106,47,76,all
107,47,92,all
108,47,93,all
109,48,61,all
110,48,62,all
111,48,75,all
112,48,93,all
113,49,61,all
114,49,75,all
115,49,93,all
116,49,94,all
117,49,95,all
118,50,60,all
119,50,61,all
120,50,74,all
121,50,75,all
122,50,95,all
123,50,96,all
124,51,60,all
125,51,74,all
126,51,96,all
127,52,60,all
128,52,74,all
129,52,75,all
130,52,76,all
131,52,78,all
132,52,79,all
133,52,80,all
134,52,96,all
135,52,97,all
136,53,59,all
137,53,60,all
138,53,76,all
139,53,77,all
140,53,78,all
141,53,80,all
142,53,81,all
143,53,82,all
144,53,83,all
145,53,97,all
146,53,98,all
147,54,59,all
148,54,83,all
149,54,84,all
150,54,98,all
151,55,58,all
152,55,59,all
153,55,84,all
154,55,85,all
155,55,98,all
156,55,99,all
157,56,58,all
158,56,85,all
159,56,86,all
160,56,99,all
161,57,58,all
162,57,86,all
163,57,87,all
164,57,88,all
165,57,99,all
166,58,57,all
167,58,58,all
168,58,88,all
169,58,98,all
170,58,99,all
171,59,57,all
172,59,88,all
173,59,89,all
174,59,98,all
175,60,57,all
176,60,89,all
177,60,90,all
178,60,97,all
179,60,98,all
180,61,57,all
181,61,90,all
182,61,97,all
183,62,57,all
184,62,58,all
185,62,90,all
186,62,91,all
187,62,97,all
188,63,58,all
189,63,59,all
190,63,91,all
191,63,97,all
192,64,59,all
193,64,91,all
194,64,92,all
195,64,97,all
196,65,59,all
197,65,92,all
198,65,97,all
199,66,58,all
200,66,59,all
201,66,92,all
202,66,97,all
203,66,98,all
204,67,57,all
205,67,58,all
206,67,92,all
207,67,98,all
208,68,56,all
209,68,57,all
210,68,91,all
211,68,92,all
212,68,98,all
213,69,53,all
214,69,54,all
215,69,55,all
216,69,56,all
217,69,91,all
218,69,98,all
219,69,99,all
220,70,47,all
221,70,48,all
222,70,49,all
223,70,50,all
224,70,51,all
225,70,52,all
226,70,53,all
227,70,91,all
228,70,99,all
229,71,91,all
230,71,99,all
231,72,90,all
232,72,91,all
233,72,99,all
234,72,100,all
235,73,90,all
236,73,100,all
237,73,101,all
238,74,90,all
239,74,101,all
240,74,102,all
241,75,90,all
242,75,102,all
243,76,90,all
244,76,102,all
