seg_name,i,j,dist,rbot,rbot_raw,rname,seg,reach,stage,param,k,rtop,above_upstream
clutha_03600,118,51,3600.0,266.4408365885417,269.1046447753906,clutha,1,1,,c1,0,268.4408365885417,False
clutha_03700,118,52,3700.0,266.3329315185547,268.9095153808594,clutha,1,2,,c1,0,268.3329315185547,False
clutha_03800,119,53,3800.0,266.30034790039065,268.808349609375,clutha,1,3,,c1,0,268.30034790039065,False
clutha_03900,119,54,3900.0,266.19366455078125,268.50921630859375,clutha,1,4,,c1,0,268.19366455078125,False
clutha_04050,120,55,4050.0,266.1195129394531,268.6700134277344,clutha,1,5,,c1,0,268.1195129394531,False
clutha_04150,120,56,4150.0,266.037841796875,268.57122802734375,clutha,1,6,,c1,0,268.037841796875,False
clutha_04250,120,57,4250.0,266.0159973144531,268.53875732421875,clutha,1,7,,c1,0,268.0159973144531,False
clutha_04350,121,58,4350.0,265.95042114257814,268.3999938964844,clutha,1,8,,c1,0,267.95042114257814,False
clutha_04450,121,59,4450.0,265.8889526367187,268.3999938964844,clutha,1,9,,c1,0,267.8889526367187,False
clutha_04550,121,60,4550.0,265.815625,268.3421325683594,clutha,1,10,,c1,0,267.815625,False
clutha_04600,122,60,4600.0,265.7356262207031,268.2638854980469,clutha,1,11,,c1,0,267.7356262207031,False
clutha_04700,122,61,4700.0,265.5767883300781,268.172119140625,clutha,1,12,,c1,0,267.5767883300781,False
clutha_04750,123,61,4750.0,265.44830322265625,268.0,clutha,1,13,,c1,0,267.44830322265625,False
clutha_04850,124,62,4850.0,265.3068054199219,267.6058044433594,clutha,1,14,,c1,0,267.3068054199219,False
clutha_05000,125,62,5000.0,265.1523803710937,267.69970703125,clutha,1,15,,c1,0,267.1523803710937,False
clutha_05050,125,63,5050.0,265.0123779296875,267.556396484375,clutha,1,16,,c1,0,267.0123779296875,False
clutha_05150,126,64,5150.0,264.95009155273436,267.3999938964844,clutha,1,17,,c1,0,266.95009155273436,False
clutha_05250,126,65,5250.0,264.8431701660156,267.29998779296875,clutha,1,18,,c1,0,266.8431701660156,False
clutha_05350,126,66,5350.0,264.7477294921875,267.29437255859375,clutha,1,19,,c1,0,266.7477294921875,False
clutha_05450,127,67,5450.0,264.6793212890625,267.16510009765625,clutha,1,20,,c1,0,266.6793212890625,False
clutha_05550,127,68,5550.0,264.588818359375,267.0791931152344,clutha,1,21,,c1,0,266.588818359375,False
clutha_05650,127,69,5650.0,264.45994262695314,267.0579528808594,clutha,1,22,,c1,0,266.45994262695314,False
clutha_05800,128,70,5800.0,264.3164489746094,266.84747314453125,clutha,1,23,,c1,0,266.3164489746094,False
clutha_05900,128,71,5900.0,264.23060913085936,266.6499938964844,clutha,1,24,,c1,0,266.23060913085936,False
clutha_06000,128,72,6000.0,264.0566040039063,266.4476318359375,clutha,1,25,,c1,0,266.0566040039063,False
clutha_06050,129,72,6050.0,263.95851440429686,266.6499938964844,clutha,1,26,,c1,0,265.95851440429686,False
clutha_06100,129,73,6100.0,263.87262573242185,266.18792724609375,clutha,1,27,,c1,0,265.87262573242185,False
clutha_06200,129,74,6200.0,263.82953491210935,266.3570251464844,clutha,1,28,,c1,0,265.82953491210935,False
clutha_06250,130,74,6250.0,263.757666015625,266.2205505371094,clutha,1,29,,c1,0,265.757666015625,False
clutha_06350,130,75,6350.0,263.67554931640626,266.232177734375,clutha,1,30,,c1,0,265.67554931640626,False
clutha_06450,130,76,6450.0,263.5441467285156,266.2906494140625,clutha,1,31,,c1,0,265.5441467285156,False
clutha_06550,130,77,6550.0,263.427197265625,265.77734375,clutha,1,32,,c1,0,265.427197265625,False
clutha_06650,130,78,6650.0,263.3207641601563,265.70001220703125,clutha,1,33,,c1,0,265.3207641601563,False
clutha_06750,131,79,6750.0,263.17149047851564,265.63580322265625,clutha,1,34,,c1,0,265.17149047851564,False
clutha_06850,131,80,6850.0,263.0747131347656,265.70001220703125,clutha,1,35,,c1,0,265.0747131347656,False
clutha_06950,132,81,6950.0,263.0016235351562,265.5442810058594,clutha,1,36,,c1,0,265.0016235351562,False
clutha_07050,133,81,7050.0,262.8286376953125,265.29345703125,clutha,1,37,,c1,0,264.8286376953125,False
clutha_07150,134,81,7150.0,262.69721069335935,265.3345642089844,clutha,1,38,,c1,0,264.69721069335935,False
clutha_07250,134,80,7250.0,262.50750122070315,264.7708740234375,clutha,1,39,,c1,0,264.50750122070315,False
clutha_07300,135,80,7300.0,262.35081176757814,265.0428771972656,clutha,1,40,,c1,0,264.35081176757814,False
clutha_07400,135,79,7400.0,262.17413940429685,264.5957336425781,clutha,1,41,,c1,0,264.17413940429685,False
clutha_07500,135,78,7500.0,262.0436279296875,264.510009765625,clutha,1,42,,c1,0,264.0436279296875,False
clutha_07600,135,77,7600.0,261.8710510253906,264.4512023925781,clutha,1,43,,c1,0,263.8710510253906,False
clutha_07650,136,77,7650.0,261.752978515625,264.1183166503906,clutha,1,44,,c1,0,263.752978515625,False
clutha_07700,136,76,7700.0,261.6452697753906,264.17999267578125,clutha,1,45,,c1,0,263.6452697753906,False
clutha_07850,137,75,7850.0,261.53163452148436,264.00537109375,clutha,1,46,,c1,0,263.53163452148436,False
clutha_07950,138,75,7950.0,261.4800170898437,263.9714660644531,clutha,1,47,,c1,0,263.4800170898437,False
clutha_08050,139,75,8050.0,261.39638061523436,263.8830261230469,clutha,1,48,,c1,0,263.39638061523436,False
clutha_08150,140,76,8150.0,261.30756225585935,263.8602294921875,clutha,1,49,,c1,0,263.30756225585935,False
clutha_08300,141,76,8300.0,261.1936401367187,263.7618103027344,clutha,1,50,,c1,0,263.1936401367187,False
clutha_08400,142,77,8400.0,261.0727600097656,263.561279296875,clutha,1,51,,c1,0,263.0727600097656,False
clutha_08550,142,78,8550.0,260.9557678222656,263.40185546875,clutha,1,52,,c1,0,262.9557678222656,False
clutha_08650,142,79,8650.0,260.78843383789064,263.27862548828125,clutha,1,53,,c1,0,262.78843383789064,False
clutha_08750,142,80,8750.0,260.5932983398437,263.2752685546875,clutha,1,54,,c1,0,262.5932983398437,False
clutha_08800,141,80,8800.0,260.4251220703125,262.9251403808594,clutha,1,55,,c1,0,262.4251220703125,False
clutha_08900,140,80,8900.0,260.1894104003906,262.5856018066406,clutha,1,56,,c1,0,262.1894104003906,False
clutha_08950,140,81,8950.0,259.9359130859375,262.56097412109375,clutha,1,57,,c1,0,261.9359130859375,False
clutha_09000,139,81,9000.0,259.723291015625,262.1000671386719,clutha,1,58,,c1,0,261.723291015625,False
clutha_09100,138,81,9100.0,259.5248779296875,262.0077819824219,clutha,1,59,,c1,0,261.5248779296875,False
clutha_09200,137,81,9200.0,259.31268310546875,261.8620300292969,clutha,1,60,,c1,0,261.31268310546875,False
clutha_09300,137,82,9300.0,259.17096557617185,261.5935363769531,clutha,1,61,,c1,0,261.17096557617185,False
clutha_09350,136,82,9350.0,259.0694091796875,261.5,clutha,1,62,,c1,0,261.0694091796875,False
clutha_09450,136,83,9450.0,258.99700317382815,261.3914794921875,clutha,1,63,,c1,0,260.99700317382815,False
clutha_09500,135,83,9500.0,258.96624755859375,261.5,clutha,1,64,,c1,0,260.96624755859375,False
clutha_09550,135,84,9550.0,258.87657470703124,261.5,clutha,1,65,,c1,0,260.87657470703124,False
clutha_09650,135,85,9650.0,258.75514526367186,261.43975830078125,clutha,1,66,,c1,0,260.75514526367186,False
clutha_09700,136,85,9700.0,258.475146484375,261.0516357421875,clutha,1,67,,c1,0,260.475146484375,False
clutha_09750,136,86,9750.0,258.1408325195313,260.7843322753906,clutha,1,68,,c1,0,260.1408325195313,False
clutha_09850,137,86,9850.0,257.7928833007812,260.1000061035156,clutha,1,69,,c1,0,259.7928833007812,False
clutha_09950,138,87,9950.0,257.5205932617188,259.82843017578125,clutha,1,70,,c1,0,259.5205932617188,False
clutha_10100,138,88,10100.0,257.2604919433594,259.70001220703125,clutha,1,71,,c1,0,259.2604919433594,False
clutha_10200,138,89,10200.0,257.147216796875,259.690185546875,clutha,1,72,,c1,0,259.147216796875,False
clutha_10300,138,90,10300.0,257.05848236083983,259.48382568359375,clutha,1,73,,c1,0,259.05848236083983,False
clutha_10350,137,90,10350.0,256.9838119506836,259.53363037109375,clutha,1,74,,c1,0,258.9838119506836,False
clutha_10400,137,91,10400.0,256.88475799560547,230.1682586669922,clutha,1,75,,c1,0,258.88475799560547,False
clutha_10500,137,92,10500.0,256.78417816162107,259.32666015625,clutha,1,76,,c1,0,258.78417816162107,False
clutha_10600,137,93,10600.0,256.6873275756836,259.1949157714844,clutha,1,77,,c1,0,258.6873275756836,False
clutha_10700,137,94,10700.0,256.61329345703126,258.9809265136719,clutha,1,78,,c1,0,258.61329345703126,False
clutha_10750,136,94,10750.0,256.5269775390625,259.04937744140625,clutha,1,79,,c1,0,258.5269775390625,False
