,0
0,silty gravels
1,gravel
2,topsoil clay
3,heavy claybound gravels
4,sandy silt
5,blue silty sand
6,sand
7,gravels
8,silts
9,"clean sandy gravels, cobbles"
10,flat sandy gravels
11,silty sandy gravels with some cobbles
12,very sandy small gravels
13,silty sandy gravels boulders
14,topsoil
15,sandy small gravels
16,sands and fine gravels
17,sandy coarse gravel
18,sandy silt mainly small gravels
19,very silty gravels
20,sandy gravels and cobbles
21,loose sandy cobbles
22,sandy gravels and silt bands
23,coarse sandy gravel
24,sandy gravels mainly small
25,schist rock
26,lightly claybound gravels
27,silty sandy angular gravels and cobbles
28,tight silty gravels and cobbles
29,very silty mainly small sandy gravels
30,silty sandy flat angular gravels
31,loose sandy gravels and cobbles
32,"pea gravels, some large pebbles"
33,silty sandy gravels
34,very sandy gravels
35,blue grey silt
36,"silty schist, odd cobble"
37,"water has turned blue, well 81.4m into basement silts"
38,brown sand
39,silty angular gravels
40,silty sandy angular gravels
41,brown silts into blue silts
42,clay
43,coarse sandy gravels
44,cleaner silty gravels
45,claybound gravels
46,silts some gravels
47,small sandy gravels
48,loose sandy gravels
49,sandy clay
50,soft damp silty sandy gravels
51,damp clay
52,greywacke cobbles
53,coarse cobbly gravel
54,grey schist rock
55,coarse cobble
56,silty sandy small gravel
57,sand gravels soft
58,sandy gravels
59,topsoil and clay
60,light claybound gravels
61,fine sand
62,claybound sand
63,schist
64,sandy gravel
65,boulder
66,brown silts some boulders
67,loose gravel
68,cobble silty gravel
69,coarse cobbly gravels
70,yellow sand
71,fractured schist
72,cobbly gravels
73,light silty claybound sandy gravels
74,silty sandy gravels and cobbles
75,tight silty sandy gravels
76,silty sandy gravel
77,"yellow silt, greywacke gravel"
78,silty coarse sand
79,coarse silty sand
80,soil
81,sand some thin layers of flat gravels
82,sandy claybound gravels
83,"sandy large cobbles, gravels"
84,"large cobbles, sandy gravels"
85,brown silt
86,boulders
87,samll sandy gravels
88,silty sand
89,"blue sand some gravels, dry"
90,silty sandy broken angular gravels
91,very sandy silty gravels
92,yellow clay
93,silty sandy gravels and boulders
94,mainly small silty sandy gravels
95,"brown silty clay, very wet at top 2 to 3 metres"
96,dry claybound gravels and boulders
97,dry claybound gravels
98,weathered rock
99,very silty sandy gravels
100,"topsoil, odd gravel sands"
101,"large cobbles, silty gravels"
102,"coarse gravels, some boulders"
103,brown silty gravels
104,large gravels and boulders
105,cobbly sandy gravels
106,finer silty gravels
107,mudstone with grit
108,silty sandy gravel with boulders
109,sandy
110,very sandy gravel
111,large claybound gravels with boulders
112,light claybound sandy gravels boulders
113,"coarse sandy gravels, odd cobble"
114,large gravels with boulders
115,mainly small sandy gravels
116,very fine sand with some silt and gravel
117,sands fine gravels
118,light claybound gravel
119,gravels with boulders
120,sand with gravel
121,boulder schist
122,silty coarse gravels
123,soil silt
124,medium gravels lightly bound
125,"damp claybound gravels, medium"
126,sandy silt gravel
127,yellowish silty gravels
128,backfill sandy boulders
129,backfill sandy silt gravels
