name	group	zone	nper	measured	modelled
h_devon_east_211	h_piezo	terrace	211	294.099	303.50967
h_devon_silos_211	h_piezo	terrace	211	298.34400000000005	296.65518
h_g40_0009_211	h_piezo	east	211	253.523	256.90097
h_g40_0054_211	h_piezo	terrace	211	300.17999999999995	307.90656
h_g40_0169_211	h_piezo	terrace	211	314.163	297.43198
h_spring_c_211	h_piezo	east	211	270.0	268.17947
h_spring_e_211	h_piezo	east	211	269.0	268.03662
h_spring_mid_211	h_piezo	east	211	272.0	269.83234
h_spring_w_211	h_piezo	east	211	271.0	262.09006
h_wetland_211	h_piezo	east	211	273.7	278.06998
h_devon_east_212	h_piezo	terrace	212	294.099	303.5155
h_devon_silos_212	h_piezo	terrace	212	298.34400000000005	296.6192
h_g40_0009_212	h_piezo	east	212	253.523	256.88135
h_g40_0054_212	h_piezo	terrace	212	300.17999999999995	307.88956
h_g40_0169_212	h_piezo	terrace	212	314.163	297.45288
h_spring_c_212	h_piezo	east	212	270.0	268.16092
h_spring_e_212	h_piezo	east	212	269.0	268.0145
h_spring_mid_212	h_piezo	east	212	272.0	269.66833
h_spring_w_212	h_piezo	east	212	271.0	262.01312
h_wetland_212	h_piezo	east	212	273.7	278.0683
h_devon_east_213	h_piezo	terrace	213	294.099	303.50296
h_devon_silos_213	h_piezo	terrace	213	298.34400000000005	296.5442
h_g40_0009_213	h_piezo	east	213	253.523	256.82672
h_g40_0054_213	h_piezo	terrace	213	300.17999999999995	307.84518
h_g40_0169_213	h_piezo	terrace	213	314.163	297.441
h_spring_c_213	h_piezo	east	213	270.0	268.07507
h_spring_e_213	h_piezo	east	213	269.0	267.92325
h_spring_mid_213	h_piezo	east	213	272.0	269.43408
h_spring_w_213	h_piezo	east	213	271.0	261.8297
h_wetland_213	h_piezo	east	213	273.7	278.03275
h_devon_east_214	h_piezo	terrace	214	294.099	303.50726
h_devon_silos_214	h_piezo	terrace	214	298.34400000000005	296.53134
h_g40_0009_214	h_piezo	east	214	253.523	256.78525
h_g40_0054_214	h_piezo	terrace	214	300.17999999999995	307.82755
h_g40_0169_214	h_piezo	terrace	214	314.163	297.45413
h_spring_c_214	h_piezo	east	214	270.0	268.0331
h_spring_e_214	h_piezo	east	214	269.0	267.88254
h_spring_mid_214	h_piezo	east	214	272.0	269.43668
h_spring_w_214	h_piezo	east	214	271.0	261.7592
h_wetland_214	h_piezo	east	214	273.7	278.02344
h_devon_east_215	h_piezo	terrace	215	294.099	303.50345
h_devon_silos_215	h_piezo	terrace	215	298.34400000000005	296.4774
h_g40_0009_215	h_piezo	east	215	253.523	256.72986
h_g40_0054_215	h_piezo	terrace	215	300.17999999999995	307.8038
h_g40_0169_215	h_piezo	terrace	215	314.163	297.4562
h_spring_c_215	h_piezo	east	215	270.0	267.9693
h_spring_e_215	h_piezo	east	215	269.0	267.8142
h_spring_mid_215	h_piezo	east	215	272.0	269.16162
h_spring_w_215	h_piezo	east	215	271.0	261.59875
h_wetland_215	h_piezo	east	215	273.7	277.99924
h_g40_0054_24	h_single_3	terrace	24	300.17999999999995	307.43515
h_g40_0054_25	h_single_3	terrace	25	300.17999999999995	307.46222
h_g40_0054_26	h_single_3	terrace	26	300.17999999999995	307.44043
h_g40_0054_27	h_single_3	terrace	27	300.17999999999995	307.3945
h_g40_0054_28	h_single_3	terrace	28	300.17999999999995	307.3642
h_g40_0054_29	h_single_3	terrace	29	300.17999999999995	307.35663
h_g40_0236_224	h_single_3	sandypoint	224	250.01	248.97484
h_g40_0236_225	h_single_3	sandypoint	225	250.01	249.0081
h_g40_0236_226	h_single_3	sandypoint	226	250.01	249.27823
h_g40_0236_227	h_single_3	sandypoint	227	250.01	249.6345
h_g40_0236_228	h_single_3	sandypoint	228	250.01	249.79355
h_g40_0335_7	h_single_1	sandypoint	7	237.3844287109375	243.60754
h_g40_0335_8	h_single_1	sandypoint	8	237.3844287109375	243.4789
h_g40_0335_9	h_single_1	sandypoint	9	237.3844287109375	243.40385
h_g40_0335_10	h_single_1	sandypoint	10	237.3844287109375	243.38594
h_g40_0335_11	h_single_1	sandypoint	11	237.3844287109375	243.40924
h_g40_0371_16	h_single_1	sandypoint	16	254.8702844238281	258.03934
h_g40_0371_17	h_single_1	sandypoint	17	254.8702844238281	258.0221
h_g40_0371_18	h_single_1	sandypoint	18	254.8702844238281	258.00494
h_g40_0371_19	h_single_1	sandypoint	19	254.8702844238281	257.988
h_g40_0371_20	h_single_1	sandypoint	20	254.8702844238281	257.97144
h_g40_0375_2	h_single_1	sandypoint	2	238.17367431640625	243.57375
h_g40_0375_3	h_single_1	sandypoint	3	238.17367431640625	243.75078
h_g40_0375_4	h_single_1	sandypoint	4	238.17367431640625	243.8232
h_g40_0375_5	h_single_1	sandypoint	5	238.17367431640625	243.77855
h_g40_0375_6	h_single_1	sandypoint	6	238.17367431640625	243.6654
h_g40_0375_7	h_single_1	sandypoint	7	238.17367431640625	243.51547
h_g40_0366_1	h_hf	east	1	272.3489688	274.53296
h_g40_0366_2	h_hf	east	2	272.36095907142857	274.54547
h_g40_0366_3	h_hf	east	3	272.34960417142855	274.658
h_g40_0366_4	h_hf	east	4	272.3309181571429	274.74918
h_g40_0366_5	h_hf	east	5	272.3756435857143	274.76587
h_g40_0366_6	h_hf	east	6	272.3262150285714	274.74365
h_g40_0366_7	h_hf	east	7	272.34724254285715	274.6974
h_g40_0366_8	h_hf	east	8	272.30255878571427	274.6433
h_g40_0366_9	h_hf	east	9	272.2207418142857	274.5939
h_g40_0366_10	h_hf	east	10	272.1847879571429	274.55737
h_g40_0366_11	h_hf	east	11	272.1758883714286	274.5327
h_g40_0366_12	h_hf	east	12	272.13008855714287	274.51334
h_g40_0366_13	h_hf	east	13	272.07153571428574	274.49396
h_g40_0366_14	h_hf	east	14	272.04318527142857	274.47623
h_g40_0366_15	h_hf	east	15	272.05964807142857	274.45706
h_g40_0366_16	h_hf	east	16	272.06126935714286	274.44418
h_g40_0366_17	h_hf	east	17	271.9761942142857	274.44196
h_g40_0366_18	h_hf	east	18	271.99155655714287	274.44254
h_g40_0366_19	h_hf	east	19	271.8697990857143	274.435
h_g40_0366_20	h_hf	east	20	271.8962381142857	274.42667
h_g40_0366_21	h_hf	east	21	272.03736755714283	274.4265
h_g40_0366_22	h_hf	east	22	272.0200595	274.41867
h_g40_0366_23	h_hf	east	23	271.8663631142857	274.39642
h_g40_0366_24	h_hf	east	24	271.78187352857145	274.3624
h_g40_0366_25	h_hf	east	25	271.7245654857143	274.32358
h_g40_0366_26	h_hf	east	26	271.65848958571434	274.2959
h_g40_0366_27	h_hf	east	27	271.58638690000004	274.27182
h_g40_0366_28	h_hf	east	28	271.61917262857145	274.24933
h_g40_0366_29	h_hf	east	29	271.6842314142857	274.23056
h_g40_0366_30	h_hf	east	30	271.6423958428571	274.22366
h_g40_0366_31	h_hf	east	31	271.56701485714285	274.23352
h_g40_0366_32	h_hf	east	32	271.60986904285716	274.24075
h_g40_0366_33	h_hf	east	33	271.64851191428573	274.2399
h_g40_0366_34	h_hf	east	34	271.60865774285713	274.23862
h_g40_0366_35	h_hf	east	35	271.53685490000004	274.2381
h_g40_0366_36	h_hf	east	36	271.6534025428571	274.2331
h_g40_0366_37	h_hf	east	37	271.82244715714285	274.22864
h_g40_0366_38	h_hf	east	38	271.83932141428573	274.2243
h_g40_0366_39	h_hf	east	39	271.9221830571429	274.22354
h_g40_0366_40	h_hf	east	40	271.8321719	274.2238
h_g40_0366_56	h_hf	east	56	272.30163021666664	274.8024
h_g40_0366_57	h_hf	east	57	272.1985200857143	274.73056
h_g40_0366_58	h_hf	east	58	272.2172113142857	274.67325
h_g40_0366_59	h_hf	east	59	272.2013802142857	274.62354
h_g40_0366_60	h_hf	east	60	272.1875312428571	274.59952
h_g40_0366_61	h_hf	east	61	272.1117396	274.56424
h_g40_0366_62	h_hf	east	62	272.0990506	274.51733
h_g40_0366_63	h_hf	east	63	272.0916800714286	274.4822
h_g40_0366_64	h_hf	east	64	272.06583111428574	274.45828
h_g40_0366_65	h_hf	east	65	271.99023514285716	274.4643
h_g40_0366_66	h_hf	east	66	272.1438593857143	274.4592
h_g40_0366_67	h_hf	east	67	272.0943735142857	274.43643
h_g40_0366_68	h_hf	east	68	272.10271055714287	274.41342
h_g40_0366_69	h_hf	east	69	272.0233541571428	274.39767
h_g40_0366_70	h_hf	east	70	271.9860431428571	274.39334
h_g40_0366_71	h_hf	east	71	272.0322024	274.39236
h_g40_0366_72	h_hf	east	72	271.9642195	274.38367
h_g40_0366_73	h_hf	east	73	271.9162633857143	274.3744
h_g40_0366_74	h_hf	east	74	271.90106027142855	274.37354
h_g40_0366_75	h_hf	east	75	271.86923661428574	274.3652
h_g40_0366_76	h_hf	east	76	271.8355721857143	274.34256
h_g40_0366_77	h_hf	east	77	271.81073215714287	274.31168
h_g40_0366_78	h_hf	east	78	271.7422381142857	274.2785
h_g40_0366_79	h_hf	east	79	271.68990327142853	274.24753
h_g40_0366_80	h_hf	east	80	271.6728645857143	274.22003
h_g40_0366_81	h_hf	east	81	271.72606918571427	274.19785
h_g40_0366_82	h_hf	east	82	271.7312991	274.18857
h_g40_0366_83	h_hf	east	83	271.69194419999997	274.19678
h_g40_0366_84	h_hf	east	84	271.6444799142857	274.2028
h_g40_0366_85	h_hf	east	85	271.65564732857143	274.20102
h_g40_0366_86	h_hf	east	86	271.6832128	274.1991
h_g40_0366_87	h_hf	east	87	271.5576138571428	274.19803
h_g40_0366_88	h_hf	east	88	271.586596	274.19257
h_g40_0366_89	h_hf	east	89	271.4888489714286	274.1878
h_g40_0366_90	h_hf	east	90	271.6279829	274.18317
h_g40_0366_91	h_hf	east	91	271.6495602714286	274.18216
h_g40_0366_92	h_hf	east	92	271.8022976142857	274.1822
h_g40_0366_93	h_hf	east	93	271.82701861428575	274.17093
h_g40_0366_94	h_hf	east	94	271.88476637142855	274.15692
h_g40_0366_95	h_hf	east	95	271.8890774	274.14792
h_g40_0366_96	h_hf	east	96	271.9412143	274.15118
h_g40_0366_97	h_hf	east	97	271.96451784285716	274.15796
h_g40_0366_98	h_hf	east	98	271.96395312857146	274.15665
h_g40_0366_99	h_hf	east	99	271.95652191666665	274.1555
h_g40_0366_108	h_hf	east	108	271.9891374333333	274.5922
h_g40_0366_109	h_hf	east	109	272.02754835714285	274.75372
h_g40_0366_110	h_hf	east	110	272.1372462857143	274.78278
h_g40_0366_111	h_hf	east	111	272.1675153857143	274.7034
h_g40_0366_112	h_hf	east	112	272.0780433857143	274.70502
h_g40_0366_113	h_hf	east	113	272.00250892857144	274.71698
h_g40_0366_114	h_hf	east	114	271.9744182	274.70657
h_g40_0366_117	h_hf	east	117	272.0328630833333	274.6265
h_g40_0366_118	h_hf	east	118	271.90345834285716	274.57367
h_g40_0366_119	h_hf	east	119	271.7755092	274.51797
h_g40_0366_120	h_hf	east	120	271.70377058571427	274.4708
h_g40_0366_121	h_hf	east	121	271.67413665714287	274.43945
h_g40_0366_122	h_hf	east	122	271.7699447	274.42407
h_g40_0366_123	h_hf	east	123	271.6933221714286	274.40793
h_g40_0366_124	h_hf	east	124	271.74115948571426	274.3862
h_g40_0366_125	h_hf	east	125	271.80032217142855	274.37024
h_g40_0366_126	h_hf	east	126	271.8230989714286	274.36227
h_g40_0366_127	h_hf	east	127	271.7640654857143	274.3365
h_g40_0366_128	h_hf	east	128	271.760804575	274.30084
h_g40_0366_129	h_hf	east	129	271.67630084285713	274.25937
h_g40_0366_130	h_hf	east	130	271.6323092714286	274.22125
h_g40_0366_131	h_hf	east	131	271.5625091714286	274.18976
h_g40_0366_132	h_hf	east	132	271.5654920571429	274.16687
h_g40_0366_133	h_hf	east	133	271.47513814285713	274.15152
h_g40_0366_134	h_hf	east	134	271.53160862857146	274.15036
h_g40_0366_135	h_hf	east	135	271.6261989	274.15744
h_g40_0366_136	h_hf	east	136	271.73170684285714	274.14767
h_g40_0366_137	h_hf	east	137	271.55480927142855	274.13498
h_g40_0366_138	h_hf	east	138	271.5685210857143	274.13333
h_g40_0366_139	h_hf	east	139	271.6081182857143	274.13055
h_g40_0366_140	h_hf	east	140	271.67300891428573	274.12512
h_g40_0366_141	h_hf	east	141	271.63950247142856	274.12897
h_g40_0366_142	h_hf	east	142	271.72265427142855	274.13052
h_g40_0366_143	h_hf	east	143	271.77125347142857	274.1372
h_g40_0366_144	h_hf	east	144	271.8558006	274.14764
h_g40_0366_145	h_hf	east	145	271.8500798714286	274.22882
h_g40_0366_146	h_hf	east	146	271.88420385714284	274.3284
h_g40_0366_147	h_hf	east	147	271.8699352714286	274.39877
h_g40_0366_148	h_hf	east	148	271.9126436	274.42767
h_g40_0366_149	h_hf	east	149	272.0063730142857	274.67514
h_g40_0366_150	h_hf	east	150	272.18337625714287	274.79276
h_g40_0366_151	h_hf	east	151	272.1502276857143	274.73227
h_g40_0366_152	h_hf	east	152	272.1506627142857	274.69055
h_g40_0366_153	h_hf	east	153	272.1375012428571	274.6639
h_g40_0366_154	h_hf	east	154	272.1126091285714	274.64987
h_g40_0366_155	h_hf	east	155	272.11838791428573	274.732
h_g40_0366_156	h_hf	east	156	272.26743477142855	274.8358
h_g40_0366_157	h_hf	east	157	272.3038189571429	274.85553
h_g40_0366_158	h_hf	east	158	272.1695493571429	274.8533
h_g40_0366_159	h_hf	east	159	272.1665071857143	274.8497
h_g40_0366_160	h_hf	east	160	272.14535167142856	274.8229
h_g40_0366_161	h_hf	east	161	272.20151858571427	274.8269
h_g40_0366_162	h_hf	east	162	272.2300977142857	274.80722
h_g40_0366_163	h_hf	east	163	272.19865352857147	274.75775
h_g40_0366_164	h_hf	east	164	272.17748511428573	274.70663
h_g40_0366_165	h_hf	east	165	272.0837812428571	274.64514
h_g40_0366_166	h_hf	east	166	272.02929614285716	274.71582
h_g40_0366_167	h_hf	east	167	272.05110640000004	274.82257
h_g40_0366_168	h_hf	east	168	272.05091815714286	274.85583
h_g40_0366_169	h_hf	east	169	272.0743258714286	274.82294
h_g40_0366_170	h_hf	east	170	272.0631788142857	274.766
h_g40_0366_171	h_hf	east	171	272.0387351	274.72043
h_g40_0366_172	h_hf	east	172	271.9851626857143	274.67957
h_g40_0366_173	h_hf	east	173	272.0014072428571	274.65057
h_g40_0366_174	h_hf	east	174	272.02547594285716	274.642
h_g40_0366_175	h_hf	east	175	272.05640427142856	274.6378
h_g40_0366_176	h_hf	east	176	272.0437204857143	274.61853
h_g40_0366_177	h_hf	east	177	272.00482962857143	274.5914
h_g40_0366_178	h_hf	east	178	271.9089060142857	274.56015
h_g40_0366_179	h_hf	east	179	271.8559861	274.5281
h_g40_0366_180	h_hf	east	180	271.82610489999996	274.49893
h_g40_0366_181	h_hf	east	181	271.88048487142856	274.4709
h_g40_0366_182	h_hf	east	182	271.9302261857143	274.45294
h_g40_0366_183	h_hf	east	183	271.83797542857144	274.44226
h_g40_0366_184	h_hf	east	184	271.7312361	274.42365
h_g40_0366_185	h_hf	east	185	271.69136782857146	274.40527
h_g40_0366_186	h_hf	east	186	271.6674471714286	274.39694
h_g40_0366_187	h_hf	east	187	271.6835441571429	274.42148
h_g40_0366_188	h_hf	east	188	271.72766665714283	274.4684
h_g40_0366_189	h_hf	east	189	271.6813583857143	274.49374
h_g40_0366_190	h_hf	east	190	271.6397348857143	274.51025
h_g40_0366_191	h_hf	east	191	271.6693650857143	274.52524
h_g40_0366_192	h_hf	east	192	271.72248065714285	274.5342
h_g40_0366_193	h_hf	east	193	271.7363083	274.5464
h_g40_0366_194	h_hf	east	194	271.8701788	274.5749
h_g40_0366_195	h_hf	east	195	272.00793177142856	274.59485
h_g40_0366_196	h_hf	east	196	272.0313464857143	274.59464
h_g40_0366_197	h_hf	east	197	272.0034841428572	274.5803
h_g40_0366_198	h_hf	east	198	272.0310322428571	274.5936
h_g40_0366_199	h_hf	east	199	272.0964633	274.60785
h_g40_0366_200	h_hf	east	200	272.17128795714285	274.73615
h_g40_0366_201	h_hf	east	201	272.19737795714286	274.80713
h_g40_0366_202	h_hf	east	202	272.28114857142856	275.0911
h_g40_0366_203	h_hf	east	203	272.36923908571424	275.25388
h_g40_0366_204	h_hf	east	204	272.44436532857145	275.1991
h_g40_0366_205	h_hf	east	205	272.3764546142857	275.13544
h_g40_0366_206	h_hf	east	206	272.39328274285714	275.0609
h_g40_0366_207	h_hf	east	207	272.3788045714286	275.00598
h_g40_0366_208	h_hf	east	208	272.3653430142857	275.05853
h_g40_0366_209	h_hf	east	209	272.3930049714286	275.1098
h_g40_0366_210	h_hf	east	210	272.43623364285713	275.07016
h_g40_0366_211	h_hf	east	211	272.4612366142857	275.06085
h_g40_0366_212	h_hf	east	212	272.4884645285714	275.04938
h_g40_0366_213	h_hf	east	213	272.46071627142857	274.98853
h_g40_0366_214	h_hf	east	214	272.3848397857143	274.96033
h_g40_0366_215	h_hf	east	215	272.40155605714284	274.91415
h_g40_0366_216	h_hf	east	216	272.3120615285714	274.82443
h_g40_0366_217	h_hf	east	217	272.24185018571427	274.74152
h_g40_0366_218	h_hf	east	218	272.2316689142857	274.6736
h_g40_0366_219	h_hf	east	219	272.1841498	274.61322
h_g40_0366_220	h_hf	east	220	272.1444484	274.57162
h_g40_0366_221	h_hf	east	221	272.16583408571427	274.5502
h_g40_0366_222	h_hf	east	222	272.15652305714286	274.5317
h_g40_0366_223	h_hf	east	223	272.2152502571429	274.52484
h_g40_0366_224	h_hf	east	224	272.1713893857143	274.51462
h_g40_0366_225	h_hf	east	225	272.14036755714284	274.50198
h_g40_0366_226	h_hf	east	226	272.0911897142857	274.51123
h_g40_0366_227	h_hf	east	227	272.28035689999996	274.55548
h_g40_0366_228	h_hf	east	228	272.3456783285714	274.59427
h_g40_0366_229	h_hf	east	229	272.2402329	274.77484
