,Parameter type,Static,Package,Name,Initial,Min,Max
0,Lake Sy,True,Upw,all,1e-10,na,na
1,VKA,True,Upw,all,1,na,na
2,Lake Conductance,True,Upw,all,10000000000.0,na,na
3,Hillside inflow multiplier,False,Wel,se,0.8,1.0,1.2
4,Hillside inflow multiplier,False,Wel,main,0.8,1.0,1.2
5,Hillside inflow multiplier,False,Wel,mang,0.8,1.0,1.2
6,Race loss multiplier,False,Wel,all,0.8,1.0,1.2
7,River Conductance,False,Riv,h1,100,1000,10000
8,River Conductance,False,Riv,h2,100,1000,10000
9,River Conductance,False,Riv,h3,100,1000,10000
10,River Conductance,False,Riv,c1,100,1000,10000
11,River Conductance,False,Riv,gview,50,100,5000
12,River Conductance,False,Riv,john,50,100,5000
13,Specific Yeild,False,Upw,sy_mor_l0,0.0001,0.01,0.3
14,Specific Yeild,False,Upw,sy_mor_l1,0.0001,0.001,0.3
15,Specific Yeild,False,Upw,ss_rest,1e-06,0.0001,0.001
16,Specific Yeild,False,Upw,ss_mor_l0,1e-06,0.0001,0.001
17,Specific Yeild,False,Upw,ss_mor_l1,1e-06,0.0001,0.001
18,Specific Yeild,False,Upw,riv_g23,0.0001,0.01,0.3
19,Specific Yeild,False,Upw,riv_g24,0.0001,0.01,0.3
20,Specific Yeild,False,Upw,ter33,0.0001,0.01,0.3
21,Specific Yeild,False,Upw,ter34,0.0001,0.01,0.3
22,Specific Yeild,False,Upw,ter35,0.0001,0.01,0.3
23,Specific Yeild,False,Upw,h_flat1,0.0001,0.01,0.3
24,Specific Yeild,False,Upw,h_flat2,0.0001,0.01,0.3
25,Specific Yeild,False,Upw,h_flat3,0.0001,0.01,0.3
26,Specific Yeild,False,Upw,h_flat4,0.0001,0.01,0.3
27,Specific Yeild,False,Upw,h_flat5,0.0001,0.01,0.3
28,Specific Yeild,False,Upw,mang16,0.0001,0.01,0.3
29,Specific Yeild,False,Upw,riv_g25,0.0001,0.01,0.3
30,Specific Yeild,False,Upw,h_flat6,0.0001,0.01,0.3
31,Specific Yeild,False,Upw,riv_g26,0.0001,0.01,0.3
32,Specific Yeild,False,Upw,h_flat7,0.0001,0.01,0.3
33,Specific Yeild,False,Upw,h_flat8,0.0001,0.01,0.3
34,Specific Yeild,False,Upw,ter36,0.0001,0.01,0.3
35,Specific Yeild,False,Upw,ter37,0.0001,0.01,0.3
36,Specific Yeild,False,Upw,ter38,0.0001,0.01,0.3
37,Specific Yeild,False,Upw,riv_g27,0.0001,0.01,0.3
38,Specific Yeild,False,Upw,sandy31,0.0001,0.01,0.3
39,Specific Yeild,False,Upw,sandy32,0.0001,0.01,0.3
40,Specific Yeild,False,Upw,mang17,0.0001,0.01,0.3
41,Specific Yeild,False,Upw,mang18,0.0001,0.01,0.3
42,Specific Yeild,False,Upw,mang19,0.0001,0.01,0.3
43,Specific Yeild,False,Upw,mang20,0.0001,0.01,0.3
44,Specific Yeild,False,Upw,mang21,0.0001,0.01,0.3
45,Specific Yeild,False,Upw,hill11,0.0001,0.01,0.3
46,Specific Yeild,False,Upw,hill12,0.0001,0.01,0.3
47,Specific Yeild,False,Upw,hill13,0.0001,0.01,0.3
48,Specific Yeild,False,Upw,h_flat9,0.0001,0.01,0.3
49,Specific Yeild,False,Upw,h_flat10,0.0001,0.01,0.3
50,Specific Yeild,False,Upw,ter14,0.0001,0.01,0.3
51,Specific Yeild,False,Upw,ter15,0.0001,0.01,0.3
52,Specific Yeild,False,Upw,mang22,0.0001,0.01,0.3
