,scen_rch,hill,opt_rch
1981,484675.3354144357,717002.1359584476,
1982,375322.23366283823,745565.9025960179,
1983,970920.9690945873,1878010.789753015,
1984,477739.1093020206,892987.9367106886,
1985,421349.16457253916,654787.2858186978,
1986,683866.5734637043,668634.6178378649,
1987,723703.7991961216,1000072.6546694454,
1988,819295.1101961693,570389.5006965804,
1989,377806.61027604167,178753.47622884513,
1990,572607.3690845366,406058.0732819626,
1991,720769.6746855684,582873.8765637235,
1992,691469.9346132774,472422.89523311687,
1993,549271.720449659,535757.4191386169,
1994,656293.7047410295,1718271.9156066347,
1995,949169.5967593828,1235226.3791427955,
1996,459421.7881313854,763664.3436781906,
1997,531467.328165087,445923.7213566781,
1998,860315.6636275309,1032948.6514337522,
1999,708929.8437520893,464448.79694296024,
2000,688811.533074698,1795716.836483004,
2001,340618.97128779686,60520.6839969764,
2002,611168.5415290463,501888.08668038424,
2003,596147.4950062502,364314.4087368167,
2004,567049.7982916264,747827.9443503662,
2005,367378.8920151864,296144.02508909535,
2006,412642.65103093965,590215.4037131354,
2007,566455.8910986145,433534.1290401205,
2008,519357.8280804937,450777.07230052876,
2009,661971.5549655327,616723.9985825781,
2010,793387.6150286843,804376.0035752814,
2011,473977.6285230367,491869.1113838118,
2012,612441.1947595502,483135.7302845593,
2013,698041.0711945957,729021.498326872,
2014,662363.6653172766,577554.1196219313,
2015,702628.9616786753,380681.9443736742,
2016,668725.423717007,225147.01988161053,486318.8955249642
2017,478688.24300694076,547876.809269441,615948.5537966699
2018,615839.1641689824,841944.3140053233,846136.1778946016
2019,575613.0338104488,528419.2209253866,747049.081243303
2020,614785.9862289558,287127.3500476489,629903.371194463
