,date,ca12_0100,ca13_0101,ca13_0106,ca13_0107,ca13_0115,ca13_0116,ca13_0119,ca13_0122,ca13_0124,ca13_0127,f40_0114,f40_0122,f40_0185,f40_0186,f40_0188,f40_0192,f40_0199,f40_0228,f40_0263,f40_0277,f40_0396,g40_0005,g40_0006,g40_0008,g40_0013,g40_0014,g40_0016,g40_0019,g40_0023,g40_0024,g40_0026,g40_0032,g40_0033,g40_0035,g40_0036,g40_0038,g40_0039,g40_0041,g40_0046,g40_0048,g40_0052,g40_0054,g40_0101,g40_0102,g40_0108,g40_0117,g40_0120,g40_0122,g40_0127,g40_0128,g40_0129,g40_0130,g40_0131,g40_0132,g40_0138,g40_0139,g40_0140,g40_0144,g40_0146,g40_0147,g40_0158,g40_0160,g40_0162,g40_0163,g40_0165,g40_0167,g40_0170,g40_0173,g40_0178,g40_0181,g40_0182,g40_0183,g40_0184,g40_0186,g40_0195,g40_0198,g40_0200,g40_0203,g40_0204,g40_0205,g40_0208,g40_0210,g40_0214,g40_0218,g40_0219,g40_0226,g40_0227,g40_0230,g40_0236,g40_0242,g40_0249,g40_0253,g40_0257,g40_0261,g40_0264,g40_0271,g40_0272,g40_0274,g40_0275,g40_0277,g40_0280,g40_0290,g40_0293,g40_0294,g40_0295,g40_0296,g40_0298,g40_0306,g40_0308,g40_0309,g40_0310,g40_0311,g40_0325,g40_0327,g40_0330,g40_0332,g40_0334,g40_0338,g40_0339,g40_0340,g40_0345,g40_0352,g40_0357,g40_0358,g40_0366,g40_0367,g40_0368,g40_0371,g40_0373,g40_0381,g40_0382,g40_0385,g40_0387,g40_0388,g40_0389,g40_0395,g40_0396,g40_0400,g40_0401,g40_0403,g40_0404,g40_0405,g40_0406,g40_0407,g40_0408,g40_0409,g40_0412,g40_0413,g40_0415,g40_0416,g40_0417,g40_0422,g40_0424,g40_0430,g40_0434,g40_0435,g40_0441,g40_0442,g41_0119
0,2000-09-27,297.10675,-888.0,296.96854,318.90906,297.8305,298.32278,320.36743,320.78513,296.7368,325.5671,306.10892,336.4389,342.1269,337.71454,294.95383,311.65707,343.3674,286.98718,336.61896,340.35165,343.2696,319.9431,320.53223,-888.0,-888.0,319.9431,327.0571,324.3913,322.079,321.65872,342.67017,362.4756,320.47415,320.4232,320.33163,309.80682,-888.0,322.6698,319.48932,322.31165,321.0156,297.49927,319.3643,319.66095,291.7574,320.26898,321.06387,319.56818,329.1855,300.8131,327.95792,319.88672,320.0079,319.88083,308.72516,319.9426,321.3034,302.95023,-888.0,319.88083,320.37378,319.95834,321.24112,330.60773,320.37366,320.33163,316.39206,313.42133,332.4312,329.69025,295.5902,358.422,321.54532,320.324,319.9023,320.71658,320.33163,317.91998,329.32965,319.9372,323.09625,319.94366,320.37366,343.56836,297.26224,300.5605,328.9122,322.98608,248.9491,320.30746,320.66953,293.8293,321.56305,319.32333,319.3643,321.8218,320.33163,298.94022,320.39175,319.53888,320.04498,319.3693,316.20547,297.145,297.09747,295.21423,300.86652,293.96405,297.53125,298.35236,321.45248,321.89407,296.56775,271.7337,270.01562,270.01562,270.01562,305.66217,304.07242,270.48337,342.69092,320.1608,270.2945,271.34875,272.2476,320.0079,332.4312,254.88968,321.2091,310.46185,310.50723,319.8436,320.0079,296.50732,296.4521,299.86307,299.87698,319.91476,320.74783,301.5642,299.3148,298.41858,321.26175,319.79483,322.02963,321.61752,318.84137,329.8928,330.76477,323.48013,-888.0,272.2476,321.22696,321.19293,321.492,353.38712,320.2318,303.1633,322.31165
1,1980-07-23,297.11945,-888.0,297.32166,318.92996,298.10944,298.61508,320.55847,320.85117,296.79025,325.58215,306.0808,336.3998,342.11023,337.7124,295.02365,311.63684,343.36337,286.98038,336.58646,340.3569,343.26627,320.0469,320.55447,-888.0,-888.0,320.0469,328.09082,324.40826,322.0876,321.6682,344.22964,352.1042,320.50494,320.46335,320.37738,309.8057,-888.0,322.83356,319.6477,322.30927,321.013,297.59692,319.45276,319.76804,291.80203,320.3472,321.20792,319.6676,329.17975,300.81235,328.01117,319.99872,320.0871,319.98285,309.10638,320.00867,321.4546,302.88,-888.0,319.98285,320.42462,320.02518,321.29352,331.2792,320.41046,320.37738,316.37576,313.35468,333.2417,329.76767,295.64633,358.60077,321.58884,320.38705,319.9808,320.75653,320.37738,318.09235,329.3769,320.0637,323.0915,320.02573,320.41046,343.58057,297.58688,300.99918,328.9814,323.23187,248.82808,320.34265,320.68515,294.02246,321.56677,319.49628,319.45276,321.8285,320.37738,298.8706,320.47604,319.73825,320.12692,319.45465,316.1823,297.35675,297.0948,295.314,301.32474,293.98615,297.8437,298.86597,321.64447,322.07016,296.7947,287.8347,270.06247,270.06247,270.06247,306.38718,304.5883,270.50073,344.25903,320.2317,270.46823,271.40854,272.25677,320.0871,333.2417,254.96582,321.37027,310.7936,310.8043,319.97232,320.0871,296.7602,296.71237,299.85376,299.80505,320.1218,320.80173,301.4351,299.2912,298.5483,321.44193,319.9148,322.03036,321.63422,318.91812,330.96732,331.0441,323.68713,-888.0,272.25677,321.32806,321.20822,321.50446,353.2871,320.22574,303.03088,322.30927
2,1980-07-30,297.13895,-888.0,297.65875,319.03284,298.35168,298.86847,320.87814,321.06448,296.89673,325.7032,306.0426,336.34482,342.0989,337.71112,295.08627,311.59958,343.35336,286.97754,336.53564,340.41104,343.2571,320.11087,320.60306,-888.0,-888.0,320.11087,328.8569,324.52545,322.1403,321.71155,345.03906,346.67194,320.5572,320.51852,320.43527,309.8022,-888.0,323.28232,319.84106,322.31497,321.01593,297.5919,319.51672,319.83377,291.938,320.40857,321.38895,319.73203,329.1679,300.81036,328.3064,320.0628,320.15076,320.04672,309.36856,320.0719,321.60223,302.83878,-888.0,320.04672,320.48224,320.08862,321.4989,331.94586,320.4664,320.43527,316.35153,313.29492,333.91803,330.1655,295.7051,359.64258,321.75674,320.44666,320.04395,320.92014,320.43527,318.34937,329.6461,320.1323,323.08224,320.08963,320.4664,343.81763,297.8457,301.2732,329.338,323.6572,248.92523,320.4002,320.72714,294.20847,321.59338,319.72473,319.51672,321.86948,320.43527,298.90292,320.5433,320.03583,320.19037,319.6563,316.13593,297.57977,297.09506,295.45905,301.4926,294.14255,298.13223,299.2884,321.953,322.3707,297.04596,289.9881,270.14383,270.14383,270.14383,306.64227,304.85635,270.54492,345.05655,320.29385,270.65714,271.5082,272.28433,320.15076,333.91803,254.95523,321.49887,311.05508,311.05396,320.0391,320.15076,297.02933,296.98404,299.97552,299.87442,320.18573,320.8699,301.45172,299.3892,298.72714,321.80087,320.16245,322.05707,321.68964,319.10248,331.6785,331.66577,324.18356,-888.0,272.28433,321.43015,321.25195,321.55038,353.31924,320.22818,303.08292,322.31497
3,1980-08-06,297.24112,-888.0,297.63174,319.1712,298.28217,298.80295,320.98242,321.23578,297.0346,325.8668,306.08817,336.36984,342.12704,337.71408,295.14658,311.61078,343.35538,287.10956,336.5506,340.4839,343.2568,320.06085,320.61813,-888.0,-888.0,320.06085,328.89993,324.67746,322.20685,321.7552,344.74927,346.19885,320.56775,320.52295,320.43524,309.80026,-888.0,323.49896,319.88943,322.34158,321.05228,297.56805,319.46857,319.77557,292.06137,320.38306,321.4001,319.67868,329.18866,300.81055,328.60913,320.00494,320.12216,319.99698,309.2283,320.0533,321.5586,302.99493,-888.0,319.99698,320.47888,320.06967,321.68704,332.12585,320.47244,320.43524,316.33466,313.35208,334.07108,330.5373,295.7861,362.1142,321.92917,320.4337,320.0145,321.08704,320.43524,318.4182,329.99475,320.06076,323.07928,320.0575,320.47244,344.58817,297.73193,301.16245,329.679,323.81827,248.95877,320.40524,320.7467,294.22903,321.6274,319.7814,319.46857,321.91797,320.43524,299.13232,320.5116,320.11072,320.1599,319.78983,316.11237,297.6116,297.10858,295.5384,301.28656,294.31055,298.12375,299.19556,322.05383,322.48245,297.07388,282.99847,270.1651,270.1651,270.1651,306.2077,304.62207,270.57745,344.76892,320.27347,270.59854,271.5312,272.3126,320.12216,334.07108,254.98724,321.41534,310.9573,310.99222,319.96564,320.12216,297.0454,296.9962,300.20847,300.1354,320.04944,320.86768,301.7451,299.6096,298.81174,321.9456,320.28738,322.10306,321.73303,319.23505,331.74622,331.993,324.40472,-888.0,272.3126,321.4029,321.28195,321.58905,353.67273,320.27042,303.42703,322.34158
4,1980-08-13,297.6546,-888.0,297.70218,319.28177,298.42722,298.94104,321.11014,321.35464,297.52008,326.06595,306.3163,336.56378,342.23846,337.74243,295.48242,311.74704,343.41525,287.6644,336.71622,340.5953,343.30405,320.19205,320.6668,-888.0,-888.0,320.19205,328.80258,324.84235,322.28998,321.81833,344.25504,350.03296,320.62338,320.587,320.5064,309.80658,-888.0,323.57846,320.19876,322.3838,321.1305,297.5581,319.62646,319.93607,292.1766,320.48325,321.6708,319.83368,329.31924,300.81888,328.8583,320.14566,320.2316,320.1307,309.37933,320.15494,321.831,303.51132,-888.0,320.1307,320.55292,320.1716,321.802,332.1456,320.536,320.5064,316.32852,313.6121,334.03986,330.80176,296.1689,365.18176,322.04184,320.51944,320.12656,321.20786,320.5064,318.52704,330.3131,320.22864,323.09995,320.17163,320.536,346.20215,297.7862,301.30954,329.93246,323.984,249.08267,320.473,320.7865,294.5085,321.6687,320.10007,319.62646,321.9828,320.5064,299.78928,320.6368,320.2393,320.26987,319.90503,316.1729,297.6954,297.14255,295.63605,301.6955,294.5324,298.19336,299.23853,322.26492,322.70334,297.1484,276.6399,270.18216,270.18216,270.18216,306.5329,304.79004,270.60278,344.2742,320.3703,270.60184,271.55527,272.3429,320.2316,334.03986,255.08426,321.69504,311.1079,311.19623,320.13266,320.2316,297.11774,297.06714,300.8566,300.84384,320.2483,320.9755,302.52478,300.243,299.21088,322.04993,320.40884,322.15952,321.8122,319.34555,331.67136,332.1379,324.46164,-888.0,272.3429,321.60104,321.33377,321.65134,354.49536,320.3606,304.29547,322.3838
5,1980-08-20,299.86255,309.51007,298.3542,319.48587,299.7314,300.1956,321.5887,321.6231,300.36526,326.37234,307.58304,337.5133,342.71005,337.88345,297.36417,312.51807,343.65985,290.4631,337.5315,340.96237,343.51535,320.69324,320.993,-888.0,-888.0,320.69324,329.0537,325.15012,322.52124,322.0414,343.98273,374.64206,320.969,320.9516,320.89996,309.8553,-888.0,323.82486,321.24713,322.49228,321.246,297.68695,320.19656,320.4946,292.72037,320.90912,322.40173,320.3886,329.7652,300.86633,329.19205,320.6587,320.71622,320.64157,310.48587,320.6473,322.44516,306.1575,-888.0,320.64157,320.9369,320.6635,322.00793,332.34042,320.91583,320.89996,316.36548,314.9045,334.13864,331.08313,298.2989,366.02994,322.19864,320.92343,320.6219,321.43674,320.89996,319.00262,330.65613,320.77362,323.2279,320.66644,320.91583,347.7336,298.59033,302.02017,330.23865,324.52905,249.60043,320.88092,321.06647,296.43054,321.83768,321.22348,320.19656,322.19238,320.89996,303.29904,321.0918,320.7539,320.74713,320.23987,316.6364,298.14374,297.24963,296.04626,302.91388,295.74512,298.67865,299.80264,322.92435,323.3429,297.63223,288.94305,270.3302,270.3302,270.3302,307.43576,305.53314,270.7429,343.9974,320.81805,270.79898,271.75095,272.47833,320.71622,334.13864,255.59908,322.28378,312.24637,312.6306,320.67807,320.71622,297.638,297.59558,304.5834,304.74527,320.76923,321.38245,306.5479,303.83975,301.77936,322.41833,320.80466,322.324,322.07925,319.6638,331.88342,332.32544,324.6587,308.31952,272.47833,322.09036,321.5771,321.89105,356.66003,320.48074,308.95828,322.49228
6,1980-08-27,300.76373,308.96063,298.4757,319.7407,299.28824,299.72937,321.5975,321.80356,299.85443,326.6286,308.48895,337.94678,343.10272,338.15372,298.15088,313.28574,343.99802,291.15732,338.01575,341.26804,343.82886,320.8709,321.26328,-888.0,-888.0,320.8709,329.0948,325.38928,322.7878,322.29517,343.93008,372.91425,321.23325,321.20853,321.14883,309.9003,-888.0,323.9884,320.8786,322.66174,321.34863,297.8438,320.28262,320.60345,292.95267,321.13446,322.336,320.4986,330.1924,300.9106,329.41977,320.82434,320.91086,320.808,309.89163,320.83688,322.50424,306.66187,-888.0,320.808,321.18503,320.85446,322.2069,332.41623,321.17224,321.14883,316.41446,315.17957,334.24988,331.3057,298.89163,363.5087,322.37585,321.1612,320.8038,321.64047,321.14883,319.0251,330.91507,320.90717,323.35654,320.85117,321.17224,347.6579,298.3422,301.86127,330.4603,324.4951,249.20804,321.13123,321.33676,295.9498,322.06903,320.76053,320.28262,322.44556,321.14883,302.83713,321.2862,320.733,320.94656,320.40054,317.06067,298.33716,297.38876,296.29926,302.36798,295.96793,298.85477,299.95007,322.84534,323.2907,297.8482,292.00806,270.41125,270.41125,270.41125,306.9972,305.22528,270.8379,343.9453,321.037,270.87662,271.82816,272.58176,320.91086,334.24988,255.36949,322.37442,311.65967,311.8657,320.8096,320.91086,297.83795,297.78757,303.16986,303.5867,320.94067,321.59445,305.64133,302.71405,300.86804,322.5023,320.9018,322.55652,322.335,319.84753,331.92084,332.48517,324.822,308.43442,272.58176,322.2483,321.83148,322.14514,356.65543,320.60434,307.12793,322.66174
7,1980-09-03,300.30658,308.33755,298.31705,319.82846,298.9193,299.3905,321.52017,321.8228,299.27942,326.7341,308.27826,338.07053,343.27444,338.41364,297.7513,313.3375,344.20038,290.9049,338.15845,341.4265,344.04385,320.85464,321.322,-888.0,-888.0,320.85464,328.9995,325.4863,322.89682,322.40012,343.98392,369.17242,321.2838,321.25067,321.18073,309.92282,-888.0,323.93857,320.8185,322.8061,321.4404,297.96677,320.26324,320.5771,292.99765,321.14584,322.2755,320.47656,330.46365,300.93616,329.5031,320.80225,320.90854,320.79086,309.5711,320.83832,322.43472,306.1007,-888.0,320.79086,321.21802,320.85577,322.24515,332.45633,321.21082,321.18073,316.45477,315.09918,334.31146,331.37488,298.42636,360.94394,322.43552,321.18427,320.79953,321.69293,321.18073,318.92853,330.99686,320.87283,323.45157,320.84546,321.21082,346.65125,298.01675,301.69855,330.53717,324.4507,249.0382,321.16196,321.41223,295.51245,322.1921,320.68228,320.26324,322.55875,321.18073,302.15607,321.28693,320.63977,320.9446,320.3926,317.26788,298.3193,297.5104,296.33456,302.17526,296.06308,298.78238,299.76773,322.77625,323.24347,297.7943,292.4522,270.3747,270.3747,270.3747,306.56168,304.93362,270.8439,343.99927,321.046,270.72433,271.77405,272.60693,320.90854,334.31146,255.3788,322.29358,311.3572,311.55322,320.77475,320.90854,297.75552,297.6959,302.54547,302.88754,320.87186,321.61905,304.89734,302.06744,300.373,322.43674,320.86417,322.69122,322.4205,319.84634,331.916,332.54437,324.77756,307.90182,272.60693,322.22577,321.92358,322.2412,355.43872,320.7267,306.3751,322.8061
8,1980-09-10,299.52444,307.3423,297.65594,319.80008,298.03592,298.51736,321.23804,321.7111,298.1585,326.7946,307.9236,338.0333,343.35306,338.63467,296.9955,313.2286,344.33905,290.08127,338.16437,341.556,344.19754,320.83984,321.32816,-888.0,-888.0,320.83984,328.91702,325.52115,322.9457,322.4503,344.03345,363.26398,321.28635,321.25067,321.17343,309.93665,-888.0,323.74817,320.56805,322.9091,321.52686,298.1024,320.2303,320.5513,292.841,321.14285,322.15158,320.44986,330.5957,300.9572,329.52682,320.78796,320.88773,320.77322,308.7388,320.8095,322.3834,305.30707,-888.0,320.77322,321.2163,320.82745,322.158,332.4519,321.20444,321.17343,316.49216,314.89496,334.33725,331.40912,297.60196,358.8882,322.3715,321.1815,320.77573,321.6336,321.17343,318.59,331.03186,320.8571,323.53,320.82327,321.20444,345.5358,297.23944,301.01926,330.562,324.25763,248.66144,321.14697,321.43146,294.53867,322.2591,320.35983,320.2303,322.61502,321.17343,300.94302,321.28204,320.32162,320.92712,320.22888,317.38773,297.95096,297.60956,296.18353,301.75217,295.7902,298.2406,298.8794,322.57404,323.06042,297.37997,287.1439,270.21442,270.21442,270.21442,305.94562,304.24304,270.76315,344.04956,321.03247,270.32657,271.57483,272.56592,320.88773,334.33725,255.24858,322.27066,310.53778,310.66852,320.75943,320.88773,297.29102,297.21915,301.13895,301.49146,320.89047,321.61856,303.53613,300.72516,299.22256,322.1871,320.65063,322.76743,322.45673,319.68753,331.89,332.56882,324.61557,307.18097,272.56592,322.21494,321.9626,322.28458,354.13885,320.8384,304.76694,322.9091
9,1980-09-17,299.01434,307.18686,297.3988,319.69067,297.92224,298.40775,321.16138,321.6065,297.91724,326.8352,307.6329,338.16907,343.432,338.81073,296.5361,313.0899,344.43304,289.7758,338.2861,341.68463,344.30447,320.88312,321.36093,-888.0,-888.0,320.88312,328.83563,325.54794,322.9724,322.48764,344.01776,363.2996,321.3198,321.28488,321.20828,309.9504,-888.0,323.61755,320.65674,322.98215,321.6275,298.11722,320.2867,320.60388,292.66586,321.18018,322.19543,320.5028,330.6308,300.9826,329.54932,320.83267,320.92944,320.8182,308.7061,320.8524,322.4231,304.90872,-888.0,320.8182,321.25143,320.87015,322.0446,332.45645,321.23834,321.20828,316.53018,314.84787,334.33963,331.42892,297.166,358.81924,322.26602,321.21765,320.8193,321.54187,321.20828,318.47986,331.06332,320.90576,323.60083,320.8663,321.23834,344.7098,297.12112,300.8297,330.58194,324.2268,248.7469,321.1814,321.46558,294.37756,322.30795,320.4436,320.2867,322.6526,321.20828,300.6373,321.3228,320.24817,320.96802,320.1145,317.5048,297.74902,297.68097,296.0,301.74625,295.60715,298.00122,298.56876,322.5541,323.0524,297.155,283.1405,270.11407,270.11407,270.11407,305.8777,304.12695,270.68326,344.0338,321.07086,270.21692,271.46378,272.5138,320.92944,334.33963,255.30106,322.31583,310.5089,310.6685,320.80814,320.92944,297.0564,296.98224,301.05807,301.33118,320.9302,321.65704,303.31982,300.58054,299.1124,322.08484,320.55145,322.81534,322.4886,319.55765,331.87122,332.5818,324.48557,306.92932,272.5138,322.2529,322.00143,322.3216,353.23135,320.94754,304.74664,322.98215
