,date,ca12_0100,ca13_0101,ca13_0106,ca13_0107,ca13_0115,ca13_0116,ca13_0119,ca13_0122,ca13_0124,ca13_0127,f40_0114,f40_0122,f40_0185,f40_0186,f40_0188,f40_0192,f40_0199,f40_0228,f40_0263,f40_0277,f40_0396,g40_0005,g40_0006,g40_0008,g40_0013,g40_0014,g40_0016,g40_0019,g40_0023,g40_0024,g40_0026,g40_0032,g40_0033,g40_0035,g40_0036,g40_0038,g40_0039,g40_0041,g40_0046,g40_0048,g40_0052,g40_0054,g40_0101,g40_0102,g40_0108,g40_0117,g40_0120,g40_0122,g40_0127,g40_0128,g40_0129,g40_0130,g40_0131,g40_0132,g40_0138,g40_0139,g40_0140,g40_0144,g40_0146,g40_0147,g40_0158,g40_0160,g40_0162,g40_0163,g40_0165,g40_0167,g40_0170,g40_0173,g40_0178,g40_0181,g40_0182,g40_0183,g40_0184,g40_0186,g40_0195,g40_0198,g40_0200,g40_0203,g40_0204,g40_0205,g40_0208,g40_0210,g40_0214,g40_0218,g40_0219,g40_0226,g40_0227,g40_0230,g40_0236,g40_0242,g40_0249,g40_0253,g40_0257,g40_0261,g40_0264,g40_0271,g40_0272,g40_0274,g40_0275,g40_0277,g40_0280,g40_0290,g40_0293,g40_0294,g40_0295,g40_0296,g40_0298,g40_0306,g40_0308,g40_0309,g40_0310,g40_0311,g40_0325,g40_0327,g40_0330,g40_0332,g40_0334,g40_0338,g40_0339,g40_0340,g40_0345,g40_0352,g40_0357,g40_0358,g40_0366,g40_0367,g40_0368,g40_0371,g40_0373,g40_0381,g40_0382,g40_0385,g40_0387,g40_0388,g40_0389,g40_0395,g40_0396,g40_0400,g40_0401,g40_0403,g40_0404,g40_0405,g40_0406,g40_0407,g40_0408,g40_0409,g40_0412,g40_0413,g40_0415,g40_0416,g40_0417,g40_0422,g40_0424,g40_0430,g40_0434,g40_0435,g40_0441,g40_0442,g41_0119
0,2000-09-27,296.4844,-888.0,296.84576,318.79034,297.78113,298.2762,320.23184,320.67056,296.47858,325.31458,305.32388,334.0337,338.73566,334.99884,294.45645,310.5875,339.83206,286.87085,334.17746,337.14758,339.74158,319.55865,320.16818,-888.0,-888.0,319.55865,326.98782,324.15173,321.8014,321.35922,342.66748,362.12665,320.108,320.05502,319.96045,309.5833,-888.0,322.57007,318.98843,322.03717,320.92136,297.57202,318.9954,319.28705,291.59244,319.89285,320.76962,319.1935,329.0998,300.68362,327.72595,319.50134,319.62784,319.49783,308.68408,319.56448,320.99356,302.22202,-888.0,319.49783,320.00345,319.58002,321.14185,330.4432,320.00415,319.96045,316.06168,-888.0,332.2678,329.47427,295.09216,358.41336,321.47104,319.95117,319.52277,320.60364,319.96045,317.80502,329.09128,319.5583,322.84076,319.5636,320.00415,343.54865,297.2357,300.43152,328.69116,322.80118,248.9491,319.9359,320.31137,293.69327,321.25513,319.02255,318.9954,321.53024,319.96045,298.55667,320.02737,319.4037,319.66443,319.24524,316.1952,297.01074,297.00366,295.089,300.64835,293.68774,297.4016,298.2291,321.24362,321.6788,296.43814,-888.0,269.99387,269.99387,269.99387,305.51178,303.97522,270.46207,342.68848,319.78326,270.2675,271.31873,272.2163,319.62784,332.2678,255.04298,320.88367,310.41574,310.454,319.46185,319.62784,296.3802,296.32666,299.69666,299.63535,319.50134,320.4058,301.22537,299.10645,298.2962,321.145,319.66718,321.74615,321.31744,318.72055,329.7629,330.57407,323.39627,-888.0,272.2163,320.90836,320.86786,321.18408,353.34897,320.1236,302.9624,322.03717
1,1980-07-23,296.4963,-888.0,297.20453,318.81375,298.06314,298.57236,320.45673,320.74643,296.53308,325.3669,305.29532,334.0146,338.72034,334.99814,294.52646,310.5665,339.83096,286.86356,334.16367,337.1564,339.74036,319.7111,320.20505,-888.0,-888.0,319.7111,328.1408,324.18912,321.81738,321.37616,344.2271,351.7606,320.15646,320.1164,320.0303,309.5822,-888.0,322.7536,319.45337,322.03528,320.91876,297.68027,319.13504,319.4488,291.6447,320.00742,320.99472,319.3453,329.09384,300.68286,327.8063,319.66556,319.74634,319.64868,309.08865,319.66574,321.21933,302.14584,-888.0,319.64868,320.07968,319.68225,321.19943,331.17026,320.0618,320.0303,316.04553,-888.0,333.12488,329.576,295.14825,358.59204,321.51547,320.04446,319.6411,320.6495,320.0303,317.99884,329.1715,319.74408,322.83597,319.687,320.0618,343.56088,297.56012,300.91553,328.7848,323.1099,248.82808,319.99326,320.3376,293.88797,321.26215,319.33374,319.13504,321.54327,320.0303,298.48508,320.15283,319.63763,319.7862,319.344,316.17206,297.2304,297.00098,295.1864,301.22318,293.72235,297.7227,298.75256,321.50598,321.93262,296.6691,284.10797,270.04068,270.04068,270.04068,306.37012,304.55414,270.4794,344.2567,319.8888,270.44138,271.37848,272.22546,319.74634,333.12488,255.15094,321.12192,310.76498,310.76755,319.6506,319.74634,296.63748,296.592,299.68994,299.564,319.79385,320.4887,301.09473,299.0843,298.4295,321.34995,319.80774,321.74973,321.3462,318.8079,330.92035,330.8844,323.6276,-888.0,272.22546,321.06015,320.8921,321.20526,353.2504,320.1175,302.83228,322.03528
2,1980-07-30,296.51593,-888.0,297.55002,318.9289,298.307,298.82755,320.80212,320.98056,296.6424,325.5382,305.25677,333.97726,338.7262,335.0077,294.58975,310.52856,339.83737,286.86008,334.13138,337.2353,339.74506,319.8104,320.2839,-888.0,-888.0,319.8104,328.92386,324.35272,321.89227,321.44043,345.03708,346.3501,320.24023,320.2041,320.1222,309.5788,-888.0,323.2358,319.67554,322.0471,320.92188,297.69095,319.23233,319.5486,291.80295,320.10312,321.21036,319.44376,329.0812,300.68088,328.14426,319.76477,319.84586,319.74777,309.3526,319.7653,321.40134,302.10632,-888.0,319.74777,320.1706,319.78204,321.42316,331.8661,320.1512,320.1222,316.0225,-888.0,333.8302,330.01276,295.20804,359.63367,321.69498,320.13794,319.7399,320.83035,320.1222,318.2757,329.4751,319.84747,322.82675,319.78638,320.1512,343.798,297.81863,301.19962,329.1822,323.57053,248.92525,320.08563,320.4063,294.07608,321.30392,319.5916,319.23233,321.6038,320.1222,298.5199,320.25427,319.95917,319.88538,319.5663,316.12564,297.46225,297.00153,295.33966,301.39807,293.92368,298.0214,299.18695,321.8481,322.2697,296.92847,289.56128,270.12204,270.12204,270.12204,306.62552,304.82587,270.52356,345.05472,319.98636,270.6306,271.47815,272.253,319.84586,333.8302,255.13927,321.28412,311.03003,311.02185,319.75198,319.84586,296.9149,296.87207,299.816,299.6371,319.8921,320.5895,301.11545,299.1859,298.61145,321.73608,320.07843,321.79056,321.42636,319.01117,331.65805,331.54413,324.15662,-888.0,272.253,321.19565,320.959,321.27365,353.28732,320.12036,302.8897,322.0471
3,1980-08-06,296.62433,-888.0,297.53885,319.08432,298.23645,298.76334,320.95886,321.1783,296.78452,325.76685,305.3029,333.97675,338.7765,335.0243,294.65387,310.54166,339.85742,286.99216,334.12372,337.32443,339.7615,319.90652,320.36038,-888.0,-888.0,319.90652,329.0641,324.5583,322.00177,321.52753,344.74765,345.91168,320.32007,320.28696,320.20813,309.5772,-888.0,323.48682,319.87628,322.08734,320.9592,297.69406,319.33755,319.65295,291.95743,320.194,321.40363,319.54697,329.10178,300.68112,328.50244,319.862,319.9404,319.8447,309.26987,319.85962,321.57837,302.27896,-888.0,319.8447,320.25626,319.87653,321.63193,332.09445,320.2351,320.20813,316.00867,-888.0,334.018,330.4368,295.29446,362.10513,321.88037,320.22623,319.83463,321.01883,320.20813,318.38373,329.89114,319.95297,322.824,319.88144,320.2351,344.56866,297.70673,301.17645,329.57526,323.81155,248.95879,320.1721,320.47598,294.0976,321.3659,319.7966,319.33755,321.69162,320.20813,298.7603,320.3556,320.0883,319.9795,319.7309,316.10208,297.51526,297.01608,295.45013,301.47882,294.15103,298.03128,299.10895,322.05627,322.48944,296.97284,290.4704,270.14337,270.14337,270.14337,306.5298,304.73932,270.55615,344.76746,320.07803,270.57275,271.50137,272.28128,319.9404,334.018,255.16824,321.44855,310.97147,310.9957,319.85526,319.9404,296.9476,296.901,300.05676,299.90695,319.98718,320.69385,301.42392,299.41315,298.6984,321.92142,320.24225,321.86316,321.5277,319.17166,331.79358,331.91675,324.41217,-888.0,272.28128,321.3403,321.0371,321.36044,353.64767,320.1646,303.24826,322.08734
4,1980-08-13,297.05624,-888.0,297.62796,319.2197,298.37823,298.9012,321.09796,321.32233,297.27905,326.00186,305.52896,334.07642,338.9071,335.0579,295.00256,310.68073,339.9299,287.54825,334.1983,337.45,339.8211,320.06335,320.47934,-888.0,-888.0,320.06335,328.9692,324.76733,322.1384,321.64505,344.25378,349.81027,320.44403,320.41562,320.3428,309.58426,-888.0,323.59604,320.1591,322.15927,321.03992,297.73175,319.50974,319.82275,292.11923,320.33694,321.63354,319.7158,329.23407,300.68964,328.79337,320.0213,320.09332,320.00323,309.38367,320.0129,321.78915,302.82547,-888.0,320.00323,320.3896,320.02994,321.7719,332.13394,320.36646,320.3428,316.00983,312.71234,334.0112,330.73785,295.69266,365.1731,322.01138,320.36426,319.9889,321.1644,320.3428,318.50635,330.2476,320.12183,322.8456,320.03607,320.36646,346.18274,297.76083,301.2763,329.86932,323.98187,249.08269,320.30905,320.5838,294.3801,321.45724,320.07855,319.50974,321.8094,320.3428,299.43546,320.509,320.2248,320.13132,319.86926,316.16263,297.6109,297.05286,295.56708,301.70804,294.46524,298.11295,299.16376,322.25815,322.69934,297.0661,291.72867,270.16046,270.16046,270.16046,306.61884,304.80917,270.58148,344.27307,320.22415,270.57782,271.52597,272.31158,320.09332,334.0112,255.2685,321.65106,311.10193,311.18274,320.02298,320.09332,297.0395,296.99194,300.71414,300.62708,320.14853,320.84195,302.22055,300.0561,299.10092,322.04547,320.38297,321.96658,321.65967,319.30624,331.72534,332.09195,324.4982,-888.0,272.31158,321.52176,321.1477,321.47867,354.47406,320.25943,304.1266,322.15927
5,1980-08-20,299.3147,309.20975,298.29602,319.43878,299.6833,300.15768,321.5789,321.60007,300.14673,326.3333,306.77286,334.5471,339.39993,335.1754,296.91953,311.44272,340.18042,290.3528,334.56238,337.83115,340.03668,320.54532,320.81516,-888.0,-888.0,320.54532,329.1502,325.09937,322.3897,321.885,343.98184,374.44495,320.7958,320.78284,320.7356,309.63425,-888.0,323.8413,321.18784,322.29666,321.15982,297.87228,320.06033,320.3583,292.68945,320.75296,322.33813,320.2498,329.68372,300.7375,329.1489,320.51288,320.5644,320.49466,310.47522,320.49374,322.36472,305.54407,-888.0,320.49466,320.77237,320.51022,321.98834,332.33383,320.7484,320.7356,316.0567,314.13397,334.12122,331.04025,297.86453,366.02194,322.17917,320.763,320.4701,321.40485,320.7356,318.98584,330.6064,320.63947,322.97632,320.51596,320.7484,347.71484,298.56393,301.97968,330.19653,324.52753,249.60045,320.71695,320.87885,296.31033,321.65012,321.19034,320.06033,322.03848,320.7356,302.98697,320.9479,320.74146,320.595,320.21243,316.62616,298.0738,297.1647,295.9904,302.8695,295.742,298.6145,299.74713,322.9134,323.34256,297.56647,293.22217,270.3086,270.3086,270.3086,307.44022,305.5212,270.72165,343.99655,320.66235,270.77786,271.72278,272.44714,320.5644,334.12122,255.78224,322.19324,312.23007,312.60657,320.54144,320.5644,297.5761,297.5366,304.45477,304.55045,320.62906,321.2402,306.27493,303.67084,301.6758,322.41617,320.78467,322.157,321.9373,319.63394,331.9153,332.2964,324.68848,307.86246,272.44714,321.98376,321.40512,321.73267,356.64728,320.3874,308.8026,322.29666
6,1980-08-27,300.26437,308.61234,298.42377,319.70288,299.24115,299.69254,321.58524,321.78348,299.64044,326.60995,307.69278,334.97717,339.82596,335.34024,297.74643,312.1895,340.53412,291.04633,334.99765,338.15927,340.3563,320.71323,321.08524,-888.0,-888.0,320.71323,329.1689,325.35837,322.66818,322.14832,343.92947,372.7239,321.05853,321.037,320.98007,309.68085,-888.0,323.9972,320.80276,322.48773,321.2683,298.05865,320.1365,320.45654,292.91516,320.97192,322.26697,320.3496,330.11322,300.78253,329.389,320.66827,320.7504,320.65128,309.87653,320.67484,322.41934,306.05728,-888.0,320.65128,321.01654,320.69266,322.19028,332.41022,321.0013,320.98007,316.1164,314.41534,334.23804,331.2754,298.4907,363.50153,322.36005,320.9957,320.64325,321.6138,320.98007,319.00864,330.87735,320.761,323.1105,320.6918,321.0013,347.64005,298.31696,301.8208,330.42993,324.4869,249.20804,320.9624,321.1522,295.83206,321.8944,320.71463,320.1365,322.30304,320.98007,302.52728,321.13602,320.71854,320.78595,320.37662,317.05038,298.27512,297.30966,296.2518,302.31317,295.9402,298.79788,299.9008,322.828,323.28085,297.79016,293.28748,270.38992,270.38992,270.38992,306.98407,305.20706,270.8167,343.94473,320.87402,270.85834,271.80182,272.55087,320.7504,334.23804,255.55385,322.27753,311.63965,311.83707,320.6614,320.7504,297.78302,297.7349,303.0377,303.3873,320.78647,321.44907,305.356,302.5425,300.7649,322.4968,320.8829,322.40573,322.19968,319.82217,331.9443,332.46417,324.8409,307.93152,272.55087,322.1384,321.6659,321.99448,356.64532,320.52045,306.95877,322.48773
7,1980-09-03,299.79547,307.9726,298.27197,319.79877,298.8708,299.35327,321.53445,321.8123,299.05536,326.74594,307.4578,335.12894,340.03098,335.50412,297.34207,312.20358,340.76294,290.79263,335.17447,338.33585,340.59335,320.75925,321.16684,-888.0,-888.0,320.75925,329.16812,325.48004,322.8007,322.27704,343.98352,368.9936,321.1354,321.1096,321.04538,309.70526,-888.0,323.95972,320.79623,322.65152,321.3665,298.17902,320.18375,320.50134,292.95575,321.03195,322.2983,320.39572,330.38617,300.8093,329.49246,320.713,320.79868,320.69678,309.5847,320.72162,322.46252,305.45392,-888.0,320.69678,321.08502,320.73956,322.23404,332.4736,321.0694,321.04538,316.1676,314.24615,334.3133,331.36545,298.0143,360.9374,322.4228,321.0601,320.69022,321.67404,321.04538,318.93112,330.98166,320.80545,323.21307,320.73874,321.0694,346.6331,297.99088,301.7035,330.52505,324.4843,249.0382,321.02365,321.24692,295.3904,322.03558,320.70636,320.18375,322.43887,321.04538,301.82886,321.19565,320.65384,320.83545,320.38226,317.2576,298.26938,297.43774,296.30276,302.26236,296.0104,298.73538,299.7247,322.82385,323.29037,297.74454,291.02682,270.35373,270.35373,270.35373,306.71793,304.98993,270.8228,343.99887,320.92865,270.708,271.74966,272.57654,320.79868,334.3133,255.54729,322.32385,311.35696,311.54266,320.7046,320.79868,297.7083,297.6505,302.4075,302.67746,320.821,321.52237,304.59573,301.88718,300.26602,322.4494,320.86328,322.5598,322.31488,319.83292,331.99,332.53958,324.8117,307.3694,272.57654,322.20215,321.78122,322.11566,355.43094,320.6523,306.19937,322.65152
8,1980-09-10,298.9811,306.95148,297.61188,319.7827,297.98517,298.47864,321.25015,321.71167,297.91833,326.81995,307.074,335.18335,340.12442,335.65985,296.56262,312.05914,340.9249,290.00723,335.26276,338.44052,340.771,320.744,321.2026,-888.0,-888.0,320.744,329.06943,325.53467,322.87842,322.357,344.03323,363.11392,321.16568,321.13467,321.06152,309.72137,-888.0,323.78616,320.51068,322.77994,321.45944,298.2604,320.14453,320.4667,292.80087,321.04004,322.146,320.36237,330.52084,300.83206,329.53424,320.69412,320.7879,320.67828,308.72778,320.70752,322.37656,304.60623,-888.0,320.67828,321.1048,320.7258,322.15933,332.4786,321.08926,321.06152,316.2172,313.91452,334.35043,331.41074,297.16254,358.88214,322.36877,321.0743,320.67572,321.6264,321.06152,318.5931,331.03403,320.77698,323.3007,320.72476,321.08926,345.5172,297.21274,300.98508,330.56693,324.28378,248.66145,321.03494,321.29654,294.4085,322.13235,320.35022,320.14453,322.52502,321.06152,300.5895,321.19504,320.33008,320.82712,320.2266,317.3774,297.9009,297.5435,296.14725,301.72144,295.7292,298.1925,298.83374,322.5859,323.08444,297.3326,289.71313,270.19397,270.19397,270.19397,305.94815,304.23196,270.74228,344.04938,320.92914,270.31158,271.55228,272.53622,320.7879,334.35043,255.43462,322.2601,310.52335,310.64594,320.6755,320.7879,297.24567,297.17514,300.9925,301.26642,320.80173,321.53644,303.20987,300.53262,299.10983,322.20657,320.65414,322.66544,322.37845,319.68314,331.96198,332.57794,324.6674,-888.0,272.53622,322.18073,321.85013,322.1885,354.13232,320.77322,304.57916,322.77994
9,1980-09-17,298.42935,-888.0,297.3633,319.67883,297.86884,298.3682,321.17484,321.61038,297.66092,326.86252,306.75455,335.26642,340.2033,335.8018,296.07065,311.8995,341.03915,289.68564,335.34573,338.53888,340.90106,320.78397,321.2393,-888.0,-888.0,320.78397,328.9936,325.56543,322.91434,322.40314,344.01776,363.15976,321.2018,321.1705,321.09665,309.73773,-888.0,323.65527,320.58127,322.8743,321.56714,298.31442,320.19656,320.51447,292.6413,321.07617,322.17548,320.41098,330.56116,300.85956,329.56104,320.73526,320.8267,320.71976,308.69504,320.74734,322.396,304.1715,-888.0,320.71976,321.14056,320.76544,322.0502,332.48508,321.12418,321.09665,316.2678,313.81708,334.3558,331.436,296.69342,358.81335,322.269,321.11017,320.71625,321.5392,321.09665,318.48416,331.0703,320.82007,323.38193,320.76468,321.12418,344.69113,297.09293,300.7999,330.5917,324.25305,248.74692,321.06915,321.3373,294.239,322.1954,320.4242,320.19656,322.57288,321.09665,300.26096,321.2321,320.25815,320.8653,320.11465,317.49448,297.70587,297.6206,295.9848,301.719,295.57462,297.96005,298.52997,322.57236,323.07816,297.1161,288.61826,270.09412,270.09412,270.09412,305.8811,304.11765,270.66254,344.03378,320.96567,270.20325,271.44278,272.48483,320.8267,334.3558,255.49915,322.28076,310.49448,310.6458,320.71927,320.8267,297.02,296.9475,300.90445,301.09335,320.8377,321.57153,302.97797,300.37698,298.99384,322.10513,320.5569,322.7288,322.41495,319.5558,331.94644,332.59415,324.53717,-888.0,272.48483,322.20425,321.89655,322.2328,353.22708,320.89163,304.55118,322.8743
