,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,319.62772,330.57404,323.39624,322.57004,272.21606,337.5146,325.22928,285.07068,301.85834,304.49716,251.61395,320.49582,328.68274,325.90445,342.10474,329.4119,323.01367,320.5779,320.78543,306.03973,274.27728,299.4912,292.44,294.7966,296.7925,334.84076,-117895.43,11503.012,6146.354,-80785.6,3100.0,1500.0,153401.98,2333.7852,20682.908,127087.29,31996.555,7.352131,8062.913,63997.336,4844.293
1,1980-07-23,319.74625,330.88437,323.62756,322.75357,272.22522,337.4481,325.21393,286.2197,300.41495,304.3944,251.35953,320.50702,330.3237,326.3261,343.87317,329.4463,323.01456,320.64972,321.02597,306.3407,274.2723,299.41544,292.43307,294.88727,296.7922,334.83774,-112457.02,16955.48,8076.7236,-78601.56,3100.0,1500.0,219870.16,2320.707,21990.76,134043.5,37885.945,20.993546,7453.0903,63896.633,4973.3174
2,1980-07-30,319.84573,331.5441,324.1566,323.23578,272.25275,337.4207,325.17902,288.68015,298.80603,304.46588,251.24347,320.59335,331.16455,326.86496,344.51202,329.73502,323.05582,320.74985,321.35547,306.48157,274.26242,299.4955,292.4193,295.04623,296.80682,334.83157,-114407.04,21359.66,8498.6,-77179.75,3100.0,1500.0,220304.56,2295.7354,22683.707,140736.86,41362.42,17.51435,6837.8794,63876.676,5043.7607
3,1980-08-06,319.94028,331.91672,324.41214,323.4868,272.28104,337.56445,325.1602,290.0463,300.17355,304.81976,251.49599,320.7342,331.2452,327.13632,344.1454,330.18085,323.14975,320.85583,321.55124,306.6756,274.25757,300.0477,292.4125,295.16006,296.84552,334.8289,-124936.79,17479.389,6925.3257,-80503.0,3100.0,1500.0,201438.1,2289.2786,23147.693,146718.17,38595.457,18.356255,6509.5923,64221.15,4789.472
4,1980-08-13,320.0932,332.09192,324.49817,323.596,272.31134,338.00418,325.21454,291.00394,307.39032,305.69693,252.20497,320.87057,331.087,327.28925,343.64767,330.56638,323.27795,321.00238,321.74982,307.05792,274.27075,300.77197,292.43088,295.282,296.90274,334.8388,-130730.28,15110.985,4779.025,-84242.78,3100.0,1500.0,183505.88,2331.9727,24237.508,150492.4,37749.453,43.017464,6187.9067,64457.254,4120.5986
5,1980-08-20,320.56427,332.29636,324.68845,323.84125,272.4469,339.756,325.60117,292.53757,343.78604,310.39294,255.47397,321.0557,331.22412,327.72977,343.4605,330.96442,323.4711,321.38333,322.42413,308.81223,274.37006,302.52304,292.56918,295.73593,297.031,334.9089,-138879.08,10749.977,-5538.6123,-102294.47,255.4448,255.4448,176345.66,2461.135,29618.33,163127.23,40811.61,209.08643,5455.3203,64232.426,534.8247
6,1980-08-27,320.75027,332.46414,324.84085,323.99716,272.55063,341.09372,326.02884,293.53403,351.03436,308.35254,253.69887,321.27036,331.2371,327.72394,343.47055,331.20947,323.727,321.60065,322.31805,307.77194,274.45828,302.049,292.69278,295.9854,297.20834,334.97183,-138268.05,15854.786,-2871.4072,-93450.945,255.4448,255.4448,176655.44,2711.3694,25918.78,156164.39,38618.555,243.07465,5044.405,65922.14,3121.9172
7,1980-09-03,320.79858,332.53955,324.81168,323.9597,272.5763,341.48996,326.2404,293.65533,341.50406,307.62558,253.2407,321.3866,331.24344,327.7569,343.53714,331.30942,323.90402,321.6799,322.3074,307.79007,274.49817,301.7309,292.74945,296.02972,297.354,335.00116,-145487.89,11412.193,-3088.9639,-95056.65,255.4448,255.4448,179293.36,2821.2246,25543.803,159695.77,34664.9,182.87851,5141.594,66952.984,3567.7021
8,1980-09-10,320.78778,332.5779,324.66733,323.7861,272.53598,341.41504,326.33395,293.40057,330.48697,305.97736,252.244,321.42834,331.17975,327.65982,343.5804,331.34924,324.02783,321.7008,322.047,307.25424,274.5175,301.14032,292.77817,295.85873,297.46088,335.0163,-156670.88,2100.87,-1947.205,-93797.17,255.4448,255.4448,181145.73,2856.6157,23327.639,163469.4,24924.268,115.385025,5155.752,68148.695,4639.456
9,1980-09-17,320.82657,332.59412,324.53714,323.65524,272.4846,341.29053,326.37814,293.1633,327.58636,306.0176,252.5841,321.39908,331.12018,327.6573,343.54993,331.40347,324.10025,321.7349,322.0321,307.44418,274.53482,301.65588,292.80502,295.69263,297.51318,335.03003,-158071.11,-1036.361,-2243.4702,-94238.46,255.4448,255.4448,180119.89,2844.3665,23894.176,167092.31,23356.172,92.59007,5225.3413,68136.41,4194.135
