,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,316.30035,329.4746,322.60458,321.7693,271.9817,330.38864,320.78528,284.51395,301.66516,303.9896,251.56944,319.73572,327.13486,324.64896,342.05264,328.1729,321.30725,318.0086,319.51935,304.40833,274.22147,298.5621,291.5947,293.90546,295.65805,334.51102,-92751.93,16565.793,9363.485,-76860.52,3100.0,1500.0,160661.12,1221.6003,16426.172,96928.89,34128.03,20.485718,7610.296,60574.58,4889.374
1,1980-07-23,316.25882,329.78638,322.82617,321.9341,271.99066,330.33453,320.7688,284.47562,300.22498,303.8661,251.31255,319.74377,328.72446,325.00986,343.826,328.1816,321.30493,317.98535,319.66052,304.40024,274.2165,298.48346,291.58774,293.9799,295.65735,334.50797,-86012.72,23712.873,11458.24,-74668.93,3100.0,1500.0,234051.23,1214.9404,16713.44,99954.47,40253.855,35.276512,7799.3066,60425.02,5095.216
2,1980-07-30,316.21274,330.44135,323.3162,322.3789,272.018,330.24142,320.71225,284.43073,298.62357,303.9278,251.19487,319.81485,329.3988,325.5154,344.47183,328.43658,321.31558,317.9812,319.95428,304.514,274.20657,298.5658,291.5739,294.12006,295.66803,334.5018,-87011.24,28284.547,12546.828,-73161.734,3100.0,1500.0,232685.92,1195.2943,17169.227,105079.34,44461.797,32.154137,8002.69,60285.875,5163.5264
3,1980-08-06,316.22336,330.78653,323.53162,322.59625,272.04636,330.254,320.6757,284.47565,299.98727,304.286,251.44815,319.93845,329.36688,325.74387,344.1007,328.86606,321.36594,318.02206,320.1212,304.7023,274.20172,299.1388,291.5671,294.21332,295.70013,334.4991,-96672.12,24365.209,10907.036,-76350.96,3100.0,1500.0,212008.36,1190.9692,17462.652,109951.69,41568.062,34.305744,7982.8745,60532.56,4906.082
4,1980-08-13,316.327,330.91827,323.577,322.6683,272.07666,330.57205,320.72943,284.67743,307.17538,305.17685,252.15987,320.05682,329.1097,325.85065,343.59872,329.23264,321.45154,318.11905,320.2904,305.08563,274.21494,299.88586,291.58548,294.31445,295.7489,334.50903,-101608.125,22108.613,8852.563,-79977.34,3100.0,1500.0,193763.9,1215.5748,18357.992,112713.08,40808.33,58.3832,7858.6797,60678.938,4237.936
5,1980-08-20,316.82635,331.086,323.7442,322.88666,272.21198,332.2775,321.1225,285.61926,343.43433,309.94397,255.4373,320.2222,329.27423,326.28113,343.40866,329.6128,321.60043,318.46826,320.9709,306.97864,274.3142,301.67603,291.7238,294.75742,295.86664,334.57913,-109282.04,18272.791,-1144.1973,-97894.125,255.4448,255.4448,187714.98,1384.8145,23387.809,125152.28,44497.336,225.66277,7363.4126,60362.707,651.77637
6,1980-08-27,317.05493,331.22467,323.88657,323.03226,272.31555,333.71402,321.55316,286.16177,350.56433,307.86276,253.65929,320.4203,329.27432,326.24503,343.4166,329.82376,321.81317,318.69476,320.83218,305.8163,274.40247,301.17822,291.8474,294.9995,296.033,334.64206,-108146.09,23444.266,1527.2998,-88939.22,255.4448,255.4448,188074.33,1561.7034,19838.92,117630.08,42388.816,265.57236,7094.87,61962.99,3233.0137
7,1980-09-03,317.11377,331.27798,323.8512,322.9847,272.34076,334.21503,321.78946,286.22903,341.04166,307.1046,253.19855,320.52325,329.31976,326.27185,343.4816,329.89822,321.96637,318.76697,320.81036,305.8453,274.44244,300.8477,291.90414,295.03204,296.16953,334.67148,-115016.61,18468.729,1349.7977,-90455.97,255.4448,255.4448,190856.8,1649.7653,19501.547,121327.44,38146.566,207.60872,7135.156,62933.523,3670.3174
8,1980-09-10,317.1008,331.30283,323.70425,322.80594,272.29984,334.2217,321.91232,286.12845,330.0245,305.4115,252.19804,320.55444,329.25644,326.16263,343.5234,329.91708,322.07275,318.7843,320.52448,305.24442,274.46176,300.23712,291.93268,294.83432,296.2674,334.6866,-125783.516,8848.967,1736.264,-89118.375,255.4448,255.4448,192679.34,1656.3137,17303.184,124841.66,27463.348,144.93274,7022.7275,64059.156,4738.912
9,1980-09-17,317.1343,331.30878,323.56732,322.66653,272.2473,334.12604,321.982,286.04898,327.13382,305.44193,252.5391,320.51532,329.19833,326.15454,343.4916,329.96417,322.13333,318.80566,320.50076,305.44818,274.4791,300.76437,291.95926,294.63593,296.3093,334.70035,-126935.414,5556.7817,1121.5637,-89510.125,255.4448,255.4448,191624.78,1638.7985,17803.262,128429.984,25482.557,118.90494,6982.332,63977.62,4290.5063
