,date,ca12_0100,ca13_0101,ca13_0106,ca13_0107,ca13_0115,ca13_0116,ca13_0119,ca13_0122,ca13_0124,ca13_0127,f40_0114,f40_0122,f40_0185,f40_0186,f40_0188,f40_0192,f40_0199,f40_0228,f40_0263,f40_0277,f40_0396,g40_0005,g40_0006,g40_0008,g40_0013,g40_0014,g40_0016,g40_0019,g40_0023,g40_0024,g40_0026,g40_0032,g40_0033,g40_0035,g40_0036,g40_0038,g40_0039,g40_0041,g40_0046,g40_0048,g40_0052,g40_0054,g40_0101,g40_0102,g40_0108,g40_0117,g40_0120,g40_0122,g40_0127,g40_0128,g40_0129,g40_0130,g40_0131,g40_0132,g40_0138,g40_0139,g40_0140,g40_0144,g40_0146,g40_0147,g40_0158,g40_0160,g40_0162,g40_0163,g40_0165,g40_0167,g40_0170,g40_0173,g40_0178,g40_0181,g40_0182,g40_0183,g40_0184,g40_0186,g40_0195,g40_0198,g40_0200,g40_0203,g40_0204,g40_0205,g40_0208,g40_0210,g40_0214,g40_0218,g40_0219,g40_0226,g40_0227,g40_0230,g40_0236,g40_0242,g40_0249,g40_0253,g40_0257,g40_0261,g40_0264,g40_0271,g40_0272,g40_0274,g40_0275,g40_0277,g40_0280,g40_0290,g40_0293,g40_0294,g40_0295,g40_0296,g40_0298,g40_0306,g40_0308,g40_0309,g40_0310,g40_0311,g40_0325,g40_0327,g40_0330,g40_0332,g40_0334,g40_0338,g40_0339,g40_0340,g40_0345,g40_0352,g40_0357,g40_0358,g40_0366,g40_0367,g40_0368,g40_0371,g40_0373,g40_0381,g40_0382,g40_0385,g40_0387,g40_0388,g40_0389,g40_0395,g40_0396,g40_0400,g40_0401,g40_0403,g40_0404,g40_0405,g40_0406,g40_0407,g40_0408,g40_0409,g40_0412,g40_0413,g40_0415,g40_0416,g40_0417,g40_0422,g40_0424,g40_0430,g40_0434,g40_0435,g40_0441,g40_0442,g41_0119
0,2000-09-27,296.06558,-888.0,296.844,318.79022,297.75455,298.25876,320.23175,320.6705,296.31763,325.3145,304.78806,332.4088,336.62012,333.15317,294.12268,309.82443,337.7444,286.79395,332.53134,334.98422,337.65082,319.5585,320.16803,-888.0,-888.0,319.5585,326.98776,324.15164,321.80127,321.3591,342.66748,362.12653,320.10788,320.05487,319.9603,309.58292,-888.0,322.57,318.98825,322.03705,320.9213,297.57114,318.99527,319.2869,291.5915,319.8927,320.76947,319.19336,329.09976,300.68292,327.7259,319.50122,319.6277,319.49768,308.67838,319.56433,320.9934,301.7736,-888.0,319.49768,320.0033,319.57986,321.14178,330.44318,320.004,319.9603,316.06146,-888.0,332.26776,329.47424,294.7606,358.41336,321.47098,319.95102,319.5226,320.60355,319.9603,317.80487,329.09122,319.55814,322.84067,319.56345,320.004,343.54865,297.22034,300.4305,328.6911,322.8011,248.9491,319.9358,320.31125,293.60834,321.255,319.02234,318.99527,321.53012,319.9603,298.3166,320.02722,319.4036,319.66428,319.24515,316.19498,297.00955,297.0027,295.08777,300.6474,293.68677,297.40042,298.22784,321.2435,321.67868,296.4369,-888.0,269.99368,269.99368,269.99368,305.51117,303.97455,270.46185,342.68848,319.7831,270.2673,271.3185,272.21603,319.6277,332.26776,255.04295,320.88354,310.40848,310.44305,319.4617,319.6277,296.37888,296.32526,299.61188,299.49536,319.5012,320.40564,301.02203,298.98767,298.23114,321.1449,319.66708,321.74603,321.31732,318.72043,329.76288,330.574,323.39624,-888.0,272.21603,320.90823,320.86774,321.18393,353.34897,320.1235,302.8551,322.03705
1,1980-07-23,296.07715,-888.0,297.20285,318.81363,298.038,298.55563,320.45663,320.74634,296.37274,325.36685,304.75742,332.39325,336.60428,333.15265,294.19302,309.80185,337.74356,286.78632,332.51993,334.99374,337.64972,319.71094,320.2049,-888.0,-888.0,319.71094,328.14078,324.18903,321.81726,321.37604,344.2271,351.76047,320.1563,320.11624,320.03015,309.5818,-888.0,322.75354,319.4532,322.0352,320.9187,297.67935,319.1349,319.44864,291.64374,320.00726,320.99457,319.34515,329.0938,300.68213,327.80624,319.6654,319.74622,319.64856,309.08295,319.6656,321.2192,301.70096,-888.0,319.64856,320.07953,319.68213,321.19937,331.17023,320.06168,320.03015,316.04532,-888.0,333.12485,329.57593,294.81683,358.59204,321.5154,320.0443,319.64096,320.6494,320.03015,317.9987,329.17148,319.74393,322.83588,319.68686,320.06168,343.56088,297.54398,300.91467,328.78476,323.1098,248.82808,319.9931,320.33746,293.80414,321.26202,319.33353,319.1349,321.54315,320.03015,298.2433,320.15268,319.63754,319.78604,319.3439,316.17184,297.22925,297.0,295.1852,301.22226,293.72134,297.7215,298.75134,321.50586,321.9325,296.66782,284.10727,270.0405,270.0405,270.0405,306.3695,304.5536,270.47922,344.2567,319.88867,270.44116,271.37827,272.2252,319.74622,333.12485,255.15092,321.12177,310.7577,310.75662,319.65045,319.74622,296.63617,296.5907,299.60516,299.42334,319.7937,320.4886,300.88913,298.9654,298.36557,321.34988,319.80762,321.7496,321.34607,318.80777,330.92032,330.88437,323.62753,-888.0,272.2252,321.06003,320.89194,321.20514,353.2504,320.1174,302.7239,322.0352
2,1980-07-30,296.0968,-888.0,297.5484,318.92877,298.28207,298.81097,320.80203,320.9805,296.4828,325.53812,304.71698,332.3591,336.61343,333.1656,294.25674,309.76135,337.75375,286.7824,332.49084,335.09415,337.6574,319.81027,320.28378,-888.0,-888.0,319.81027,328.9238,324.35266,321.89215,321.4403,345.03708,346.34995,320.2401,320.20395,320.12204,309.5784,-888.0,323.23578,319.67538,322.04697,320.9218,297.69006,319.23218,319.5485,291.80194,320.10297,321.21024,319.4436,329.08118,300.68018,328.1442,319.76465,319.84573,319.74762,309.34695,319.76514,321.4012,301.665,-888.0,319.74762,320.17044,319.7819,321.42313,331.86606,320.1511,320.12204,316.0223,-888.0,333.83017,330.01273,294.87717,359.63367,321.69495,320.13782,319.73978,320.83026,320.12204,318.27554,329.47504,319.84735,322.82663,319.78622,320.1511,343.798,297.80264,301.19885,329.18216,323.57047,248.92525,320.0855,320.4062,293.99298,321.3038,319.5914,319.23218,321.60367,320.12204,298.27814,320.25415,319.95908,319.88525,319.5662,316.12543,297.46115,297.00052,295.33853,301.39722,293.92267,298.0203,299.18585,321.848,322.2696,296.92725,289.56042,270.12186,270.12186,270.12186,306.62494,304.82535,270.52338,345.05472,319.9862,270.6304,271.47794,272.25272,319.84573,333.83017,255.13925,321.284,311.02277,311.01117,319.75183,319.84573,296.9136,296.87082,299.7315,299.4966,319.89197,320.58936,300.90967,299.06735,298.548,321.73602,320.07834,321.79044,321.42624,319.01105,331.65802,331.54407,324.15656,-888.0,272.25272,321.19553,320.9589,321.27353,353.28732,320.12027,302.7814,322.04697
3,1980-08-06,296.20737,-888.0,297.53723,319.0842,298.21072,298.7465,320.95877,321.17825,296.62582,325.76678,304.76492,332.35312,336.67566,333.18854,294.322,309.7751,337.7785,286.91455,332.4803,335.21448,337.6781,319.90637,320.36023,-888.0,-888.0,319.90637,329.06406,324.5582,322.00165,321.5274,344.74765,345.91153,320.31995,320.2868,320.20798,309.5768,-888.0,323.48676,319.87613,322.08722,320.95914,297.69318,319.3374,319.65283,291.95648,320.19385,321.40347,319.5468,329.1017,300.68042,328.5024,319.86185,319.94025,319.84454,309.26422,319.85947,321.57825,301.83292,-888.0,319.84454,320.2561,319.8764,321.63187,332.09442,320.235,320.20798,316.00848,-888.0,334.01797,330.43677,294.96533,362.10513,321.88034,320.22607,319.83447,321.01874,320.20798,318.38354,329.8911,319.95285,322.8239,319.8813,320.235,344.56866,297.6916,301.1756,329.57523,323.81146,248.95879,320.17197,320.47583,294.01447,321.36578,319.79642,319.3374,321.6915,320.20798,298.52194,320.35544,320.0882,319.97937,319.73077,316.10187,297.51413,297.0151,295.44904,301.47794,294.1501,298.03015,299.1078,322.05615,322.48932,296.97165,290.46948,270.1432,270.1432,270.1432,306.5292,304.73877,270.55594,344.76746,320.07788,270.57257,271.50113,272.281,319.94025,334.01797,255.16823,321.4484,310.96426,310.98483,319.85513,319.94025,296.94632,296.89975,299.973,299.76813,319.98706,320.6937,301.22165,299.29562,298.6346,321.92136,320.24216,321.86304,321.5276,319.17154,331.79355,331.91672,324.41214,-888.0,272.281,321.34018,321.037,321.36032,353.64767,320.16452,303.14154,322.08722
4,1980-08-13,296.64877,-888.0,297.6263,319.21957,298.34915,298.88208,321.09787,321.32224,297.1235,326.00177,304.995,332.43375,336.82104,333.22894,294.67685,309.92188,337.8522,287.47144,332.5404,335.36844,337.73917,320.0632,320.47922,-888.0,-888.0,320.0632,328.96918,324.76724,322.13828,321.64493,344.25378,349.81015,320.44388,320.41547,320.34265,309.58386,-888.0,323.59598,320.1589,322.15918,321.03983,297.73083,319.5096,319.82263,292.1183,320.33682,321.63342,319.71564,329.23404,300.68893,328.7933,320.02115,320.09317,320.00308,309.37802,320.01276,321.78903,302.37,-888.0,320.00308,320.38947,320.0298,321.77185,332.1339,320.36633,320.34265,316.00964,-888.0,334.01117,330.7378,295.37103,365.1731,322.01135,320.3641,319.98874,321.16434,320.34265,318.5062,330.24756,320.12167,322.84552,320.03592,320.36633,346.1827,297.74524,301.27548,329.86926,323.98178,249.08269,320.3089,320.58368,294.29752,321.45712,320.07834,319.5096,321.80927,320.34265,299.20593,320.50888,320.2247,320.1312,319.86914,316.1624,297.60977,297.05185,295.56598,301.70715,294.4643,298.11182,299.16263,322.25803,322.69922,297.06488,291.72778,270.16028,270.16028,270.16028,306.61826,304.80862,270.5813,344.27307,320.22403,270.57764,271.52573,272.31134,320.09317,334.01117,255.26848,321.65094,311.09473,311.17184,320.02283,320.09317,297.0382,296.9907,300.6321,300.4924,320.14838,320.84183,302.02725,299.94122,299.0363,322.0454,320.38287,321.96646,321.65955,319.30612,331.72528,332.09192,324.49817,-888.0,272.31134,321.52164,321.14758,321.47855,354.47406,320.25934,304.02414,322.15918
5,1980-08-20,298.94348,309.029,298.29437,319.43866,299.65402,300.13803,321.5788,321.6,300.0053,326.33322,306.2179,332.8162,337.33118,333.34995,296.61844,310.68518,338.09866,290.2798,332.84058,335.77527,337.95032,320.5452,320.815,-888.0,-888.0,320.5452,329.15018,325.09927,322.3896,321.8849,343.98184,374.44482,320.7957,320.78268,320.73547,309.63385,-888.0,323.84125,321.18765,322.29654,321.15976,297.87137,320.06018,320.35815,292.6885,320.7528,322.338,320.24966,329.6837,300.7368,329.14883,320.51276,320.56427,320.49454,310.46854,320.4936,322.36456,305.1417,-888.0,320.49454,320.77222,320.51007,321.98828,332.33377,320.7483,320.73547,316.05652,313.5835,334.1212,331.04022,297.5724,366.02194,322.1791,320.76285,320.46994,321.40475,320.73547,318.98566,330.60638,320.6393,322.97623,320.5158,320.7483,347.7148,298.5475,301.97894,330.1965,324.52744,249.60045,320.7168,320.87872,296.23248,321.65,321.19012,320.06018,322.03836,320.73547,302.78503,320.94778,320.74133,320.59488,320.2123,316.62595,298.07272,297.16373,295.98932,302.86865,295.74106,298.6135,299.74615,322.91324,323.3424,297.56528,293.22128,270.3084,270.3084,270.3084,307.43958,305.5207,270.72144,343.99655,320.6622,270.77765,271.72256,272.44687,320.56427,334.1212,255.78223,322.1931,312.22125,312.5934,320.5413,320.56427,297.57486,297.53534,304.3791,304.42883,320.62894,321.24005,306.1023,303.56607,301.6134,322.4161,320.78458,322.1569,321.93716,319.63382,331.91528,332.29636,324.68842,307.5843,272.44687,321.98364,321.405,321.73254,356.64728,320.3873,308.7087,322.29654
6,1980-08-27,299.9283,308.3973,298.42215,319.70273,299.21225,299.67307,321.5851,321.7834,299.50153,326.60986,307.1484,333.22736,337.7824,333.507,297.4744,311.43054,338.45462,290.96646,333.23157,336.12762,338.26572,320.7131,321.0851,-888.0,-888.0,320.7131,329.16885,325.35828,322.66806,322.1482,343.92947,372.72375,321.05838,321.03683,320.97992,309.68045,-888.0,323.99713,320.80255,322.4876,321.26825,298.05774,320.13638,320.45642,292.9142,320.9718,322.2668,320.34946,330.1132,300.78183,329.38895,320.66812,320.75024,320.65112,309.86884,320.67468,322.41922,305.65515,-888.0,320.65112,321.01642,320.69254,322.19022,332.4102,321.00116,320.97992,316.11618,313.8192,334.238,331.27533,298.22223,363.50153,322.36002,320.99554,320.64313,321.61374,320.97992,319.0084,330.87732,320.76083,323.1104,320.69165,321.00116,347.64005,298.3011,301.82004,330.42987,324.4868,249.20804,320.96225,321.15204,295.7556,321.89426,320.7144,320.13638,322.30292,320.97992,302.3257,321.13586,320.7184,320.7858,320.3765,317.05017,298.27408,297.3087,296.2507,302.3123,295.93924,298.79688,299.8998,322.82788,323.28073,297.789,293.28656,270.38974,270.38974,270.38974,306.98334,305.20648,270.8165,343.94473,320.8739,270.85815,271.80157,272.5506,320.75024,334.238,255.55383,322.2774,311.62958,311.82193,320.66125,320.75024,297.78177,297.73367,302.95868,303.26163,320.78632,321.4489,305.17355,302.4351,300.7021,322.49673,320.88278,322.4056,322.19952,319.82202,331.94424,332.4641,324.84085,307.61423,272.5506,322.13824,321.66577,321.99435,356.64532,320.5204,306.855,322.4876
7,1980-09-03,299.4565,307.75095,298.2703,319.7986,298.8411,299.33325,321.53433,321.8122,298.91132,326.74585,306.9102,333.38498,338.01196,333.65674,297.07074,311.44125,338.69562,290.7164,333.40994,336.32315,338.5105,320.7591,321.16672,-888.0,-888.0,320.7591,329.16806,325.47995,322.80057,322.27692,343.98352,368.99344,321.13525,321.10947,321.04523,309.70486,-888.0,323.95966,320.79602,322.6514,321.36642,298.1781,320.1836,320.50122,292.9548,321.0318,322.29816,320.3956,330.38614,300.8086,329.4924,320.71286,320.79855,320.69666,309.57718,320.72147,322.46237,305.0279,-888.0,320.69666,321.0849,320.7394,322.23398,332.47357,321.06924,321.04523,316.16742,313.63025,334.31326,331.3654,297.74222,360.9374,322.42273,321.05994,320.69006,321.67395,321.04523,318.9309,330.9816,320.80533,323.21298,320.7386,321.06924,346.6331,297.9747,301.7027,330.525,324.48422,249.0382,321.0235,321.2468,295.31204,322.03543,320.70612,320.1836,322.43875,321.04523,301.61804,321.1955,320.65372,320.8353,320.38214,317.2574,298.2683,297.43674,296.3017,302.26147,296.00946,298.7343,299.7236,322.8237,323.29022,297.74332,291.02588,270.35355,270.35355,270.35355,306.71722,304.98935,270.82263,343.99887,320.9285,270.7078,271.74945,272.57626,320.79855,334.31326,255.54727,322.3237,311.3472,311.52798,320.70444,320.79855,297.70706,297.64926,302.32468,302.54562,320.82086,321.52222,304.4041,301.77475,300.20093,322.4493,320.86316,322.5597,322.31476,319.83276,331.98996,332.53955,324.81165,307.0403,272.57626,322.202,321.7811,322.11554,355.43094,320.65222,306.0908,322.6514
8,1980-09-10,298.62665,-888.0,297.61014,319.7826,297.95447,298.45804,321.25003,321.71158,297.76602,326.8199,306.5191,333.46283,338.12317,333.80026,296.2804,311.28983,338.86902,289.9577,333.51486,336.44037,338.6992,320.74384,321.20245,-888.0,-888.0,320.74384,329.0694,325.53458,322.8783,322.35687,344.03323,363.11377,321.16553,321.13452,321.0614,309.72098,-888.0,323.7861,320.51047,322.77982,321.45935,298.2595,320.1444,320.46655,292.79993,321.0399,322.14584,320.36224,330.5208,300.83133,329.53418,320.694,320.78775,320.67813,308.7203,320.7074,322.37643,304.1516,-888.0,320.67813,321.10468,320.72568,322.15927,332.47858,321.08914,321.0614,316.217,313.28152,334.3504,331.4107,296.87698,358.88214,322.36874,321.0742,320.67557,321.6263,321.0614,318.5929,331.034,320.77682,323.30057,320.7246,321.08914,345.5172,297.19626,300.98404,330.56686,324.28366,248.66145,321.0348,321.2964,294.32605,322.13223,320.34998,320.1444,322.5249,321.0614,300.3648,321.19492,320.32993,320.827,320.22644,317.3772,297.89975,297.54248,296.14615,301.72046,295.7282,298.19128,298.83246,322.58575,323.0843,297.33136,289.71213,270.1938,270.1938,270.1938,305.94742,304.23126,270.74207,344.04938,320.92902,270.31137,271.55206,272.53595,320.78775,334.3504,255.4346,322.25995,310.51373,310.63138,320.67535,320.78775,297.24432,297.1738,300.9052,301.12668,320.80157,321.53632,303.00504,300.4138,299.04196,322.20648,320.65402,322.6653,322.3783,319.68298,331.96194,332.5779,324.66733,-888.0,272.53595,322.1806,321.85,322.1884,354.13232,320.77313,304.4642,322.77982
9,1980-09-17,298.0537,-888.0,297.3615,319.67868,297.83694,298.34683,321.1747,321.6103,297.5014,326.86243,306.19254,333.5323,338.21237,333.93552,295.77206,311.12668,338.9937,289.62564,333.58987,336.54602,338.8417,320.7838,321.23914,-888.0,-888.0,320.7838,328.99356,325.56534,322.9142,322.40298,344.01776,363.15964,321.20166,321.17035,321.0965,309.73734,-888.0,323.6552,320.58105,322.87418,321.56708,298.31354,320.1964,320.5143,292.64032,321.07605,322.17532,320.41083,330.56113,300.85883,329.56097,320.7351,320.82654,320.7196,308.6876,320.7472,322.39584,303.7006,-888.0,320.7196,321.1404,320.7653,322.05014,332.48502,321.12402,321.0965,316.26758,313.17062,334.35577,331.43594,296.39136,358.81335,322.26895,321.11005,320.7161,321.53912,321.0965,318.48395,331.07028,320.81995,323.38184,320.76456,321.12402,344.69113,297.07584,300.79883,330.59164,324.25296,248.74692,321.069,321.33716,294.15286,322.19528,320.42395,320.1964,322.57275,321.0965,300.0264,321.23193,320.25803,320.86514,320.11453,317.49426,297.70468,297.6196,295.98367,301.71802,295.57364,297.95883,298.52863,322.5722,323.078,297.11478,288.61722,270.09393,270.09393,270.09393,305.88037,304.11694,270.66235,344.03378,320.9655,270.20303,271.44254,272.48456,320.82654,334.35577,255.49913,322.28064,310.48492,310.63138,320.71912,320.82654,297.01862,296.94614,300.81403,300.9485,320.83755,321.57138,302.76797,300.25354,298.92337,322.10504,320.55676,322.72867,322.41483,319.55566,331.94638,332.59412,324.53714,-888.0,272.48456,322.2041,321.89642,322.23264,353.22708,320.89154,304.43387,322.87418
