,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,319.6277,330.574,323.39624,322.57,272.21603,336.97433,324.9238,285.07318,301.85843,304.47443,251.61395,320.49582,328.68274,325.90445,342.10474,329.4119,323.01364,320.57788,320.7854,306.0396,274.27728,299.49124,292.43994,294.79648,296.79236,334.84076,-117894.41,11508.395,6224.832,-80785.234,3100.0,1500.0,153402.03,2246.7666,20682.875,127087.47,31995.357,7.349415,8062.09,63998.844,4844.291
1,1980-07-23,319.74622,330.88437,323.62753,322.75354,272.2252,336.90726,324.9085,286.22156,300.415,304.3716,251.35953,320.50702,330.32367,326.32608,343.87317,329.4463,323.01453,320.6497,321.02594,306.34058,274.2723,299.41547,292.43304,294.88712,296.79205,334.83774,-112455.914,16960.979,8155.318,-78601.164,3100.0,1500.0,219870.22,2233.4685,21990.703,134043.62,37884.637,20.991585,7452.551,63896.27,4973.316
2,1980-07-30,319.84573,331.54407,324.15656,323.23578,272.25272,336.87936,324.87387,288.68137,298.8061,304.44302,251.24347,320.59335,331.16455,326.86496,344.51202,329.735,323.0558,320.74982,321.35544,306.48148,274.26242,299.4955,292.41925,295.04608,296.80667,334.83157,-114405.97,21365.273,8577.195,-77179.3,3100.0,1500.0,220304.64,2208.5664,22683.666,140736.98,41361.184,17.513523,6837.4795,63876.223,5043.76
3,1980-08-06,319.94025,331.91672,324.41214,323.48676,272.281,337.02866,324.85532,290.04715,300.1736,304.79712,251.49599,320.73416,331.2452,327.13632,344.1454,330.18085,323.14975,320.8558,321.5512,306.6755,274.25757,300.0477,292.41248,295.1599,296.84537,334.8289,-124935.67,17484.96,7004.616,-80502.516,3100.0,1500.0,201438.19,2202.8193,23147.633,146718.33,38594.168,18.355587,6509.275,64220.66,4789.4717
4,1980-08-13,320.09317,332.09192,324.49817,323.59598,272.31134,337.4784,324.90927,291.00455,307.3904,305.67532,252.20497,320.87054,331.087,327.28925,343.64767,330.56638,323.27792,321.00235,321.7498,307.0578,274.27075,300.77194,292.43082,295.28183,296.9026,334.8388,-130729.11,15116.367,4858.894,-84242.17,3100.0,1500.0,183505.94,2244.766,24237.45,150492.55,37748.125,43.017715,6187.6377,64456.73,4120.597
5,1980-08-20,320.56427,332.29636,324.68842,323.84125,272.44687,339.24597,325.29428,292.53802,343.78613,310.37274,255.47397,321.0557,331.22412,327.72974,343.4605,330.9644,323.47107,321.3833,322.4241,308.8121,274.37006,302.523,292.56912,295.73575,297.03085,334.9089,-138877.69,10757.016,-5453.751,-102293.875,255.4448,255.4448,176345.73,2378.0542,29618.281,163127.47,40810.29,209.08458,5455.0825,64231.89,534.8242
6,1980-08-27,320.75024,332.4641,324.84085,323.99713,272.5506,340.60925,325.71643,293.5344,351.03452,308.32938,253.69887,321.27032,331.2371,327.72394,343.47055,331.20947,323.72696,321.60062,322.31802,307.77182,274.45828,302.04898,292.69272,295.98523,297.2082,334.97183,-138266.52,15862.748,-2790.0288,-93450.43,255.4448,255.4448,176655.53,2620.5977,25918.717,156164.66,38617.254,243.07181,5044.1846,65921.56,3121.9163
7,1980-09-03,320.79855,332.53955,324.81165,323.95966,272.57626,341.02786,325.9268,293.6556,341.5042,307.6014,253.2407,321.3866,331.2434,327.7569,343.53714,331.30942,323.904,321.67987,322.30737,307.78995,274.49817,301.73087,292.7494,296.02954,297.35385,335.00116,-145486.42,11419.884,-3008.6277,-95056.31,255.4448,255.4448,179293.44,2728.097,25543.732,159696.06,34663.453,182.8765,5141.3867,66952.4,3567.7012
8,1980-09-10,320.78775,332.5779,324.66733,323.7861,272.53595,340.96866,326.02164,293.40082,330.48712,305.95175,252.244,321.4283,331.17975,327.65982,343.5804,331.3492,324.0278,321.70078,322.04697,307.2541,274.5175,301.1403,292.7781,295.85852,297.46072,335.0163,-156669.38,2108.0986,-1867.3319,-93796.55,255.4448,255.4448,181145.84,2760.539,23327.527,163469.69,24922.475,115.38382,5155.5444,68148.09,4639.456
9,1980-09-17,320.82654,332.59412,324.53714,323.6552,272.48456,340.852,326.0683,293.16348,327.5865,305.99203,252.5841,321.39905,331.12015,327.65726,343.54993,331.40347,324.10025,321.73486,322.03207,307.44403,274.53482,301.65585,292.80496,295.6924,297.51303,335.03003,-158069.81,-1029.361,-2161.9753,-94237.87,255.4448,255.4448,180119.97,2749.5625,23894.066,167092.53,23354.346,92.590195,5225.1416,68135.766,4194.135
