name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4777.7715,18.260052,1438.9762,8504.589,0.0,0.0,77.06712,1081.1698
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,117340.8,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,11435.957,1631.3204,4484.366,15251.537,1894.4105,2240.9023,1178.2632,2905.9722
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,32674.838,3119.7043,36.521347,16.351604,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,173263.03,26465.953,810959360.0,119974760.0,2831835600.0,9008906000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,477.10458,125080.9,21547.56,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,120234.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11781.272,0.0,0.0,31203.691,0.0,42.290154,65.23917,0.0
FROM_main_terrace,0,0,0.0,881.12646,0.0,261.18387,0.0,6506.679,67562.23,6228.097,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1680.8351,0.0,44.88481,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.3347437,1771.3165,12.865456,0.0,935.14136,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,75.49287,436.91937,0.0,7530.6504,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3696.562,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,325873.9,147033.44,811127040.0,120058264.0,2831844000.0,9008983000.0,8483.808,3987.142
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.3066,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,332.72168,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,124623.234,1630.9438,6696.0894,74714.78,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,120234.74,11781.272,881.12646,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,477.10458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,125080.9,0.0,0.0,261.18387,0.0,3.3347437,75.49287,3696.562
TO_main_terrace,0,0,0.0,21547.56,0.0,31203.691,0.0,1680.8351,1771.3165,436.91937,0.0
