,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2002-07-06 12:00:00,319.28528,328.51993,322.4203,321.64426,272.2966,345.3717,329.34875,292.4473,302.32666,304.86038,251.63065,319.78442,326.72614,324.40842,340.08423,327.57376,321.9897,320.0122,319.88727,306.0524,274.2955,299.7111,292.654,295.1099,297.05023,334.88828,-95463.98,11759.007,4112.5483,-82521.38,3100.0,1500.0,110053.21,3696.5657,20019.217,104242.43,31184.299,-8.77607,5754.4243,65430.758,4824.7466
1,2001-01-10 00:00:00,319.28555,328.69943,322.51794,321.70346,272.2966,345.3717,329.34875,292.4473,302.32666,304.86118,251.63065,319.78577,327.52206,324.60815,340.8294,327.58554,321.99008,320.01324,319.93164,306.06107,274.2955,299.71106,292.654,295.1099,297.05023,334.88828,-96544.65,11696.988,4112.5483,-82521.38,3100.0,1500.0,143007.31,3696.5383,20039.553,108264.56,31184.57,-8.776001,5754.428,65430.758,4824.7188
2,2001-01-17 00:00:00,319.28946,329.08484,322.73978,321.8879,272.2966,345.3717,329.3488,292.4473,302.32666,304.86612,251.63065,319.80603,328.06262,324.88922,341.55057,327.72162,321.9994,320.02356,320.03937,306.08826,274.2955,299.71106,292.654,295.11,297.05026,334.88828,-99617.305,11524.737,4111.6187,-82521.484,3100.0,1500.0,153731.95,3696.365,20115.045,113187.95,31185.477,-8.776779,5754.513,65430.85,4824.7183
3,2001-01-24 00:00:00,319.29907,329.4147,322.90533,322.03918,272.2966,345.3717,329.3488,292.44733,302.32666,304.8726,251.63065,319.84744,328.37115,325.11234,341.88913,327.9518,322.02625,320.04398,320.14697,306.11923,274.2955,299.71106,292.654,295.11023,297.05035,334.88828,-102543.984,11344.294,4109.064,-82521.62,3100.0,1500.0,158009.11,3696.1777,20210.52,116700.83,31186.14,-8.77964,5754.7676,65431.24,4824.7183
4,2001-01-31 00:00:00,319.3145,329.69962,323.03778,322.16376,272.2966,345.3717,329.34882,292.44742,302.32666,304.8794,251.63065,319.89938,328.61755,325.3084,342.12033,328.20917,322.06985,320.0725,320.25214,306.15207,274.2955,299.71106,292.654,295.11078,297.05066,334.88828,-105246.94,11164.039,4105.35,-82522.19,3100.0,1500.0,161225.89,3696.0312,20318.414,119800.83,31186.193,-8.78582,5755.2285,65432.117,4824.7183
5,2001-02-07 00:00:00,319.33554,329.9586,323.1521,322.2736,272.2966,345.3717,329.34885,292.4476,302.32666,304.88632,251.63065,319.95602,328.82767,325.48846,342.30527,328.46313,322.12704,320.10785,320.35532,306.1863,274.2955,299.7111,292.654,295.11163,297.05118,334.88828,-107796.55,10984.827,4100.59,-82523.25,3100.0,1500.0,164034.53,3695.92,20435.975,122680.08,31185.426,-8.796219,5755.9185,65433.69,4824.719
6,2001-02-14 00:00:00,319.3618,330.1942,323.2562,322.374,272.2966,345.3717,329.3489,292.4479,302.32666,304.89322,251.63065,320.01498,329.02795,325.65512,342.45837,328.70346,322.1949,320.14902,320.45615,306.2215,274.2955,299.7111,292.654,295.11285,297.05203,334.88828,-110238.43,10807.845,4094.4365,-82525.14,3100.0,1500.0,166381.83,3695.8345,20561.043,125434.48,31183.715,-8.811691,5756.839,65436.113,4824.719
7,2001-02-21 00:00:00,319.39288,330.40842,323.3569,322.47095,272.2966,345.3717,329.34897,292.4484,302.32672,304.90015,251.63065,320.07526,329.2312,325.81418,342.58286,328.927,322.27084,320.1952,320.55548,306.25754,274.2955,299.7111,292.654,295.11447,297.05325,334.88828,-112633.086,10631.902,4087.8188,-82527.86,3100.0,1500.0,168485.78,3695.7646,20692.395,128123.89,31180.973,-8.832565,5757.9863,65439.51,4824.7197
8,2001-02-28 00:00:00,319.42853,330.59897,323.45108,322.56293,272.29663,345.3717,329.34906,292.4491,302.32678,304.907,251.63065,320.13657,329.39865,325.9593,342.67853,329.13187,322.353,320.24573,320.65146,306.2939,274.2955,299.71112,292.654,295.1165,297.05487,334.88828,-114934.57,10459.727,4079.6929,-82531.81,3100.0,1500.0,169761.8,3695.708,20828.184,130609.65,31177.156,-8.8593445,5759.35,65443.984,4824.7197
9,2001-03-07 00:00:00,319.46823,330.76517,323.53357,322.64514,272.29663,345.37167,329.34918,292.45,302.3269,304.9137,251.63065,320.19794,329.53012,326.08655,342.745,329.31628,322.43933,320.29974,320.7413,306.32974,274.2955,299.71115,292.654,295.1189,297.05692,334.88828,-117069.26,10296.3545,4070.868,-82536.664,3100.0,1500.0,170249.22,3695.6655,20965.434,132788.56,31172.201,-8.892151,5760.9194,65449.586,4824.7197
10,2001-03-14 00:00:00,319.51144,330.9066,323.6039,322.7166,272.29666,345.37167,329.34927,292.45117,302.32706,304.92004,251.63065,320.25818,329.62894,326.19595,342.78186,329.48013,322.52792,320.3563,320.8238,306.3644,274.2955,299.71124,292.654,295.12173,297.0594,334.88828,-119003.125,10144.326,4061.2327,-82542.9,3100.0,1500.0,170100.45,3695.6394,21101.557,134670.1,31166.096,-8.931091,5762.6772,65456.37,4824.7197
11,2001-03-21 00:00:00,319.55746,331.0226,323.66138,322.77682,272.2967,345.37167,329.3494,292.4526,302.32727,304.92596,251.63065,320.31607,329.69513,326.28668,342.7887,329.62256,322.6167,320.41428,320.89792,306.39743,274.2955,299.71136,292.654,295.12494,297.0623,334.88828,-120713.875,10005.719,4050.0906,-82550.27,3100.0,1500.0,169211.75,3695.628,21234.332,136238.12,31158.852,-8.97596,5764.603,65464.324,4824.7197
12,2001-03-28 00:00:00,319.6056,331.1125,323.70593,322.82516,272.29675,345.37167,329.3495,292.4543,302.32755,304.93137,251.63065,320.37073,329.7283,326.3579,342.7658,329.74402,322.70404,320.4728,320.96277,306.4284,274.2955,299.71152,292.654,295.12854,297.06558,334.88828,-122184.09,9882.256,4038.8267,-82558.99,3100.0,1500.0,167580.53,3695.6313,21362.414,137463.33,31150.516,-9.026627,5766.6743,65473.46,4824.72
13,2001-04-04 00:00:00,319.65497,331.17587,323.73697,322.86124,272.2968,345.37167,329.3496,292.45627,302.32788,304.93616,251.63065,320.4212,329.72772,326.40912,342.71393,329.84283,322.78818,320.53085,321.01746,306.45682,274.2955,299.71173,292.65402,295.13245,297.0693,334.88828,-123390.37,9776.098,4026.7522,-82568.94,3100.0,1500.0,165252.53,3695.6477,21483.246,138336.55,31141.158,-9.082558,5768.862,65483.695,4824.7197
14,2001-04-11 00:00:00,319.70483,331.21222,323.75363,322.8843,272.29694,345.37167,329.3497,292.4585,302.32828,304.9403,251.63065,320.46677,329.6921,326.4396,342.634,329.91812,322.8676,320.5874,321.06125,306.4823,274.2955,299.712,292.65402,295.13666,297.0734,334.88828,-124314.14,9688.624,4014.2156,-82580.21,3100.0,1500.0,162251.9,3695.6772,21594.562,138843.08,31130.86,-9.1432495,5771.1367,65494.98,4824.72
15,2001-04-18 00:00:00,319.75443,331.22095,323.75546,322.89386,272.29706,345.3717,329.34982,292.46097,302.32874,304.94376,251.63065,320.50665,329.62064,326.44867,342.52747,329.9691,322.94104,320.6416,321.0934,306.5044,274.2955,299.71237,292.65402,295.14114,297.07782,334.88828,-124939.51,9621.107,4001.4448,-82592.336,3100.0,1500.0,158616.6,3695.7183,21694.072,138966.78,31119.74,-9.2081375,5773.47,65507.22,4824.7207
16,2001-04-25 00:00:00,319.8028,331.20273,323.74237,322.8897,272.29718,345.3717,329.3499,292.46365,302.32925,304.94638,251.63065,320.54013,329.51514,326.43655,342.39606,329.99524,323.00714,320.6925,321.11353,306.52283,274.2955,299.7128,292.65405,295.14578,297.08252,334.88828,-125256.41,9574.967,3988.0955,-82605.51,3100.0,1500.0,154516.52,3695.7712,21779.992,138711.89,31107.93,-9.276382,5775.827,65520.25,4824.7207
17,2001-05-02 00:00:00,319.84937,331.1589,323.71588,322.87292,272.29736,345.3717,329.35,292.46655,302.32986,304.94824,251.63065,320.5669,329.39273,326.4063,342.24164,329.9971,323.06522,320.7395,321.12225,306.5375,274.2955,299.71332,292.65408,295.1506,297.08746,334.88828,-125282.03,9549.398,3974.6296,-82619.43,3100.0,1500.0,150203.83,3695.8342,21851.727,138157.31,31095.523,-9.347618,5778.184,65534.016,4824.7207
18,2001-05-09 00:00:00,319.8934,331.09045,323.68274,322.84796,272.29758,345.3717,329.3501,292.46964,302.33054,304.94937,251.63065,320.58676,329.27914,326.36185,342.06677,329.97543,323.1144,320.78192,321.12103,306.54865,274.2955,299.71396,292.65414,295.1555,297.09262,334.88828,-125079.7,9541.787,3961.6274,-82634.37,3100.0,1500.0,145930.08,3695.903,21909.13,137431.22,31082.719,-9.420807,5780.506,65548.34,4824.7207
19,2001-05-16 00:00:00,319.9346,330.9972,323.64163,322.8151,272.29782,345.3717,329.35016,292.47287,302.33124,304.9498,251.63065,320.60022,329.13043,326.2996,341.8732,329.931,323.1547,320.8197,321.10953,306.55618,274.2955,299.7147,292.6542,295.16043,297.09793,334.88828,-124647.64,9552.59,3948.7397,-82649.805,3100.0,1500.0,141055.05,3695.9758,21952.074,136384.05,31069.574,-9.4956665,5782.781,65563.16,4824.7207
20,2001-05-23 00:00:00,319.9721,330.87875,323.58524,322.76898,272.2981,345.3717,329.35022,292.47626,302.33203,304.94943,251.63065,320.607,328.93198,326.21454,341.6654,329.86435,323.1854,320.852,321.08566,306.55945,274.2955,299.71555,292.65427,295.16537,297.10333,334.88828,-123910.72,9585.2705,3936.2017,-82665.836,3100.0,1500.0,135422.0,3696.0554,21978.344,134894.55,31056.31,-9.5707855,5784.963,65578.234,4824.7207
21,2001-05-30 00:00:00,320.00534,330.73843,323.51068,322.70703,272.29843,345.3717,329.35028,292.47968,302.33286,304.9482,251.63065,320.6063,328.6882,326.1078,341.44565,329.77585,323.20596,320.8781,321.0489,306.55814,274.2955,299.7165,292.6544,295.17023,297.10876,334.88828,-122836.21,9640.984,3924.2441,-82681.91,3100.0,1500.0,129676.414,3696.1445,21986.654,132979.38,31043.059,-9.645287,5787.0273,65593.4,4824.7207
22,2001-06-06 00:00:00,320.03384,330.57758,323.4218,322.63187,272.29877,345.3717,329.3503,292.4832,302.33377,304.9461,251.63065,320.59763,328.42874,325.98444,341.2168,329.66705,323.21603,320.89774,321.00076,306.55246,274.2955,299.71756,292.6545,295.17496,297.11414,334.88828,-121462.23,9717.7295,3912.8674,-82698.41,3100.0,1500.0,123863.266,3696.2407,21977.07,130789.67,31029.953,-9.718681,5788.949,65608.5,4824.7207
23,2001-06-13 00:00:00,320.0572,330.39398,323.32907,322.54987,272.29913,345.3717,329.35034,292.4867,302.33466,304.94327,251.63065,320.58115,328.20566,325.85056,340.97083,329.53757,323.2155,320.9106,320.94357,306.54285,274.2955,299.71872,292.65466,295.1795,297.11945,334.88828,-119884.24,9811.508,3902.767,-82714.555,3100.0,1500.0,118148.02,3696.3394,21950.662,128552.14,31017.174,-9.789886,5790.7056,65623.41,4824.7207
24,2001-06-20 00:00:00,320.0751,330.17404,323.2269,322.46082,272.29956,345.3717,329.35034,292.49017,302.3356,304.93976,251.63065,320.55774,327.88196,325.68808,340.62512,329.38614,323.20468,320.91675,320.87476,306.52893,274.2955,299.72,292.65485,295.18378,297.12463,334.88828,-118065.48,9925.091,3893.248,-82730.75,3100.0,1500.0,108758.96,3696.4373,21907.6,125776.88,31004.863,-9.8582,5792.2754,65637.914,4824.7207
25,2001-06-27 00:00:00,320.087,329.89297,323.0825,322.33856,272.3,345.37173,329.35034,292.49362,302.33655,304.935,251.63065,320.52594,327.4157,325.47067,340.20416,329.20123,323.1828,320.91498,320.78265,306.50775,274.2955,299.7214,292.6551,295.1878,297.12958,334.88828,-115631.25,10077.734,3885.004,-82746.46,3100.0,1500.0,98147.02,3696.5552,21838.617,121901.82,30993.041,-9.922775,5793.6294,65651.89,4824.7207
26,2001-07-04 00:00:00,320.09192,329.55576,322.90924,322.188,272.30045,345.37173,329.35034,292.49695,302.33752,304.92877,251.63065,320.4825,326.94604,325.21518,339.77,328.97614,323.14767,320.90378,320.66913,306.479,274.2955,299.7229,292.65536,295.19144,297.13428,334.88828,-112633.7,10268.326,3878.1548,-82761.484,3100.0,1500.0,87808.4,3696.7004,21741.314,117533.3,30981.867,-9.982803,5794.7334,65665.12,4824.7207
27,2001-07-11 00:00:00,320.08914,329.18677,322.72772,322.026,272.30093,345.37173,329.35028,292.50012,302.3385,304.92126,251.63065,320.42694,326.5226,324.94733,339.3444,328.7123,323.09793,320.88263,320.542,306.4442,274.2955,299.7245,292.65567,295.1946,297.13864,334.88828,-109305.11,10484.526,3873.0461,-82775.61,3100.0,1500.0,79356.0,3696.857,21619.23,113158.91,30971.6,-10.036736,5795.5464,65677.414,4824.7207
28,2001-07-18 00:00:00,320.07858,328.8092,322.55887,321.87057,272.30145,345.37173,329.35025,292.5031,302.33945,304.9131,251.63065,320.3617,326.17538,324.68915,338.93713,328.42154,323.03397,320.85214,320.41068,306.40573,274.2955,299.72614,292.65607,295.19733,297.14258,334.88828,-105960.24,10710.071,3869.4492,-82789.02,3100.0,1500.0,72997.21,3697.0012,21479.182,109123.734,30962.53,-10.083885,5796.0415,65688.53,4824.7207
29,2001-07-25 00:00:00,320.06052,328.4337,322.40042,321.72366,272.30197,345.37173,329.35016,292.50586,302.3404,304.90457,251.63065,320.29156,325.84686,324.43533,338.55344,328.1169,322.95773,320.81345,320.27725,306.3645,274.2955,299.72787,292.65646,295.19946,297.14606,334.88828,-102653.68,10939.767,3867.5918,-82800.93,3100.0,1500.0,67723.41,3697.1235,21326.342,105197.89,30954.86,-10.123245,5796.208,65698.32,4824.7207
30,2001-08-01 00:00:00,320.0353,328.0619,322.24915,321.58182,272.30252,345.37173,329.3501,292.50833,302.34128,304.89587,251.63065,320.21756,325.5499,324.18658,338.19614,327.79712,322.87128,320.7674,320.14273,306.32098,274.2955,299.7297,292.65695,295.201,297.14896,334.88828,-99371.55,11171.962,3867.1255,-82811.484,3100.0,1500.0,63008.32,3697.2268,21163.645,101415.4,30948.715,-10.154289,5796.041,65706.6,4824.7207
31,2001-08-08 00:00:00,320.00363,327.6941,322.10568,321.44583,272.30307,345.37177,329.34998,292.5105,302.3421,304.88702,251.63065,320.14056,325.277,323.94333,337.86945,327.46906,322.77637,320.71484,320.00797,306.27563,274.2955,299.73154,292.65747,295.2019,297.1513,334.88828,-96141.16,11404.772,3868.8677,-82820.55,3100.0,1500.0,59465.164,3697.3152,20991.164,97775.13,30944.18,-10.176361,5795.549,65713.24,4824.7207
32,2001-08-15 00:00:00,319.96603,327.33957,321.9691,321.31573,272.30362,345.37177,329.34985,292.5123,302.3429,304.87817,251.63065,320.06155,325.02008,323.70834,337.5792,327.1562,322.67456,320.65665,319.87463,306.22906,274.2955,299.73346,292.65808,295.2022,297.153,334.88828,-92988.5,11635.277,3871.8867,-82827.76,3100.0,1500.0,56440.367,3697.39,20812.35,94277.7,30941.314,-10.18943,5794.7393,65718.16,4824.721
33,2001-08-22 00:00:00,319.92313,327.00848,321.84024,321.19324,272.30414,345.37177,329.34973,292.5137,302.34363,304.8694,251.63065,319.98135,324.7855,323.4867,337.32697,326.8556,322.5674,320.5936,319.74475,306.18195,274.2955,299.73535,292.65872,295.20187,297.1541,334.88828,-89954.56,11860.244,3876.2993,-82833.195,3100.0,1500.0,54103.43,3697.4502,20630.58,90980.19,30940.152,-10.192703,5793.63,65721.266,4824.721
34,2001-08-29 00:00:00,319.87552,326.704,321.72043,321.0783,272.3047,345.37177,329.3496,292.51474,302.34424,304.86084,251.63065,319.9009,324.57742,323.28174,337.1124,326.57034,322.45648,320.52667,319.61996,306.13498,274.2955,299.73727,292.65942,295.2009,297.15454,334.88828,-87064.03,12076.908,3883.15,-82836.664,3100.0,1500.0,52510.723,3697.4968,20448.752,87935.41,30940.71,-10.1864395,5792.2393,65722.555,4824.721
35,2001-09-05 00:00:00,319.8239,326.43375,321.61008,320.9723,272.3052,345.37177,329.34946,292.51535,302.3448,304.85257,251.63065,319.82114,324.401,323.09702,336.9409,326.3037,322.34335,320.4568,319.5021,306.0888,274.2955,299.7392,292.66022,295.19934,297.15436,334.88828,-84353.09,12282.342,3890.6948,-82838.12,3100.0,1500.0,51911.184,3697.5322,20268.395,85211.16,30942.951,-10.171158,5790.59,65721.99,4824.721
36,2001-09-12 00:00:00,319.76898,326.2009,321.51392,320.87772,272.3057,345.37177,329.34933,292.51553,302.3452,304.84473,251.63065,319.7428,324.26166,322.9358,336.81348,326.04797,322.22934,320.38474,319.39276,306.044,274.2955,299.74106,292.66104,295.1972,297.1535,334.88828,-81868.04,12473.703,3899.6323,-82837.68,3100.0,1500.0,52116.254,3697.555,20091.95,82841.375,30946.844,-10.146751,5788.7056,65719.6,4824.721
37,2001-09-19 00:00:00,319.71167,326.00864,321.43387,320.7969,272.30615,345.3718,329.34918,292.5153,302.34555,304.83746,251.63065,319.66718,324.16293,322.80057,336.73364,325.8171,322.11624,320.31177,319.29367,306.00128,274.2955,299.7429,292.66193,295.1945,297.15207,334.88828,-79650.586,12648.418,3909.8484,-82835.26,3100.0,1500.0,53111.492,3697.558,19921.89,80855.61,30952.309,-10.113945,5786.6255,65715.45,4824.721
38,2001-09-26 00:00:00,319.65262,325.8592,321.37195,320.7314,272.30658,345.3718,329.34903,292.51462,302.3458,304.8308,251.63065,319.5953,324.10632,322.69345,336.70746,325.62845,322.00537,320.23877,319.20602,305.96118,274.2955,299.74466,292.66284,295.1913,297.15002,334.88828,-77732.51,12804.214,3921.2236,-82830.93,3100.0,1500.0,54978.562,3697.5469,19760.31,79271.36,30959.254,-10.073082,5784.376,65709.61,4824.721
39,2001-10-03 00:00:00,319.59277,325.75848,321.3281,320.68195,272.307,345.3718,329.34888,292.51358,302.3459,304.8249,251.63065,319.52832,324.0924,322.61694,336.73886,325.47452,321.89835,320.16675,319.13132,305.92435,274.2955,299.74634,292.66382,295.18768,297.14746,334.88828,-76140.945,12938.941,3933.183,-82824.9,3100.0,1500.0,57630.086,3697.522,19609.719,78113.47,30967.537,-10.025017,5781.9995,65702.2,4824.721
40,2001-10-10 00:00:00,319.5328,325.7078,321.30322,320.64905,272.30734,345.3718,329.34875,292.51215,302.3459,304.81973,251.63065,319.46698,324.12036,322.5718,336.8326,325.3553,321.7962,320.09656,319.0703,305.8912,274.2955,299.74792,292.66486,295.18365,297.1444,334.88828,-74891.945,13051.176,3945.7202,-82816.98,3100.0,1500.0,61114.758,3697.4834,19471.58,77393.19,30977.05,-9.970459,5779.524,65693.336,4824.721
41,2001-10-17 00:00:00,319.4734,325.70822,321.2968,320.6328,272.30768,345.3718,329.3486,292.51035,302.3458,304.81546,251.63065,319.4121,324.1878,322.55835,336.9961,325.27087,321.70016,320.029,319.0237,305.86212,274.2955,299.74942,292.66592,295.17932,297.1409,334.88828,-73996.734,13139.877,3958.9546,-82807.76,3100.0,1500.0,65402.543,3697.4324,19347.309,77106.3,30987.639,-9.910263,5776.986,65683.16,4824.721
42,2001-10-24 00:00:00,319.41528,325.75824,321.3082,320.6329,272.30792,345.3718,329.34848,292.50824,302.34555,304.81207,251.63065,319.36438,324.2909,322.57565,337.22964,325.22534,321.61136,319.9649,318.99197,305.83743,274.2955,299.75076,292.66702,295.17468,297.137,334.88828,-73459.37,13204.204,3972.5354,-82797.02,3100.0,1500.0,70215.94,3697.3699,19238.223,77240.98,30999.146,-9.845184,5774.419,65671.83,4824.721
43,2001-10-31 00:00:00,319.3591,325.8519,321.3354,320.6481,272.30817,345.3718,329.3484,292.50583,302.34525,304.80957,251.63065,319.32434,324.42404,322.62097,337.52463,325.22794,321.53085,319.905,318.97488,305.81738,274.2955,299.75198,292.66815,295.16986,297.13275,334.88828,-73267.36,13244.19,3986.0042,-82785.05,3100.0,1500.0,75369.29,3697.2976,19145.193,77760.875,31011.41,-9.776276,5771.8604,65659.51,4824.721
