name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4777.7715,18.260052,1438.9762,8504.589,0.0,0.0,77.06712,1081.1698
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,107636.39,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,11435.957,1631.3204,4484.366,15251.537,1894.4105,2240.9023,1178.2632,2905.9722
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,32944.125,3119.7043,36.521347,16.418007,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,173263.03,26465.953,809817340.0,119955850.0,2831814700.0,9008812000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,470.841,115987.3,20889.229,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,110524.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11744.868,0.0,0.0,31432.143,0.0,42.27373,66.00176,0.0
FROM_main_terrace,0,0,0.0,870.01184,0.0,247.8432,0.0,6505.579,67193.76,6193.212,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1680.8325,0.0,44.85585,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.3341866,1762.9982,12.866925,0.0,929.3492,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,74.77783,438.7876,0.0,7489.581,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3696.5657,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,316115.7,137322.77,809976200.0,120038920.0,2831823000.0,9008889000.0,8443.894,3987.142
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.3066,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,332.7998,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,115592.625,1623.5731,6695.027,74319.336,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,110524.055,11744.868,870.01184,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,470.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,115987.3,0.0,0.0,247.8432,0.0,3.3341866,74.77783,3696.5657
TO_main_terrace,0,0,0.0,20889.229,0.0,31432.143,0.0,1680.8325,1762.9982,438.7876,0.0
