,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2002-07-06 12:00:00,318.5214,327.1703,321.756,321.0123,272.24933,345.3706,329.347,292.29883,302.2833,304.79315,251.62949,319.2728,325.39542,323.35623,339.06973,326.33737,321.10458,319.22583,319.16547,305.63202,274.29034,299.5343,292.4888,294.92975,296.81207,334.8193,-79119.23,13115.962,4582.1323,-81739.96,3100.0,1500.0,91101.15,3696.5613,18767.887,86541.69,31651.465,-5.9331284,5683.356,64734.152,4822.547
1,2001-01-10 00:00:00,318.52197,327.53128,321.94702,321.126,272.24933,345.3706,329.347,292.29883,302.2833,304.7947,251.62949,319.2754,326.839,323.74738,340.22574,326.35873,321.1052,319.22772,319.2505,305.64886,274.29034,299.5343,292.4888,294.92975,296.81207,334.8193,-81159.65,12999.153,4581.5522,-81739.96,3100.0,1500.0,145564.98,3696.5083,18805.576,93997.58,31651.994,-5.9331894,5683.365,64734.152,4822.5425
2,2001-01-17 00:00:00,318.52832,328.16055,322.2843,321.4134,272.24933,345.3706,329.347,292.29886,302.2833,304.8027,251.62949,319.30945,327.50076,324.16553,341.36322,326.5944,321.11926,319.2444,319.41708,305.69202,274.29034,299.5343,292.4888,294.9299,296.8121,334.8193,-85890.82,12736.083,4580.2764,-81740.02,3100.0,1500.0,157242.02,3696.2263,18920.326,100752.45,31653.393,-5.934517,5683.513,64734.32,4822.5425
3,2001-01-24 00:00:00,318.54294,328.66122,322.52518,321.63623,272.24933,345.3706,329.34702,292.2989,302.2833,304.8124,251.62949,319.37415,327.92267,324.495,341.81036,326.9844,321.15903,319.2756,319.5787,305.7392,274.29034,299.5343,292.4888,294.93033,296.8123,334.8193,-90218.63,12469.936,4575.865,-81740.26,3100.0,1500.0,161772.11,3695.9558,19057.86,105725.984,31654.314,-5.9390793,5683.9175,64734.938,4822.543
4,2001-01-31 00:00:00,318.56586,329.07877,322.71082,321.81277,272.24933,345.3706,329.34705,292.299,302.2833,304.82236,251.62949,319.45267,328.24756,324.7762,342.07562,327.39218,321.22345,319.31836,319.73315,305.78812,274.29034,299.5343,292.4888,294.93115,296.8127,334.8193,-94101.734,12209.672,4570.06,-81741.22,3100.0,1500.0,164722.69,3695.7534,19209.484,110032.31,31654.271,-5.948601,5684.628,64736.324,4822.543
5,2001-02-07 00:00:00,318.59647,329.4316,322.86545,321.96295,272.24933,345.3706,329.3471,292.29932,302.2833,304.83218,251.62949,319.5363,328.51254,325.0216,342.2737,327.7596,321.30798,319.37045,319.87985,305.8377,274.29034,299.5343,292.4888,294.93246,296.81357,334.8193,-97663.63,11958.254,4563.4443,-81742.84,3100.0,1500.0,167024.7,3695.6077,19373.8,113883.016,31652.984,-5.9643784,5685.661,64738.727,4822.543
6,2001-02-14 00:00:00,318.634,329.73843,322.99878,322.09476,272.24933,345.3706,329.3472,292.2998,302.28333,304.84174,251.62949,319.62115,328.7352,325.23898,342.43332,328.08832,321.40762,319.43002,320.01828,305.8872,274.29034,299.53433,292.4888,294.93427,296.81485,334.8193,-100949.53,11717.56,4554.97,-81745.805,3100.0,1500.0,168917.98,3695.5127,19545.22,117361.03,31650.29,-5.9872055,5687.0137,64742.367,4822.543
7,2001-02-21 00:00:00,318.6778,330.00912,323.12006,322.21396,272.24933,345.3706,329.34732,292.30054,302.2834,304.85098,251.62949,319.7056,328.9507,325.43518,342.56183,328.3907,321.5178,319.49567,320.14914,305.9363,274.29034,299.53433,292.4888,294.93665,296.81665,334.8193,-104023.336,11487.439,4545.101,-81749.984,3100.0,1500.0,170500.39,3695.44,19720.633,120621.39,31646.113,-6.017784,5688.668,64747.38,4822.5435
8,2001-02-28 00:00:00,318.7272,330.2475,323.2325,322.3251,272.24933,345.3706,329.34744,292.30157,302.2835,304.85992,251.62949,319.78885,329.1509,325.6157,342.6605,328.66245,321.63495,319.5662,320.27362,305.98495,274.29034,299.5344,292.4888,294.93954,296.81903,334.8193,-106929.445,11266.125,4533.8403,-81755.56,3100.0,1500.0,171691.28,3695.3865,19899.006,123678.086,31640.432,-6.0561676,5690.6045,64753.87,4822.5444
9,2001-03-07 00:00:00,318.78168,330.45468,323.3334,322.4266,272.24936,345.3706,329.3476,292.30292,302.2837,304.86856,251.62949,319.87067,329.30862,325.77536,342.7293,328.90466,321.7563,319.64062,320.39026,306.03268,274.29034,299.53445,292.4888,294.943,296.82193,334.8193,-109644.93,11056.153,4520.956,-81762.766,3100.0,1500.0,172043.34,3695.3474,20078.346,126404.41,31633.242,-6.1027374,5692.802,64761.91,4822.5444
10,2001-03-14 00:00:00,318.84045,330.62958,323.42026,322.51566,272.2494,345.3706,329.34775,292.3046,302.2839,304.87674,251.62949,319.95032,329.42786,325.9123,342.76785,329.11624,321.87955,319.71783,320.49707,306.07864,274.29034,299.53455,292.4888,294.947,296.82544,334.8193,-112114.17,10861.021,4507.604,-81771.695,3100.0,1500.0,171641.7,3695.3242,20256.373,128752.5,31624.53,-6.157341,5695.236,64771.527,4822.544
11,2001-03-21 00:00:00,318.90265,330.77338,323.49188,322.59088,272.24945,345.3706,329.34787,292.30664,302.2842,304.88434,251.62949,320.0265,329.51065,326.02646,342.7762,329.29767,322.00204,319.79663,320.59293,306.1222,274.29034,299.53473,292.4888,294.95148,296.82947,334.8193,-114295.15,10683.231,4492.749,-81782.16,3100.0,1500.0,170561.64,3695.3174,20429.67,130727.75,31614.36,-6.219597,5697.873,64782.68,4822.544
12,2001-03-28 00:00:00,318.9674,330.88608,323.54852,322.65247,272.24954,345.3706,329.34802,292.30902,302.2846,304.8913,251.62949,320.0982,329.55746,326.11777,342.7546,329.45032,322.1217,319.87582,320.67722,306.16296,274.29034,299.53494,292.4888,294.95642,296.83405,334.8193,-116184.83,10524.437,4477.0737,-81794.3,3100.0,1500.0,168828.1,3695.326,20596.164,132312.88,31602.822,-6.288849,5700.6763,64795.344,4822.5444
13,2001-04-04 00:00:00,319.03397,330.96875,323.58997,322.7001,272.24963,345.3706,329.34818,292.31177,302.28506,304.89758,251.62949,320.16473,329.568,326.1863,342.7037,329.57495,322.23685,319.95447,320.74948,306.20062,274.29034,299.53525,292.48883,294.9618,296.83914,334.8193,-117769.26,10385.559,4461.0522,-81808.055,3100.0,1500.0,166385.39,3695.3481,20753.508,133507.58,31590.006,-6.3650055,5703.617,64809.45,4822.5444
14,2001-04-11 00:00:00,319.10117,331.02087,323.61572,322.73328,272.2498,345.3706,329.34833,292.31485,302.2856,304.90305,251.62949,320.22513,329.54156,326.2314,342.62463,329.6724,322.34552,320.03125,320.8089,306.2347,274.29034,299.53564,292.48883,294.96753,296.84467,334.8193,-119029.88,10268.519,4444.106,-81823.31,3100.0,1500.0,163287.03,3695.3833,20899.752,134293.25,31576.05,-6.447014,5706.654,64824.848,4822.5444
15,2001-04-18 00:00:00,319.1682,331.04382,323.62573,322.75186,272.24994,345.3706,329.34845,292.31827,302.2863,304.9077,251.62949,320.27878,329.47876,326.25378,342.51862,329.7427,322.44647,320.10526,320.85532,306.26495,274.29034,299.53616,292.48886,294.97357,296.85065,334.8193,-119961.82,10173.855,4426.922,-81839.95,3100.0,1500.0,159630.97,3695.4312,21032.715,134673.3,31561.086,-6.5343475,5709.762,64841.465,4822.5444
16,2001-04-25 00:00:00,319.2342,331.0378,323.6203,322.7561,272.25015,345.3706,329.3486,292.32196,302.28702,304.91153,251.62949,320.32516,329.38266,326.25378,342.38776,329.78598,322.53848,320.17557,320.88858,306.2911,274.29034,299.53677,292.4889,294.97986,296.857,334.8193,-120563.484,10102.226,4409.1597,-81857.92,3100.0,1500.0,155473.02,3695.4897,21150.922,134660.05,31545.25,-6.625885,5712.905,64859.133,4822.5444
17,2001-05-02 00:00:00,319.29825,331.0046,323.60248,322.74805,272.25043,345.3706,329.34872,292.3259,302.28784,304.9145,251.62949,320.3639,329.2803,326.23587,342.2339,329.80267,322.62064,320.24136,320.90973,306.3132,274.29034,299.5375,292.48892,294.98636,296.86368,334.8193,-120866.195,10052.24,4391.6304,-81876.74,3100.0,1500.0,151219.53,3695.5564,21253.656,134367.72,31528.73,-6.7210464,5716.046,64877.684,4822.5444
18,2001-05-09 00:00:00,319.35992,330.9455,323.57788,322.7317,272.2507,345.37064,329.34882,292.3301,302.28876,304.9167,251.62949,320.3953,329.17233,326.20175,342.0589,329.79413,322.69275,320.3023,320.92007,306.33148,274.29034,299.53836,292.48898,294.99298,296.8706,334.8193,-120926.86,10021.827,4374.1,-81896.95,3100.0,1500.0,146829.75,3695.6292,21341.59,133852.0,31511.61,-6.8192596,5719.1694,64897.06,4822.5444
19,2001-05-16 00:00:00,319.4185,330.8606,323.54196,322.70505,272.25104,345.37064,329.34894,292.3345,302.28976,304.9181,251.62949,320.41953,329.02304,326.14694,341.8662,329.7614,322.75433,320.3579,320.91852,306.34567,274.29034,299.53937,292.48907,294.9997,296.87778,334.8193,-120713.64,10012.174,4356.105,-81917.87,3100.0,1500.0,141723.42,3695.7058,21413.404,132948.98,31494.094,-6.9193344,5722.2373,64917.047,4822.5444
20,2001-05-23 00:00:00,319.47302,330.74994,323.48935,322.66367,272.25143,345.37064,329.349,292.33905,302.29083,304.91864,251.62949,320.43616,328.82373,326.06845,341.659,329.7052,322.80475,320.4072,320.90356,306.3551,274.29034,299.54053,292.4892,295.0064,296.885,334.8193,-120165.11,10026.48,4339.0386,-81939.484,3100.0,1500.0,136012.84,3695.79,21467.004,131592.12,31476.406,-7.0200195,5725.2036,64937.375,4822.5444
21,2001-05-30 00:00:00,319.5231,330.61667,323.41806,322.60605,272.25186,345.37064,329.3491,292.34372,302.29196,304.91824,251.62949,320.44455,328.58313,325.96854,341.43942,329.626,322.84378,320.44974,320.87515,306.35974,274.29034,299.5418,292.48935,295.01306,296.89236,334.8193,-119263.32,10064.773,4321.858,-81961.38,3100.0,1500.0,130265.266,3695.8835,21501.707,129815.04,31458.635,-7.120865,5728.0537,64957.953,4822.5444
