name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4777.7715,18.260052,1438.9762,8504.589,0.0,0.0,77.06712,1081.1698
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,51795.254,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,11435.957,1631.3204,4484.366,15251.537,1894.4105,2240.9023,1178.2632,2905.9722
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,34413.598,3119.7043,36.53795,16.53421,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,173263.03,26465.953,803199740.0,119846310.0,2831702000.0,9008293000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,426.42987,63375.35,17388.688,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,54409.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11760.989,0.0,0.0,32643.55,0.0,42.18595,70.0961,0.0
FROM_main_terrace,0,0,0.0,811.0481,0.0,177.25485,0.0,6499.535,65231.46,6007.6787,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1680.8475,0.0,44.6998,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.331208,1718.9834,12.874836,0.0,898.5766,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,71.06069,448.66257,0.0,7271.2134,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3696.5635,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,259958.8,81437.22,803307400.0,119927064.0,2831710500.0,9008368000.0,8231.682,3987.142
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.3066,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,561.2539,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,63143.086,1583.6984,6689.1665,72213.16,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,54409.996,11760.989,811.0481,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,426.42987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,63375.35,0.0,0.0,177.25485,0.0,3.331208,71.06069,3696.5635
TO_main_terrace,0,0,0.0,17388.688,0.0,32643.55,0.0,1680.8475,1718.9834,448.66257,0.0
