,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2002-07-06 12:00:00,319.74393,329.2986,322.82523,322.0317,272.326,345.37234,329.34985,292.53946,302.3536,304.90213,251.63138,320.09872,327.54602,325.03168,340.69843,328.29837,322.518,320.48428,320.32388,306.30878,274.29874,299.8208,292.7564,295.22168,297.19797,334.93103,-105519.375,10918.925,3820.5754,-83008.23,3100.0,1500.0,121728.36,3696.5623,20799.436,115137.33,30892.828,-10.563904,5798.738,65864.914,4826.089
1,2001-01-10 00:00:00,319.74408,329.40143,322.87704,322.0628,272.326,345.37234,329.34985,292.53946,302.3536,304.90256,251.63138,320.09943,328.0229,325.14618,341.17737,328.3046,322.51822,320.48486,320.349,306.3136,274.29874,299.8208,292.7564,295.2217,297.19797,334.93103,-106120.64,10883.667,3820.5754,-83008.23,3100.0,1500.0,142999.22,3696.5479,20810.803,117481.49,30892.979,-10.563972,5798.7397,65864.92,4826.0796
2,2001-01-17 00:00:00,319.7466,329.64648,323.02374,322.18304,272.326,345.37234,329.34985,292.53946,302.3536,304.9057,251.63138,320.11185,328.40292,325.3318,341.66135,328.38742,322.52432,320.49142,320.4193,306.3311,274.29874,299.8208,292.7564,295.22174,297.198,334.93103,-108135.83,10770.359,3819.762,-83008.29,3100.0,1500.0,151242.94,3696.4365,20859.932,120879.35,30893.57,-10.564407,5798.792,65864.97,4826.08
3,2001-01-24 00:00:00,319.75314,329.87277,323.14072,322.28864,272.326,345.37234,329.34985,292.5395,302.3536,304.9101,251.63138,320.13885,328.64267,325.48926,341.93735,328.53992,322.54236,320.505,320.49313,306.35202,274.29874,299.8208,292.7564,295.22192,297.19806,334.93103,-110159.97,10645.554,3818.0198,-83008.39,3100.0,1500.0,155437.42,3696.3062,20925.215,123451.57,30894.055,-10.566246,5798.9546,65865.21,4826.08
4,2001-01-31 00:00:00,319.7639,330.087,323.2402,322.3812,272.326,345.37234,329.34988,292.53955,302.3536,304.91492,251.63138,320.1742,328.8455,325.63797,342.14868,328.71756,322.57217,320.5246,320.5693,306.37527,274.29874,299.8208,292.7564,295.22226,297.19824,334.93103,-112135.68,10514.399,3815.2327,-83008.76,3100.0,1500.0,159065.19,3696.196,21002.791,125856.086,30894.162,-10.570412,5799.262,65865.78,4826.081
5,2001-02-07 00:00:00,319.77884,330.29013,323.33072,322.4671,272.326,345.37234,329.3499,292.53967,302.3536,304.92004,251.63138,320.21432,329.02515,325.77933,342.3255,328.90094,322.6122,320.54956,320.64694,306.40045,274.29874,299.8208,292.7564,295.22284,297.1986,334.93103,-114085.44,10379.138,3811.8674,-83009.42,3100.0,1500.0,162089.7,3696.1047,21090.215,128158.93,30893.736,-10.577621,5799.734,65866.84,4826.081
6,2001-02-14 00:00:00,319.79794,330.481,323.41916,322.55017,272.326,345.37234,329.34995,292.5399,302.3536,304.92535,251.63138,320.2576,329.22238,325.91724,342.4745,329.08185,322.66083,320.5794,320.72586,306.4272,274.29874,299.8208,292.7564,295.2237,297.1992,334.93103,-116031.72,10240.294,3807.4568,-83010.74,3100.0,1500.0,164879.23,3696.0283,21186.084,130508.48,30892.658,-10.588547,5800.381,65868.51,4826.081
7,2001-02-21 00:00:00,319.82104,330.65726,323.50708,322.63354,272.326,345.37234,329.35,292.54022,302.35364,304.93085,251.63138,320.30344,329.4055,326.05103,342.59616,329.25482,322.7166,320.6137,320.8059,306.45538,274.29874,299.82083,292.7564,295.22482,297.20004,334.93103,-118002.17,10097.957,3802.811,-83012.61,3100.0,1500.0,167153.88,3695.9612,21289.777,132816.31,30890.836,-10.603645,5801.2075,65870.89,4826.081
8,2001-02-28 00:00:00,319.848,330.81696,323.58765,322.7114,272.326,345.37234,329.35007,292.54068,302.35367,304.93637,251.63138,320.3513,329.55133,326.17188,342.68994,329.41748,322.77817,320.65195,320.88336,306.4841,274.29874,299.82083,292.7564,295.2263,297.2012,334.93103,-119894.97,9958.5,3797.0088,-83015.4,3100.0,1500.0,168498.8,3695.9048,21398.064,134895.69,30888.184,-10.623398,5802.2144,65874.08,4826.081
9,2001-03-07 00:00:00,319.87833,330.95792,323.65802,322.78085,272.326,345.37234,329.35016,292.54135,302.35376,304.94177,251.63138,320.39978,329.66702,326.279,342.755,329.56754,322.8438,320.6933,320.95642,306.51257,274.29874,299.82086,292.7564,295.22806,297.20267,334.93103,-121655.47,9825.081,3790.1592,-83019.02,3100.0,1500.0,169198.52,3695.8628,21508.258,136740.42,30884.64,-10.647949,5803.3896,65878.15,4826.081
10,2001-03-14 00:00:00,319.91168,331.0788,323.7182,322.84146,272.32602,345.37234,329.35022,292.5422,302.35388,304.94696,251.63138,320.44785,329.7531,326.3713,342.79065,329.7037,322.912,320.737,321.024,306.5404,274.29874,299.82092,292.7564,295.2302,297.2045,334.93103,-123263.414,9700.082,3782.4958,-83023.51,3100.0,1500.0,169143.97,3695.835,21618.41,138325.58,30880.162,-10.677605,5804.7285,65883.16,4826.081
11,2001-03-21 00:00:00,319.94748,331.17798,323.7671,322.8922,272.32605,345.37234,329.3503,292.54324,302.35403,304.9518,251.63138,320.4944,329.80896,326.44757,342.79645,329.82437,322.98105,320.78223,321.08478,306.567,274.29874,299.821,292.7564,295.2326,297.20667,334.93103,-124682.195,9586.08,3774.2537,-83028.984,3100.0,1500.0,168314.88,3695.8213,21726.248,139630.38,30874.748,-10.712204,5806.2144,65889.12,4826.081
12,2001-03-28 00:00:00,319.98505,331.25415,323.80402,322.93237,272.32608,345.37234,329.3504,292.54453,302.35422,304.95624,251.63138,320.53836,329.83408,326.50665,342.7729,329.9269,323.0493,320.82803,321.1377,306.59186,274.29874,299.8211,292.7564,295.23535,297.20917,334.93103,-125888.26,9484.998,3765.197,-83035.59,3100.0,1500.0,166767.8,3695.8203,21829.477,140636.33,30868.434,-10.751732,5807.8257,65896.03,4826.081
13,2001-04-04 00:00:00,320.0237,331.30585,323.82834,322.9612,272.32614,345.37234,329.3505,292.546,302.35446,304.96014,251.63138,320.57895,329.82697,326.54742,342.72043,330.0095,323.11526,320.87354,321.1817,306.61456,274.29874,299.82126,292.75644,295.23837,297.212,334.93103,-126859.63,9398.946,3755.7944,-83043.09,3100.0,1500.0,164527.42,3695.833,21926.389,141318.47,30861.264,-10.79567,5809.5356,65903.836,4826.081
14,2001-04-11 00:00:00,320.06268,331.33188,323.83923,322.97797,272.3262,345.37234,329.3506,292.54767,302.35477,304.96344,251.63138,320.6153,329.78577,326.5687,342.64,330.07065,323.17755,320.91782,321.21585,306.6346,274.29874,299.82147,292.75644,295.2416,297.21515,334.93103,-127573.46,9330.045,3746.0444,-83051.6,3100.0,1500.0,161606.98,3695.8574,22016.672,141652.14,30853.303,-10.8437195,5811.325,65912.51,4826.081
15,2001-04-18 00:00:00,320.10117,331.3318,323.836,322.9819,272.3263,345.37234,329.35065,292.54956,302.3551,304.9661,251.63138,320.64664,329.70923,326.5696,342.53305,330.1094,323.23486,320.95996,321.23926,306.6516,274.29874,299.82175,292.75644,295.2451,297.21857,334.93103,-128008.875,9279.252,3735.9412,-83060.82,3100.0,1500.0,158038.55,3695.895,22096.373,141619.42,30844.443,-10.895241,5813.1606,65921.95,4826.082
